Date,Open,High,Low,Close,Adj Close,Volume
2008-11-19,3311680.000000,4213120.000000,3222400.000000,4137600.000000,4056428.250000,27
2008-11-20,4479680.000000,5536320.000000,4053440.000000,5295360.000000,5191475.000000,34
2008-11-21,4588800.000000,6459520.000000,4576000.000000,4648000.000000,4556815.000000,25
2008-11-24,4040960.000000,4439680.000000,2314240.000000,2656000.000000,2603894.250000,37
2008-11-25,2368000.000000,2586560.000000,2113600.000000,2264000.000000,2219584.750000,50
2008-11-26,2495360.000000,2848000.000000,1936000.000000,1964480.000000,1925940.500000,41
2008-11-28,1991680.000000,2000000.000000,1776000.000000,1812800.000000,1777236.375000,21
2008-12-01,1999360.000000,2623680.000000,1985920.000000,2560000.000000,2509778.000000,53
2008-12-02,2432000.000000,2679680.000000,1996800.000000,2052800.000000,2012528.000000,93
2008-12-03,2320000.000000,2335680.000000,1725120.000000,1760000.000000,1725472.125000,118
2008-12-04,1856000.000000,1916800.000000,1551360.000000,1798080.000000,1762805.250000,111
2008-12-05,1928640.000000,1936000.000000,1392000.000000,1416000.000000,1388220.875000,116
2008-12-08,1219200.000000,1295360.000000,1126080.000000,1172480.000000,1149478.250000,123
2008-12-09,1220160.000000,1301440.000000,1134080.000000,1273600.000000,1248614.375000,183
2008-12-10,1235200.000000,1403200.000000,1229120.000000,1286080.000000,1260849.750000,123
2008-12-11,1355200.000000,1608000.000000,1339200.000000,1561920.000000,1531278.250000,120
2008-12-12,1790400.000000,1807680.000000,1449600.000000,1460800.000000,1432141.875000,196
2008-12-15,1481920.000000,1700800.000000,1464320.000000,1619200.000000,1587434.500000,119
2008-12-16,1548800.000000,1558720.000000,1148480.000000,1180800.000000,1157635.125000,154
2008-12-17,1211200.000000,1228800.000000,1074560.000000,1152640.000000,1130027.500000,132
2008-12-18,1130240.000000,1291840.000000,1105600.000000,1253120.000000,1228536.125000,119
2008-12-19,1238720.000000,1306880.000000,1163840.000000,1228160.000000,1204065.875000,136
2008-12-22,1232000.000000,1408000.000000,1231040.000000,1346240.000000,1319829.375000,127
2008-12-23,1320320.000000,1429760.000000,1310080.000000,1417280.000000,1389475.500000,115
2008-12-24,1428160.000000,1455680.000000,1360000.000000,1364160.000000,1337397.750000,34
2008-12-26,1318400.000000,1402560.000000,1301440.000000,1354560.000000,1327986.250000,36
2008-12-29,1343680.000000,1459200.000000,1339200.000000,1394880.000000,1367515.125000,59
2008-12-30,1385600.000000,1392000.000000,1232000.000000,1246080.000000,1221634.375000,77
2008-12-31,1246080.000000,1261440.000000,1109440.000000,1142400.000000,1119988.250000,91
2009-01-02,1123520.000000,1208000.000000,1068800.000000,1097600.000000,1076067.250000,111
2009-01-05,1122240.000000,1170880.000000,1081600.000000,1151360.000000,1128772.500000,174
2009-01-06,1107520.000000,1126400.000000,1042240.000000,1083840.000000,1062577.125000,177
2009-01-07,1142080.000000,1234240.000000,1128320.000000,1221760.000000,1197791.500000,153
2009-01-08,1252800.000000,1281280.000000,1196800.000000,1230400.000000,1206261.875000,162
2009-01-09,1202880.000000,1352320.000000,1198720.000000,1332800.000000,1306653.125000,124
2009-01-12,1353280.000000,1590400.000000,1347520.000000,1542400.000000,1512141.125000,174
2009-01-13,1621440.000000,1643200.000000,1436160.000000,1478400.000000,1449396.625000,276
2009-01-14,1620160.000000,1736320.000000,1583360.000000,1709440.000000,1675904.125000,225
2009-01-15,1711040.000000,2079680.000000,1701760.000000,1888000.000000,1850961.000000,471
2009-01-16,1681600.000000,2226240.000000,1656320.000000,2003520.000000,1964214.750000,392
2009-01-20,2246720.000000,2837440.000000,2234240.000000,2820800.000000,2765461.500000,517
2009-01-21,2464000.000000,2747200.000000,1809920.000000,1830400.000000,1794491.000000,505
2009-01-22,2061440.000000,2247360.000000,1877440.000000,2118400.000000,2076841.125000,431
2009-01-23,2378240.000000,2424640.000000,1886720.000000,1931840.000000,1893941.000000,405
2009-01-26,1852480.000000,2107840.000000,1720960.000000,2013760.000000,1974254.125000,303
2009-01-27,1906240.000000,2016000.000000,1814720.000000,1844160.000000,1807981.125000,347
2009-01-28,1524800.000000,1536000.000000,1251200.000000,1258560.000000,1233869.500000,531
2009-01-29,1384640.000000,1520960.000000,1344320.000000,1501760.000000,1472298.375000,438
2009-01-30,1452160.000000,1682240.000000,1414720.000000,1612800.000000,1581160.125000,547
2009-02-02,1758080.000000,1780800.000000,1576000.000000,1602240.000000,1570807.125000,520
2009-02-03,1544000.000000,1753600.000000,1535680.000000,1667520.000000,1634806.500000,453
2009-02-04,1640640.000000,1758400.000000,1544000.000000,1736960.000000,1702884.125000,452
2009-02-05,1785920.000000,1910080.000000,1525120.000000,1627200.000000,1595277.375000,758
2009-02-06,1513280.000000,1541760.000000,1273600.000000,1310080.000000,1284378.750000,687
2009-02-09,1271360.000000,1328640.000000,1210240.000000,1262080.000000,1237320.500000,383
2009-02-10,1299840.000000,1617920.000000,1270720.000000,1589760.000000,1558572.000000,1028
2009-02-11,1522240.000000,1548480.000000,1392320.000000,1393600.000000,1366260.250000,693
2009-02-12,1514240.000000,1646080.000000,1415680.000000,1428480.000000,1400456.000000,688
2009-02-13,1512640.000000,1584000.000000,1455040.000000,1576960.000000,1546023.000000,450
2009-02-17,1754560.000000,1966400.000000,1749440.000000,1964160.000000,1925626.875000,561
2009-02-18,1819200.000000,2126720.000000,1815040.000000,1987200.000000,1948214.875000,723
2009-02-19,1895360.000000,2280960.000000,1845120.000000,2246400.000000,2202330.250000,699
2009-02-20,2616320.000000,2755840.000000,2171840.000000,2320000.000000,2274486.000000,1005
2009-02-23,2115200.000000,2544320.000000,2071680.000000,2544320.000000,2494405.500000,862
2009-02-24,2489280.000000,2563200.000000,1764160.000000,1791360.000000,1756217.000000,755
2009-02-25,1849280.000000,2064000.000000,1600000.000000,1791680.000000,1756530.625000,721
2009-02-26,1646080.000000,1806720.000000,1505920.000000,1744000.000000,1709786.125000,683
2009-02-27,2047360.000000,2064000.000000,1817280.000000,1981760.000000,1942881.750000,738
2009-03-02,2194240.000000,2430720.000000,2141760.000000,2378880.000000,2332211.250000,559
2009-03-03,2205760.000000,2621760.000000,2162560.000000,2503680.000000,2454563.000000,572
2009-03-04,2251200.000000,2733120.000000,2251200.000000,2559680.000000,2509463.750000,723
2009-03-05,2712320.000000,3333440.000000,2693440.000000,3184000.000000,3121536.000000,592
2009-03-06,3102400.000000,3696000.000000,2897600.000000,3330240.000000,3264907.250000,617
2009-03-09,3488000.000000,3579520.000000,2937600.000000,3173440.000000,3111183.250000,550
2009-03-10,2739200.000000,2784000.000000,1928000.000000,1968000.000000,1929391.750000,638
2009-03-11,1766400.000000,1929600.000000,1643200.000000,1794880.000000,1759668.125000,786
2009-03-12,1841280.000000,1904000.000000,1284480.000000,1331200.000000,1305084.500000,909
2009-03-13,1264000.000000,1436800.000000,1216000.000000,1286400.000000,1261163.250000,1044
2009-03-16,1216000.000000,1375680.000000,1113600.000000,1364160.000000,1337397.750000,1322
2009-03-17,1379200.000000,1440640.000000,1130560.000000,1138880.000000,1116537.375000,1277
