Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,26.110001,26.171000,25.930000,26.171000,26.171000,3400
2021-11-17,26.680000,27.598000,26.639999,27.598000,27.598000,1900
2021-11-18,27.888000,27.888000,27.888000,27.888000,27.888000,100
2021-11-19,31.191000,31.191000,31.191000,31.191000,31.191000,100
2021-11-22,29.271000,29.271000,29.271000,29.271000,29.271000,100
2021-11-23,27.010000,27.010000,26.502001,26.502001,26.502001,500
2021-11-24,25.520000,25.520000,25.520000,25.520000,25.520000,200
2021-11-26,28.906000,28.906000,28.906000,28.906000,28.906000,1000
2021-11-29,27.680000,28.170000,27.680000,28.068001,28.068001,3200
2021-11-30,29.240000,30.379999,28.700001,30.219000,30.219000,2300
2021-12-01,27.760000,31.389999,27.549999,31.389999,31.389999,700
2021-12-02,30.180000,30.180000,28.400000,28.882999,28.882999,5200
2021-12-03,29.341999,29.341999,29.341999,29.341999,29.341999,100
2021-12-06,27.989000,27.989000,27.989000,27.989000,27.989000,200
2021-12-07,25.170000,25.753000,25.170000,25.753000,25.753000,400
2021-12-08,25.510000,25.740000,25.510000,25.670000,25.670000,2700
2021-12-09,26.740000,26.740000,26.180000,26.431999,26.431999,1700
2021-12-10,25.709999,25.709999,25.709999,25.709999,25.709999,100
2021-12-13,27.420000,28.190001,27.330000,28.190001,28.190001,2600
2021-12-14,27.750000,28.653999,27.690001,28.653999,28.653999,1700
2021-12-15,29.916000,29.990000,28.820000,28.889000,28.889000,800
2021-12-16,27.950001,28.250000,27.950001,28.193001,28.193001,1000
2021-12-17,29.913000,29.913000,29.913000,29.913000,29.913000,100
2021-12-20,33.419998,33.419998,31.218000,31.218000,31.218000,8400
2021-12-21,29.580000,29.580000,28.070000,28.292000,28.292000,5400
2021-12-22,27.610001,27.610001,27.309999,27.507999,27.507999,400
2021-12-23,27.080000,27.350000,27.080000,27.350000,27.350000,300
2021-12-27,27.469999,27.469999,25.573000,25.573000,25.573000,1900
2021-12-28,25.049999,25.544001,25.049999,25.544001,25.544001,1700
2021-12-29,25.139999,26.000000,25.139999,25.913000,25.913000,2600
2021-12-30,25.910000,26.549999,25.584000,26.549999,26.549999,300
2021-12-31,26.309000,26.309000,26.309000,26.309000,26.309000,100
2022-01-03,26.110001,26.110001,23.834000,23.834000,23.834000,100
2022-01-04,21.469999,21.520000,21.103001,21.103001,21.103001,3800
2022-01-05,20.540001,21.455999,20.540001,21.455999,21.455999,400
2022-01-06,19.719999,20.370001,19.719999,19.826000,19.826000,1500
2022-01-07,18.954000,18.954000,18.954000,18.954000,18.954000,100
2022-01-10,19.549999,19.549999,19.235001,19.235001,19.235001,700
2022-01-11,17.274000,17.274000,17.274000,17.274000,17.274000,400
2022-01-12,17.000000,17.000000,16.795000,16.992001,16.992001,1700
2022-01-13,17.415001,17.415001,17.415001,17.415001,17.415001,100
2022-01-14,16.730000,16.730000,15.929000,15.929000,15.929000,7200
2022-01-18,15.910000,16.430000,15.860000,15.940000,15.940000,5300
2022-01-19,16.280001,16.570000,16.101000,16.261999,16.261999,2500
2022-01-20,16.360001,16.978001,15.640000,16.978001,16.978001,2700
2022-01-21,17.350000,18.271000,17.350000,17.999001,17.999001,2000
2022-01-24,18.799999,20.540001,17.770000,17.770000,17.770000,10500
2022-01-25,18.490000,18.490000,15.495000,15.498000,15.498000,4000
2022-01-26,14.940000,15.536000,14.590000,15.536000,15.536000,4400
2022-01-27,14.350000,15.510000,14.030000,15.013000,15.013000,11800
2022-01-28,15.000000,15.940000,14.800000,15.150000,15.150000,6100
2022-01-31,15.000000,15.000000,14.830000,14.981000,14.981000,2400
2022-02-01,15.000000,15.000000,13.370000,13.439000,13.439000,4000
2022-02-02,13.780000,14.100000,13.174000,13.174000,13.174000,4900
2022-02-03,13.600000,14.010000,13.560000,13.563000,13.563000,5700
2022-02-04,13.320000,13.320000,12.200000,12.889000,12.889000,3100
2022-02-07,13.070000,13.070000,12.270000,12.586000,12.586000,5100
2022-02-08,13.450000,13.560000,13.265000,13.328000,13.328000,4000
2022-02-09,13.050000,13.285000,12.700000,13.009000,13.009000,6100
2022-02-10,12.610000,13.220000,12.300000,13.163000,13.163000,13200
2022-02-11,12.820000,13.000000,11.817000,11.817000,11.817000,37000
