symbol,date,status,fill-price,fill-quantity,direction,quantity
CURE,2011-06-21,filled,4.769999999999999,21246,buy,21246
CURE,2011-06-24,filled,4.59,-21246,sell,-21246
CURE,2011-06-29,filled,4.86,19836,buy,19836
CURE,2011-07-11,filled,4.85,-5082,sell,-5082
CURE,2011-07-12,filled,4.809999999999999,-14754,sell,-14754
CURE,2011-07-13,filled,4.88,9800,buy,9800
CURE,2011-07-18,filled,4.67,-9800,sell,-9800
CURE,2011-07-22,filled,4.9,18796,buy,18796
CURE,2011-07-26,filled,4.66,-4644,sell,-4644
CURE,2011-07-27,filled,4.5,-14152,sell,-14152
CURE,2011-08-15,filled,3.43,6463,buy,6463
CURE,2011-08-16,filled,3.43,5796,buy,5796
CURE,2011-08-19,filled,3.1,-12259,sell,-12259
CURE,2011-08-24,filled,3.44,12074,buy,12074
CURE,2011-08-30,filled,3.73,4966,buy,4966
CURE,2011-09-06,filled,3.37,-5508,sell,-5508
CURE,2011-09-08,filled,3.85,4952,buy,4952
CURE,2011-09-12,filled,3.24,-16484,sell,-16484
CURE,2011-09-15,filled,3.61,15038,buy,15038
CURE,2011-09-22,filled,3.22,-15038,sell,-15038
CURE,2011-09-28,filled,3.52,9444,buy,9444
CURE,2011-09-29,filled,3.51,-4574,sell,-4574
CURE,2011-10-03,filled,3.24,-4870,sell,-4870
CURE,2011-10-07,filled,3.35,4994,buy,4994
CURE,2011-10-11,filled,3.5300000000000002,9350,buy,9350
CURE,2011-10-18,filled,3.37,-4778,sell,-4778
CURE,2011-10-24,filled,3.7800000000000002,8857,buy,8857
CURE,2011-11-02,filled,3.69,-9315,sell,-9315
CURE,2011-11-08,filled,3.91,4285,buy,4285
CURE,2011-11-09,filled,3.66,4216,buy,4216
CURE,2011-11-10,filled,3.81,-13117,sell,-13117
CURE,2011-11-11,filled,4.0,4519,buy,4519
CURE,2011-11-14,filled,3.89,8249,buy,8249
CURE,2011-11-17,filled,3.66,-8494,sell,-8494
CURE,2011-11-18,filled,3.62,-4327,sell,-4327
CURE,2011-11-22,filled,3.39,-4439,sell,-4439
CURE,2011-11-29,filled,3.49,4588,buy,4588
CURE,2011-12-01,filled,3.92,12223,buy,12223
CURE,2011-12-09,filled,3.85,-4454,sell,-4454
CURE,2011-12-13,filled,3.7800000000000002,-4038,sell,-4038
CURE,2011-12-16,filled,3.85,4015,buy,4015
CURE,2011-12-22,filled,4.13,3817,buy,3817
CURE,2012-02-10,filled,4.6,-4060,sell,-4060
CURE,2012-02-13,filled,4.72,-8063,sell,-8063
CURE,2012-02-14,filled,4.72,11970,buy,11970
CURE,2012-02-22,filled,4.66,-8004,sell,-8004
CURE,2012-02-23,filled,4.7,-4002,sell,-4002
CURE,2012-02-27,filled,4.769999999999999,11737,buy,11737
CURE,2012-03-06,filled,4.690000000000001,-3935,sell,-3935
CURE,2012-03-07,filled,4.63,-7859,sell,-7859
CURE,2012-03-09,filled,4.84,11354,buy,11354
CURE,2012-03-22,filled,4.92,-3859,sell,-3859
CURE,2012-03-23,filled,4.97,-3820,sell,-3820
CURE,2012-03-27,filled,5.29,7259,buy,7259
CURE,2012-04-09,filled,5.1,-3823,sell,-3823
CURE,2012-04-10,filled,5.05,-3705,sell,-3705
CURE,2012-04-11,filled,5.18,-3627,sell,-3627
CURE,2012-04-18,filled,5.12,3630,buy,3630
CURE,2012-04-23,filled,5.12,7184,buy,7184
CURE,2012-04-24,filled,5.08,-7190,sell,-7190
CURE,2012-04-25,filled,5.29,-3670,sell,-3670
CURE,2012-04-26,filled,5.2,10623,buy,10623
CURE,2012-05-04,filled,5.269999999999999,-3379,sell,-3379
CURE,2012-05-07,filled,4.940000000000001,-7243,sell,-7243
CURE,2012-05-15,filled,4.97,-3669,sell,-3669
CURE,2012-05-25,filled,4.79,3816,buy,3816
CURE,2012-06-01,filled,4.809999999999999,3790,buy,3790
CURE,2012-06-05,filled,4.5,-7606,sell,-7606
CURE,2012-06-07,filled,4.730000000000001,3739,buy,3739
CURE,2012-06-08,filled,4.9,3738,buy,3738
CURE,2012-06-11,filled,4.96,3456,buy,3456
CURE,2012-06-15,filled,5.14,3430,buy,3430
CURE,2012-06-22,filled,5.22,-3604,sell,-3604
CURE,2012-06-27,filled,5.37,-3549,sell,-3549
CURE,2012-06-28,filled,5.36,7052,buy,7052
CURE,2012-06-29,filled,5.47,-7141,sell,-7141
CURE,2012-07-02,filled,5.58,7064,buy,7064
CURE,2012-07-13,filled,5.57,-3618,sell,-3618
CURE,2012-07-16,filled,5.57,3510,buy,3510
CURE,2012-07-24,filled,5.33,-7035,sell,-7035
CURE,2012-07-25,filled,5.309999999999999,-3499,sell,-3499
CURE,2012-07-30,filled,5.83,9532,buy,9532
CURE,2012-08-03,filled,5.769999999999999,-9787,sell,-9787
CURE,2012-08-06,filled,5.76,6647,buy,6647
CURE,2012-08-07,filled,5.68,3222,buy,3222
CURE,2012-08-20,filled,5.809999999999999,-6559,sell,-6559
CURE,2012-08-23,filled,5.66,-3262,sell,-3262
CURE,2012-08-27,filled,5.83,9731,buy,9731
CURE,2012-08-31,filled,5.83,-3269,sell,-3269
CURE,2012-09-04,filled,5.79,3252,buy,3252
CURE,2012-09-13,filled,6.13,-3240,sell,-3240
CURE,2012-09-14,filled,6.230000000000001,3174,buy,3174
CURE,2012-10-01,filled,6.73,-3219,sell,-3219
CURE,2012-10-03,filled,6.78,3252,buy,3252
CURE,2012-10-10,filled,6.76,-3274,sell,-3274
CURE,2012-10-11,filled,6.78,-3213,sell,-3213
CURE,2012-10-16,filled,7.07,3159,buy,3159
CURE,2012-10-17,filled,7.08,3016,buy,3016
CURE,2012-10-22,filled,6.78,-6355,sell,-6355
CURE,2012-10-23,filled,6.57,-3157,sell,-3157
CURE,2012-11-08,filled,6.230000000000001,-3193,sell,-3193
CURE,2012-11-20,filled,6.03,3456,buy,3456
CURE,2012-11-23,filled,6.28,3335,buy,3335
CURE,2012-11-26,filled,6.37,3211,buy,3211
CURE,2012-11-30,filled,6.54,3285,buy,3285
CURE,2012-12-17,filled,6.72,-3338,sell,-3338
CURE,2012-12-19,filled,6.91,3213,buy,3213
CURE,2012-12-24,filled,6.480000000000001,-6579,sell,-6579
CURE,2012-12-26,filled,6.480000000000001,-3302,sell,-3302
CURE,2012-12-27,filled,6.42,-3281,sell,-3281
CURE,2013-01-03,filled,6.8,9520,buy,9520
CURE,2013-01-04,filled,6.9,2989,buy,2989
CURE,2013-02-05,filled,8.03,-3160,sell,-3160
CURE,2013-02-06,filled,8.15,3069,buy,3069
CURE,2013-02-22,filled,8.2,-3106,sell,-3106
CURE,2013-02-26,filled,7.94,-6182,sell,-6182
CURE,2013-02-28,filled,8.11,9004,buy,9004
CURE,2013-03-19,filled,9.0,-2913,sell,-2913
CURE,2013-03-21,filled,9.11,3020,buy,3020
CURE,2013-04-19,filled,10.56,-3053,sell,-3053
CURE,2013-04-23,filled,11.16,2941,buy,2941
CURE,2013-05-01,filled,10.38,-6090,sell,-6090
CURE,2013-05-02,filled,10.63,-3014,sell,-3014
CURE,2013-05-13,filled,11.15,8453,buy,8453
CURE,2013-05-21,filled,11.74,-2843,sell,-2843
CURE,2013-06-03,filled,11.25,-5716,sell,-5716
CURE,2013-06-10,filled,11.57,2848,buy,2848
CURE,2013-06-13,filled,10.9,-2834,sell,-2834
CURE,2013-06-19,filled,11.76,5432,buy,5432
CURE,2013-06-20,filled,10.86,-2746,sell,-2746
CURE,2013-06-21,filled,10.64,-5619,sell,-5619
CURE,2013-06-27,filled,11.24,2769,buy,2769
CURE,2013-07-03,filled,10.66,-2769,sell,-2769
CURE,2013-07-08,filled,11.38,5360,buy,5360
CURE,2013-07-09,filled,11.62,5184,buy,5184
CURE,2013-08-07,filled,13.08,-2710,sell,-2710
CURE,2013-08-12,filled,12.93,-2617,sell,-2617
CURE,2013-08-15,filled,12.5,-2588,sell,-2588
CURE,2013-08-27,filled,12.07,2749,buy,2749
CURE,2013-08-28,filled,11.75,-5378,sell,-5378
CURE,2013-09-05,filled,12.59,7864,buy,7864
CURE,2013-09-09,filled,12.66,2495,buy,2495
CURE,2013-09-24,filled,13.36,-2612,sell,-2612
CURE,2013-09-25,filled,13.28,-2568,sell,-2568
CURE,2013-10-02,filled,13.28,2538,buy,2538
CURE,2013-10-04,filled,13.09,-2514,sell,-2514
CURE,2013-10-07,filled,13.03,2492,buy,2492
CURE,2013-10-09,filled,12.46,-7695,sell,-7695
CURE,2013-10-11,filled,13.28,7454,buy,7454
CURE,2013-10-15,filled,13.63,2353,buy,2353
CURE,2013-11-08,filled,14.48,-4904,sell,-4904
CURE,2013-11-12,filled,14.81,4732,buy,4732
CURE,2013-12-03,filled,16.47,-2369,sell,-2369
CURE,2013-12-04,filled,16.16,-2405,sell,-2405
CURE,2013-12-09,filled,16.95,2334,buy,2334
CURE,2013-12-12,filled,15.64,-4773,sell,-4773
CURE,2013-12-19,filled,16.26,4643,buy,4643
CURE,2013-12-24,filled,16.59,2299,buy,2299
CURE,2014-01-27,filled,17.09,-7022,sell,-7022
CURE,2014-01-31,filled,17.25,2220,buy,2220
CURE,2014-02-04,filled,16.62,-4562,sell,-4562
CURE,2014-02-10,filled,17.69,6715,buy,6715
CURE,2014-02-11,filled,18.16,2147,buy,2147
CURE,2014-03-14,filled,19.65,-6650,sell,-6650
CURE,2014-03-19,filled,20.85,4160,buy,4160
CURE,2014-03-24,filled,19.78,-4217,sell,-4217
CURE,2014-04-02,filled,20.22,2089,buy,2089
CURE,2014-04-03,filled,20.48,2067,buy,2067
CURE,2014-04-07,filled,18.83,-2055,sell,-2055
CURE,2014-04-08,filled,18.75,-4256,sell,-4256
CURE,2014-04-21,filled,17.84,2241,buy,2241
CURE,2014-04-22,filled,18.95,2130,buy,2130
CURE,2014-04-28,filled,18.53,-2183,sell,-2183
CURE,2014-05-01,filled,19.21,4196,buy,4196
CURE,2014-05-07,filled,18.58,-2105,sell,-2105
CURE,2014-05-09,filled,18.35,-2132,sell,-2132
CURE,2014-05-13,filled,19.48,4064,buy,4064
CURE,2014-05-23,filled,19.9,1980,buy,1980
CURE,2014-06-13,filled,20.58,-4097,sell,-4097
CURE,2014-06-19,filled,21.22,3994,buy,3994
CURE,2014-07-09,filled,22.64,-2039,sell,-2039
CURE,2014-07-15,filled,23.19,1983,buy,1983
CURE,2014-07-16,filled,22.84,-2020,sell,-2020
CURE,2014-07-17,filled,21.92,-1976,sell,-1976
CURE,2014-07-18,filled,21.55,-1991,sell,-1991
CURE,2014-07-23,filled,23.07,3826,buy,3826
CURE,2014-07-24,filled,23.67,1868,buy,1868
CURE,2014-08-01,filled,22.05,-5811,sell,-5811
CURE,2014-08-08,filled,20.66,-1928,sell,-1928
CURE,2014-08-14,filled,22.3,5670,buy,5670
CURE,2014-08-15,filled,23.31,1785,buy,1785
CURE,2014-09-15,filled,24.99,-1884,sell,-1884
CURE,2014-09-16,filled,24.71,-1853,sell,-1853
CURE,2014-09-17,filled,25.9,3565,buy,3565
CURE,2014-09-24,filled,25.91,-1826,sell,-1826
CURE,2014-09-25,filled,27.0,1738,buy,1738
CURE,2014-09-26,filled,26.01,-1794,sell,-1794
CURE,2014-10-01,filled,25.34,-1777,sell,-1777
CURE,2014-10-02,filled,24.6,-1785,sell,-1785
CURE,2014-10-06,filled,26.5,1704,buy,1704
CURE,2014-10-08,filled,24.62,-1727,sell,-1727
CURE,2014-10-09,filled,26.26,5087,buy,5087
CURE,2014-10-10,filled,24.31,-5183,sell,-5183
CURE,2014-10-14,filled,22.72,-1720,sell,-1720
CURE,2014-10-21,filled,23.48,1800,buy,1800
CURE,2014-10-22,filled,24.96,3259,buy,3259
CURE,2014-10-24,filled,25.6,1605,buy,1605
CURE,2014-11-17,filled,28.71,-1671,sell,-1671
CURE,2014-11-19,filled,31.04,1547,buy,1547
CURE,2014-12-11,filled,32.44,-3274,sell,-3274
CURE,2014-12-15,filled,31.38,-1593,sell,-1593
CURE,2014-12-19,filled,33.57,4687,buy,4687
CURE,2014-12-24,filled,30.09,-4782,sell,-4782
CURE,2015-01-08,filled,33.13,2932,buy,2932
CURE,2015-01-09,filled,33.98,1339,buy,1339
CURE,2015-01-16,filled,31.09,-1468,sell,-1468
CURE,2015-01-22,filled,33.74,1370,buy,1370
CURE,2015-01-29,filled,32.33,-2889,sell,-2889
CURE,2015-02-02,filled,31.76,-1411,sell,-1411
CURE,2015-02-06,filled,33.17,1360,buy,1360
CURE,2015-02-10,filled,31.73,-2811,sell,-2811
CURE,2015-02-12,filled,32.98,1394,buy,1394
CURE,2015-02-13,filled,32.95,2741,buy,2741
CURE,2015-02-17,filled,33.24,1354,buy,1354
CURE,2015-03-09,filled,34.18,-2744,sell,-2744
CURE,2015-03-11,filled,33.81,-1362,sell,-1362
CURE,2015-03-13,filled,34.72,1314,buy,1314
CURE,2015-03-17,filled,36.72,2553,buy,2553
CURE,2015-03-26,filled,35.4,-2618,sell,-2618
CURE,2015-04-02,filled,34.96,-1304,sell,-1304
CURE,2015-04-09,filled,36.48,1248,buy,1248
CURE,2015-04-10,filled,37.17,1240,buy,1240
CURE,2015-04-13,filled,38.16,1237,buy,1237
CURE,2015-04-20,filled,37.53,-1265,sell,-1265
CURE,2015-04-22,filled,38.6,1238,buy,1238
CURE,2015-04-28,filled,36.77,-3773,sell,-3773
CURE,2015-05-01,filled,35.17,-1253,sell,-1253
CURE,2015-05-05,filled,36.23,1252,buy,1252
CURE,2015-05-06,filled,35.53,-1252,sell,-1252
CURE,2015-05-11,filled,37.06,3694,buy,3694
CURE,2015-05-15,filled,38.04,1179,buy,1179
CURE,2015-05-27,filled,38.43,-1224,sell,-1224
CURE,2015-06-05,filled,38.28,-1214,sell,-1214
CURE,2015-06-09,filled,37.62,-1207,sell,-1207
CURE,2015-06-11,filled,39.24,1168,buy,1168
CURE,2015-06-12,filled,39.21,2344,buy,2344
CURE,2015-06-25,filled,40.95,-1169,sell,-1169
CURE,2015-06-30,filled,39.21,-2357,sell,-2357
CURE,2015-07-09,filled,38.68,-1214,sell,-1214
CURE,2015-07-13,filled,40.48,2373,buy,2373
CURE,2015-07-14,filled,40.68,2267,buy,2267
CURE,2015-07-27,filled,38.7,-3482,sell,-3482
CURE,2015-07-30,filled,41.05,1059,buy,1059
CURE,2015-08-03,filled,41.58,1091,buy,1091
CURE,2015-08-06,filled,42.5,1078,buy,1078
CURE,2015-08-07,filled,39.41,-3291,sell,-3291
CURE,2015-08-14,filled,39.07,-1095,sell,-1095
CURE,2015-08-18,filled,40.64,2120,buy,2120
CURE,2015-08-21,filled,36.27,-2120,sell,-2120
CURE,2015-09-09,filled,33.01,1288,buy,1288
CURE,2015-09-16,filled,32.61,1202,buy,1202
CURE,2015-09-18,filled,32.26,1181,buy,1181
CURE,2015-09-22,filled,29.73,-1139,sell,-1139
CURE,2015-09-23,filled,30.66,-2532,sell,-2532
CURE,2015-10-05,filled,29.07,1362,buy,1362
CURE,2015-10-06,filled,28.29,1327,buy,1327
CURE,2015-10-15,filled,27.13,-1311,sell,-1311
CURE,2015-10-16,filled,29.31,2555,buy,2555
CURE,2015-10-22,filled,28.34,-1289,sell,-1289
CURE,2015-10-23,filled,28.32,-1309,sell,-1309
CURE,2015-10-27,filled,30.13,2478,buy,2478
CURE,2015-11-03,filled,34.07,1089,buy,1089
CURE,2015-11-10,filled,31.66,-1226,sell,-1226
CURE,2015-11-12,filled,30.94,-1222,sell,-1222
CURE,2015-11-13,filled,29.61,-1199,sell,-1199
CURE,2015-11-19,filled,32.39,3405,buy,3405
CURE,2015-12-01,filled,31.91,-1123,sell,-1123
CURE,2015-12-02,filled,32.91,1139,buy,1139
CURE,2015-12-04,filled,30.41,-3506,sell,-3506
CURE,2015-12-16,filled,32.86,1083,buy,1083
CURE,2015-12-17,filled,33.38,2142,buy,2142
CURE,2015-12-21,filled,31.4,-3300,sell,-3300
CURE,2015-12-23,filled,32.69,1055,buy,1055
CURE,2015-12-24,filled,32.86,2066,buy,2066
CURE,2016-01-04,filled,31.14,-1035,sell,-1035
CURE,2016-01-05,filled,31.25,-2119,sell,-2119
CURE,2016-01-08,filled,29.17,-1062,sell,-1062
CURE,2016-01-25,filled,26.73,1205,buy,1205
CURE,2016-01-29,filled,24.15,-1205,sell,-1205
CURE,2016-02-17,filled,24.7,2636,buy,2636
CURE,2016-02-23,filled,25.18,1164,buy,1164
CURE,2016-03-01,filled,25.28,-1241,sell,-1241
CURE,2016-03-02,filled,26.28,1184,buy,1184
CURE,2016-03-16,filled,25.75,-2488,sell,-2488
CURE,2016-03-18,filled,24.77,-1255,sell,-1255
CURE,2016-03-22,filled,25.78,1229,buy,1229
CURE,2016-03-23,filled,26.71,2393,buy,2393
CURE,2016-03-30,filled,27.0,1208,buy,1208
CURE,2016-04-29,filled,29.7,-1212,sell,-1212
CURE,2016-05-02,filled,29.05,-2403,sell,-2403
CURE,2016-05-10,filled,29.4,1216,buy,1216
CURE,2016-05-11,filled,29.6,1158,buy,1158
CURE,2016-05-13,filled,28.13,-1163,sell,-1163
CURE,2016-05-16,filled,27.95,-1209,sell,-1209
CURE,2016-05-17,filled,28.85,1145,buy,1145
CURE,2016-05-20,filled,28.03,-1151,sell,-1151
CURE,2016-05-25,filled,29.8,3447,buy,3447
CURE,2016-06-13,filled,30.65,-1200,sell,-1200
CURE,2016-06-14,filled,30.08,-1147,sell,-1147
CURE,2016-06-20,filled,29.94,-1136,sell,-1136
CURE,2016-06-24,filled,27.89,2237,buy,2237
CURE,2016-06-27,filled,27.58,-3412,sell,-3412
CURE,2016-06-30,filled,30.41,3365,buy,3365
CURE,2016-07-01,filled,31.17,1067,buy,1067
CURE,2016-08-09,filled,34.86,-2218,sell,-2218
CURE,2016-08-17,filled,34.33,-1096,sell,-1096
CURE,2016-08-26,filled,32.38,-1118,sell,-1118
CURE,2016-09-22,filled,32.6,3500,buy,3500
CURE,2016-09-27,filled,31.67,-1167,sell,-1167
CURE,2016-09-30,filled,30.69,-2333,sell,-2333
CURE,2016-10-21,filled,28.66,1257,buy,1257
CURE,2016-10-24,filled,28.48,-1257,sell,-1257
CURE,2016-11-08,filled,25.93,1386,buy,1386
CURE,2016-11-09,filled,29.63,1373,buy,1373
CURE,2016-11-10,filled,30.72,1076,buy,1076
CURE,2016-11-17,filled,28.43,-1293,sell,-1293
CURE,2016-11-23,filled,25.58,-1237,sell,-1237
CURE,2016-12-01,filled,26.63,-1305,sell,-1305
CURE,2016-12-12,filled,26.59,1297,buy,1297
CURE,2016-12-13,filled,27.36,1270,buy,1270
CURE,2016-12-14,filled,27.7,1237,buy,1237
CURE,2016-12-22,filled,26.98,-1251,sell,-1251
CURE,2016-12-27,filled,27.87,1222,buy,1222
CURE,2017-01-03,filled,27.78,-2510,sell,-2510
CURE,2017-01-04,filled,28.25,3712,buy,3712
CURE,2017-01-20,filled,28.37,-2495,sell,-2495
CURE,2017-01-24,filled,27.61,-1226,sell,-1226
CURE,2017-02-01,filled,28.94,2408,buy,2408
CURE,2017-02-02,filled,29.15,1177,buy,1177
CURE,2017-03-08,filled,34.36,-1205,sell,-1205
CURE,2017-03-10,filled,35.84,1173,buy,1173
CURE,2017-03-20,filled,34.96,-1211,sell,-1211
CURE,2017-03-21,filled,35.21,-1198,sell,-1198
CURE,2017-03-22,filled,34.03,-1183,sell,-1183
CURE,2017-04-25,filled,34.15,2453,buy,2453
CURE,2017-04-26,filled,34.42,1182,buy,1182
CURE,2017-05-11,filled,34.89,-2428,sell,-2428
CURE,2017-05-16,filled,35.62,1176,buy,1176
CURE,2017-05-18,filled,33.71,-3600,sell,-3600
CURE,2017-05-24,filled,35.23,3498,buy,3498
CURE,2017-05-26,filled,35.91,1135,buy,1135
CURE,2017-06-28,filled,41.68,-1158,sell,-1158
CURE,2017-07-03,filled,41.3,-1148,sell,-1148
CURE,2017-07-13,filled,41.4,1156,buy,1156
CURE,2017-07-17,filled,42.15,1135,buy,1135
CURE,2017-07-26,filled,42.4,-1156,sell,-1156
CURE,2017-07-28,filled,41.24,-2300,sell,-2300
CURE,2017-08-17,filled,40.36,1186,buy,1186
CURE,2017-08-18,filled,39.0,-2348,sell,-2348
CURE,2017-08-23,filled,40.13,2312,buy,2312
CURE,2017-08-30,filled,40.9,1161,buy,1161
CURE,2017-08-31,filled,41.83,1137,buy,1137
CURE,2017-09-20,filled,45.2,-2309,sell,-2309
CURE,2017-09-27,filled,44.03,-1133,sell,-1133
CURE,2017-10-02,filled,44.96,1139,buy,1139
CURE,2017-10-03,filled,46.12,2233,buy,2233
CURE,2017-10-10,filled,45.7,-1141,sell,-1141
CURE,2017-10-16,filled,45.65,-1132,sell,-1132
CURE,2017-10-18,filled,47.08,2212,buy,2212
CURE,2017-10-25,filled,46.57,-1131,sell,-1131
CURE,2017-10-27,filled,44.66,-2223,sell,-2223
