symbol,date,status,fill-price,fill-quantity,direction,quantity
DFEN,2017-05-08,filled,24.7,4102,buy,4102
DFEN,2017-05-15,filled,23.98,-4102,sell,-4102
DFEN,2017-05-23,filled,24.51,3974,buy,3974
DFEN,2017-06-07,filled,25.28,-2001,sell,-2001
DFEN,2017-06-20,filled,27.03,1867,buy,1867
DFEN,2017-06-22,filled,25.67,-977,sell,-977
DFEN,2017-06-23,filled,25.14,-1907,sell,-1907
DFEN,2017-06-28,filled,24.71,-956,sell,-956
DFEN,2017-06-29,filled,25.89,1855,buy,1855
DFEN,2017-07-05,filled,26.44,1826,buy,1826
DFEN,2017-08-11,filled,30.53,-927,sell,-927
DFEN,2017-08-18,filled,29.73,-1831,sell,-1831
DFEN,2017-08-23,filled,30.58,874,buy,874
DFEN,2017-08-29,filled,30.89,-888,sell,-888
DFEN,2017-08-30,filled,31.82,2636,buy,2636
DFEN,2017-09-06,filled,31.61,-904,sell,-904
DFEN,2017-09-07,filled,30.69,-868,sell,-868
DFEN,2017-09-13,filled,31.65,846,buy,846
DFEN,2017-09-18,filled,32.84,852,buy,852
DFEN,2017-10-18,filled,38.93,-1740,sell,-1740
DFEN,2017-10-23,filled,41.12,1654,buy,1654
DFEN,2017-10-27,filled,38.87,-2543,sell,-2543
DFEN,2017-11-03,filled,40.85,2433,buy,2433
DFEN,2017-11-10,filled,38.13,-2464,sell,-2464
DFEN,2017-11-21,filled,38.08,826,buy,826
DFEN,2017-11-22,filled,39.32,774,buy,774
DFEN,2017-11-29,filled,40.47,767,buy,767
DFEN,2017-12-06,filled,38.92,-798,sell,-798
DFEN,2017-12-11,filled,41.03,755,buy,755
DFEN,2018-02-05,filled,50.0,-1569,sell,-1569
DFEN,2018-02-06,filled,40.81,-729,sell,-729
DFEN,2018-02-09,filled,44.42,-837,sell,-837
DFEN,2018-02-13,filled,45.83,785,buy,785
DFEN,2018-02-15,filled,50.26,721,buy,721
DFEN,2018-02-16,filled,52.6,1392,buy,1392
DFEN,2018-03-02,filled,47.73,-1451,sell,-1451
DFEN,2018-03-09,filled,53.09,638,buy,638
DFEN,2018-03-12,filled,54.54,651,buy,651
DFEN,2018-03-15,filled,50.27,-2054,sell,-2054
DFEN,2018-03-22,filled,49.78,679,buy,679
DFEN,2018-03-23,filled,45.99,-1361,sell,-1361
DFEN,2018-04-05,filled,49.19,676,buy,676
DFEN,2018-04-06,filled,49.83,1279,buy,1279
DFEN,2018-04-09,filled,48.02,-611,sell,-611
DFEN,2018-04-13,filled,50.65,624,buy,624
DFEN,2018-04-18,filled,53.28,619,buy,619
DFEN,2018-04-25,filled,49.38,-1299,sell,-1299
DFEN,2018-04-26,filled,48.43,-1288,sell,-1288
DFEN,2018-05-08,filled,44.32,714,buy,714
DFEN,2018-05-09,filled,46.76,666,buy,666
DFEN,2018-05-16,filled,45.97,-695,sell,-695
DFEN,2018-05-21,filled,49.45,1304,buy,1304
DFEN,2018-05-22,filled,50.64,606,buy,606
DFEN,2018-05-30,filled,48.42,-650,sell,-650
DFEN,2018-06-05,filled,50.46,628,buy,628
DFEN,2018-06-13,filled,49.94,-648,sell,-648
DFEN,2018-06-14,filled,49.56,-639,sell,-639
DFEN,2018-06-15,filled,47.31,-636,sell,-636
DFEN,2018-06-20,filled,44.99,-650,sell,-650
DFEN,2018-07-10,filled,46.56,1325,buy,1325
DFEN,2018-07-11,filled,45.88,649,buy,649
DFEN,2018-07-16,filled,48.81,651,buy,651
DFEN,2018-07-24,filled,49.77,-659,sell,-659
DFEN,2018-07-27,filled,51.57,632,buy,632
DFEN,2018-07-31,filled,49.44,-1299,sell,-1299
DFEN,2018-08-01,filled,52.17,1223,buy,1223
DFEN,2018-08-14,filled,50.14,-1257,sell,-1257
DFEN,2018-08-16,filled,50.72,-627,sell,-627
DFEN,2018-08-17,filled,50.86,1233,buy,1233
DFEN,2018-08-20,filled,52.22,624,buy,624
DFEN,2018-08-24,filled,51.83,-625,sell,-625
DFEN,2018-08-28,filled,54.66,596,buy,596
DFEN,2018-08-31,filled,52.94,-620,sell,-620
DFEN,2018-09-07,filled,55.49,585,buy,585
DFEN,2018-09-21,filled,59.98,-607,sell,-607
DFEN,2018-10-01,filled,62.19,596,buy,596
DFEN,2018-10-08,filled,59.39,-612,sell,-612
DFEN,2018-10-10,filled,57.7,-1201,sell,-1201
DFEN,2018-10-11,filled,51.36,-607,sell,-607
DFEN,2018-10-17,filled,53.64,631,buy,631
DFEN,2018-10-22,filled,48.79,-631,sell,-631
DFEN,2018-11-02,filled,44.75,753,buy,753
DFEN,2018-11-06,filled,45.01,732,buy,732
DFEN,2018-11-08,filled,47.66,674,buy,674
DFEN,2018-11-13,filled,43.42,-1421,sell,-1421
DFEN,2018-11-14,filled,42.93,-738,sell,-738
DFEN,2018-11-29,filled,39.78,795,buy,795
DFEN,2018-12-03,filled,43.05,782,buy,782
DFEN,2018-12-06,filled,35.65,-1577,sell,-1577
DFEN,2018-12-31,filled,28.7,1055,buy,1055
DFEN,2019-01-04,filled,27.51,-1055,sell,-1055
DFEN,2019-01-07,filled,29.52,1994,buy,1994
DFEN,2019-01-10,filled,31.82,869,buy,869
DFEN,2019-01-30,filled,41.05,789,buy,789
DFEN,2019-02-27,filled,48.82,-936,sell,-936
DFEN,2019-03-05,filled,47.88,-897,sell,-897
DFEN,2019-03-07,filled,45.38,-889,sell,-889
DFEN,2019-03-29,filled,42.85,1044,buy,1044
DFEN,2019-04-01,filled,44.38,929,buy,929
DFEN,2019-04-02,filled,46.52,890,buy,890
DFEN,2019-04-10,filled,43.73,-1896,sell,-1896
DFEN,2019-04-15,filled,47.07,1767,buy,1767
DFEN,2019-05-08,filled,46.63,-1834,sell,-1834
DFEN,2019-05-14,filled,45.16,-1830,sell,-1830
DFEN,2019-05-17,filled,47.18,1753,buy,1753
DFEN,2019-05-22,filled,48.73,866,buy,866
DFEN,2019-05-24,filled,46.47,-841,sell,-841
DFEN,2019-05-30,filled,45.94,-884,sell,-884
DFEN,2019-06-03,filled,43.81,-894,sell,-894
DFEN,2019-06-05,filled,47.99,3410,buy,3410
DFEN,2019-06-12,filled,46.18,-1725,sell,-1725
DFEN,2019-06-19,filled,51.15,1533,buy,1533
DFEN,2019-06-26,filled,52.18,-813,sell,-813
DFEN,2019-07-02,filled,50.96,-793,sell,-793
DFEN,2019-07-12,filled,53.23,1558,buy,1558
DFEN,2019-07-18,filled,52.57,-802,sell,-802
DFEN,2019-07-24,filled,54.49,753,buy,753
DFEN,2019-07-30,filled,52.91,-774,sell,-774
DFEN,2019-08-01,filled,52.49,-782,sell,-782
DFEN,2019-08-02,filled,50.13,-765,sell,-765
DFEN,2019-08-06,filled,48.19,-800,sell,-800
DFEN,2019-08-08,filled,51.79,783,buy,783
DFEN,2019-08-09,filled,53.34,2198,buy,2198
DFEN,2019-08-13,filled,50.35,-723,sell,-723
DFEN,2019-08-15,filled,48.28,-2258,sell,-2258
DFEN,2019-08-20,filled,51.96,2116,buy,2116
DFEN,2019-08-22,filled,53.57,693,buy,693
DFEN,2019-09-23,filled,60.19,-704,sell,-704
DFEN,2019-09-25,filled,59.87,-701,sell,-701
DFEN,2019-10-02,filled,54.1,-671,sell,-671
DFEN,2019-10-03,filled,52.45,-733,sell,-733
DFEN,2019-10-14,filled,56.78,2091,buy,2091
DFEN,2019-10-18,filled,55.56,-688,sell,-688
DFEN,2019-10-21,filled,51.73,-1403,sell,-1403
DFEN,2019-10-25,filled,54.82,687,buy,687
DFEN,2019-10-31,filled,55.43,1352,buy,1352
DFEN,2019-11-04,filled,58.19,670,buy,670
DFEN,2019-11-22,filled,63.16,-685,sell,-685
DFEN,2019-11-27,filled,64.82,661,buy,661
DFEN,2019-12-02,filled,63.61,-674,sell,-674
DFEN,2019-12-03,filled,57.33,-1329,sell,-1329
DFEN,2019-12-09,filled,60.77,634,buy,634
DFEN,2019-12-11,filled,58.93,-648,sell,-648
DFEN,2019-12-18,filled,57.81,-668,sell,-668
DFEN,2019-12-24,filled,60.03,1972,buy,1972
DFEN,2019-12-30,filled,58.09,-653,sell,-653
DFEN,2019-12-31,filled,57.21,-1319,sell,-1319
DFEN,2020-01-03,filled,63.21,2500,buy,2500
DFEN,2020-01-13,filled,62.21,-698,sell,-698
DFEN,2020-01-17,filled,65.89,572,buy,572
DFEN,2020-01-23,filled,61.23,-1189,sell,-1189
DFEN,2020-02-03,filled,60.82,-590,sell,-590
DFEN,2020-02-04,filled,61.79,-595,sell,-595
DFEN,2020-02-05,filled,64.94,573,buy,573
DFEN,2020-02-06,filled,66.67,1627,buy,1627
DFEN,2020-02-19,filled,67.91,-555,sell,-555
