symbol,date,status,fill-price,fill-quantity,direction,quantity
DPST,2015-08-31,filled,47.26,524,buy,524
DPST,2015-09-02,filled,43.78,-524,sell,-524
DPST,2015-09-08,filled,46.38,531,buy,531
DPST,2015-09-09,filled,48.46,1512,buy,1512
DPST,2015-09-18,filled,44.89,-511,sell,-511
DPST,2015-09-21,filled,46.33,-1532,sell,-1532
DPST,2015-09-28,filled,46.28,1942,buy,1942
DPST,2015-09-29,filled,46.7,-1942,sell,-1942
DPST,2015-10-01,filled,47.53,1494,buy,1494
DPST,2015-10-05,filled,48.76,-1494,sell,-1494
DPST,2015-10-06,filled,48.34,1979,buy,1979
DPST,2015-10-15,filled,49.2,-981,sell,-981
DPST,2015-10-21,filled,52.15,941,buy,941
DPST,2015-11-02,filled,53.81,-485,sell,-485
DPST,2015-11-05,filled,59.45,-485,sell,-485
DPST,2015-11-06,filled,61.33,919,buy,919
DPST,2015-11-13,filled,57.76,-490,sell,-490
DPST,2015-11-16,filled,54.67,-460,sell,-460
DPST,2015-11-19,filled,59.68,413,buy,413
DPST,2015-11-24,filled,60.8,444,buy,444
DPST,2015-12-03,filled,60.21,-895,sell,-895
DPST,2015-12-04,filled,60.21,-450,sell,-450
DPST,2015-12-09,filled,53.2,-450,sell,-450
DPST,2015-12-16,filled,51.16,516,buy,516
DPST,2015-12-21,filled,48.06,-516,sell,-516
DPST,2015-12-24,filled,51.41,1014,buy,1014
DPST,2016-01-04,filled,45.6,-502,sell,-502
DPST,2016-01-05,filled,44.84,-512,sell,-512
DPST,2016-01-28,filled,32.65,801,buy,801
DPST,2016-01-29,filled,32.65,690,buy,690
DPST,2016-02-04,filled,33.74,693,buy,693
DPST,2016-02-05,filled,31.97,-1440,sell,-1440
DPST,2016-02-09,filled,28.26,-744,sell,-744
DPST,2016-02-16,filled,31.89,786,buy,786
DPST,2016-02-17,filled,33.44,1373,buy,1373
DPST,2016-02-19,filled,31.63,-2159,sell,-2159
DPST,2016-02-22,filled,31.63,2126,buy,2126
DPST,2016-02-26,filled,33.44,-1414,sell,-1414
DPST,2016-02-29,filled,33.36,1389,buy,1389
DPST,2016-03-07,filled,39.82,586,buy,586
DPST,2016-03-10,filled,35.89,-1344,sell,-1344
DPST,2016-03-11,filled,39.69,-672,sell,-672
DPST,2016-03-14,filled,39.58,1884,buy,1884
DPST,2016-03-17,filled,35.91,-1274,sell,-1274
DPST,2016-03-21,filled,40.22,1145,buy,1145
DPST,2016-03-24,filled,38.2,-606,sell,-606
DPST,2016-03-28,filled,37.13,-1209,sell,-1209
DPST,2016-03-31,filled,39.52,1721,buy,1721
DPST,2016-04-07,filled,36.48,-1749,sell,-1749
DPST,2016-04-13,filled,41.39,565,buy,565
DPST,2016-04-14,filled,43.85,970,buy,970
DPST,2016-04-26,filled,45.75,-564,sell,-564
DPST,2016-04-29,filled,46.91,505,buy,505
DPST,2016-05-03,filled,46.13,-515,sell,-515
DPST,2016-05-05,filled,40.01,-1010,sell,-1010
DPST,2016-05-11,filled,42.47,488,buy,488
DPST,2016-05-13,filled,43.62,491,buy,491
DPST,2016-05-17,filled,40.46,-1001,sell,-1001
DPST,2016-05-19,filled,44.84,1389,buy,1389
DPST,2016-05-20,filled,45.09,-472,sell,-472
DPST,2016-05-23,filled,45.16,477,buy,477
DPST,2016-06-06,filled,48.24,-954,sell,-954
DPST,2016-06-07,filled,49.0,912,buy,912
DPST,2016-06-10,filled,44.89,-919,sell,-919
DPST,2016-06-13,filled,43.73,-476,sell,-476
DPST,2016-06-15,filled,42.85,-469,sell,-469
DPST,2016-06-21,filled,43.82,479,buy,479
DPST,2016-06-24,filled,39.85,946,buy,946
DPST,2016-06-27,filled,38.91,-1425,sell,-1425
DPST,2016-07-01,filled,37.89,521,buy,521
DPST,2016-07-11,filled,38.88,516,buy,516
DPST,2016-07-13,filled,42.58,452,buy,452
DPST,2016-07-15,filled,45.98,468,buy,468
DPST,2016-07-21,filled,42.79,-496,sell,-496
DPST,2016-07-22,filled,43.99,-974,sell,-974
DPST,2016-07-25,filled,43.85,969,buy,969
DPST,2016-07-27,filled,43.85,-2,sell,-2
DPST,2016-07-29,filled,44.61,476,buy,476
DPST,2016-08-03,filled,42.79,-1930,sell,-1930
DPST,2016-08-08,filled,48.5,1741,buy,1741
DPST,2016-08-12,filled,45.25,-466,sell,-466
DPST,2016-08-16,filled,48.06,405,buy,405
DPST,2016-09-13,filled,49.38,-843,sell,-843
DPST,2016-09-14,filled,49.38,-419,sell,-419
DPST,2016-09-22,filled,51.5,412,buy,412
DPST,2016-09-23,filled,51.41,388,buy,388
DPST,2016-09-27,filled,48.2,-806,sell,-806
DPST,2016-10-03,filled,51.51,1160,buy,1160
DPST,2016-10-13,filled,49.14,-393,sell,-393
