symbol,date,status,fill-price,fill-quantity,direction,quantity
DRN,2009-07-20,submitted,0.0,0,buy,67171
DRN,2009-07-21,filled,1.51,67171,buy,67171
DRN,2009-08-17,submitted,0.0,0,sell,-34099
DRN,2009-08-18,filled,2.17,-34099,sell,-34099
DRN,2009-08-20,submitted,0.0,0,buy,14057
DRN,2009-08-21,filled,2.509999999999999,14057,buy,14057
DRN,2009-08-21,submitted,0.0,0,buy,14048
DRN,2009-08-24,filled,2.68,14048,buy,14048
DRN,2009-09-01,submitted,0.0,0,sell,-46048
DRN,2009-09-02,filled,2.19,-46048,sell,-46048
DRN,2009-09-08,submitted,0.0,0,buy,25288
DRN,2009-09-09,filled,2.5700000000000003,25288,buy,25288
DRN,2009-09-09,submitted,0.0,0,buy,12517
DRN,2009-09-10,filled,2.71,12517,buy,12517
DRN,2009-09-23,submitted,0.0,0,sell,-13192
DRN,2009-09-24,filled,3.39,-13192,sell,-13192
DRN,2009-09-24,submitted,0.0,0,sell,-12296
DRN,2009-09-25,filled,2.9,-12296,sell,-12296
DRN,2009-10-01,submitted,0.0,0,sell,-13164
DRN,2009-10-02,filled,2.5,-13164,sell,-13164
DRN,2009-10-08,submitted,0.0,0,buy,11995
DRN,2009-10-09,filled,2.93,11995,buy,11995
DRN,2009-10-14,submitted,0.0,0,buy,11506
DRN,2009-10-15,filled,3.15,11506,buy,11506
DRN,2009-10-16,submitted,0.0,0,sell,-11688
DRN,2009-10-19,filled,2.96,-11688,sell,-11688
DRN,2009-10-21,submitted,0.0,0,sell,-12758
DRN,2009-10-22,filled,2.81,-12758,sell,-12758
DRN,2009-10-28,submitted,0.0,0,sell,-13337
DRN,2009-10-29,filled,2.55,-13337,sell,-13337
DRN,2009-11-09,submitted,0.0,0,buy,37099
DRN,2009-11-10,filled,2.9,37099,buy,37099
DRN,2009-11-11,submitted,0.0,0,buy,12467
DRN,2009-11-12,filled,3.04,12467,buy,12467
