symbol,date,status,fill-price,fill-quantity,direction,quantity
DRV,2010-01-22,filled,68360.84,1,buy,1
DRV,2010-02-03,filled,68111.36,-1,sell,-1
DRV,2010-02-05,filled,77292.66,1,buy,1
DRV,2010-02-16,filled,71554.36,-1,sell,-1
DRV,2010-04-01,filled,43480.48,1,buy,1
DRV,2010-04-06,filled,41284.0,-1,sell,-1
DRV,2010-04-19,filled,42981.28,1,buy,1
DRV,2010-04-22,filled,38188.94,-1,sell,-1
DRV,2010-05-07,filled,37390.22,1,buy,1
DRV,2010-05-11,filled,33496.44,-1,sell,-1
DRV,2010-05-19,filled,38089.1,1,buy,1
DRV,2010-05-28,filled,34494.85,-1,sell,-1
DRV,2010-06-07,filled,41383.83,1,buy,1
DRV,2010-06-11,filled,35343.49,-1,sell,-1
DRV,2010-06-23,filled,34295.17,1,buy,1
DRV,2010-07-14,filled,32617.85,-1,sell,-1
DRV,2010-08-12,filled,29243.24,1,buy,1
DRV,2010-08-18,filled,27116.64,-1,sell,-1
DRV,2010-08-20,filled,29752.43,1,buy,1
DRV,2010-08-30,filled,28035.18,-1,sell,-1
DRV,2010-09-24,filled,24011.61,1,buy,1
DRV,2010-10-05,filled,22144.59,-1,sell,-1
DRV,2010-10-29,filled,20577.1,1,buy,1
DRV,2010-11-03,filled,19229.26,-1,sell,-1
DRV,2010-11-10,filled,19688.52,1,buy,1
DRV,2010-11-15,filled,19838.28,1,buy,1
DRV,2010-11-23,filled,21934.93,-1,sell,-1
DRV,2010-11-26,filled,20796.75,-1,sell,-1
DRV,2010-12-10,filled,20646.99,1,buy,1
DRV,2010-12-16,filled,21305.93,2,buy,2
DRV,2010-12-21,filled,19758.41,-3,sell,-3
DRV,2011-01-12,filled,17981.25,1,buy,1
DRV,2011-01-18,filled,17621.82,-1,sell,-1
DRV,2011-02-23,filled,15205.69,1,buy,1
DRV,2011-02-24,filled,15615.03,1,buy,1
DRV,2011-02-28,filled,14646.58,-1,sell,-1
DRV,2011-03-01,filled,13847.86,-1,sell,-1
DRV,2011-03-03,filled,15045.94,1,buy,1
DRV,2011-03-08,filled,15585.08,1,buy,1
DRV,2011-03-22,filled,15125.81,-1,sell,-1
DRV,2011-03-30,filled,15025.98,-1,sell,-1
DRV,2011-04-08,filled,14486.84,1,buy,1
DRV,2011-04-11,filled,14836.28,1,buy,1
DRV,2011-04-15,filled,14347.06,-1,sell,-1
DRV,2011-04-18,filled,14137.4,-1,sell,-1
DRV,2011-05-09,filled,12769.58,2,buy,2
DRV,2011-05-11,filled,11950.89,-2,sell,-2
DRV,2011-05-16,filled,12699.69,2,buy,2
DRV,2011-05-19,filled,12080.69,-1,sell,-1
DRV,2011-05-20,filled,12220.46,-1,sell,-1
DRV,2011-05-24,filled,12789.55,3,buy,3
DRV,2011-05-27,filled,12010.8,-3,sell,-3
DRV,2011-06-03,filled,12879.41,1,buy,1
DRV,2011-06-07,filled,12699.7,2,buy,2
DRV,2011-06-13,filled,13907.76,1,buy,1
DRV,2011-06-20,filled,13258.8,-1,sell,-1
DRV,2011-06-21,filled,12400.17,-2,sell,-2
DRV,2011-06-22,filled,12440.11,-1,sell,-1
DRV,2011-06-24,filled,13148.98,2,buy,2
DRV,2011-06-30,filled,12220.46,-2,sell,-2
DRV,2011-07-14,filled,11281.96,1,buy,1
DRV,2011-07-15,filled,11591.47,1,buy,1
DRV,2011-07-20,filled,10892.58,-1,sell,-1
DRV,2011-07-21,filled,10593.06,-1,sell,-1
DRV,2011-07-28,filled,11411.75,3,buy,3
DRV,2011-08-03,filled,13079.09,1,buy,1
DRV,2011-08-12,filled,12809.52,-2,sell,-2
DRV,2011-08-16,filled,12340.27,-2,sell,-2
DRV,2011-08-19,filled,14307.13,1,buy,1
DRV,2011-08-22,filled,13358.64,1,buy,1
DRV,2011-08-25,filled,12450.09,-2,sell,-2
DRV,2011-09-06,filled,13348.66,1,buy,1
DRV,2011-09-08,filled,11301.93,-1,sell,-1
DRV,2011-09-22,filled,14866.23,3,buy,3
DRV,2011-10-07,filled,13598.26,-1,sell,-1
DRV,2011-10-11,filled,13089.07,-1,sell,-1
DRV,2011-10-13,filled,12999.22,-1,sell,-1
DRV,2011-11-02,filled,9235.23,1,buy,1
DRV,2011-11-09,filled,9195.3,-1,sell,-1
DRV,2011-11-10,filled,9345.06,2,buy,2
DRV,2011-11-18,filled,9772.38,1,buy,1
DRV,2011-12-01,filled,9269.18,-3,sell,-3
DRV,2011-12-09,filled,9379.0,1,buy,1
DRV,2011-12-14,filled,9888.19,1,buy,1
DRV,2011-12-19,filled,8726.05,-2,sell,-2
DRV,2012-01-05,filled,7985.23,1,buy,1
DRV,2012-01-11,filled,7667.74,-1,sell,-1
DRV,2012-02-10,filled,6256.0,1,buy,1
DRV,2012-02-13,filled,6156.16,2,buy,2
DRV,2012-02-22,filled,6481.64,1,buy,1
DRV,2012-03-06,filled,6471.65,-3,sell,-3
DRV,2012-03-14,filled,5866.62,-1,sell,-1
DRV,2012-03-23,filled,5994.42,1,buy,1
DRV,2012-03-27,filled,5682.91,-1,sell,-1
DRV,2012-04-09,filled,5966.46,1,buy,1
DRV,2012-04-10,filled,5926.520000000001,4,buy,4
DRV,2012-04-13,filled,5836.67,-2,sell,-2
DRV,2012-04-17,filled,5507.189999999999,-3,sell,-3
DRV,2012-05-07,filled,5131.79,1,buy,1
DRV,2012-05-15,filled,5157.75,2,buy,2
DRV,2012-05-17,filled,5415.34,2,buy,2
DRV,2012-05-18,filled,5830.68,2,buy,2
DRV,2012-05-25,filled,5575.09,-4,sell,-4
DRV,2012-05-30,filled,5513.189999999999,-2,sell,-2
