symbol,date,status,fill-price,fill-quantity,direction,quantity
DUSL,2017-05-08,filled,24.35,4122,buy,4122
DUSL,2017-05-11,filled,24.14,-4122,sell,-4122
DUSL,2017-05-22,filled,23.77,1039,buy,1039
DUSL,2017-05-24,filled,24.33,1039,buy,1039
DUSL,2017-05-25,filled,24.45,2011,buy,2011
DUSL,2017-06-08,filled,24.85,-2052,sell,-2052
DUSL,2017-06-13,filled,25.6,1978,buy,1978
DUSL,2017-06-22,filled,25.69,-2008,sell,-2008
DUSL,2017-06-28,filled,25.98,-998,sell,-998
DUSL,2017-06-29,filled,25.38,2982,buy,2982
DUSL,2017-06-30,filled,25.73,-2976,sell,-2976
DUSL,2017-07-03,filled,26.37,3005,buy,3005
DUSL,2017-07-10,filled,26.15,-1031,sell,-1031
DUSL,2017-07-11,filled,26.71,975,buy,975
DUSL,2017-07-25,filled,27.03,-2973,sell,-2973
DUSL,2017-07-26,filled,26.27,2972,buy,2972
DUSL,2017-07-27,filled,25.9,-2951,sell,-2951
DUSL,2017-08-04,filled,26.23,1996,buy,1996
DUSL,2017-08-11,filled,25.54,-3008,sell,-3008
DUSL,2017-08-15,filled,25.96,993,buy,993
DUSL,2017-08-17,filled,25.96,993,buy,993
DUSL,2017-08-30,filled,25.24,-1986,sell,-1986
DUSL,2017-09-05,filled,26.18,3883,buy,3883
DUSL,2017-09-08,filled,25.65,-3883,sell,-3883
DUSL,2017-09-12,filled,26.54,3776,buy,3776
DUSL,2017-10-10,filled,30.34,-961,sell,-961
DUSL,2017-10-13,filled,30.65,942,buy,942
DUSL,2017-10-20,filled,30.75,-1885,sell,-1885
DUSL,2017-10-23,filled,31.43,1826,buy,1826
DUSL,2017-10-26,filled,31.06,-1847,sell,-1847
DUSL,2017-10-31,filled,29.96,-911,sell,-911
DUSL,2017-11-06,filled,30.13,941,buy,941
DUSL,2017-11-10,filled,28.94,-922,sell,-922
DUSL,2017-11-15,filled,28.47,-959,sell,-959
DUSL,2017-11-21,filled,28.78,1918,buy,1918
DUSL,2017-11-24,filled,29.62,926,buy,926
DUSL,2017-11-27,filled,29.85,943,buy,943
DUSL,2018-02-05,filled,37.03,-2843,sell,-2843
DUSL,2018-02-06,filled,31.31,-944,sell,-944
DUSL,2018-02-15,filled,36.17,961,buy,961
DUSL,2018-02-16,filled,36.65,1809,buy,1809
DUSL,2018-02-27,filled,38.83,865,buy,865
DUSL,2018-03-01,filled,34.81,-2728,sell,-2728
DUSL,2018-03-02,filled,32.55,-907,sell,-907
DUSL,2018-03-08,filled,34.73,884,buy,884
DUSL,2018-03-12,filled,37.8,2469,buy,2469
DUSL,2018-03-14,filled,36.01,-834,sell,-834
DUSL,2018-03-15,filled,34.63,-1673,sell,-1673
DUSL,2018-03-20,filled,35.44,-846,sell,-846
DUSL,2018-04-06,filled,31.27,898,buy,898
DUSL,2018-04-13,filled,31.7,960,buy,960
DUSL,2018-04-18,filled,34.12,874,buy,874
DUSL,2018-04-25,filled,30.7,-2732,sell,-2732
DUSL,2018-05-07,filled,29.67,966,buy,966
DUSL,2018-05-09,filled,30.94,920,buy,920
DUSL,2018-05-11,filled,32.16,852,buy,852
DUSL,2018-05-16,filled,31.82,-907,sell,-907
DUSL,2018-05-18,filled,32.79,884,buy,884
DUSL,2018-05-22,filled,35.29,841,buy,841
DUSL,2018-05-30,filled,32.39,-2673,sell,-2673
DUSL,2018-06-07,filled,34.2,2572,buy,2572
DUSL,2018-06-14,filled,33.6,-911,sell,-911
DUSL,2018-06-15,filled,32.08,-839,sell,-839
DUSL,2018-06-19,filled,31.22,-852,sell,-852
DUSL,2018-06-20,filled,30.89,-853,sell,-853
DUSL,2018-07-10,filled,30.97,1776,buy,1776
DUSL,2018-07-11,filled,29.48,858,buy,858
DUSL,2018-07-12,filled,29.88,-840,sell,-840
DUSL,2018-07-13,filled,30.67,867,buy,867
DUSL,2018-07-19,filled,31.13,834,buy,834
DUSL,2018-07-24,filled,31.52,-860,sell,-860
DUSL,2018-07-26,filled,33.09,845,buy,845
DUSL,2018-08-06,filled,33.22,-877,sell,-877
DUSL,2018-08-08,filled,33.65,848,buy,848
DUSL,2018-08-13,filled,32.47,-1721,sell,-1721
DUSL,2018-08-14,filled,32.04,-857,sell,-857
DUSL,2018-08-16,filled,32.77,-873,sell,-873
DUSL,2018-08-17,filled,32.65,1704,buy,1704
DUSL,2018-08-20,filled,33.77,1680,buy,1680
DUSL,2018-08-24,filled,34.01,-850,sell,-850
DUSL,2018-08-28,filled,35.61,814,buy,814
DUSL,2018-08-31,filled,34.52,-843,sell,-843
DUSL,2018-09-06,filled,35.64,818,buy,818
DUSL,2018-09-12,filled,35.52,-1666,sell,-1666
DUSL,2018-09-13,filled,36.91,1627,buy,1627
DUSL,2018-09-25,filled,36.92,-845,sell,-845
DUSL,2018-09-26,filled,36.98,-814,sell,-814
DUSL,2018-10-02,filled,37.63,793,buy,793
DUSL,2018-10-04,filled,38.19,792,buy,792
DUSL,2018-10-09,filled,37.26,-2408,sell,-2408
DUSL,2018-10-11,filled,31.94,-802,sell,-802
DUSL,2018-11-01,filled,25.94,1128,buy,1128
DUSL,2018-11-06,filled,27.47,1018,buy,1018
DUSL,2018-11-08,filled,28.84,948,buy,948
DUSL,2018-11-13,filled,26.99,-3094,sell,-3094
DUSL,2018-11-19,filled,27.32,1038,buy,1038
DUSL,2018-11-21,filled,25.14,-1038,sell,-1038
DUSL,2018-11-29,filled,27.24,2064,buy,2064
DUSL,2018-11-30,filled,27.26,1013,buy,1013
DUSL,2018-12-06,filled,23.87,-3077,sell,-3077
DUSL,2018-12-28,filled,19.69,1352,buy,1352
DUSL,2019-01-04,filled,18.94,-1352,sell,-1352
DUSL,2019-01-07,filled,20.09,2524,buy,2524
DUSL,2019-01-09,filled,21.46,1130,buy,1130
DUSL,2019-01-22,filled,23.93,1037,buy,1037
DUSL,2019-01-23,filled,23.43,-1150,sell,-1150
DUSL,2019-01-28,filled,23.45,1128,buy,1128
DUSL,2019-03-06,filled,30.19,-2315,sell,-2315
DUSL,2019-03-07,filled,29.16,-1164,sell,-1164
DUSL,2019-03-14,filled,29.29,1184,buy,1184
DUSL,2019-03-19,filled,30.09,1179,buy,1179
DUSL,2019-03-21,filled,29.38,-1173,sell,-1173
DUSL,2019-03-25,filled,27.77,-1158,sell,-1158
DUSL,2019-03-29,filled,29.84,1131,buy,1131
