symbol,date,status,fill-price,fill-quantity,direction,quantity
EDC,2009-01-02,filled,69.64,1475,buy,1475
EDC,2009-01-08,filled,68.94,-401,sell,-401
EDC,2009-01-12,filled,64.14,-1074,sell,-1074
EDC,2009-01-28,filled,53.84,482,buy,482
EDC,2009-01-29,filled,50.6,358,buy,358
EDC,2009-02-02,filled,45.55,-367,sell,-367
EDC,2009-02-06,filled,57.38,369,buy,369
EDC,2009-02-09,filled,62.93,718,buy,718
EDC,2009-02-11,filled,55.16,-782,sell,-782
EDC,2009-02-18,filled,44.65,-778,sell,-778
EDC,2009-03-11,filled,42.31,947,buy,947
EDC,2009-03-13,filled,46.68,384,buy,384
EDC,2009-03-24,filled,58.22,313,buy,313
EDC,2009-03-31,filled,53.7,-807,sell,-807
EDC,2009-04-03,filled,66.45,665,buy,665
EDC,2009-04-21,filled,63.57,-747,sell,-747
EDC,2009-04-27,filled,67.62,305,buy,305
EDC,2009-04-29,filled,71.32,-691,sell,-691
EDC,2009-04-30,filled,81.21,1012,buy,1012
EDC,2009-05-14,filled,84.13,-723,sell,-723
EDC,2009-05-19,filled,103.8,541,buy,541
EDC,2009-06-04,filled,114.91,-305,sell,-305
EDC,2009-06-12,filled,122.63,270,buy,270
EDC,2009-06-16,filled,108.95,-871,sell,-871
EDC,2009-06-26,filled,105.21,312,buy,312
EDC,2009-06-29,filled,109.78,292,buy,292
EDC,2009-07-06,filled,97.01,-296,sell,-296
EDC,2009-07-08,filled,94.95,-291,sell,-291
EDC,2009-07-09,filled,95.52,-310,sell,-310
EDC,2009-07-15,filled,105.08,298,buy,298
EDC,2009-07-16,filled,112.14,758,buy,758
EDC,2009-07-30,filled,138.4,-260,sell,-260
EDC,2009-08-04,filled,151.5,235,buy,235
EDC,2009-08-12,filled,138.43,-512,sell,-512
EDC,2009-08-14,filled,150.15,232,buy,232
EDC,2009-08-18,filled,128.84,-489,sell,-489
EDC,2009-08-21,filled,143.69,228,buy,228
EDC,2009-08-24,filled,151.11,465,buy,465
EDC,2009-09-01,filled,134.68,-722,sell,-722
EDC,2009-09-08,filled,154.54,649,buy,649
EDC,2009-09-25,filled,162.57,-460,sell,-460
EDC,2009-10-01,filled,175.35,185,buy,185
EDC,2009-10-02,filled,156.44,-192,sell,-192
EDC,2009-10-05,filled,166.54,-210,sell,-210
EDC,2009-10-06,filled,180.84,188,buy,188
EDC,2009-10-07,filled,182.6,367,buy,367
