symbol,date,status,fill-price,fill-quantity,direction,quantity
EDZ,2009-01-09,filled,15093.29,1,buy,1
EDZ,2009-01-12,filled,16381.83,5,buy,5
EDZ,2009-01-28,filled,16606.78,-3,sell,-3
EDZ,2009-01-29,filled,17022.44,-3,sell,-3
EDZ,2009-02-03,filled,18308.54,4,buy,4
EDZ,2009-02-05,filled,17174.03,-4,sell,-4
EDZ,2009-02-18,filled,17237.6,4,buy,4
EDZ,2009-02-20,filled,19848.92,1,buy,1
EDZ,2009-03-05,filled,19421.03,-3,sell,-3
EDZ,2009-03-11,filled,14633.62,-2,sell,-2
EDZ,2009-03-31,filled,9682.4,2,buy,2
EDZ,2009-04-02,filled,7895.07,-2,sell,-2
EDZ,2009-04-21,filled,7484.3,6,buy,6
EDZ,2009-04-27,filled,6965.95,-6,sell,-6
EDZ,2009-04-28,filled,7472.07,3,buy,3
EDZ,2009-04-29,filled,6523.39,3,buy,3
EDZ,2009-04-30,filled,5643.18,-6,sell,-6
EDZ,2009-05-14,filled,4846.09,4,buy,4
EDZ,2009-05-18,filled,4286.17,4,buy,4
EDZ,2009-05-19,filled,3921.86,-8,sell,-8
EDZ,2009-06-16,filled,3445.08,11,buy,11
EDZ,2009-06-17,filled,3740.93,5,buy,5
EDZ,2009-06-26,filled,3467.08,-11,sell,-11
EDZ,2009-06-30,filled,3332.6,-5,sell,-5
EDZ,2009-07-06,filled,3662.68,5,buy,5
EDZ,2009-07-08,filled,3728.7,10,buy,10
EDZ,2009-07-15,filled,3293.48,-5,sell,-5
EDZ,2009-07-16,filled,3090.54,-10,sell,-10
EDZ,2009-07-30,filled,2376.59,6,buy,6
EDZ,2009-07-31,filled,2354.58,-6,sell,-6
EDZ,2009-08-12,filled,2427.93,14,buy,14
EDZ,2009-08-14,filled,2212.77,-7,sell,-7
EDZ,2009-08-18,filled,2503.73,12,buy,12
EDZ,2009-08-21,filled,2215.22,-19,sell,-19
EDZ,2009-08-31,filled,2347.25,6,buy,6
EDZ,2009-09-01,filled,2352.14,13,buy,13
EDZ,2009-09-04,filled,2212.77,-6,sell,-6
EDZ,2009-09-08,filled,2029.39,-13,sell,-13
EDZ,2009-09-25,filled,1863.13,15,buy,15
EDZ,2009-10-01,filled,1738.43,-8,sell,-8
EDZ,2009-10-02,filled,1929.14,7,buy,7
EDZ,2009-10-06,filled,1672.41,-7,sell,-7
EDZ,2009-10-07,filled,1660.19,-7,sell,-7
EDZ,2009-10-27,filled,1511.04,17,buy,17
EDZ,2009-10-29,filled,1713.98,6,buy,6
EDZ,2009-11-06,filled,1555.05,-15,sell,-15
EDZ,2009-11-10,filled,1386.34,-8,sell,-8
EDZ,2009-11-20,filled,1383.9,9,buy,9
EDZ,2009-11-24,filled,1320.33,-9,sell,-9
EDZ,2009-11-30,filled,1379.01,17,buy,17
EDZ,2009-12-02,filled,1251.87,-17,sell,-17
EDZ,2009-12-09,filled,1330.11,17,buy,17
EDZ,2009-12-14,filled,1251.87,-8,sell,-8
EDZ,2009-12-18,filled,1359.45,16,buy,16
EDZ,2009-12-24,filled,1254.31,-17,sell,-17
EDZ,2009-12-28,filled,1224.97,-8,sell,-8
EDZ,2010-01-13,filled,1117.39,9,buy,9
EDZ,2010-01-19,filled,1158.95,10,buy,10
EDZ,2010-01-20,filled,1149.17,-10,sell,-10
EDZ,2010-01-21,filled,1198.07,10,buy,10
EDZ,2010-01-22,filled,1308.1,8,buy,8
EDZ,2010-01-25,filled,1310.55,8,buy,8
EDZ,2010-02-02,filled,1371.67,-9,sell,-9
EDZ,2010-02-05,filled,1601.51,8,buy,8
EDZ,2010-02-12,filled,1479.26,-17,sell,-17
EDZ,2010-02-17,filled,1298.32,-8,sell,-8
EDZ,2010-02-24,filled,1393.68,8,buy,8
EDZ,2010-03-02,filled,1259.2,-8,sell,-8
EDZ,2010-03-03,filled,1232.31,-9,sell,-9
EDZ,2010-03-22,filled,1176.56,10,buy,10
EDZ,2010-03-25,filled,1124.72,10,buy,10
EDZ,2010-03-30,filled,1075.82,-20,sell,-20
EDZ,2010-04-19,filled,1059.44,21,buy,21
EDZ,2010-04-26,filled,958.7,-10,sell,-10
EDZ,2010-04-28,filled,1044.04,19,buy,19
EDZ,2010-05-06,filled,1255.04,10,buy,10
EDZ,2010-05-11,filled,1130.84,-31,sell,-31
EDZ,2010-05-17,filled,1180.96,20,buy,20
EDZ,2010-05-19,filled,1319.1,8,buy,8
EDZ,2010-05-28,filled,1195.63,-28,sell,-28
EDZ,2010-06-07,filled,1285.36,8,buy,8
EDZ,2010-06-08,filled,1319.59,17,buy,17
EDZ,2010-06-11,filled,1205.17,-26,sell,-26
EDZ,2010-06-16,filled,1065.31,-8,sell,-8
EDZ,2010-06-25,filled,1072.4,9,buy,9
EDZ,2010-06-30,filled,1176.8,26,buy,26
EDZ,2010-07-07,filled,1115.68,-8,sell,-8
EDZ,2010-07-08,filled,1030.83,-27,sell,-27
EDZ,2010-07-19,filled,1052.1,17,buy,17
EDZ,2010-07-21,filled,951.61,-17,sell,-17
EDZ,2010-08-11,filled,895.62,10,buy,10
EDZ,2010-08-12,filled,950.88,19,buy,19
EDZ,2010-08-17,filled,852.34,-10,sell,-10
EDZ,2010-08-18,filled,855.03,-10,sell,-10
EDZ,2010-08-23,filled,871.42,10,buy,10
EDZ,2010-08-24,filled,935.72,9,buy,9
EDZ,2010-08-30,filled,925.21,-10,sell,-10
EDZ,2010-09-02,filled,843.05,-18,sell,-18
EDZ,2010-10-20,filled,611.75,26,buy,26
EDZ,2010-10-26,filled,586.08,-26,sell,-26
EDZ,2010-10-28,filled,589.01,27,buy,27
EDZ,2010-11-02,filled,553.56,-27,sell,-27
EDZ,2010-11-10,filled,521.28,15,buy,15
EDZ,2010-11-15,filled,562.85,13,buy,13
EDZ,2010-11-17,filled,611.51,13,buy,13
EDZ,2010-11-19,filled,572.63,-13,sell,-13
EDZ,2010-11-24,filled,591.7,12,buy,12
EDZ,2010-12-02,filled,562.85,-26,sell,-26
EDZ,2010-12-03,filled,547.69,-14,sell,-14
EDZ,2010-12-10,filled,553.8,14,buy,14
EDZ,2010-12-15,filled,544.02,-14,sell,-14
EDZ,2010-12-16,filled,559.67,27,buy,27
EDZ,2010-12-22,filled,537.42,-27,sell,-27
EDZ,2011-01-07,filled,498.55,15,buy,15
EDZ,2011-01-11,filled,506.37,14,buy,14
EDZ,2011-01-13,filled,480.21,-29,sell,-29
EDZ,2011-01-20,filled,508.81,15,buy,15
EDZ,2011-01-21,filled,511.75,29,buy,29
EDZ,2011-01-27,filled,509.79,-15,sell,-15
EDZ,2011-01-31,filled,552.58,26,buy,26
EDZ,2011-02-02,filled,513.22,-41,sell,-41
EDZ,2011-02-10,filled,578.99,39,buy,39
EDZ,2011-02-17,filled,545.74,-15,sell,-15
EDZ,2011-02-18,filled,530.58,-12,sell,-12
EDZ,2011-02-22,filled,558.94,-26,sell,-26
EDZ,2011-02-23,filled,570.92,49,buy,49
EDZ,2011-03-01,filled,528.86,-25,sell,-25
EDZ,2011-03-03,filled,512.48,-12,sell,-12
EDZ,2011-03-04,filled,498.55,-12,sell,-12
EDZ,2011-03-11,filled,550.38,35,buy,35
EDZ,2011-03-15,filled,574.34,-12,sell,-12
EDZ,2011-03-16,filled,540.6,12,buy,12
EDZ,2011-03-17,filled,547.45,12,buy,12
EDZ,2011-03-22,filled,512.73,-36,sell,-36
EDZ,2011-03-23,filled,509.3,-11,sell,-11
EDZ,2011-04-12,filled,425.44,14,buy,14
EDZ,2011-04-13,filled,416.64,14,buy,14
EDZ,2011-04-19,filled,443.04,13,buy,13
EDZ,2011-04-21,filled,396.1,-41,sell,-41
EDZ,2011-05-04,filled,427.15,41,buy,41
EDZ,2011-05-11,filled,428.13,-14,sell,-14
EDZ,2011-05-16,filled,478.5,11,buy,11
EDZ,2011-05-19,filled,450.62,-12,sell,-12
EDZ,2011-05-24,filled,481.67,23,buy,23
EDZ,2011-05-27,filled,450.13,-24,sell,-24
EDZ,2011-05-31,filled,421.77,-13,sell,-13
EDZ,2011-06-01,filled,424.95,-12,sell,-12
EDZ,2011-06-07,filled,442.31,11,buy,11
EDZ,2011-06-09,filled,459.67,13,buy,13
EDZ,2011-06-13,filled,470.43,23,buy,23
EDZ,2011-06-22,filled,481.67,-12,sell,-12
EDZ,2011-06-28,filled,471.16,-12,sell,-12
EDZ,2011-06-29,filled,449.89,-11,sell,-11
EDZ,2011-07-01,filled,426.66,-12,sell,-12
EDZ,2011-07-12,filled,460.89,24,buy,24
EDZ,2011-07-13,filled,450.87,11,buy,11
EDZ,2011-07-19,filled,450.87,12,buy,12
EDZ,2011-07-21,filled,432.04,-36,sell,-36
EDZ,2011-07-22,filled,417.13,-11,sell,-11
EDZ,2011-07-28,filled,431.06,11,buy,11
EDZ,2011-08-03,filled,473.36,33,buy,33
EDZ,2011-08-12,filled,568.23,-11,sell,-11
EDZ,2011-08-16,filled,547.2,-11,sell,-11
EDZ,2011-08-19,filled,631.8,9,buy,9
EDZ,2011-08-23,filled,605.39,10,buy,10
EDZ,2011-08-24,filled,590.97,-10,sell,-10
EDZ,2011-08-30,filled,536.44,-21,sell,-21
EDZ,2011-09-06,filled,586.57,11,buy,11
EDZ,2011-09-08,filled,526.17,-11,sell,-11
EDZ,2011-09-12,filled,621.29,29,buy,29
EDZ,2011-09-16,filled,559.92,-11,sell,-11
EDZ,2011-09-20,filled,607.59,8,buy,8
EDZ,2011-09-28,filled,681.68,-9,sell,-9
EDZ,2011-10-03,filled,811.02,8,buy,8
EDZ,2011-10-07,filled,673.61,-18,sell,-18
EDZ,2011-10-11,filled,637.91,-8,sell,-8
EDZ,2011-10-13,filled,575.81,-9,sell,-9
EDZ,2011-10-21,filled,582.17,9,buy,9
EDZ,2011-10-25,filled,512.97,-9,sell,-9
EDZ,2011-11-02,filled,452.58,11,buy,11
EDZ,2011-11-04,filled,445.49,-11,sell,-11
EDZ,2011-11-10,filled,466.76,22,buy,22
EDZ,2011-11-18,filled,505.39,10,buy,10
EDZ,2011-11-25,filled,620.55,10,buy,10
EDZ,2011-11-29,filled,542.56,-21,sell,-21
EDZ,2011-12-01,filled,443.04,-21,sell,-21
EDZ,2011-12-09,filled,482.65,10,buy,10
EDZ,2011-12-13,filled,494.63,10,buy,10
EDZ,2011-12-14,filled,529.11,11,buy,11
EDZ,2011-12-21,filled,497.57,-11,sell,-11
EDZ,2011-12-22,filled,485.34,-20,sell,-20
EDZ,2011-12-29,filled,492.43,20,buy,20
EDZ,2012-01-04,filled,449.64,-20,sell,-20
EDZ,2012-01-09,filled,454.53,10,buy,10
EDZ,2012-01-11,filled,430.82,-10,sell,-10
EDZ,2012-02-13,filled,306.12,15,buy,15
EDZ,2012-02-17,filled,298.3,-15,sell,-15
EDZ,2012-03-06,filled,321.77,16,buy,16
EDZ,2012-03-07,filled,320.3,28,buy,28
EDZ,2012-03-09,filled,297.07,-29,sell,-29
EDZ,2012-03-14,filled,285.83,-15,sell,-15
EDZ,2012-03-21,filled,307.1,44,buy,44
EDZ,2012-03-27,filled,295.36,-15,sell,-15
EDZ,2012-03-30,filled,307.59,14,buy,14
EDZ,2012-04-03,filled,295.61,-43,sell,-43
EDZ,2012-04-05,filled,318.35,27,buy,27
