symbol,date,status,fill-price,fill-quantity,direction,quantity
FAZ,2009-10-02,filled,76736.45,1,buy,1
FAZ,2009-10-07,filled,65473.82,-1,sell,-1
FAZ,2009-10-27,filled,64909.14,1,buy,1
FAZ,2009-11-06,filled,70148.28,-1,sell,-1
FAZ,2009-11-30,filled,65442.46,1,buy,1
FAZ,2009-12-01,filled,60203.3,-1,sell,-1
FAZ,2009-12-04,filled,60799.37,1,buy,1
FAZ,2009-12-15,filled,62807.19,-1,sell,-1
FAZ,2009-12-18,filled,65065.99,1,buy,1
FAZ,2009-12-22,filled,61301.32,-1,sell,-1
FAZ,2010-01-25,filled,60046.43,1,buy,1
FAZ,2010-02-03,filled,58728.8,-1,sell,-1
FAZ,2010-02-05,filled,65756.17,1,buy,1
FAZ,2010-02-17,filled,58854.29,-1,sell,-1
FAZ,2010-04-28,filled,38430.97,1,buy,1
FAZ,2010-05-28,filled,44705.41,-1,sell,-1
FAZ,2010-06-07,filled,50979.86,1,buy,1
FAZ,2010-06-14,filled,46211.28,-1,sell,-1
FAZ,2010-06-25,filled,48313.22,1,buy,1
FAZ,2010-07-09,filled,48940.67,-1,sell,-1
FAZ,2010-07-22,filled,48313.22,1,buy,1
FAZ,2010-07-23,filled,46211.29,-1,sell,-1
FAZ,2010-08-12,filled,48438.71,1,buy,1
FAZ,2010-08-19,filled,47497.54,-1,sell,-1
FAZ,2010-08-20,filled,50164.18,1,buy,1
FAZ,2010-09-02,filled,46932.84,-1,sell,-1
FAZ,2010-11-18,filled,37050.59,1,buy,1
FAZ,2010-12-02,filled,36705.51,-1,sell,-1
FAZ,2011-01-31,filled,27387.95,1,buy,1
FAZ,2011-02-02,filled,25631.1,-1,sell,-1
FAZ,2011-02-23,filled,25191.89,1,buy,1
FAZ,2011-02-24,filled,25750.32,1,buy,1
FAZ,2011-03-01,filled,24081.32,-2,sell,-2
FAZ,2011-03-02,filled,25756.59,1,buy,1
FAZ,2011-03-03,filled,25267.19,1,buy,1
FAZ,2011-03-09,filled,24507.98,-2,sell,-2
FAZ,2011-03-11,filled,26296.2,1,buy,1
FAZ,2011-03-17,filled,27237.37,1,buy,1
FAZ,2011-03-22,filled,25806.79,-1,sell,-1
FAZ,2011-03-25,filled,25863.26,-1,sell,-1
FAZ,2011-04-13,filled,24558.17,1,buy,1
FAZ,2011-04-15,filled,25806.79,1,buy,1
FAZ,2011-04-25,filled,26076.59,-1,sell,-1
FAZ,2011-04-29,filled,24627.2,-1,sell,-1
FAZ,2011-05-06,filled,25392.68,2,buy,2
FAZ,2011-05-11,filled,25242.09,-1,sell,-1
FAZ,2011-05-16,filled,27381.67,1,buy,1
FAZ,2011-05-20,filled,26390.31,-1,sell,-1
FAZ,2011-05-23,filled,28096.96,1,buy,1
FAZ,2011-05-31,filled,26402.86,-1,sell,-1
FAZ,2011-06-02,filled,28686.76,1,buy,1
FAZ,2011-06-15,filled,31165.17,-1,sell,-1
FAZ,2011-06-16,filled,32131.42,1,buy,1
FAZ,2011-06-22,filled,30054.59,-1,sell,-1
FAZ,2011-06-27,filled,31867.9,1,buy,1
FAZ,2011-06-30,filled,28065.59,-2,sell,-2
FAZ,2011-07-12,filled,29433.42,1,buy,1
FAZ,2011-07-15,filled,29257.73,1,buy,1
FAZ,2011-07-21,filled,28410.68,-1,sell,-1
FAZ,2011-07-22,filled,27275.01,-1,sell,-1
FAZ,2011-07-28,filled,29891.45,1,buy,1
FAZ,2011-08-16,filled,36391.78,-1,sell,-1
FAZ,2011-08-19,filled,43356.41,1,buy,1
FAZ,2011-08-30,filled,33505.53,-1,sell,-1
FAZ,2011-09-07,filled,37326.67,1,buy,1
FAZ,2011-09-08,filled,35726.69,-1,sell,-1
FAZ,2011-09-12,filled,41819.17,1,buy,1
FAZ,2011-09-16,filled,33467.89,-1,sell,-1
FAZ,2011-09-22,filled,43770.53,1,buy,1
FAZ,2011-09-27,filled,36165.9,-1,sell,-1
FAZ,2011-11-17,filled,27758.14,1,buy,1
FAZ,2011-11-29,filled,31234.18,-1,sell,-1
FAZ,2012-02-16,filled,17010.02,1,buy,1
FAZ,2012-02-17,filled,16137.87,-1,sell,-1
FAZ,2012-03-07,filled,16602.18,1,buy,1
FAZ,2012-03-09,filled,15673.56,-1,sell,-1
FAZ,2012-04-05,filled,13527.7,1,buy,1
FAZ,2012-04-10,filled,14048.48,1,buy,1
FAZ,2012-04-13,filled,13546.53,-1,sell,-1
FAZ,2012-04-18,filled,13684.56,-1,sell,-1
FAZ,2012-04-24,filled,14293.18,2,buy,2
FAZ,2012-04-26,filled,13584.17,-2,sell,-2
FAZ,2012-05-07,filled,14337.11,2,buy,2
FAZ,2012-05-25,filled,16777.86,-1,sell,-1
FAZ,2012-06-04,filled,18597.45,1,buy,1
FAZ,2012-06-07,filled,16062.58,-1,sell,-1
FAZ,2012-06-11,filled,15686.11,-1,sell,-1
FAZ,2012-06-22,filled,15416.31,1,buy,1
FAZ,2012-07-02,filled,14054.75,-1,sell,-1
FAZ,2012-07-13,filled,14744.95,1,buy,1
FAZ,2012-07-16,filled,13835.15,-1,sell,-1
FAZ,2012-07-23,filled,15435.13,1,buy,1
FAZ,2012-07-30,filled,13722.21,-1,sell,-1
FAZ,2012-09-26,filled,11557.52,1,buy,1
FAZ,2012-10-04,filled,10798.32,-1,sell,-1
FAZ,2012-10-15,filled,10898.71,1,buy,1
FAZ,2012-10-17,filled,10428.13,-1,sell,-1
FAZ,2012-10-24,filled,10735.57,1,buy,1
FAZ,2012-10-31,filled,10948.9,1,buy,1
FAZ,2012-11-02,filled,10258.72,-2,sell,-2
FAZ,2012-11-08,filled,11105.77,2,buy,2
FAZ,2012-11-21,filled,11061.85,-1,sell,-1
FAZ,2012-11-23,filled,10942.63,-1,sell,-1
FAZ,2012-12-31,filled,9945.0,1,buy,1
FAZ,2013-01-02,filled,8878.34,-1,sell,-1
FAZ,2013-02-21,filled,7472.86,1,buy,1
FAZ,2013-02-22,filled,7441.49,1,buy,1
FAZ,2013-02-26,filled,7761.49,1,buy,1
FAZ,2013-02-28,filled,7410.12,-2,sell,-2
FAZ,2013-03-05,filled,7090.12,-1,sell,-1
FAZ,2013-03-20,filled,6625.810000000001,1,buy,1
FAZ,2013-03-22,filled,6713.66,1,buy,1
FAZ,2013-03-27,filled,6688.560000000001,-1,sell,-1
FAZ,2013-04-04,filled,6839.14,2,buy,2
FAZ,2013-04-09,filled,6539.54,-3,sell,-3
FAZ,2013-04-16,filled,6495.62,2,buy,2
FAZ,2013-04-17,filled,6574.05,-1,sell,-1
FAZ,2013-04-18,filled,6741.89,2,buy,2
FAZ,2013-04-24,filled,6280.72,-3,sell,-3
FAZ,2013-05-02,filled,6120.72,1,buy,1
FAZ,2013-05-03,filled,5872.88,-1,sell,-1
FAZ,2013-05-23,filled,5316.020000000001,1,buy,1
FAZ,2013-05-31,filled,4986.61,-1,sell,-1
FAZ,2013-06-03,filled,5113.67,1,buy,1
FAZ,2013-06-05,filled,5328.57,1,buy,1
FAZ,2013-06-06,filled,5556.020000000001,1,buy,1
