symbol,date,status,fill-price,fill-quantity,direction,quantity
FNGD,2018-02-02,submitted,0.0,0,buy,10
FNGD,2018-02-05,filled,9818.0,10,buy,10
FNGD,2018-02-13,submitted,0.0,0,sell,-3
FNGD,2018-02-14,filled,8850.0,-3,sell,-3
FNGD,2018-02-14,submitted,0.0,0,sell,-7
FNGD,2018-02-15,filled,8126.0,-7,sell,-7
FNGD,2018-03-01,submitted,0.0,0,buy,5
FNGD,2018-03-02,filled,8370.0,5,buy,5
FNGD,2018-03-05,submitted,0.0,0,sell,-5
FNGD,2018-03-06,filled,7188.0,-5,sell,-5
FNGD,2018-03-19,submitted,0.0,0,buy,5
FNGD,2018-03-20,filled,7342.0,5,buy,5
FNGD,2018-03-22,submitted,0.0,0,buy,2
FNGD,2018-03-23,filled,8040.0,2,buy,2
FNGD,2018-03-23,submitted,0.0,0,buy,3
FNGD,2018-03-26,filled,7986.0,3,buy,3
FNGD,2018-03-26,submitted,0.0,0,sell,-3
FNGD,2018-03-27,filled,7640.0,-3,sell,-3
FNGD,2018-03-27,submitted,0.0,0,buy,2
FNGD,2018-03-28,filled,9580.0,2,buy,2
FNGD,2018-04-05,submitted,0.0,0,sell,-2
FNGD,2018-04-06,filled,8970.0,-2,sell,-2
FNGD,2018-04-10,submitted,0.0,0,sell,-3
FNGD,2018-04-11,filled,8404.0,-3,sell,-3
FNGD,2018-04-17,submitted,0.0,0,sell,-4
FNGD,2018-04-18,filled,7382.0,-4,sell,-4
FNGD,2018-04-23,submitted,0.0,0,buy,2
FNGD,2018-04-24,filled,7927.6,2,buy,2
FNGD,2018-04-24,submitted,0.0,0,buy,5
FNGD,2018-04-25,filled,8458.0,5,buy,5
FNGD,2018-04-27,submitted,0.0,0,sell,-5
FNGD,2018-04-30,filled,7600.0,-5,sell,-5
FNGD,2018-05-01,submitted,0.0,0,sell,-2
FNGD,2018-05-02,filled,7324.0,-2,sell,-2
FNGD,2018-05-15,submitted,0.0,0,buy,2
FNGD,2018-05-16,filled,6286.0,2,buy,2
FNGD,2018-05-18,submitted,0.0,0,buy,3
FNGD,2018-05-21,filled,6260.0,3,buy,3
FNGD,2018-05-25,submitted,0.0,0,sell,-3
FNGD,2018-05-29,filled,6258.0,-3,sell,-3
FNGD,2018-05-29,submitted,0.0,0,sell,-2
FNGD,2018-05-30,filled,6126.2,-2,sell,-2
FNGD,2018-06-22,submitted,0.0,0,buy,3
FNGD,2018-06-25,filled,4816.0,3,buy,3
FNGD,2018-06-25,submitted,0.0,0,buy,4
FNGD,2018-06-26,filled,4970.0,4,buy,4
FNGD,2018-06-27,submitted,0.0,0,buy,3
FNGD,2018-06-28,filled,5168.0,3,buy,3
FNGD,2018-07-06,submitted,0.0,0,sell,-7
FNGD,2018-07-09,filled,4600.0,-7,sell,-7
FNGD,2018-07-09,submitted,0.0,0,sell,-3
FNGD,2018-07-10,filled,4582.0,-3,sell,-3
FNGD,2018-07-20,submitted,0.0,0,buy,7
FNGD,2018-07-23,filled,4832.0,7,buy,7
FNGD,2018-07-25,submitted,0.0,0,sell,-7
FNGD,2018-07-26,filled,4860.0,-7,sell,-7
FNGD,2018-07-26,submitted,0.0,0,buy,3
FNGD,2018-07-27,filled,4840.0,3,buy,3
FNGD,2018-07-27,submitted,0.0,0,buy,7
FNGD,2018-07-30,filled,5310.0,7,buy,7
FNGD,2018-07-30,submitted,0.0,0,buy,3
FNGD,2018-07-31,filled,5720.0,3,buy,3
FNGD,2018-08-02,submitted,0.0,0,sell,-7
FNGD,2018-08-03,filled,5100.0,-7,sell,-7
FNGD,2018-08-07,submitted,0.0,0,sell,-3
