symbol,date,status,fill-price,fill-quantity,direction,quantity
FNGU,2018-01-26,submitted,0.0,0,buy,17242
FNGU,2018-01-29,filled,5.72,17242,buy,17242
FNGU,2018-02-02,submitted,0.0,0,sell,-17242
FNGU,2018-02-05,filled,4.940000000000001,-17242,sell,-17242
FNGU,2018-02-13,submitted,0.0,0,buy,4155
FNGU,2018-02-14,filled,5.190000000000001,4155,buy,4155
FNGU,2018-02-14,submitted,0.0,0,buy,11535
FNGU,2018-02-15,filled,5.82,11535,buy,11535
FNGU,2018-03-01,submitted,0.0,0,sell,-8078
FNGU,2018-03-02,filled,5.45,-8078,sell,-8078
FNGU,2018-03-05,submitted,0.0,0,buy,6577
FNGU,2018-03-06,filled,6.45,6577,buy,6577
FNGU,2018-03-19,submitted,0.0,0,sell,-7188
FNGU,2018-03-20,filled,6.24,-7188,sell,-7188
FNGU,2018-03-20,submitted,0.0,0,sell,-3478
FNGU,2018-03-21,filled,6.08,-3478,sell,-3478
FNGU,2018-03-22,submitted,0.0,0,sell,-3523
FNGU,2018-03-23,filled,5.54,-3523,sell,-3523
FNGU,2018-04-05,submitted,0.0,0,buy,4446
FNGU,2018-04-06,filled,4.57,4446,buy,4446
FNGU,2018-04-10,submitted,0.0,0,buy,4290
FNGU,2018-04-11,filled,4.91,4290,buy,4290
FNGU,2018-04-17,submitted,0.0,0,buy,3750
FNGU,2018-04-18,filled,5.47,3750,buy,3750
FNGU,2018-04-23,submitted,0.0,0,sell,-4004
FNGU,2018-04-24,filled,5.019999999999999,-4004,sell,-4004
FNGU,2018-04-24,submitted,0.0,0,sell,-4066
FNGU,2018-04-25,filled,4.68,-4066,sell,-4066
FNGU,2018-04-25,submitted,0.0,0,sell,-4416
FNGU,2018-04-26,filled,4.809999999999999,-4416,sell,-4416
FNGU,2018-04-27,submitted,0.0,0,buy,4075
FNGU,2018-04-30,filled,5.07,4075,buy,4075
FNGU,2018-04-30,submitted,0.0,0,buy,4026
FNGU,2018-05-01,filled,5.09,4026,buy,4026
FNGU,2018-05-01,submitted,0.0,0,buy,3898
FNGU,2018-05-02,filled,5.25,3898,buy,3898
FNGU,2018-05-07,submitted,0.0,0,buy,3550
FNGU,2018-05-08,filled,5.91,3550,buy,3550
FNGU,2018-05-15,submitted,0.0,0,sell,-3890
FNGU,2018-05-16,filled,6.019999999999999,-3890,sell,-3890
FNGU,2018-05-18,submitted,0.0,0,sell,-3831
FNGU,2018-05-21,filled,6.230000000000001,-3831,sell,-3831
FNGU,2018-05-25,submitted,0.0,0,buy,3802
FNGU,2018-05-29,filled,6.08,3802,buy,3802
FNGU,2018-05-30,submitted,0.0,0,buy,3824
FNGU,2018-05-31,filled,6.28,3824,buy,3824
FNGU,2018-06-22,submitted,0.0,0,sell,-3858
FNGU,2018-06-25,filled,7.8,-3858,sell,-3858
FNGU,2018-06-25,submitted,0.0,0,sell,-7662
FNGU,2018-06-26,filled,7.44,-7662,sell,-7662
FNGU,2018-07-06,submitted,0.0,0,buy,3718
FNGU,2018-07-09,filled,7.89,3718,buy,3718
FNGU,2018-07-09,submitted,0.0,0,buy,3604
FNGU,2018-07-10,filled,7.93,3604,buy,3604
FNGU,2018-07-12,submitted,0.0,0,buy,3598
FNGU,2018-07-13,filled,8.17,3598,buy,3598
FNGU,2018-07-19,submitted,0.0,0,sell,-3740
FNGU,2018-07-20,filled,7.76,-3740,sell,-3740
FNGU,2018-07-20,submitted,0.0,0,sell,-3659
FNGU,2018-07-23,filled,7.5,-3659,sell,-3659
FNGU,2018-07-25,submitted,0.0,0,buy,6923
FNGU,2018-07-26,filled,7.3,6923,buy,6923
FNGU,2018-07-26,submitted,0.0,0,sell,-3029
FNGU,2018-07-27,filled,7.43,-3029,sell,-3029
FNGU,2018-07-27,submitted,0.0,0,sell,-11349
FNGU,2018-07-30,filled,6.68,-11349,sell,-11349
FNGU,2018-08-02,submitted,0.0,0,buy,3857
FNGU,2018-08-03,filled,6.82,3857,buy,3857
FNGU,2018-08-07,submitted,0.0,0,buy,3561
FNGU,2018-08-08,filled,6.97,3561,buy,3561
FNGU,2018-08-10,submitted,0.0,0,sell,-3610
FNGU,2018-08-13,filled,6.8100000000000005,-3610,sell,-3610
FNGU,2018-08-15,submitted,0.0,0,sell,-3808
FNGU,2018-08-16,filled,6.62,-3808,sell,-3808
FNGU,2018-08-21,submitted,0.0,0,buy,3921
