symbol,date,status,fill-price,fill-quantity,direction,quantity
KORU,2013-04-16,submitted,0.0,0,buy,2656
KORU,2013-04-17,filled,35.75,2656,buy,2656
KORU,2013-04-17,submitted,0.0,0,sell,-2656
KORU,2013-04-18,filled,34.58,-2656,sell,-2656
KORU,2013-04-22,submitted,0.0,0,buy,664
KORU,2013-04-23,filled,36.59,664,buy,664
KORU,2013-04-24,submitted,0.0,0,buy,1947
KORU,2013-04-25,filled,38.89,1947,buy,1947
KORU,2013-05-08,submitted,0.0,0,sell,-716
KORU,2013-05-09,filled,41.86,-716,sell,-716
KORU,2013-05-09,submitted,0.0,0,buy,634
KORU,2013-05-10,filled,38.03,634,buy,634
KORU,2013-05-10,submitted,0.0,0,sell,-1881
KORU,2013-05-13,filled,38.36,-1881,sell,-1881
KORU,2013-05-14,submitted,0.0,0,buy,615
KORU,2013-05-15,filled,39.21,615,buy,615
KORU,2013-05-16,submitted,0.0,0,buy,1238
KORU,2013-05-17,filled,40.67,1238,buy,1238
KORU,2013-05-22,submitted,0.0,0,sell,-624
KORU,2013-05-23,filled,40.22,-624,sell,-624
KORU,2013-05-24,submitted,0.0,0,sell,-1877
KORU,2013-05-28,filled,38.32,-1877,sell,-1877
KORU,2013-05-29,submitted,0.0,0,buy,1223
KORU,2013-05-30,filled,39.9,1223,buy,1223
KORU,2013-05-30,submitted,0.0,0,buy,1171
KORU,2013-05-31,filled,40.38,1171,buy,1171
KORU,2013-06-05,submitted,0.0,0,sell,-580
KORU,2013-06-06,filled,38.61,-580,sell,-580
KORU,2013-06-06,submitted,0.0,0,sell,-1814
KORU,2013-06-07,filled,36.58,-1814,sell,-1814
KORU,2013-06-18,submitted,0.0,0,buy,665
KORU,2013-06-19,filled,31.18,665,buy,665
KORU,2013-06-19,submitted,0.0,0,sell,-665
KORU,2013-06-20,filled,28.19,-665,sell,-665
KORU,2013-06-27,submitted,0.0,0,buy,742
KORU,2013-06-28,filled,29.71,742,buy,742
KORU,2013-06-28,submitted,0.0,0,buy,718
KORU,2013-07-01,filled,31.49,718,buy,718
KORU,2013-07-03,submitted,0.0,0,sell,-723
KORU,2013-07-05,filled,28.07,-723,sell,-723
KORU,2013-07-08,submitted,0.0,0,sell,-737
KORU,2013-07-09,filled,29.02,-737,sell,-737
KORU,2013-07-10,submitted,0.0,0,buy,732
KORU,2013-07-11,filled,32.36,732,buy,732
KORU,2013-07-11,submitted,0.0,0,buy,1189
KORU,2013-07-12,filled,32.34,1189,buy,1189
KORU,2013-07-19,submitted,0.0,0,sell,-613
KORU,2013-07-22,filled,32.33,-613,sell,-613
KORU,2013-07-23,submitted,0.0,0,buy,588
KORU,2013-07-24,filled,35.04,588,buy,588
KORU,2013-07-26,submitted,0.0,0,buy,611
KORU,2013-07-29,filled,34.68,611,buy,611
KORU,2013-07-29,submitted,0.0,0,sell,-613
KORU,2013-07-30,filled,35.24,-613,sell,-613
KORU,2013-08-01,submitted,0.0,0,buy,624
KORU,2013-08-02,filled,36.07,624,buy,624
KORU,2013-08-06,submitted,0.0,0,sell,-1263
KORU,2013-08-07,filled,32.84,-1263,sell,-1263
KORU,2013-08-07,submitted,0.0,0,sell,-1255
KORU,2013-08-08,filled,34.22,-1255,sell,-1255
