symbol,date,status,fill-price,fill-quantity,direction,quantity
LABD,2015-06-04,submitted,0.0,0,buy,3
LABD,2015-06-05,filled,7436.21,3,buy,3
LABD,2015-06-05,submitted,0.0,0,sell,-3
LABD,2015-06-08,filled,7139.31,-3,sell,-3
LABD,2015-06-25,submitted,0.0,0,buy,3
LABD,2015-06-26,filled,6320.88,3,buy,3
LABD,2015-06-29,submitted,0.0,0,buy,7
LABD,2015-06-30,filled,6592.39,7,buy,7
LABD,2015-06-30,submitted,0.0,0,sell,-7
LABD,2015-07-01,filled,5914.59,-7,sell,-7
LABD,2015-07-02,submitted,0.0,0,buy,4
LABD,2015-07-06,filled,6865.85,4,buy,4
LABD,2015-07-08,submitted,0.0,0,buy,3
LABD,2015-07-09,filled,6506.439999999999,3,buy,3
LABD,2015-07-10,submitted,0.0,0,sell,-10
LABD,2015-07-13,filled,5838.41,-10,sell,-10
LABD,2015-07-24,submitted,0.0,0,buy,7
LABD,2015-07-27,filled,5852.08,7,buy,7
LABD,2015-08-06,submitted,0.0,0,buy,3
LABD,2015-08-07,filled,6443.93,3,buy,3
LABD,2015-08-07,submitted,0.0,0,buy,3
LABD,2015-08-10,filled,6553.32,3,buy,3
LABD,2015-08-17,submitted,0.0,0,sell,-3
LABD,2015-08-18,filled,6859.99,-3,sell,-3
LABD,2015-08-20,submitted,0.0,0,buy,3
LABD,2015-08-21,filled,9315.28,3,buy,3
LABD,2015-08-27,submitted,0.0,0,sell,-4
LABD,2015-08-28,filled,7588.57,-4,sell,-4
LABD,2015-08-28,submitted,0.0,0,sell,-3
LABD,2015-08-31,filled,7240.88,-3,sell,-3
LABD,2015-09-08,submitted,0.0,0,sell,-3
LABD,2015-09-09,filled,6617.78,-3,sell,-3
LABD,2015-09-17,submitted,0.0,0,sell,-3
LABD,2015-09-18,filled,6174.38,-3,sell,-3
LABD,2015-09-21,submitted,0.0,0,buy,3
LABD,2015-09-22,filled,7242.83,3,buy,3
LABD,2015-09-22,submitted,0.0,0,buy,6
LABD,2015-09-23,filled,7324.87,6,buy,6
LABD,2015-09-24,submitted,0.0,0,buy,3
LABD,2015-09-25,filled,7170.56,3,buy,3
LABD,2015-10-02,submitted,0.0,0,sell,-3
LABD,2015-10-05,filled,8621.86,-3,sell,-3
LABD,2015-10-09,submitted,0.0,0,sell,-4
LABD,2015-10-12,filled,9383.65,-4,sell,-4
LABD,2015-10-13,submitted,0.0,0,buy,3
LABD,2015-10-14,filled,10661.11,3,buy,3
LABD,2015-10-15,submitted,0.0,0,sell,-6
LABD,2015-10-16,filled,8428.49,-6,sell,-6
LABD,2015-10-28,submitted,0.0,0,sell,-2
LABD,2015-10-29,filled,7342.45,-2,sell,-2
LABD,2015-11-12,submitted,0.0,0,buy,6
LABD,2015-11-13,filled,7354.17,6,buy,6
LABD,2015-11-18,submitted,0.0,0,sell,-6
LABD,2015-11-19,filled,6457.61,-6,sell,-6
LABD,2015-12-03,submitted,0.0,0,buy,10
LABD,2015-12-04,filled,6787.72,10,buy,10
LABD,2015-12-16,submitted,0.0,0,sell,-10
LABD,2015-12-17,filled,6191.96,-10,sell,-10
LABD,2016-01-04,submitted,0.0,0,buy,6
LABD,2016-01-05,filled,6676.38,6,buy,6
LABD,2016-01-06,submitted,0.0,0,buy,6
LABD,2016-01-07,filled,8393.33,6,buy,6
LABD,2016-02-16,submitted,0.0,0,sell,-7
LABD,2016-02-17,filled,13903.58,-7,sell,-7
LABD,2016-02-17,submitted,0.0,0,sell,-2
LABD,2016-02-18,filled,12350.71,-2,sell,-2
LABD,2016-02-23,submitted,0.0,0,buy,2
LABD,2016-02-24,filled,15452.55,2,buy,2
LABD,2016-02-29,submitted,0.0,0,buy,3
LABD,2016-03-01,filled,14329.4,3,buy,3
LABD,2016-03-01,submitted,0.0,0,sell,-6
LABD,2016-03-02,filled,12872.24,-6,sell,-6
LABD,2016-03-07,submitted,0.0,0,sell,-2
LABD,2016-03-08,filled,10254.82,-2,sell,-2
LABD,2016-03-09,submitted,0.0,0,buy,5
LABD,2016-03-10,filled,11661.2,5,buy,5
LABD,2016-03-15,submitted,0.0,0,buy,3
LABD,2016-03-16,filled,12969.91,3,buy,3
LABD,2016-03-21,submitted,0.0,0,sell,-5
LABD,2016-03-22,filled,11485.4,-5,sell,-5
LABD,2016-03-22,submitted,0.0,0,sell,-3
LABD,2016-03-23,filled,10215.75,-3,sell,-3
LABD,2016-04-27,submitted,0.0,0,buy,8
LABD,2016-04-28,filled,8028.06,8,buy,8
LABD,2016-04-29,submitted,0.0,0,buy,4
LABD,2016-05-02,filled,8399.19,4,buy,4
LABD,2016-05-10,submitted,0.0,0,sell,-4
LABD,2016-05-11,filled,9104.33,-4,sell,-4
LABD,2016-05-12,submitted,0.0,0,buy,3
LABD,2016-05-13,filled,10704.08,3,buy,3
LABD,2016-05-16,submitted,0.0,0,sell,-8
LABD,2016-05-17,filled,8836.72,-8,sell,-8
LABD,2016-05-20,submitted,0.0,0,sell,-3
LABD,2016-05-23,filled,7930.39,-3,sell,-3
LABD,2016-06-09,submitted,0.0,0,buy,5
LABD,2016-06-10,filled,6885.38,5,buy,5
LABD,2016-06-10,submitted,0.0,0,buy,4
LABD,2016-06-13,filled,7201.82,4,buy,4
LABD,2016-06-14,submitted,0.0,0,buy,5
LABD,2016-06-15,filled,7274.09,5,buy,5
LABD,2016-06-24,submitted,0.0,0,buy,4
LABD,2016-06-27,filled,8672.65,4,buy,4
LABD,2016-06-29,submitted,0.0,0,sell,-14
LABD,2016-06-30,filled,7221.35,-14,sell,-14
LABD,2016-07-01,submitted,0.0,0,sell,-4
LABD,2016-07-05,filled,6676.38,-4,sell,-4
LABD,2016-07-13,submitted,0.0,0,buy,5
LABD,2016-07-14,filled,6072.810000000001,5,buy,5
LABD,2016-07-20,submitted,0.0,0,sell,-5
LABD,2016-07-21,filled,5332.51,-5,sell,-5
LABD,2016-08-10,submitted,0.0,0,buy,13
LABD,2016-08-11,filled,4631.270000000001,13,buy,13
LABD,2016-08-15,submitted,0.0,0,sell,-6
LABD,2016-08-16,filled,4217.17,-6,sell,-6
LABD,2016-08-22,submitted,0.0,0,sell,-7
LABD,2016-08-23,filled,3996.45,-7,sell,-7
LABD,2016-08-24,submitted,0.0,0,buy,19
LABD,2016-08-25,filled,4449.62,19,buy,19
LABD,2016-09-06,submitted,0.0,0,sell,-6
LABD,2016-09-07,filled,4344.14,-6,sell,-6
LABD,2016-09-07,submitted,0.0,0,sell,-13
LABD,2016-09-08,filled,4182.01,-13,sell,-13
LABD,2016-09-29,submitted,0.0,0,buy,16
LABD,2016-09-30,filled,3471.01,16,buy,16
LABD,2016-10-07,submitted,0.0,0,buy,7
LABD,2016-10-10,filled,3568.68,7,buy,7
LABD,2016-10-14,submitted,0.0,0,buy,7
LABD,2016-10-17,filled,4512.12,7,buy,7
LABD,2016-11-07,submitted,0.0,0,sell,-15
LABD,2016-11-08,filled,4994.59,-15,sell,-15
LABD,2016-11-09,submitted,0.0,0,sell,-15
LABD,2016-11-10,filled,2978.78,-15,sell,-15
LABD,2016-11-22,submitted,0.0,0,buy,10
LABD,2016-11-23,filled,3310.84,10,buy,10
LABD,2016-11-28,submitted,0.0,0,buy,9
LABD,2016-11-29,filled,3029.57,9,buy,9
LABD,2016-12-06,submitted,0.0,0,sell,-10
LABD,2016-12-07,filled,3189.74,-10,sell,-10
LABD,2016-12-07,submitted,0.0,0,buy,9
LABD,2016-12-08,filled,3369.44,9,buy,9
LABD,2016-12-12,submitted,0.0,0,buy,9
LABD,2016-12-13,filled,3437.81,9,buy,9
LABD,2016-12-16,submitted,0.0,0,sell,-9
LABD,2016-12-19,filled,3285.45,-9,sell,-9
LABD,2016-12-21,submitted,0.0,0,buy,8
LABD,2016-12-22,filled,3492.5,8,buy,8
LABD,2016-12-23,submitted,0.0,0,sell,-17
LABD,2016-12-27,filled,3285.45,-17,sell,-17
LABD,2016-12-28,submitted,0.0,0,buy,8
LABD,2016-12-29,filled,3523.75,8,buy,8
LABD,2016-12-30,submitted,0.0,0,buy,8
LABD,2017-01-03,filled,3555.0,8,buy,8
LABD,2017-01-04,submitted,0.0,0,sell,-25
LABD,2017-01-05,filled,3090.12,-25,sell,-25
LABD,2017-01-20,submitted,0.0,0,buy,9
LABD,2017-01-23,filled,2947.53,9,buy,9
LABD,2017-01-23,submitted,0.0,0,buy,9
LABD,2017-01-24,filled,3047.15,9,buy,9
LABD,2017-01-27,submitted,0.0,0,sell,-9
LABD,2017-01-30,filled,2955.34,-9,sell,-9
LABD,2017-01-31,submitted,0.0,0,sell,-9
LABD,2017-02-01,filled,2636.95,-9,sell,-9
LABD,2017-02-22,submitted,0.0,0,buy,11
LABD,2017-02-23,filled,2283.41,11,buy,11
LABD,2017-02-27,submitted,0.0,0,sell,-11
LABD,2017-02-28,filled,2058.78,-11,sell,-11
LABD,2017-03-07,submitted,0.0,0,buy,12
LABD,2017-03-08,filled,2054.87,12,buy,12
LABD,2017-03-10,submitted,0.0,0,sell,-12
LABD,2017-03-13,filled,1927.91,-12,sell,-12
LABD,2017-03-21,submitted,0.0,0,buy,34
LABD,2017-03-22,filled,2199.42,34,buy,34
LABD,2017-03-27,submitted,0.0,0,sell,-11
LABD,2017-03-28,filled,2031.43,-11,sell,-11
LABD,2017-04-03,submitted,0.0,0,buy,11
LABD,2017-04-04,filled,2162.3,11,buy,11
LABD,2017-04-13,submitted,0.0,0,sell,-23
LABD,2017-04-17,filled,2107.61,-23,sell,-23
LABD,2017-04-24,submitted,0.0,0,sell,-11
LABD,2017-04-25,filled,1988.46,-11,sell,-11
LABD,2017-05-03,submitted,0.0,0,buy,12
LABD,2017-05-04,filled,1894.7,12,buy,12
LABD,2017-05-08,submitted,0.0,0,buy,23
LABD,2017-05-09,filled,2084.17,23,buy,23
LABD,2017-05-12,submitted,0.0,0,sell,-23
LABD,2017-05-15,filled,1922.05,-23,sell,-23
LABD,2017-05-16,submitted,0.0,0,sell,-12
LABD,2017-05-17,filled,1955.25,-12,sell,-12
LABD,2017-05-17,submitted,0.0,0,buy,33
LABD,2017-05-18,filled,2050.96,33,buy,33
LABD,2017-05-18,submitted,0.0,0,sell,-10
LABD,2017-05-19,filled,1916.19,-10,sell,-10
LABD,2017-05-26,submitted,0.0,0,buy,10
LABD,2017-05-30,filled,2033.38,10,buy,10
LABD,2017-05-30,submitted,0.0,0,buy,11
LABD,2017-05-31,filled,2093.94,11,buy,11
LABD,2017-06-01,submitted,0.0,0,sell,-22
LABD,2017-06-02,filled,1929.86,-22,sell,-22
LABD,2017-06-02,submitted,0.0,0,sell,-22
