symbol,date,status,fill-price,fill-quantity,direction,quantity
LABU,2015-06-08,filled,174.56,578,buy,578
LABU,2015-06-26,filled,191.4,-150,sell,-150
LABU,2015-06-30,filled,179.15,-428,sell,-428
LABU,2015-07-01,filled,197.19,275,buy,275
LABU,2015-07-09,filled,173.49,-275,sell,-275
LABU,2015-07-13,filled,192.47,261,buy,261
LABU,2015-07-14,filled,203.21,235,buy,235
LABU,2015-07-27,filled,186.8,-249,sell,-249
LABU,2015-07-28,filled,190.45,-123,sell,-123
LABU,2015-08-07,filled,163.34,-124,sell,-124
LABU,2015-08-28,filled,120.89,183,buy,183
LABU,2015-09-02,filled,114.98,-183,sell,-183
LABU,2015-09-09,filled,132.46,350,buy,350
LABU,2015-09-14,filled,133.22,152,buy,152
LABU,2015-09-22,filled,114.63,-331,sell,-331
LABU,2015-09-23,filled,113.36,-171,sell,-171
LABU,2015-10-05,filled,79.95,265,buy,265
LABU,2015-10-14,filled,63.02,-265,sell,-265
LABU,2015-10-16,filled,75.9,497,buy,497
LABU,2015-10-28,filled,76.89,235,buy,235
LABU,2015-11-13,filled,79.35,-490,sell,-490
LABU,2015-11-19,filled,88.19,208,buy,208
LABU,2015-11-24,filled,86.17,226,buy,226
LABU,2015-11-30,filled,98.42,208,buy,208
LABU,2015-12-04,filled,82.09,-884,sell,-884
LABU,2015-12-17,filled,83.95,442,buy,442
LABU,2015-12-24,filled,85.3,198,buy,198
LABU,2015-12-28,filled,83.2,213,buy,213
LABU,2016-01-04,filled,77.84,-208,sell,-208
LABU,2016-01-05,filled,77.05,-645,sell,-645
LABU,2016-02-17,filled,26.44,661,buy,661
LABU,2016-02-18,filled,29.17,535,buy,535
LABU,2016-02-24,filled,22.59,-548,sell,-548
LABU,2016-03-01,filled,24.22,-648,sell,-648
LABU,2016-03-02,filled,26.36,1163,buy,1163
LABU,2016-03-03,filled,29.85,488,buy,488
LABU,2016-03-09,filled,28.14,-525,sell,-525
LABU,2016-03-11,filled,26.0,-534,sell,-534
LABU,2016-03-16,filled,23.54,-592,sell,-592
LABU,2016-03-22,filled,26.04,556,buy,556
LABU,2016-03-23,filled,28.82,1009,buy,1009
LABU,2016-03-24,filled,23.38,-470,sell,-470
LABU,2016-03-29,filled,23.52,-546,sell,-546
LABU,2016-04-01,filled,26.37,446,buy,446
LABU,2016-04-04,filled,30.22,443,buy,443
LABU,2016-04-07,filled,36.34,374,buy,374
LABU,2016-04-12,filled,31.46,-444,sell,-444
LABU,2016-04-18,filled,34.29,412,buy,412
LABU,2016-04-27,filled,32.9,-440,sell,-440
LABU,2016-04-28,filled,32.09,-445,sell,-445
