symbol,date,status,fill-price,fill-quantity,direction,quantity
MEXX,2017-05-15,filled,289.62,357,buy,357
MEXX,2017-05-18,filled,257.17,-100,sell,-100
MEXX,2017-05-19,filled,271.17,-257,sell,-257
MEXX,2017-05-23,filled,276.19,249,buy,249
MEXX,2017-05-24,filled,287.46,83,buy,83
MEXX,2017-05-31,filled,274.48,-332,sell,-332
MEXX,2017-06-05,filled,296.91,81,buy,81
MEXX,2017-06-06,filled,296.91,222,buy,222
MEXX,2017-06-12,filled,294.75,-76,sell,-76
MEXX,2017-06-13,filled,302.49,76,buy,76
MEXX,2017-06-16,filled,297.26,-77,sell,-77
MEXX,2017-06-22,filled,301.81,-76,sell,-76
MEXX,2017-06-23,filled,310.92,150,buy,150
MEXX,2017-06-30,filled,300.64,-152,sell,-152
MEXX,2017-07-05,filled,314.11,141,buy,141
MEXX,2017-07-07,filled,306.37,-145,sell,-145
MEXX,2017-07-11,filled,335.52,133,buy,133
MEXX,2017-07-25,filled,376.87,-70,sell,-70
MEXX,2017-07-27,filled,372.88,69,buy,69
MEXX,2017-07-28,filled,357.85,-137,sell,-137
MEXX,2017-08-07,filled,358.21,-1,sell,-1
MEXX,2017-08-09,filled,349.76,68,buy,68
MEXX,2017-08-10,filled,343.15,-136,sell,-136
MEXX,2017-08-15,filled,360.16,134,buy,134
MEXX,2017-08-17,filled,367.3,67,buy,67
MEXX,2017-08-29,filled,358.41,-136,sell,-136
MEXX,2017-08-30,filled,363.88,-68,sell,-68
MEXX,2017-09-06,filled,343.61,-67,sell,-67
MEXX,2017-09-07,filled,358.2,68,buy,68
MEXX,2017-09-14,filled,339.4,-68,sell,-68
MEXX,2017-09-18,filled,344.75,68,buy,68
MEXX,2017-09-19,filled,342.01,-68,sell,-68
MEXX,2017-09-25,filled,343.5,136,buy,136
MEXX,2017-09-26,filled,336.53,-136,sell,-136
MEXX,2017-10-04,filled,324.36,72,buy,72
MEXX,2017-10-09,filled,296.12,-72,sell,-72
MEXX,2017-10-20,filled,284.27,81,buy,81
MEXX,2017-10-24,filled,264.0,-81,sell,-81
MEXX,2017-11-07,filled,259.9,174,buy,174
MEXX,2017-11-13,filled,233.17,-174,sell,-174
MEXX,2017-11-17,filled,239.51,89,buy,89
MEXX,2017-11-21,filled,252.5,167,buy,167
MEXX,2017-11-29,filled,255.91,-85,sell,-85
MEXX,2017-12-01,filled,250.9,-84,sell,-84
MEXX,2017-12-06,filled,235.75,-87,sell,-87
MEXX,2017-12-14,filled,246.0,174,buy,174
MEXX,2017-12-19,filled,249.26,85,buy,85
MEXX,2017-12-20,filled,236.79,-85,sell,-85
MEXX,2017-12-21,filled,234.64,-174,sell,-174
MEXX,2018-01-02,filled,242.18,87,buy,87
MEXX,2018-01-03,filled,260.33,170,buy,170
MEXX,2018-01-08,filled,258.51,67,buy,67
MEXX,2018-01-10,filled,250.32,-81,sell,-81
MEXX,2018-01-11,filled,239.44,-243,sell,-243
MEXX,2018-01-16,filled,267.76,308,buy,308
MEXX,2018-01-31,filled,294.82,-161,sell,-161
MEXX,2018-02-02,filled,295.27,142,buy,142
MEXX,2018-02-05,filled,279.63,-142,sell,-142
MEXX,2018-02-06,filled,243.32,-70,sell,-70
MEXX,2018-02-09,filled,243.44,-77,sell,-77
MEXX,2018-02-15,filled,270.26,146,buy,146
MEXX,2018-02-16,filled,275.41,67,buy,67
MEXX,2018-02-21,filled,253.48,-70,sell,-70
MEXX,2018-02-22,filled,266.39,-71,sell,-71
MEXX,2018-02-23,filled,264.22,69,buy,69
MEXX,2018-02-28,filled,242.64,-141,sell,-141
MEXX,2018-03-07,filled,238.98,73,buy,73
MEXX,2018-03-09,filled,261.13,140,buy,140
MEXX,2018-03-12,filled,262.93,67,buy,67
MEXX,2018-03-16,filled,242.98,-140,sell,-140
MEXX,2018-03-19,filled,236.13,-140,sell,-140
MEXX,2018-03-22,filled,250.17,132,buy,132
MEXX,2018-03-26,filled,239.78,-132,sell,-132
MEXX,2018-04-02,filled,243.55,195,buy,195
MEXX,2018-04-03,filled,239.54,-195,sell,-195
MEXX,2018-04-04,filled,248.92,65,buy,65
MEXX,2018-04-05,filled,270.04,181,buy,181
MEXX,2018-04-10,filled,275.18,-123,sell,-123
MEXX,2018-04-11,filled,276.16,62,buy,62
MEXX,2018-04-12,filled,285.8,60,buy,60
MEXX,2018-04-20,filled,261.28,-124,sell,-124
MEXX,2018-04-23,filled,254.05,-61,sell,-61
MEXX,2018-04-24,filled,246.06,-60,sell,-60
MEXX,2018-04-30,filled,250.06,61,buy,61
MEXX,2018-05-03,filled,229.85,-61,sell,-61
MEXX,2018-05-24,filled,180.52,82,buy,82
MEXX,2018-05-30,filled,170.02,-82,sell,-82
MEXX,2018-06-11,filled,160.31,92,buy,92
MEXX,2018-06-18,filled,159.85,93,buy,93
MEXX,2018-06-21,filled,169.32,88,buy,88
MEXX,2018-07-03,filled,191.71,-93,sell,-93
MEXX,2018-07-05,filled,206.33,83,buy,83
MEXX,2018-07-06,filled,226.42,73,buy,73
MEXX,2018-07-16,filled,233.5,-85,sell,-85
MEXX,2018-07-19,filled,229.69,81,buy,81
MEXX,2018-07-20,filled,233.05,-164,sell,-164
MEXX,2018-07-24,filled,239.54,165,buy,165
MEXX,2018-08-03,filled,245.15,-85,sell,-85
MEXX,2018-08-07,filled,259.57,80,buy,80
MEXX,2018-08-10,filled,225.51,-165,sell,-165
MEXX,2018-08-13,filled,216.48,-81,sell,-81
MEXX,2018-08-21,filled,225.85,80,buy,80
MEXX,2018-08-23,filled,243.32,146,buy,146
MEXX,2018-08-29,filled,233.39,-74,sell,-74
MEXX,2018-08-31,filled,224.71,-156,sell,-156
MEXX,2018-09-05,filled,203.64,-78,sell,-78
MEXX,2018-09-12,filled,213.29,81,buy,81
MEXX,2018-09-13,filled,233.62,75,buy,75
MEXX,2018-09-14,filled,237.27,144,buy,144
MEXX,2018-09-24,filled,227.56,-75,sell,-75
MEXX,2018-09-26,filled,229.07,-75,sell,-75
MEXX,2018-09-28,filled,236.62,73,buy,73
MEXX,2018-10-02,filled,238.37,71,buy,71
MEXX,2018-10-03,filled,233.34,-147,sell,-147
MEXX,2018-10-04,filled,216.6,-147,sell,-147
MEXX,2018-10-17,filled,210.16,78,buy,78
MEXX,2018-10-19,filled,189.86,-78,sell,-78
MEXX,2018-11-05,filled,147.05,112,buy,112
MEXX,2018-11-06,filled,158.99,98,buy,98
MEXX,2018-11-09,filled,125.63,-210,sell,-210
MEXX,2018-11-30,filled,108.42,137,buy,137
MEXX,2018-12-10,filled,107.48,139,buy,139
MEXX,2018-12-18,filled,98.94,-276,sell,-276
MEXX,2018-12-21,filled,113.33,382,buy,382
MEXX,2019-01-10,filled,139.82,95,buy,95
MEXX,2019-01-23,filled,143.22,-239,sell,-239
MEXX,2019-02-06,filled,150.4,227,buy,227
MEXX,2019-02-08,filled,142.86,-116,sell,-116
MEXX,2019-02-11,filled,137.45,-232,sell,-232
MEXX,2019-02-21,filled,132.51,122,buy,122
MEXX,2019-02-25,filled,141.45,114,buy,114
MEXX,2019-02-28,filled,132.98,-117,sell,-117
MEXX,2019-03-01,filled,133.33,-116,sell,-116
MEXX,2019-03-06,filled,122.69,-120,sell,-120
MEXX,2019-03-14,filled,121.56,127,buy,127
MEXX,2019-03-18,filled,125.45,121,buy,121
MEXX,2019-03-19,filled,133.74,116,buy,116
MEXX,2019-03-21,filled,142.55,112,buy,112
MEXX,2019-03-25,filled,126.15,-239,sell,-239
MEXX,2019-03-28,filled,126.27,-119,sell,-119
MEXX,2019-04-02,filled,136.65,329,buy,329
MEXX,2019-04-16,filled,151.64,-112,sell,-112
MEXX,2019-04-17,filled,155.65,110,buy,110
MEXX,2019-04-25,filled,145.81,-223,sell,-223
MEXX,2019-05-02,filled,143.26,-111,sell,-111
MEXX,2019-05-09,filled,130.87,-111,sell,-111
