symbol,date,status,fill-price,fill-quantity,direction,quantity
MIDU,2009-01-27,submitted,0.0,0,buy,13116
MIDU,2009-01-28,filled,2.02,13116,buy,13116
MIDU,2009-01-28,submitted,0.0,0,buy,34605
MIDU,2009-01-29,filled,2.02,34605,buy,34605
MIDU,2009-01-30,submitted,0.0,0,sell,-47721
MIDU,2009-02-02,filled,1.629999999999999,-47721,sell,-47721
MIDU,2009-02-05,submitted,0.0,0,buy,10834
MIDU,2009-02-06,filled,1.87,10834,buy,10834
MIDU,2009-02-06,submitted,0.0,0,buy,29509
MIDU,2009-02-09,filled,2.04,29509,buy,29509
MIDU,2009-02-10,submitted,0.0,0,sell,-30279
MIDU,2009-02-11,filled,1.79,-30279,sell,-30279
MIDU,2009-02-17,submitted,0.0,0,sell,-10064
MIDU,2009-02-18,filled,1.55,-10064,sell,-10064
MIDU,2009-03-10,submitted,0.0,0,buy,16551
MIDU,2009-03-11,filled,1.09,16551,buy,16551
MIDU,2009-03-12,submitted,0.0,0,buy,12794
MIDU,2009-03-13,filled,1.25,12794,buy,12794
MIDU,2009-03-17,submitted,0.0,0,buy,12601
MIDU,2009-03-18,filled,1.33,12601,buy,12601
MIDU,2009-03-26,submitted,0.0,0,buy,11036
MIDU,2009-03-27,filled,1.61,11036,buy,11036
MIDU,2009-03-30,submitted,0.0,0,sell,-26262
MIDU,2009-03-31,filled,1.44,-26262,sell,-26262
MIDU,2009-04-02,submitted,0.0,0,buy,22824
MIDU,2009-04-03,filled,1.6800000000000002,22824,buy,22824
MIDU,2009-04-07,submitted,0.0,0,sell,-12416
MIDU,2009-04-08,filled,1.61,-12416,sell,-12416
MIDU,2009-04-09,submitted,0.0,0,buy,10516
MIDU,2009-04-13,filled,1.8399999999999999,10516,buy,10516
MIDU,2009-04-20,submitted,0.0,0,sell,-11711
MIDU,2009-04-21,filled,1.71,-11711,sell,-11711
MIDU,2009-04-24,submitted,0.0,0,buy,9972
MIDU,2009-04-27,filled,1.98,9972,buy,9972
MIDU,2009-05-12,submitted,0.0,0,sell,-11260
MIDU,2009-05-13,filled,2.13,-11260,sell,-11260
MIDU,2009-05-13,submitted,0.0,0,sell,-22873
MIDU,2009-05-14,filled,1.98,-22873,sell,-22873
MIDU,2009-05-18,submitted,0.0,0,buy,9894
MIDU,2009-05-19,filled,2.22,9894,buy,9894
MIDU,2009-05-21,submitted,0.0,0,sell,-10485
MIDU,2009-05-22,filled,2.12,-10485,sell,-10485
MIDU,2009-05-26,submitted,0.0,0,buy,20286
MIDU,2009-05-27,filled,2.25,20286,buy,20286
MIDU,2009-05-29,submitted,0.0,0,buy,10283
MIDU,2009-06-01,filled,2.46,10283,buy,10283
MIDU,2009-06-15,submitted,0.0,0,sell,-21135
MIDU,2009-06-16,filled,2.43,-21135,sell,-21135
MIDU,2009-06-16,submitted,0.0,0,sell,-9898
MIDU,2009-06-17,filled,2.25,-9898,sell,-9898
MIDU,2009-06-25,submitted,0.0,0,buy,10425
MIDU,2009-06-26,filled,2.259999999999999,10425,buy,10425
MIDU,2009-06-29,submitted,0.0,0,buy,10184
MIDU,2009-06-30,filled,2.36,10184,buy,10184
MIDU,2009-07-02,submitted,0.0,0,sell,-20654
MIDU,2009-07-06,filled,2.09,-20654,sell,-20654
MIDU,2009-07-07,submitted,0.0,0,sell,-10672
MIDU,2009-07-08,filled,1.99,-10672,sell,-10672
MIDU,2009-07-13,submitted,0.0,0,buy,10526
MIDU,2009-07-14,filled,2.1,10526,buy,10526
MIDU,2009-07-15,submitted,0.0,0,buy,28338
MIDU,2009-07-16,filled,2.33,28338,buy,28338
MIDU,2009-08-17,submitted,0.0,0,sell,-19352
