symbol,date,status,fill-price,fill-quantity,direction,quantity
NAIL,2015-08-28,submitted,0.0,0,buy,771
NAIL,2015-08-31,filled,31.08,771,buy,771
NAIL,2015-09-01,submitted,0.0,0,sell,-771
NAIL,2015-09-02,filled,30.06,-771,sell,-771
NAIL,2015-09-03,submitted,0.0,0,buy,1518
NAIL,2015-09-04,filled,31.0,1518,buy,1518
NAIL,2015-09-04,submitted,0.0,0,sell,-713
NAIL,2015-09-08,filled,29.72,-713,sell,-713
NAIL,2015-09-09,submitted,0.0,0,buy,740
NAIL,2015-09-10,filled,31.13,740,buy,740
NAIL,2015-09-17,submitted,0.0,0,buy,1477
NAIL,2015-09-18,filled,33.97,1477,buy,1477
NAIL,2015-09-18,submitted,0.0,0,sell,-1514
NAIL,2015-09-21,filled,32.29,-1514,sell,-1514
NAIL,2015-09-21,submitted,0.0,0,sell,-1508
NAIL,2015-09-22,filled,30.84,-1508,sell,-1508
NAIL,2015-10-02,submitted,0.0,0,buy,884
NAIL,2015-10-05,filled,28.67,884,buy,884
NAIL,2015-10-05,submitted,0.0,0,buy,737
NAIL,2015-10-06,filled,29.53,737,buy,737
NAIL,2015-10-09,submitted,0.0,0,buy,760
NAIL,2015-10-12,filled,30.96,760,buy,760
NAIL,2015-10-13,submitted,0.0,0,buy,777
NAIL,2015-10-14,filled,28.24,777,buy,777
NAIL,2015-10-14,submitted,0.0,0,sell,-3158
NAIL,2015-10-15,filled,28.13,-3158,sell,-3158
NAIL,2015-10-16,submitted,0.0,0,buy,782
NAIL,2015-10-19,filled,29.37,782,buy,782
NAIL,2015-10-20,submitted,0.0,0,buy,776
NAIL,2015-10-21,filled,31.53,776,buy,776
NAIL,2015-10-21,submitted,0.0,0,buy,1395
NAIL,2015-10-22,filled,29.56,1395,buy,1395
NAIL,2015-10-23,submitted,0.0,0,sell,-1431
NAIL,2015-10-26,filled,30.82,-1431,sell,-1431
NAIL,2015-10-27,submitted,0.0,0,sell,-1522
NAIL,2015-10-28,filled,29.21,-1522,sell,-1522
NAIL,2015-11-02,submitted,0.0,0,buy,781
NAIL,2015-11-03,filled,29.56,781,buy,781
NAIL,2015-11-03,submitted,0.0,0,buy,1517
NAIL,2015-11-04,filled,29.4,1517,buy,1517
NAIL,2015-11-04,submitted,0.0,0,sell,-744
NAIL,2015-11-05,filled,29.11,-744,sell,-744
NAIL,2015-11-06,submitted,0.0,0,sell,-777
NAIL,2015-11-09,filled,27.15,-777,sell,-777
NAIL,2015-11-09,submitted,0.0,0,sell,-777
NAIL,2015-11-10,filled,26.71,-777,sell,-777
NAIL,2015-11-12,submitted,0.0,0,buy,1528
NAIL,2015-11-13,filled,27.78,1528,buy,1528
NAIL,2015-11-13,submitted,0.0,0,sell,-745
NAIL,2015-11-16,filled,27.78,-745,sell,-745
NAIL,2015-11-17,submitted,0.0,0,buy,741
NAIL,2015-11-18,filled,28.83,741,buy,741
NAIL,2015-11-18,submitted,0.0,0,buy,763
NAIL,2015-11-19,filled,30.91,763,buy,763
NAIL,2015-11-19,submitted,0.0,0,buy,663
NAIL,2015-11-20,filled,30.76,663,buy,663
NAIL,2015-12-03,submitted,0.0,0,sell,-1476
NAIL,2015-12-04,filled,31.67,-1476,sell,-1476
NAIL,2015-12-09,submitted,0.0,0,sell,-1474
NAIL,2015-12-10,filled,28.29,-1474,sell,-1474
NAIL,2015-12-16,submitted,0.0,0,buy,751
NAIL,2015-12-17,filled,29.4,751,buy,751
NAIL,2015-12-17,submitted,0.0,0,buy,752
NAIL,2015-12-18,filled,26.01,752,buy,752
NAIL,2015-12-18,submitted,0.0,0,sell,-1503
NAIL,2015-12-21,filled,26.11,-1503,sell,-1503
NAIL,2015-12-24,submitted,0.0,0,buy,1503
NAIL,2015-12-28,filled,27.9,1503,buy,1503
NAIL,2016-01-04,submitted,0.0,0,sell,-1503
NAIL,2016-01-05,filled,25.09,-1503,sell,-1503
NAIL,2016-01-22,submitted,0.0,0,buy,1107
NAIL,2016-01-25,filled,16.95,1107,buy,1107
NAIL,2016-01-27,submitted,0.0,0,buy,1163
NAIL,2016-01-28,filled,18.14,1163,buy,1163
NAIL,2016-02-04,submitted,0.0,0,sell,-2270
NAIL,2016-02-05,filled,16.82,-2270,sell,-2270
NAIL,2016-02-12,submitted,0.0,0,buy,1342
NAIL,2016-02-16,filled,15.44,1342,buy,1342
NAIL,2016-02-17,submitted,0.0,0,buy,1120
NAIL,2016-02-18,filled,16.56,1120,buy,1120
NAIL,2016-02-24,submitted,0.0,0,buy,1161
NAIL,2016-02-25,filled,17.22,1161,buy,1161
NAIL,2016-03-03,submitted,0.0,0,buy,935
NAIL,2016-03-04,filled,21.53,935,buy,935
NAIL,2016-03-09,submitted,0.0,0,sell,-1117
NAIL,2016-03-10,filled,21.2,-1117,sell,-1117
NAIL,2016-03-11,submitted,0.0,0,buy,1088
NAIL,2016-03-14,filled,22.35,1088,buy,1088
NAIL,2016-03-23,submitted,0.0,0,sell,-1132
NAIL,2016-03-24,filled,23.26,-1132,sell,-1132
NAIL,2016-03-29,submitted,0.0,0,buy,1102
NAIL,2016-03-30,filled,23.88,1102,buy,1102
NAIL,2016-04-05,submitted,0.0,0,sell,-1125
NAIL,2016-04-06,filled,25.99,-1125,sell,-1125
NAIL,2016-04-06,submitted,0.0,0,buy,1119
NAIL,2016-04-07,filled,26.1,1119,buy,1119
NAIL,2016-04-21,submitted,0.0,0,sell,-1123
NAIL,2016-04-22,filled,26.98,-1123,sell,-1123
NAIL,2016-04-22,submitted,0.0,0,sell,-1126
NAIL,2016-04-25,filled,26.85,-1126,sell,-1126
NAIL,2016-04-28,submitted,0.0,0,sell,-1073
NAIL,2016-04-29,filled,23.82,-1073,sell,-1073
NAIL,2016-05-10,submitted,0.0,0,buy,1249
NAIL,2016-05-11,filled,24.42,1249,buy,1249
NAIL,2016-05-13,submitted,0.0,0,sell,-2420
NAIL,2016-05-16,filled,22.79,-2420,sell,-2420
NAIL,2016-05-16,submitted,0.0,0,buy,3493
NAIL,2016-05-17,filled,23.81,3493,buy,3493
NAIL,2016-05-18,submitted,0.0,0,sell,-1157
NAIL,2016-05-19,filled,22.74,-1157,sell,-1157
NAIL,2016-05-19,submitted,0.0,0,sell,-2336
NAIL,2016-05-20,filled,22.74,-2336,sell,-2336
NAIL,2016-05-23,submitted,0.0,0,buy,2256
NAIL,2016-05-24,filled,25.78,2256,buy,2256
NAIL,2016-05-24,submitted,0.0,0,buy,1829
NAIL,2016-05-25,filled,27.52,1829,buy,1829
NAIL,2016-06-10,submitted,0.0,0,sell,-1065
NAIL,2016-06-13,filled,25.93,-1065,sell,-1065
NAIL,2016-06-13,submitted,0.0,0,sell,-2009
NAIL,2016-06-14,filled,24.99,-2009,sell,-2009
NAIL,2016-06-14,submitted,0.0,0,sell,-1011
NAIL,2016-06-15,filled,24.72,-1011,sell,-1011
NAIL,2016-06-20,submitted,0.0,0,buy,1913
NAIL,2016-06-21,filled,25.81,1913,buy,1913
NAIL,2016-06-23,submitted,0.0,0,buy,1001
NAIL,2016-06-24,filled,24.42,1001,buy,1001
NAIL,2016-06-24,submitted,0.0,0,sell,-2914
NAIL,2016-06-27,filled,23.53,-2914,sell,-2914
NAIL,2016-06-30,submitted,0.0,0,buy,979
NAIL,2016-07-01,filled,26.85,979,buy,979
NAIL,2016-07-01,submitted,0.0,0,buy,2606
NAIL,2016-07-05,filled,26.73,2606,buy,2606
NAIL,2016-07-15,submitted,0.0,0,sell,-897
NAIL,2016-07-18,filled,30.75,-897,sell,-897
NAIL,2016-07-19,submitted,0.0,0,buy,879
NAIL,2016-07-20,filled,31.36,879,buy,879
NAIL,2016-07-21,submitted,0.0,0,sell,-892
NAIL,2016-07-22,filled,30.62,-892,sell,-892
NAIL,2016-07-25,submitted,0.0,0,buy,842
NAIL,2016-07-26,filled,32.34,842,buy,842
NAIL,2016-07-29,submitted,0.0,0,sell,-2638
NAIL,2016-08-01,filled,30.18,-2638,sell,-2638
NAIL,2016-08-05,submitted,0.0,0,buy,882
NAIL,2016-08-08,filled,30.43,882,buy,882
NAIL,2016-08-10,submitted,0.0,0,sell,-875
NAIL,2016-08-11,filled,29.64,-875,sell,-875
NAIL,2016-08-12,submitted,0.0,0,buy,883
NAIL,2016-08-15,filled,29.98,883,buy,883
NAIL,2016-08-15,submitted,0.0,0,buy,866
NAIL,2016-08-16,filled,29.98,866,buy,866
NAIL,2016-08-17,submitted,0.0,0,sell,-1744
NAIL,2016-08-18,filled,29.46,-1744,sell,-1744
NAIL,2016-08-19,submitted,0.0,0,buy,873
NAIL,2016-08-22,filled,29.46,873,buy,873
NAIL,2016-08-23,submitted,0.0,0,buy,1643
NAIL,2016-08-24,filled,32.74,1643,buy,1643
NAIL,2016-08-26,submitted,0.0,0,sell,-2571
NAIL,2016-08-29,filled,29.5,-2571,sell,-2571
NAIL,2016-08-30,submitted,0.0,0,buy,2384
NAIL,2016-08-31,filled,29.67,2384,buy,2384
NAIL,2016-09-02,submitted,0.0,0,sell,-2388
NAIL,2016-09-06,filled,29.71,-2388,sell,-2388
NAIL,2016-09-07,submitted,0.0,0,buy,1631
NAIL,2016-09-08,filled,30.26,1631,buy,1631
NAIL,2016-09-08,submitted,0.0,0,buy,820
