symbol,date,status,fill-price,fill-quantity,direction,quantity
OILD,2021-11-17,submitted,0.0,0,buy,3613
OILD,2021-11-18,filled,27.89,3613,buy,3613
OILD,2021-11-23,submitted,0.0,0,sell,-3613
OILD,2021-11-24,filled,25.52,-3613,sell,-3613
OILD,2021-11-26,submitted,0.0,0,buy,3152
OILD,2021-11-29,filled,27.68,3152,buy,3152
OILD,2021-12-06,submitted,0.0,0,sell,-684
OILD,2021-12-07,filled,25.17,-684,sell,-684
OILD,2021-12-07,submitted,0.0,0,sell,-2468
OILD,2021-12-08,filled,25.51,-2468,sell,-2468
OILD,2021-12-13,submitted,0.0,0,buy,2980
OILD,2021-12-14,filled,27.75,2980,buy,2980
OILD,2021-12-21,submitted,0.0,0,sell,-710
OILD,2021-12-22,filled,27.61,-710,sell,-710
OILD,2021-12-22,submitted,0.0,0,sell,-2270
OILD,2021-12-23,filled,27.08,-2270,sell,-2270
OILD,2022-01-20,submitted,0.0,0,buy,1213
OILD,2022-01-21,filled,17.35,1213,buy,1213
OILD,2022-01-21,submitted,0.0,0,buy,1097
OILD,2022-01-24,filled,18.8,1097,buy,1097
OILD,2022-01-25,submitted,0.0,0,sell,-2310
OILD,2022-01-26,filled,14.94,-2310,sell,-2310
