symbol,date,status,fill-price,fill-quantity,direction,quantity
OILU,2021-11-23,submitted,0.0,0,buy,1109
OILU,2021-11-24,filled,23.38,1109,buy,1109
OILU,2021-11-24,submitted,0.0,0,buy,3156
OILU,2021-11-26,filled,21.33,3156,buy,3156
OILU,2021-11-26,submitted,0.0,0,sell,-4265
OILU,2021-11-29,filled,22.36,-4265,sell,-4265
OILU,2021-12-06,submitted,0.0,0,buy,1217
OILU,2021-12-07,filled,21.71,1217,buy,1217
OILU,2021-12-07,submitted,0.0,0,buy,3360
OILU,2021-12-08,filled,21.97,3360,buy,3360
OILU,2021-12-09,submitted,0.0,0,sell,-2252
OILU,2021-12-10,filled,20.88,-2252,sell,-2252
OILU,2021-12-13,submitted,0.0,0,sell,-2325
OILU,2021-12-14,filled,19.79,-2325,sell,-2325
OILU,2021-12-21,submitted,0.0,0,buy,1182
OILU,2021-12-22,filled,20.16,1182,buy,1182
OILU,2021-12-22,submitted,0.0,0,buy,1111
OILU,2021-12-23,filled,20.46,1111,buy,1111
OILU,2021-12-27,submitted,0.0,0,buy,2206
OILU,2021-12-28,filled,21.71,2206,buy,2206
OILU,2021-12-30,submitted,0.0,0,sell,-2248
OILU,2021-12-31,filled,20.46,-2248,sell,-2248
OILU,2022-01-03,submitted,0.0,0,buy,2050
OILU,2022-01-04,filled,23.04,2050,buy,2050
OILU,2022-01-20,submitted,0.0,0,sell,-1105
OILU,2022-01-21,filled,29.37,-1105,sell,-1105
OILU,2022-01-21,submitted,0.0,0,sell,-1034
OILU,2022-01-24,filled,26.25,-1034,sell,-1034
OILU,2022-01-25,submitted,0.0,0,buy,1809
OILU,2022-01-26,filled,33.51,1809,buy,1809
