symbol,date,status,fill-price,fill-quantity,direction,quantity
PILL,2017-11-17,submitted,0.0,0,buy,4097
PILL,2017-11-20,filled,24.07,4097,buy,4097
PILL,2017-11-27,submitted,0.0,0,sell,-991
PILL,2017-11-28,filled,24.83,-991,sell,-991
PILL,2017-12-06,submitted,0.0,0,sell,-1030
PILL,2017-12-07,filled,24.12,-1030,sell,-1030
PILL,2017-12-11,submitted,0.0,0,buy,1896
PILL,2017-12-12,filled,26.86,1896,buy,1896
PILL,2017-12-28,submitted,0.0,0,sell,-1994
PILL,2017-12-29,filled,26.97,-1994,sell,-1994
PILL,2018-01-02,submitted,0.0,0,buy,1906
PILL,2018-01-03,filled,28.68,1906,buy,1906
PILL,2018-01-30,submitted,0.0,0,sell,-1001
PILL,2018-01-31,filled,33.4,-1001,sell,-1001
PILL,2018-01-31,submitted,0.0,0,sell,-928
PILL,2018-02-01,filled,30.08,-928,sell,-928
PILL,2018-02-02,submitted,0.0,0,sell,-961
PILL,2018-02-05,filled,29.0,-961,sell,-961
PILL,2018-02-05,submitted,0.0,0,sell,-994
PILL,2018-02-06,filled,25.0,-994,sell,-994
PILL,2018-02-14,submitted,0.0,0,buy,1023
PILL,2018-02-15,filled,28.23,1023,buy,1023
PILL,2018-02-15,submitted,0.0,0,buy,954
PILL,2018-02-16,filled,29.62,954,buy,954
PILL,2018-02-22,submitted,0.0,0,sell,-969
PILL,2018-02-23,filled,27.95,-969,sell,-969
PILL,2018-02-27,submitted,0.0,0,sell,-1008
PILL,2018-02-28,filled,26.51,-1008,sell,-1008
PILL,2018-03-07,submitted,0.0,0,buy,1058
PILL,2018-03-08,filled,25.88,1058,buy,1058
PILL,2018-03-09,submitted,0.0,0,buy,1943
PILL,2018-03-12,filled,27.56,1943,buy,1943
PILL,2018-03-15,submitted,0.0,0,sell,-975
PILL,2018-03-16,filled,27.29,-975,sell,-975
PILL,2018-03-19,submitted,0.0,0,sell,-2026
PILL,2018-03-20,filled,25.93,-2026,sell,-2026
PILL,2018-04-04,submitted,0.0,0,buy,1149
PILL,2018-04-05,filled,23.59,1149,buy,1149
PILL,2018-04-06,submitted,0.0,0,sell,-1149
PILL,2018-04-09,filled,22.0,-1149,sell,-1149
PILL,2018-04-10,submitted,0.0,0,buy,2242
PILL,2018-04-11,filled,23.02,2242,buy,2242
PILL,2018-04-17,submitted,0.0,0,buy,1120
PILL,2018-04-18,filled,24.35,1120,buy,1120
PILL,2018-04-20,submitted,0.0,0,sell,-1102
PILL,2018-04-23,filled,23.3,-1102,sell,-1102
PILL,2018-04-23,submitted,0.0,0,sell,-1121
PILL,2018-04-24,filled,22.99,-1121,sell,-1121
PILL,2018-04-25,submitted,0.0,0,sell,-1139
PILL,2018-04-26,filled,21.8,-1139,sell,-1139
PILL,2018-04-27,submitted,0.0,0,buy,1128
PILL,2018-04-30,filled,23.16,1128,buy,1128
PILL,2018-05-01,submitted,0.0,0,sell,-1128
PILL,2018-05-02,filled,21.73,-1128,sell,-1128
PILL,2018-05-08,submitted,0.0,0,buy,1179
PILL,2018-05-09,filled,21.47,1179,buy,1179
PILL,2018-05-09,submitted,0.0,0,buy,1104
PILL,2018-05-10,filled,22.54,1104,buy,1104
PILL,2018-05-11,submitted,0.0,0,buy,1002
PILL,2018-05-14,filled,24.9,1002,buy,1002
PILL,2018-05-16,submitted,0.0,0,buy,1035
PILL,2018-05-17,filled,25.58,1035,buy,1035
PILL,2018-05-21,submitted,0.0,0,sell,-1085
PILL,2018-05-22,filled,25.16,-1085,sell,-1085
PILL,2018-05-25,submitted,0.0,0,buy,1059
PILL,2018-05-29,filled,24.81,1059,buy,1059
PILL,2018-05-29,submitted,0.0,0,sell,-2131
PILL,2018-05-30,filled,25.93,-2131,sell,-2131
PILL,2018-05-30,submitted,0.0,0,buy,2120
PILL,2018-05-31,filled,25.89,2120,buy,2120
PILL,2018-06-18,submitted,0.0,0,sell,-2121
PILL,2018-06-19,filled,28.66,-2121,sell,-2121
PILL,2018-06-20,submitted,0.0,0,buy,2040
PILL,2018-06-21,filled,29.98,2040,buy,2040
PILL,2018-06-25,submitted,0.0,0,sell,-2087
PILL,2018-06-26,filled,28.13,-2087,sell,-2087
PILL,2018-06-27,submitted,0.0,0,sell,-1047
PILL,2018-06-28,filled,27.82,-1047,sell,-1047
PILL,2018-07-02,submitted,0.0,0,buy,1016
PILL,2018-07-03,filled,29.46,1016,buy,1016
PILL,2018-07-03,submitted,0.0,0,buy,984
PILL,2018-07-05,filled,29.24,984,buy,984
PILL,2018-07-05,submitted,0.0,0,buy,1009
PILL,2018-07-06,filled,29.88,1009,buy,1009
PILL,2018-07-16,submitted,0.0,0,sell,-1025
