symbol,date,status,fill-price,fill-quantity,direction,quantity
RETL,2010-07-20,submitted,0.0,0,buy,198504
RETL,2010-07-21,filled,0.5,198504,buy,198504
RETL,2010-07-28,submitted,0.0,0,sell,-49796
RETL,2010-07-29,filled,0.51,-49796,sell,-49796
RETL,2010-07-30,submitted,0.0,0,sell,-148708
RETL,2010-08-02,filled,0.53,-148708,sell,-148708
RETL,2010-08-02,submitted,0.0,0,buy,194687
RETL,2010-08-03,filled,0.51,194687,buy,194687
RETL,2010-08-06,submitted,0.0,0,sell,-93740
RETL,2010-08-09,filled,0.53,-93740,sell,-93740
RETL,2010-08-09,submitted,0.0,0,buy,100155
RETL,2010-08-10,filled,0.52,100155,buy,100155
RETL,2010-08-11,submitted,0.0,0,sell,-99812
RETL,2010-08-12,filled,0.5,-99812,sell,-99812
RETL,2010-08-12,submitted,0.0,0,sell,-101290
RETL,2010-08-13,filled,0.5,-101290,sell,-101290
RETL,2010-08-17,submitted,0.0,0,buy,49477
RETL,2010-08-18,filled,0.52,49477,buy,49477
RETL,2010-08-18,submitted,0.0,0,buy,143902
RETL,2010-08-19,filled,0.52,143902,buy,143902
RETL,2010-08-19,submitted,0.0,0,sell,-193379
RETL,2010-08-20,filled,0.5,-193379,sell,-193379
RETL,2010-08-25,submitted,0.0,0,buy,94099
RETL,2010-08-26,filled,0.51,94099,buy,94099
RETL,2010-08-30,submitted,0.0,0,sell,-94099
RETL,2010-08-31,filled,0.48,-94099,sell,-94099
RETL,2010-09-01,submitted,0.0,0,buy,177816
RETL,2010-09-02,filled,0.53,177816,buy,177816
RETL,2010-09-17,submitted,0.0,0,sell,-46991
RETL,2010-09-20,filled,0.59,-46991,sell,-46991
RETL,2010-09-20,submitted,0.0,0,buy,42767
RETL,2010-09-21,filled,0.64,42767,buy,42767
RETL,2010-10-04,submitted,0.0,0,sell,-45638
RETL,2010-10-05,filled,0.63,-45638,sell,-45638
RETL,2010-10-05,submitted,0.0,0,buy,41815
RETL,2010-10-06,filled,0.64,41815,buy,41815
RETL,2010-10-12,submitted,0.0,0,sell,-42601
RETL,2010-10-13,filled,0.65,-42601,sell,-42601
RETL,2010-10-14,submitted,0.0,0,sell,-84371
RETL,2010-10-15,filled,0.64,-84371,sell,-84371
RETL,2010-10-15,submitted,0.0,0,buy,41998
RETL,2010-10-18,filled,0.66,41998,buy,41998
RETL,2010-10-19,submitted,0.0,0,sell,-42105
RETL,2010-10-20,filled,0.62,-42105,sell,-42105
RETL,2010-10-21,submitted,0.0,0,buy,121547
RETL,2010-10-22,filled,0.65,121547,buy,121547
RETL,2010-10-27,submitted,0.0,0,sell,-41212
RETL,2010-10-28,filled,0.65,-41212,sell,-41212
RETL,2010-11-02,submitted,0.0,0,buy,40188
RETL,2010-11-03,filled,0.66,40188,buy,40188
RETL,2010-11-09,submitted,0.0,0,sell,-40956
RETL,2010-11-10,filled,0.68,-40956,sell,-40956
RETL,2010-11-15,submitted,0.0,0,sell,-40236
RETL,2010-11-16,filled,0.66,-40236,sell,-40236
RETL,2010-11-19,submitted,0.0,0,buy,39054
RETL,2010-11-22,filled,0.68,39054,buy,39054
RETL,2010-11-22,submitted,0.0,0,buy,39005
RETL,2010-11-23,filled,0.6899999999999991,39005,buy,39005
RETL,2010-12-13,submitted,0.0,0,sell,-39771
RETL,2010-12-14,filled,0.76,-39771,sell,-39771
RETL,2010-12-14,submitted,0.0,0,buy,39889
RETL,2010-12-15,filled,0.76,39889,buy,39889
RETL,2010-12-28,submitted,0.0,0,sell,-40202
RETL,2010-12-29,filled,0.78,-40202,sell,-40202
RETL,2010-12-29,submitted,0.0,0,buy,39293
RETL,2010-12-30,filled,0.79,39293,buy,39293
RETL,2011-01-05,submitted,0.0,0,sell,-79844
RETL,2011-01-06,filled,0.77,-79844,sell,-79844
RETL,2011-01-06,submitted,0.0,0,sell,-39240
RETL,2011-01-07,filled,0.76,-39240,sell,-39240
RETL,2011-01-14,submitted,0.0,0,buy,38798
RETL,2011-01-18,filled,0.77,38798,buy,38798
RETL,2011-01-19,submitted,0.0,0,sell,-39291
RETL,2011-01-20,filled,0.77,-39291,sell,-39291
RETL,2011-01-20,submitted,0.0,0,buy,115999
RETL,2011-01-21,filled,0.79,115999,buy,115999
RETL,2011-01-21,submitted,0.0,0,sell,-40201
RETL,2011-01-24,filled,0.78,-40201,sell,-40201
RETL,2011-01-24,submitted,0.0,0,buy,38330
RETL,2011-01-25,filled,0.78,38330,buy,38330
