symbol,date,status,fill-price,fill-quantity,direction,quantity
SBND,2021-10-27,submitted,0.0,0,buy,1253
SBND,2021-10-28,filled,19.91,1253,buy,1253
SBND,2021-10-28,submitted,0.0,0,buy,1251
SBND,2021-10-29,filled,19.89,1251,buy,1251
SBND,2021-11-01,submitted,0.0,0,sell,-2504
SBND,2021-11-02,filled,19.85,-2504,sell,-2504
SBND,2021-11-04,submitted,0.0,0,buy,3751
SBND,2021-11-05,filled,19.92,3751,buy,3751
SBND,2021-11-09,submitted,0.0,0,buy,1246
SBND,2021-11-10,filled,19.92,1246,buy,1246
SBND,2021-11-10,submitted,0.0,0,sell,-4997
SBND,2021-11-11,filled,19.85,-4997,sell,-4997
SBND,2021-11-30,submitted,0.0,0,buy,1253
SBND,2021-12-01,filled,19.73,1253,buy,1253
SBND,2021-12-03,submitted,0.0,0,buy,1253
SBND,2021-12-06,filled,19.82,1253,buy,1253
SBND,2021-12-10,submitted,0.0,0,buy,1252
SBND,2021-12-13,filled,19.81,1252,buy,1252
SBND,2021-12-14,submitted,0.0,0,sell,-2506
SBND,2021-12-15,filled,19.78,-2506,sell,-2506
SBND,2021-12-15,submitted,0.0,0,sell,-1252
SBND,2021-12-16,filled,19.84,-1252,sell,-1252
SBND,2021-12-16,submitted,0.0,0,buy,3751
SBND,2021-12-17,filled,19.82,3751,buy,3751
SBND,2021-12-30,submitted,0.0,0,sell,-2500
SBND,2021-12-31,filled,19.82,-2500,sell,-2500
SBND,2022-01-03,submitted,0.0,0,sell,-1251
SBND,2022-01-04,filled,19.79,-1251,sell,-1251
SBND,2022-01-12,submitted,0.0,0,buy,1256
SBND,2022-01-13,filled,19.67,1256,buy,1256
SBND,2022-01-13,submitted,0.0,0,sell,-1256
SBND,2022-01-14,filled,19.64,-1256,sell,-1256
SBND,2022-01-21,submitted,0.0,0,buy,1262
SBND,2022-01-24,filled,19.61,1262,buy,1262
SBND,2022-01-26,submitted,0.0,0,sell,-1262
SBND,2022-01-27,filled,19.53,-1262,sell,-1262
SBND,2022-02-02,submitted,0.0,0,buy,1267
SBND,2022-02-03,filled,19.49,1267,buy,1267
SBND,2022-02-04,submitted,0.0,0,sell,-1267
