symbol,date,status,fill-price,fill-quantity,direction,quantity
SDOW,2010-02-24,filled,18235.99,1,buy,1
SDOW,2010-03-02,filled,17644.52,-1,sell,-1
SDOW,2010-04-28,filled,14607.68,3,buy,3
SDOW,2010-04-30,filled,14048.52,-2,sell,-2
SDOW,2010-05-03,filled,14458.57,2,buy,2
SDOW,2010-05-05,filled,15286.12,1,buy,1
SDOW,2010-05-07,filled,16799.57,2,buy,2
SDOW,2010-05-11,filled,15639.01,-2,sell,-2
SDOW,2010-05-19,filled,16541.12,2,buy,2
SDOW,2010-05-28,filled,17333.88,-2,sell,-2
SDOW,2010-06-03,filled,16995.9,-1,sell,-1
SDOW,2010-06-07,filled,18655.97,2,buy,2
SDOW,2010-06-11,filled,17768.78,-2,sell,-2
SDOW,2010-06-14,filled,16747.38,-2,sell,-2
SDOW,2010-06-23,filled,16578.39,2,buy,2
SDOW,2010-06-25,filled,17207.13,1,buy,1
SDOW,2010-06-30,filled,18887.09,1,buy,1
SDOW,2010-07-08,filled,17455.65,-2,sell,-2
SDOW,2010-07-12,filled,16941.22,-2,sell,-2
SDOW,2010-07-14,filled,16136.04,-1,sell,-1
SDOW,2010-07-19,filled,17043.12,2,buy,2
SDOW,2010-07-22,filled,16610.7,2,buy,2
SDOW,2010-07-23,filled,16148.47,-4,sell,-4
SDOW,2010-08-12,filled,16126.1,3,buy,3
SDOW,2010-08-13,filled,15979.48,1,buy,1
SDOW,2010-08-18,filled,15477.48,-1,sell,-1
SDOW,2010-08-23,filled,16051.54,1,buy,1
SDOW,2010-08-25,filled,17351.28,2,buy,2
SDOW,2010-08-30,filled,16633.07,-2,sell,-2
SDOW,2010-09-02,filled,15738.42,-3,sell,-3
SDOW,2010-09-03,filled,15137.01,-1,sell,-1
SDOW,2010-10-20,filled,12627.02,1,buy,1
SDOW,2010-10-22,filled,12100.17,-1,sell,-1
SDOW,2010-11-12,filled,11757.22,2,buy,2
SDOW,2010-11-15,filled,11789.52,2,buy,2
SDOW,2010-11-17,filled,12333.77,1,buy,1
SDOW,2010-11-19,filled,11874.02,-1,sell,-1
SDOW,2010-11-24,filled,12047.98,1,buy,1
SDOW,2010-11-26,filled,12062.89,-3,sell,-3
SDOW,2010-12-02,filled,11429.18,-2,sell,-2
SDOW,2011-01-31,filled,9709.46,4,buy,4
SDOW,2011-02-02,filled,9304.38,-4,sell,-4
SDOW,2011-02-23,filled,8787.47,2,buy,2
SDOW,2011-02-24,filled,8998.71,3,buy,3
SDOW,2011-03-01,filled,8625.93,-3,sell,-3
SDOW,2011-03-02,filled,9095.63,5,buy,5
SDOW,2011-03-04,filled,8588.66,-7,sell,-7
SDOW,2011-03-08,filled,8919.18,2,buy,2
SDOW,2011-03-11,filled,9259.65,5,buy,5
SDOW,2011-03-17,filled,9642.36,2,buy,2
SDOW,2011-03-22,filled,8939.06,-7,sell,-7
SDOW,2011-03-24,filled,8712.91,-2,sell,-2
SDOW,2011-04-13,filled,8275.53,5,buy,5
SDOW,2011-04-19,filled,8511.62,2,buy,2
SDOW,2011-04-21,filled,7952.46,-7,sell,-7
SDOW,2011-05-05,filled,7587.14,2,buy,2
SDOW,2011-05-06,filled,7529.99,3,buy,3
SDOW,2011-05-11,filled,7470.34,-3,sell,-3
SDOW,2011-05-17,filled,7862.99,3,buy,3
SDOW,2011-05-18,filled,7865.48,2,buy,2
SDOW,2011-05-20,filled,7666.67,-2,sell,-2
SDOW,2011-05-24,filled,7972.34,2,buy,2
SDOW,2011-05-31,filled,7681.58,-2,sell,-2
SDOW,2011-06-01,filled,7726.31,-3,sell,-3
SDOW,2011-06-02,filled,8153.76,5,buy,5
SDOW,2011-06-06,filled,8491.74,3,buy,3
SDOW,2011-06-21,filled,8429.61,-5,sell,-5
SDOW,2011-06-27,filled,8782.5,4,buy,4
SDOW,2011-06-29,filled,8193.52,-7,sell,-7
SDOW,2011-07-01,filled,7793.41,-2,sell,-2
SDOW,2011-07-12,filled,7607.03,2,buy,2
SDOW,2011-07-15,filled,7629.39,3,buy,3
SDOW,2011-07-20,filled,7395.79,-5,sell,-5
SDOW,2011-07-27,filled,7646.79,2,buy,2
SDOW,2011-07-28,filled,7920.15,5,buy,5
SDOW,2011-08-01,filled,7912.7,2,buy,2
SDOW,2011-08-15,filled,9336.69,-2,sell,-2
SDOW,2011-08-16,filled,9282.01,-3,sell,-3
SDOW,2011-08-19,filled,10599.14,3,buy,3
SDOW,2011-08-22,filled,10015.13,2,buy,2
SDOW,2011-08-25,filled,9150.3,-5,sell,-5
SDOW,2011-08-29,filled,9003.68,-2,sell,-2
SDOW,2011-09-06,filled,10084.71,2,buy,2
SDOW,2011-09-07,filled,9217.4,2,buy,2
SDOW,2011-09-12,filled,10300.92,2,buy,2
SDOW,2011-09-15,filled,8973.86,-2,sell,-2
SDOW,2011-09-16,filled,8638.36,-4,sell,-4
SDOW,2011-09-22,filled,10248.73,4,buy,4
SDOW,2011-09-23,filled,10636.42,1,buy,1
SDOW,2011-09-28,filled,9078.23,-2,sell,-2
SDOW,2011-10-03,filled,10025.07,2,buy,2
SDOW,2011-10-07,filled,8993.74,-6,sell,-6
SDOW,2011-10-11,filled,8538.95,-1,sell,-1
SDOW,2011-10-18,filled,8519.07,2,buy,2
SDOW,2011-10-24,filled,7487.74,-2,sell,-2
SDOW,2011-11-02,filled,7420.64,4,buy,4
SDOW,2011-11-04,filled,7105.03,-4,sell,-4
SDOW,2011-11-10,filled,7119.94,4,buy,4
SDOW,2011-11-14,filled,6712.37,-4,sell,-4
SDOW,2011-11-17,filled,7095.09,2,buy,2
SDOW,2011-11-18,filled,7229.28,2,buy,2
SDOW,2011-11-22,filled,7788.44,2,buy,2
SDOW,2011-11-29,filled,7659.21,-2,sell,-2
SDOW,2011-12-01,filled,6712.37,-4,sell,-4
SDOW,2011-12-09,filled,6632.85,2,buy,2
SDOW,2011-12-14,filled,6844.09,2,buy,2
SDOW,2011-12-21,filled,6446.46,-4,sell,-4
SDOW,2012-02-16,filled,5348.03,2,buy,2
SDOW,2012-02-17,filled,5144.25,-2,sell,-2
SDOW,2012-03-07,filled,5340.57,8,buy,8
SDOW,2012-03-09,filled,5131.82,-3,sell,-3
SDOW,2012-03-12,filled,5144.25,-3,sell,-3
SDOW,2012-03-13,filled,5034.9,-2,sell,-2
SDOW,2012-03-21,filled,4833.6,3,buy,3
SDOW,2012-03-23,filled,4977.74,2,buy,2
SDOW,2012-03-27,filled,4741.65,-5,sell,-5
SDOW,2012-04-05,filled,4980.229999999999,5,buy,5
SDOW,2012-04-09,filled,5106.97,3,buy,3
SDOW,2012-04-11,filled,5188.979999999999,3,buy,3
SDOW,2012-04-13,filled,5042.36,-6,sell,-6
SDOW,2012-04-18,filled,4923.07,-5,sell,-5
SDOW,2012-04-24,filled,5015.020000000001,5,buy,5
SDOW,2012-04-26,filled,4868.4,-5,sell,-5
SDOW,2012-05-07,filled,4972.770000000001,5,buy,5
SDOW,2012-05-09,filled,5146.729999999999,3,buy,3
SDOW,2012-05-10,filled,5049.810000000001,3,buy,3
SDOW,2012-05-25,filled,5474.770000000001,-3,sell,-3
SDOW,2012-05-30,filled,5517.020000000001,-3,sell,-3
SDOW,2012-06-01,filled,5840.09,3,buy,3
SDOW,2012-06-04,filled,5974.29,2,buy,2
SDOW,2012-06-07,filled,5380.34,-5,sell,-5
SDOW,2012-06-11,filled,5231.229999999999,-3,sell,-3
SDOW,2012-06-18,filled,5134.310000000001,-2,sell,-2
SDOW,2012-06-22,filled,5196.439999999999,5,buy,5
SDOW,2012-06-26,filled,5338.09,3,buy,3
SDOW,2012-06-29,filled,4980.229999999999,-3,sell,-3
SDOW,2012-07-02,filled,4883.310000000001,-5,sell,-5
SDOW,2012-07-09,filled,5022.479999999999,2,buy,2
SDOW,2012-07-12,filled,5285.9,5,buy,5
SDOW,2012-07-16,filled,5024.96,-5,sell,-5
SDOW,2012-07-18,filled,4987.68,-2,sell,-2
SDOW,2012-07-24,filled,5027.45,2,buy,2
SDOW,2012-07-25,filled,5059.75,5,buy,5
SDOW,2012-07-27,filled,4776.45,-7,sell,-7
SDOW,2012-08-03,filled,4639.76,2,buy,2
SDOW,2012-08-06,filled,4550.3,-2,sell,-2
SDOW,2012-08-23,filled,4473.26,2,buy,2
SDOW,2012-08-24,filled,4580.12,3,buy,3
SDOW,2012-08-31,filled,4530.42,3,buy,3
SDOW,2012-09-07,filled,4296.810000000001,-8,sell,-8
SDOW,2012-09-26,filled,4112.91,5,buy,5
SDOW,2012-10-05,filled,3949.52,-5,sell,-5
SDOW,2012-10-10,filled,4104.22,2,buy,2
SDOW,2012-10-11,filled,4147.71,6,buy,6
SDOW,2012-10-17,filled,4043.33,-8,sell,-8
SDOW,2012-10-22,filled,4211.08,8,buy,8
SDOW,2012-10-24,filled,4387.520000000001,3,buy,3
SDOW,2012-11-02,filled,4228.47,-3,sell,-3
SDOW,2012-11-07,filled,4373.85,-3,sell,-3
SDOW,2012-11-08,filled,4557.13,5,buy,5
SDOW,2012-11-20,filled,4702.51,-2,sell,-2
