symbol,date,status,fill-price,fill-quantity,direction,quantity
SMDD,2010-04-27,submitted,0.0,0,buy,1
SMDD,2010-04-28,filled,23451.45,1,buy,1
SMDD,2010-04-30,submitted,0.0,0,buy,1
SMDD,2010-05-03,filled,23638.5,1,buy,1
SMDD,2010-05-04,submitted,0.0,0,buy,1
SMDD,2010-05-05,filled,25443.23,1,buy,1
SMDD,2010-05-11,submitted,0.0,0,sell,-1
SMDD,2010-05-12,filled,25038.81,-1,sell,-1
SMDD,2010-05-12,submitted,0.0,0,sell,-2
SMDD,2010-05-13,filled,23795.21,-2,sell,-2
SMDD,2010-05-14,submitted,0.0,0,buy,1
SMDD,2010-05-17,filled,25594.89,1,buy,1
SMDD,2010-05-19,submitted,0.0,0,buy,2
SMDD,2010-05-20,filled,29871.66,2,buy,2
SMDD,2010-05-27,submitted,0.0,0,sell,-2
SMDD,2010-05-28,filled,27293.47,-2,sell,-2
SMDD,2010-06-04,submitted,0.0,0,buy,2
SMDD,2010-06-07,filled,30331.69,2,buy,2
SMDD,2010-06-10,submitted,0.0,0,sell,-1
SMDD,2010-06-11,filled,29482.4,-1,sell,-1
SMDD,2010-06-11,submitted,0.0,0,sell,-2
SMDD,2010-06-14,filled,26732.33,-2,sell,-2
SMDD,2010-06-22,submitted,0.0,0,buy,2
SMDD,2010-06-23,filled,28329.8,2,buy,2
SMDD,2010-06-24,submitted,0.0,0,buy,1
SMDD,2010-06-25,filled,30048.59,1,buy,1
SMDD,2010-07-07,submitted,0.0,0,sell,-1
SMDD,2010-07-08,filled,30058.71,-1,sell,-1
SMDD,2010-07-08,submitted,0.0,0,sell,-1
SMDD,2010-07-09,filled,30094.09,-1,sell,-1
SMDD,2010-07-13,submitted,0.0,0,sell,-1
SMDD,2010-07-14,filled,27460.29,-1,sell,-1
SMDD,2010-07-16,submitted,0.0,0,buy,1
SMDD,2010-07-19,filled,29851.44,1,buy,1
SMDD,2010-07-22,submitted,0.0,0,sell,-1
SMDD,2010-07-23,filled,27237.86,-1,sell,-1
SMDD,2010-08-11,submitted,0.0,0,buy,2
SMDD,2010-08-12,filled,29113.37,2,buy,2
SMDD,2010-08-17,submitted,0.0,0,sell,-1
SMDD,2010-08-18,filled,27071.03,-1,sell,-1
SMDD,2010-08-23,submitted,0.0,0,buy,1
SMDD,2010-08-24,filled,30104.2,1,buy,1
SMDD,2010-09-01,submitted,0.0,0,sell,-2
SMDD,2010-09-02,filled,26631.22,-2,sell,-2
SMDD,2010-10-19,submitted,0.0,0,buy,1
SMDD,2010-10-20,filled,19958.25,1,buy,1
SMDD,2010-10-22,submitted,0.0,0,sell,-1
SMDD,2010-10-25,filled,18502.33,-1,sell,-1
SMDD,2010-11-12,submitted,0.0,0,buy,1
SMDD,2010-11-15,filled,17395.22,1,buy,1
SMDD,2010-11-16,submitted,0.0,0,buy,1
SMDD,2010-11-17,filled,18264.73,1,buy,1
SMDD,2010-11-18,submitted,0.0,0,sell,-1
SMDD,2010-11-19,filled,17460.94,-1,sell,-1
SMDD,2010-11-22,submitted,0.0,0,sell,-1
SMDD,2010-11-23,filled,17400.28,-1,sell,-1
SMDD,2010-12-31,submitted,0.0,0,buy,1
SMDD,2011-01-03,filled,13538.04,1,buy,1
SMDD,2011-01-03,submitted,0.0,0,sell,-1
SMDD,2011-01-04,filled,13260.0,-1,sell,-1
SMDD,2011-01-20,submitted,0.0,0,buy,1
SMDD,2011-01-21,filled,13254.95,1,buy,1
SMDD,2011-01-21,submitted,0.0,0,buy,1
SMDD,2011-01-24,filled,13472.32,1,buy,1
SMDD,2011-01-26,submitted,0.0,0,sell,-2
SMDD,2011-01-27,filled,12774.7,-2,sell,-2
SMDD,2011-01-28,submitted,0.0,0,buy,2
SMDD,2011-01-31,filled,13128.57,2,buy,2
SMDD,2011-02-01,submitted,0.0,0,sell,-2
SMDD,2011-02-02,filled,12466.32,-2,sell,-2
SMDD,2011-02-22,submitted,0.0,0,buy,3
SMDD,2011-02-23,filled,11515.93,3,buy,3
SMDD,2011-02-28,submitted,0.0,0,sell,-2
SMDD,2011-03-01,filled,11101.4,-2,sell,-2
SMDD,2011-03-03,submitted,0.0,0,sell,-1
SMDD,2011-03-04,filled,10823.36,-1,sell,-1
SMDD,2011-03-10,submitted,0.0,0,buy,4
SMDD,2011-03-11,filled,12056.85,4,buy,4
SMDD,2011-03-21,submitted,0.0,0,sell,-4
SMDD,2011-03-22,filled,11182.28,-4,sell,-4
SMDD,2011-04-07,submitted,0.0,0,buy,1
SMDD,2011-04-08,filled,9918.46,1,buy,1
SMDD,2011-04-11,submitted,0.0,0,buy,2
SMDD,2011-04-12,filled,10651.48,2,buy,2
SMDD,2011-04-15,submitted,0.0,0,sell,-2
SMDD,2011-04-18,filled,10803.14,-2,sell,-2
SMDD,2011-04-18,submitted,0.0,0,buy,4
SMDD,2011-04-19,filled,10777.86,4,buy,4
SMDD,2011-04-20,submitted,0.0,0,sell,-5
SMDD,2011-04-21,filled,10004.4,-5,sell,-5
SMDD,2011-05-03,submitted,0.0,0,buy,1
SMDD,2011-05-04,filled,9787.03,1,buy,1
SMDD,2011-05-04,submitted,0.0,0,buy,2
SMDD,2011-05-05,filled,10287.5,2,buy,2
SMDD,2011-05-10,submitted,0.0,0,sell,-3
SMDD,2011-05-11,filled,9559.54,-3,sell,-3
SMDD,2011-05-16,submitted,0.0,0,buy,4
SMDD,2011-05-17,filled,10378.49,4,buy,4
SMDD,2011-05-26,submitted,0.0,0,sell,-1
SMDD,2011-05-27,filled,10034.73,-1,sell,-1
SMDD,2011-05-27,submitted,0.0,0,sell,-2
SMDD,2011-05-31,filled,9655.59,-2,sell,-2
SMDD,2011-05-31,submitted,0.0,0,sell,-1
SMDD,2011-06-01,filled,9665.7,-1,sell,-1
SMDD,2011-06-01,submitted,0.0,0,buy,4
SMDD,2011-06-02,filled,10327.94,4,buy,4
SMDD,2011-06-03,submitted,0.0,0,buy,2
SMDD,2011-06-06,filled,10884.02,2,buy,2
SMDD,2011-06-14,submitted,0.0,0,sell,-2
SMDD,2011-06-15,filled,11566.48,-2,sell,-2
SMDD,2011-06-21,submitted,0.0,0,sell,-1
SMDD,2011-06-22,filled,10919.41,-1,sell,-1
SMDD,2011-06-28,submitted,0.0,0,sell,-2
SMDD,2011-06-29,filled,10378.49,-2,sell,-2
SMDD,2011-06-30,submitted,0.0,0,sell,-1
SMDD,2011-07-01,filled,10014.51,-1,sell,-1
SMDD,2011-07-11,submitted,0.0,0,buy,1
SMDD,2011-07-12,filled,9953.85,1,buy,1
SMDD,2011-07-12,submitted,0.0,0,buy,2
SMDD,2011-07-13,filled,9817.36,2,buy,2
SMDD,2011-07-18,submitted,0.0,0,buy,1
SMDD,2011-07-19,filled,10171.23,1,buy,1
SMDD,2011-07-19,submitted,0.0,0,sell,-1
SMDD,2011-07-20,filled,9842.63,-1,sell,-1
SMDD,2011-07-20,submitted,0.0,0,sell,-2
SMDD,2011-07-21,filled,9792.08,-2,sell,-2
SMDD,2011-07-21,submitted,0.0,0,sell,-1
