symbol,date,status,fill-price,fill-quantity,direction,quantity
SOXS,2014-04-11,filled,70570.51,1,buy,1
SOXS,2014-04-21,filled,64892.95,-1,sell,-1
SOXS,2014-04-29,filled,66910.59,1,buy,1
SOXS,2014-05-13,filled,60716.9,-1,sell,-1
SOXS,2014-07-24,filled,46687.27,1,buy,1
SOXS,2014-08-14,filled,49643.34,-1,sell,-1
SOXS,2014-09-15,filled,44270.79,1,buy,1
SOXS,2014-09-18,filled,41596.24,-1,sell,-1
SOXS,2014-09-26,filled,43754.65,1,buy,1
SOXS,2014-10-22,filled,48048.0,-1,sell,-1
SOXS,2014-12-15,filled,33572.6,1,buy,1
SOXS,2014-12-16,filled,35027.18,1,buy,1
SOXS,2014-12-19,filled,30898.05,-2,sell,-2
SOXS,2015-01-05,filled,31672.27,1,buy,1
SOXS,2015-01-12,filled,32000.72,-1,sell,-1
SOXS,2015-01-13,filled,32493.39,1,buy,1
SOXS,2015-01-22,filled,32728.01,-1,sell,-1
SOXS,2015-02-02,filled,35496.4,2,buy,2
SOXS,2015-02-05,filled,32868.78,-1,sell,-1
SOXS,2015-02-06,filled,31859.95,-1,sell,-1
SOXS,2015-03-11,filled,27543.14,1,buy,1
SOXS,2015-03-13,filled,27449.3,1,buy,1
SOXS,2015-03-17,filled,26018.18,-2,sell,-2
SOXS,2015-03-26,filled,31437.66,1,buy,1
SOXS,2015-04-10,filled,26440.48,-1,sell,-1
SOXS,2015-04-27,filled,27566.6,1,buy,1
SOXS,2015-05-01,filled,27707.37,1,buy,1
SOXS,2015-05-04,filled,25783.57,-2,sell,-2
SOXS,2015-05-06,filled,27918.51,1,buy,1
SOXS,2015-05-07,filled,27801.21,1,buy,1
SOXS,2015-05-11,filled,26487.4,-2,sell,-2
SOXS,2015-06-08,filled,23226.33,1,buy,1
SOXS,2015-06-10,filled,24111.98,1,buy,1
SOXS,2015-06-19,filled,22915.47,-2,sell,-2
SOXS,2015-06-25,filled,23830.45,1,buy,1
