symbol,date,status,fill-price,fill-quantity,direction,quantity
SPXL,2008-11-26,filled,2.07,11380,buy,11380
SPXL,2008-11-28,filled,2.39,10030,buy,10030
SPXL,2008-12-02,filled,1.94,-21410,sell,-21410
SPXL,2008-12-08,filled,2.43,10528,buy,10528
SPXL,2008-12-09,filled,2.41,17960,buy,17960
SPXL,2008-12-23,filled,2.24,-8729,sell,-8729
SPXL,2008-12-24,filled,2.17,-9704,sell,-9704
SPXL,2008-12-31,filled,2.36,8804,buy,8804
SPXL,2009-01-02,filled,2.48,8923,buy,8923
SPXL,2009-01-05,filled,2.64,8245,buy,8245
SPXL,2009-01-12,filled,2.34,-17980,sell,-17980
SPXL,2009-01-13,filled,2.17,-18047,sell,-18047
SPXL,2009-01-29,filled,2.07,18886,buy,18886
SPXL,2009-02-02,filled,1.75,-8448,sell,-8448
SPXL,2009-02-03,filled,1.8599999999999999,-10438,sell,-10438
SPXL,2009-02-06,filled,1.99,9715,buy,9715
SPXL,2009-02-09,filled,2.12,17648,buy,17648
SPXL,2009-02-11,filled,1.87,-27363,sell,-27363
SPXL,2009-03-11,filled,1.2,15280,buy,15280
SPXL,2009-03-13,filled,1.34,12167,buy,12167
SPXL,2009-03-18,filled,1.42,11645,buy,11645
SPXL,2009-03-31,filled,1.53,-26132,sell,-26132
SPXL,2009-04-03,filled,1.75,21933,buy,21933
SPXL,2009-04-06,filled,1.75,11215,buy,11215
SPXL,2009-04-08,filled,1.6600000000000001,-11243,sell,-11243
SPXL,2009-04-13,filled,1.83,10174,buy,10174
SPXL,2009-04-21,filled,1.69,-22375,sell,-22375
SPXL,2009-04-27,filled,1.87,19698,buy,19698
SPXL,2009-05-14,filled,2.05,-20870,sell,-20870
SPXL,2009-05-19,filled,2.21,9495,buy,9495
SPXL,2009-05-22,filled,2.1,-9970,sell,-9970
SPXL,2009-05-26,filled,2.02,-10440,sell,-10440
SPXL,2009-05-27,filled,2.23,29061,buy,29061
SPXL,2009-06-16,filled,2.35,-19841,sell,-19841
SPXL,2009-06-17,filled,2.22,-9638,sell,-9638
SPXL,2009-06-26,filled,2.25,9794,buy,9794
SPXL,2009-06-30,filled,2.33,9735,buy,9735
SPXL,2009-07-06,filled,2.05,-19559,sell,-19559
SPXL,2009-07-08,filled,2.02,-10129,sell,-10129
SPXL,2009-07-14,filled,2.14,9837,buy,9837
SPXL,2009-07-15,filled,2.25,9507,buy,9507
SPXL,2009-07-16,filled,2.33,17379,buy,17379
SPXL,2009-08-12,filled,2.86,-9102,sell,-9102
SPXL,2009-08-14,filled,3.04,8676,buy,8676
SPXL,2009-08-18,filled,2.759999999999999,-27243,sell,-27243
SPXL,2009-08-21,filled,3.04,16647,buy,16647
SPXL,2009-08-24,filled,3.18,7720,buy,7720
SPXL,2009-09-02,filled,2.84,-25104,sell,-25104
SPXL,2009-09-08,filled,3.14,7452,buy,7452
SPXL,2009-09-09,filled,3.15,15079,buy,15079
SPXL,2009-09-25,filled,3.35,-15458,sell,-15458
SPXL,2009-10-02,filled,3.09,-7493,sell,-7493
SPXL,2009-10-07,filled,3.39,6963,buy,6963
SPXL,2009-10-09,filled,3.5300000000000002,14437,buy,14437
SPXL,2009-10-22,filled,3.66,-7332,sell,-7332
SPXL,2009-10-26,filled,3.66,-7307,sell,-7307
SPXL,2009-10-28,filled,3.44,-7142,sell,-7142
SPXL,2009-11-02,filled,3.22,-7516,sell,-7516
SPXL,2009-11-06,filled,3.42,14673,buy,14673
SPXL,2009-11-09,filled,3.59,7423,buy,7423
SPXL,2009-11-10,filled,3.7199999999999998,6727,buy,6727
SPXL,2009-11-20,filled,3.7,-7173,sell,-7173
SPXL,2009-11-23,filled,3.85,-7241,sell,-7241
SPXL,2009-11-27,filled,3.6,13933,buy,13933
SPXL,2009-11-30,filled,3.71,-13600,sell,-13600
SPXL,2009-12-02,filled,3.89,14045,buy,14045
SPXL,2009-12-09,filled,3.74,-21598,sell,-21598
SPXL,2009-12-14,filled,3.9699999999999998,13703,buy,13703
SPXL,2009-12-15,filled,3.94,6575,buy,6575
SPXL,2009-12-18,filled,3.88,-6822,sell,-6822
SPXL,2009-12-22,filled,4.03,6666,buy,6666
SPXL,2010-01-04,filled,4.12,-6872,sell,-6872
SPXL,2010-01-05,filled,4.21,6646,buy,6646
SPXL,2010-01-19,filled,4.24,-6766,sell,-6766
SPXL,2010-01-20,filled,4.309999999999999,6520,buy,6520
SPXL,2010-01-22,filled,3.99,-20100,sell,-20100
SPXL,2010-01-25,filled,3.87,-6739,sell,-6739
SPXL,2010-02-03,filled,3.8200000000000003,6892,buy,6892
SPXL,2010-02-05,filled,3.47,-6892,sell,-6892
SPXL,2010-02-12,filled,3.51,7197,buy,7197
SPXL,2010-02-17,filled,3.85,6785,buy,6785
SPXL,2010-02-18,filled,3.83,6783,buy,6783
SPXL,2010-02-24,filled,3.83,-6863,sell,-6863
SPXL,2010-03-02,filled,4.08,13176,buy,13176
SPXL,2010-04-19,filled,4.92,-6894,sell,-6894
SPXL,2010-04-23,filled,5.17,6395,buy,6395
SPXL,2010-04-28,filled,4.940000000000001,-19940,sell,-19940
SPXL,2010-04-30,filled,5.15,6250,buy,6250
SPXL,2010-05-03,filled,4.95,-6285,sell,-6285
SPXL,2010-05-07,filled,4.11,-6604,sell,-6604
SPXL,2010-05-13,filled,4.61,13395,buy,13395
SPXL,2010-05-17,filled,4.26,-13395,sell,-13395
SPXL,2010-05-28,filled,3.84,7760,buy,7760
SPXL,2010-06-04,filled,3.62,7827,buy,7827
SPXL,2010-06-07,filled,3.47,-15587,sell,-15587
SPXL,2010-06-11,filled,3.54,7919,buy,7919
SPXL,2010-06-14,filled,3.7800000000000002,7861,buy,7861
SPXL,2010-06-16,filled,3.87,7026,buy,7026
SPXL,2010-06-23,filled,3.7199999999999998,-7325,sell,-7325
SPXL,2010-06-24,filled,3.62,-7696,sell,-7696
SPXL,2010-06-25,filled,3.51,-7785,sell,-7785
SPXL,2010-07-08,filled,3.41,8477,buy,8477
SPXL,2010-07-09,filled,3.42,8024,buy,8024
SPXL,2010-07-14,filled,3.64,7349,buy,7349
SPXL,2010-07-19,filled,3.4,-15706,sell,-15706
SPXL,2010-07-21,filled,3.6,7606,buy,7606
SPXL,2010-07-22,filled,3.52,-7749,sell,-7749
SPXL,2010-07-23,filled,3.6,15038,buy,15038
SPXL,2010-08-03,filled,3.92,7163,buy,7163
SPXL,2010-08-12,filled,3.42,-22645,sell,-22645
SPXL,2010-08-13,filled,3.48,-7557,sell,-7557
SPXL,2010-08-18,filled,3.61,7186,buy,7186
SPXL,2010-08-20,filled,3.42,-7186,sell,-7186
SPXL,2010-09-02,filled,3.51,14655,buy,14655
SPXL,2010-09-03,filled,3.7,6954,buy,6954
SPXL,2010-09-07,filled,3.68,6718,buy,6718
SPXL,2010-09-24,filled,4.08,-7025,sell,-7025
SPXL,2010-09-27,filled,4.2,6904,buy,6904
SPXL,2010-10-20,filled,4.43,-7069,sell,-7069
SPXL,2010-10-26,filled,4.57,6719,buy,6719
SPXL,2010-11-15,filled,4.86,-13886,sell,-13886
SPXL,2010-11-17,filled,4.58,-6766,sell,-6766
SPXL,2010-11-22,filled,4.769999999999999,6627,buy,6627
SPXL,2010-11-24,filled,4.71,-6739,sell,-6739
SPXL,2010-11-26,filled,4.72,13543,buy,13543
SPXL,2010-12-01,filled,4.82,-6543,sell,-6543
SPXL,2010-12-02,filled,4.940000000000001,13486,buy,13486
SPXL,2011-01-20,filled,5.88,-6933,sell,-6933
SPXL,2011-01-27,filled,6.13,6606,buy,6606
SPXL,2011-01-31,filled,5.9,-13637,sell,-13637
SPXL,2011-02-02,filled,6.22,12821,buy,12821
SPXL,2011-02-23,filled,6.4,-13183,sell,-13183
SPXL,2011-02-24,filled,6.26,-6569,sell,-6569
SPXL,2011-03-01,filled,6.67,12630,buy,12630
SPXL,2011-03-02,filled,6.24,-6342,sell,-6342
SPXL,2011-03-04,filled,6.63,12230,buy,12230
SPXL,2011-03-08,filled,6.37,-6304,sell,-6304
SPXL,2011-03-11,filled,6.04,-12534,sell,-12534
SPXL,2011-03-16,filled,5.87,-6363,sell,-6363
SPXL,2011-03-22,filled,6.14,6232,buy,6232
SPXL,2011-03-24,filled,6.230000000000001,6244,buy,6244
SPXL,2011-03-25,filled,6.36,5894,buy,5894
SPXL,2011-03-28,filled,6.41,6015,buy,6015
SPXL,2011-04-11,filled,6.63,-6127,sell,-6127
SPXL,2011-04-12,filled,6.43,-6047,sell,-6047
SPXL,2011-04-19,filled,6.3,-5997,sell,-5997
SPXL,2011-04-21,filled,6.73,17600,buy,17600
SPXL,2011-05-05,filled,6.76,-6130,sell,-6130
SPXL,2011-05-06,filled,6.9,-5872,sell,-5872
SPXL,2011-05-11,filled,7.03,5576,buy,5576
SPXL,2011-05-17,filled,6.55,-11494,sell,-11494
SPXL,2011-05-20,filled,6.8,5553,buy,5553
SPXL,2011-05-24,filled,6.5,-5543,sell,-5543
SPXL,2011-05-25,filled,6.35,-5904,sell,-5904
SPXL,2011-05-31,filled,6.86,11372,buy,11372
SPXL,2011-06-01,filled,6.83,10721,buy,10721
SPXL,2011-06-02,filled,6.440000000000001,-22093,sell,-22093
SPXL,2011-06-15,filled,5.86,5939,buy,5939
SPXL,2011-06-16,filled,5.71,-5939,sell,-5939
SPXL,2011-06-22,filled,6.05,11604,buy,11604
SPXL,2011-06-27,filled,5.769999999999999,-11604,sell,-11604
SPXL,2011-06-29,filled,6.21,16934,buy,16934
SPXL,2011-07-05,filled,6.74,4922,buy,4922
SPXL,2011-07-12,filled,6.41,-5462,sell,-5462
SPXL,2011-07-13,filled,6.47,-10923,sell,-10923
SPXL,2011-07-20,filled,6.59,5340,buy,5340
SPXL,2011-07-22,filled,6.79,10366,buy,10366
SPXL,2011-07-28,filled,6.2,-21177,sell,-21177
SPXL,2011-08-16,filled,4.47,7128,buy,7128
SPXL,2011-08-19,filled,3.73,-7128,sell,-7128
SPXL,2011-08-25,filled,4.29,7453,buy,7453
SPXL,2011-08-30,filled,4.53,13491,buy,13491
SPXL,2011-09-06,filled,3.8200000000000003,-6571,sell,-6571
SPXL,2011-09-07,filled,4.28,-7254,sell,-7254
SPXL,2011-09-12,filled,3.81,-7119,sell,-7119
SPXL,2011-09-15,filled,4.47,6685,buy,6685
SPXL,2011-09-16,filled,4.61,12447,buy,12447
SPXL,2011-09-22,filled,3.7,-19132,sell,-19132
SPXL,2011-09-28,filled,4.15,6014,buy,6014
SPXL,2011-10-03,filled,3.5700000000000003,-6014,sell,-6014
SPXL,2011-10-07,filled,4.01,12094,buy,12094
SPXL,2011-10-11,filled,4.18,5294,buy,5294
SPXL,2011-10-24,filled,4.730000000000001,5290,buy,5290
SPXL,2011-11-02,filled,4.66,-11363,sell,-11363
SPXL,2011-11-04,filled,4.82,5174,buy,5174
SPXL,2011-11-07,filled,4.86,5697,buy,5697
SPXL,2011-11-10,filled,4.74,-16641,sell,-16641
SPXL,2011-11-14,filled,4.88,10601,buy,10601
SPXL,2011-11-17,filled,4.62,-10658,sell,-10658
SPXL,2011-11-22,filled,4.13,-5488,sell,-5488
SPXL,2011-11-29,filled,4.18,5970,buy,5970
SPXL,2011-12-01,filled,4.66,15742,buy,15742
