symbol,date,status,fill-price,fill-quantity,direction,quantity
SPXS,2009-01-20,submitted,0.0,0,buy,1
SPXS,2009-01-21,filled,90590.81,1,buy,1
SPXS,2009-01-27,submitted,0.0,0,sell,-1
SPXS,2009-01-28,filled,76259.91,-1,sell,-1
SPXS,2009-06-22,submitted,0.0,0,buy,1
SPXS,2009-06-23,filled,47328.68,1,buy,1
SPXS,2009-06-25,submitted,0.0,0,sell,-1
SPXS,2009-06-26,filled,43678.59,-1,sell,-1
SPXS,2009-07-02,submitted,0.0,0,buy,1
SPXS,2009-07-06,filled,47524.66,1,buy,1
SPXS,2009-07-13,submitted,0.0,0,sell,-1
SPXS,2009-07-14,filled,45148.43,-1,sell,-1
SPXS,2009-08-17,submitted,0.0,0,buy,1
SPXS,2009-08-18,filled,33720.45,1,buy,1
SPXS,2009-08-20,submitted,0.0,0,sell,-1
SPXS,2009-08-21,filled,30511.32,-1,sell,-1
SPXS,2009-09-01,submitted,0.0,0,buy,1
SPXS,2009-09-02,filled,32287.37,1,buy,1
SPXS,2009-09-04,submitted,0.0,0,sell,-1
SPXS,2009-09-08,filled,29200.71,-1,sell,-1
SPXS,2009-09-24,submitted,0.0,0,buy,1
SPXS,2009-09-25,filled,27081.7,1,buy,1
SPXS,2009-10-07,submitted,0.0,0,sell,-1
SPXS,2009-10-08,filled,25305.65,-1,sell,-1
SPXS,2009-10-26,submitted,0.0,0,buy,1
SPXS,2009-10-27,filled,24962.69,1,buy,1
SPXS,2009-10-28,submitted,0.0,0,buy,1
SPXS,2009-10-29,filled,26395.78,1,buy,1
SPXS,2009-11-05,submitted,0.0,0,sell,-2
SPXS,2009-11-06,filled,25317.9,-2,sell,-2
SPXS,2009-11-27,submitted,0.0,0,buy,1
SPXS,2009-11-30,filled,22892.68,1,buy,1
SPXS,2009-12-01,submitted,0.0,0,sell,-1
SPXS,2009-12-02,filled,21778.05,-1,sell,-1
SPXS,2009-12-08,submitted,0.0,0,buy,1
SPXS,2009-12-09,filled,22696.7,1,buy,1
SPXS,2009-12-11,submitted,0.0,0,sell,-1
SPXS,2009-12-14,filled,21288.11,-1,sell,-1
SPXS,2010-01-21,submitted,0.0,0,buy,2
SPXS,2010-01-22,filled,20847.15,2,buy,2
SPXS,2010-01-28,submitted,0.0,0,buy,1
SPXS,2010-01-29,filled,22084.27,1,buy,1
SPXS,2010-02-02,submitted,0.0,0,sell,-2
SPXS,2010-02-03,filled,21508.58,-2,sell,-2
SPXS,2010-02-04,submitted,0.0,0,buy,2
SPXS,2010-02-05,filled,23480.61,2,buy,2
SPXS,2010-02-11,submitted,0.0,0,sell,-1
SPXS,2010-02-12,filled,23064.16,-1,sell,-1
