symbol,date,status,fill-price,fill-quantity,direction,quantity
SPXU,2009-07-06,filled,31208.09,3,buy,3
SPXU,2009-07-14,filled,29531.4,-1,sell,-1
SPXU,2009-07-15,filled,28132.87,-2,sell,-2
SPXU,2009-08-12,filled,21688.82,1,buy,1
SPXU,2009-08-14,filled,20440.95,-1,sell,-1
SPXU,2009-08-18,filled,22295.36,2,buy,2
SPXU,2009-08-21,filled,20162.79,-2,sell,-2
SPXU,2009-09-02,filled,21306.35,3,buy,3
SPXU,2009-09-08,filled,19297.4,-2,sell,-2
SPXU,2009-09-09,filled,19247.18,-1,sell,-1
SPXU,2009-09-25,filled,17995.46,2,buy,2
SPXU,2009-10-02,filled,19355.35,1,buy,1
SPXU,2009-10-07,filled,17593.67,-1,sell,-1
SPXU,2009-10-08,filled,16898.27,-2,sell,-2
SPXU,2009-10-22,filled,16129.46,1,buy,1
SPXU,2009-10-27,filled,16612.38,1,buy,1
SPXU,2009-10-29,filled,17458.45,1,buy,1
SPXU,2009-11-06,filled,16766.91,-2,sell,-2
SPXU,2009-11-10,filled,15337.48,-1,sell,-1
SPXU,2009-11-23,filled,14680.71,1,buy,1
SPXU,2009-11-24,filled,14568.67,-1,sell,-1
SPXU,2009-11-30,filled,15148.17,2,buy,2
SPXU,2009-12-02,filled,14418.0,-2,sell,-2
SPXU,2009-12-09,filled,15067.04,2,buy,2
SPXU,2009-12-14,filled,14139.84,-2,sell,-2
SPXU,2009-12-18,filled,14549.35,2,buy,2
SPXU,2009-12-22,filled,14000.76,-2,sell,-2
SPXU,2010-01-04,filled,13695.55,1,buy,1
SPXU,2010-01-05,filled,13367.17,-1,sell,-1
SPXU,2010-01-22,filled,14027.8,3,buy,3
SPXU,2010-01-29,filled,14831.38,1,buy,1
SPXU,2010-02-03,filled,14445.04,-1,sell,-1
SPXU,2010-02-05,filled,15746.99,1,buy,1
SPXU,2010-02-12,filled,15515.19,-1,sell,-1
SPXU,2010-02-17,filled,14170.75,-2,sell,-2
SPXU,2010-02-19,filled,14020.08,-1,sell,-1
SPXU,2010-02-24,filled,14170.75,1,buy,1
SPXU,2010-03-02,filled,13328.54,-1,sell,-1
SPXU,2010-04-19,filled,10983.49,1,buy,1
SPXU,2010-04-23,filled,10458.07,-1,sell,-1
SPXU,2010-04-28,filled,10898.5,4,buy,4
SPXU,2010-04-30,filled,10431.03,-1,sell,-1
SPXU,2010-05-03,filled,10809.64,1,buy,1
SPXU,2010-05-04,filled,10883.04,-1,sell,-1
SPXU,2010-05-05,filled,11562.99,1,buy,1
SPXU,2010-05-07,filled,12714.26,1,buy,1
SPXU,2010-05-11,filled,11767.75,-1,sell,-1
SPXU,2010-05-13,filled,11157.34,-1,sell,-1
SPXU,2010-05-17,filled,11984.09,1,buy,1
SPXU,2010-05-19,filled,12760.63,1,buy,1
SPXU,2010-05-28,filled,12934.48,-1,sell,-1
SPXU,2010-06-03,filled,12818.58,-2,sell,-2
SPXU,2010-06-07,filled,14027.8,2,buy,2
SPXU,2010-06-08,filled,14672.98,1,buy,1
SPXU,2010-06-11,filled,13571.93,-3,sell,-3
SPXU,2010-06-14,filled,12702.68,-1,sell,-1
SPXU,2010-06-23,filled,12756.76,1,buy,1
SPXU,2010-06-24,filled,13077.42,2,buy,2
SPXU,2010-06-25,filled,13413.53,1,buy,1
SPXU,2010-07-08,filled,13533.3,-3,sell,-3
SPXU,2010-07-13,filled,12721.99,-1,sell,-1
SPXU,2010-07-19,filled,13401.94,1,buy,1
SPXU,2010-07-23,filled,12544.28,-2,sell,-2
SPXU,2010-08-12,filled,12961.52,2,buy,2
SPXU,2010-08-13,filled,12729.72,2,buy,2
SPXU,2010-08-18,filled,12304.75,-2,sell,-2
SPXU,2010-08-20,filled,12969.25,2,buy,2
SPXU,2010-08-25,filled,13942.81,1,buy,1
SPXU,2010-09-02,filled,12428.38,-4,sell,-4
SPXU,2010-09-03,filled,11806.38,-1,sell,-1
SPXU,2010-09-24,filled,10601.02,1,buy,1
SPXU,2010-09-27,filled,10276.5,-1,sell,-1
SPXU,2010-11-15,filled,8758.2,1,buy,1
SPXU,2010-11-16,filled,9047.95,2,buy,2
SPXU,2010-11-17,filled,9287.48,2,buy,2
SPXU,2010-11-22,filled,8935.91,-2,sell,-2
SPXU,2010-11-24,filled,9032.5,2,buy,2
SPXU,2010-11-26,filled,9024.77,-4,sell,-4
SPXU,2010-12-01,filled,8781.38,2,buy,2
SPXU,2010-12-02,filled,8553.44,-3,sell,-3
SPXU,2011-01-31,filled,7069.92,4,buy,4
SPXU,2011-02-02,filled,6683.59,-4,sell,-4
SPXU,2011-02-23,filled,6455.65,4,buy,4
SPXU,2011-03-01,filled,6185.21,-2,sell,-2
SPXU,2011-03-02,filled,6590.87,2,buy,2
SPXU,2011-03-04,filled,6189.08,-4,sell,-4
SPXU,2011-03-08,filled,6440.189999999999,2,buy,2
SPXU,2011-03-11,filled,6741.54,4,buy,4
SPXU,2011-03-17,filled,6950.16,2,buy,2
SPXU,2011-03-22,filled,6587.0,-6,sell,-6
SPXU,2011-03-25,filled,6351.34,-2,sell,-2
SPXU,2011-04-12,filled,6274.07,2,buy,2
SPXU,2011-04-13,filled,6219.979999999999,2,buy,2
SPXU,2011-04-19,filled,6401.560000000001,3,buy,3
SPXU,2011-04-21,filled,5976.59,-7,sell,-7
SPXU,2011-05-05,filled,5922.51,2,buy,2
SPXU,2011-05-06,filled,5802.74,2,buy,2
SPXU,2011-05-11,filled,5710.020000000001,-4,sell,-4
SPXU,2011-05-12,filled,5907.05,2,buy,2
SPXU,2011-05-17,filled,6096.36,5,buy,5
SPXU,2011-05-20,filled,5876.15,-3,sell,-3
SPXU,2011-05-24,filled,6111.810000000001,2,buy,2
SPXU,2011-05-31,filled,5802.74,-2,sell,-2
SPXU,2011-06-01,filled,5833.65,-4,sell,-4
SPXU,2011-06-02,filled,6158.17,6,buy,6
SPXU,2011-06-06,filled,6420.88,2,buy,2
SPXU,2011-06-15,filled,6675.86,-2,sell,-2
SPXU,2011-06-16,filled,6857.44,2,buy,2
SPXU,2011-06-22,filled,6440.2,-4,sell,-4
SPXU,2011-06-27,filled,6764.72,2,buy,2
SPXU,2011-06-29,filled,6258.62,-4,sell,-4
SPXU,2011-07-01,filled,5995.91,-2,sell,-2
SPXU,2011-07-12,filled,6011.36,2,buy,2
SPXU,2011-07-13,filled,5949.55,2,buy,2
SPXU,2011-07-20,filled,5806.61,-2,sell,-2
SPXU,2011-07-22,filled,5617.3,-2,sell,-2
SPXU,2011-07-28,filled,6119.54,6,buy,6
SPXU,2011-08-01,filled,6077.04,2,buy,2
SPXU,2011-08-15,filled,7413.76,-2,sell,-2
SPXU,2011-08-16,filled,7332.63,-2,sell,-2
SPXU,2011-08-19,filled,8588.21,2,buy,2
SPXU,2011-08-22,filled,8066.66,1,buy,1
SPXU,2011-08-25,filled,7317.17,-3,sell,-3
SPXU,2011-08-30,filled,6888.34,-2,sell,-2
SPXU,2011-09-06,filled,8039.62,1,buy,1
SPXU,2011-09-12,filled,7981.67,2,buy,2
SPXU,2011-09-15,filled,6803.35,-2,sell,-2
SPXU,2011-09-16,filled,6583.14,-2,sell,-2
SPXU,2011-09-19,filled,6865.16,-1,sell,-1
SPXU,2011-09-22,filled,7993.26,5,buy,5
SPXU,2011-09-23,filled,8225.06,1,buy,1
SPXU,2011-09-28,filled,7069.92,-1,sell,-1
