symbol,date,status,fill-price,fill-quantity,direction,quantity
SQQQ,2012-04-10,submitted,0.0,0,buy,1
SQQQ,2012-04-11,filled,70723.26,1,buy,1
SQQQ,2012-04-25,submitted,0.0,0,sell,-1
SQQQ,2012-04-26,filled,70723.26,-1,sell,-1
SQQQ,2012-05-08,submitted,0.0,0,buy,1
SQQQ,2012-05-09,filled,79547.79,1,buy,1
SQQQ,2012-05-29,submitted,0.0,0,sell,-1
SQQQ,2012-05-30,filled,84452.07,-1,sell,-1
SQQQ,2012-06-01,submitted,0.0,0,buy,1
SQQQ,2012-06-04,filled,91372.05,1,buy,1
SQQQ,2012-06-06,submitted,0.0,0,sell,-1
SQQQ,2012-06-07,filled,80246.14,-1,sell,-1
SQQQ,2012-07-12,submitted,0.0,0,buy,1
SQQQ,2012-07-13,filled,79865.22,1,buy,1
SQQQ,2012-07-13,submitted,0.0,0,sell,-1
SQQQ,2012-07-16,filled,77405.15,-1,sell,-1
SQQQ,2012-09-26,submitted,0.0,0,buy,1
SQQQ,2012-09-27,filled,59025.99,1,buy,1
SQQQ,2012-10-04,submitted,0.0,0,sell,-1
SQQQ,2012-10-05,filled,55613.62,-1,sell,-1
SQQQ,2012-10-08,submitted,0.0,0,buy,1
SQQQ,2012-10-09,filled,59343.42,1,buy,1
SQQQ,2012-10-16,submitted,0.0,0,sell,-1
SQQQ,2012-10-17,filled,60216.35,-1,sell,-1
SQQQ,2012-10-19,submitted,0.0,0,buy,1
SQQQ,2012-10-22,filled,65993.57,1,buy,1
SQQQ,2012-11-19,submitted,0.0,0,sell,-1
SQQQ,2012-11-20,filled,70802.62,-1,sell,-1
SQQQ,2012-12-14,submitted,0.0,0,buy,1
SQQQ,2012-12-17,filled,67215.67,1,buy,1
SQQQ,2012-12-18,submitted,0.0,0,sell,-1
SQQQ,2012-12-19,filled,61263.87,-1,sell,-1
SQQQ,2012-12-26,submitted,0.0,0,buy,1
SQQQ,2012-12-27,filled,66453.84,1,buy,1
SQQQ,2012-12-31,submitted,0.0,0,sell,-1
SQQQ,2013-01-02,filled,59708.46,-1,sell,-1
SQQQ,2013-02-04,submitted,0.0,0,buy,1
SQQQ,2013-02-05,filled,59025.99,1,buy,1
SQQQ,2013-02-05,submitted,0.0,0,sell,-1
SQQQ,2013-02-06,filled,57708.65,-1,sell,-1
SQQQ,2013-04-05,submitted,0.0,0,buy,1
SQQQ,2013-04-08,filled,54978.77,1,buy,1
SQQQ,2013-04-09,submitted,0.0,0,sell,-1
SQQQ,2013-04-10,filled,52534.56,-1,sell,-1
SQQQ,2013-04-17,submitted,0.0,0,buy,1
SQQQ,2013-04-18,filled,53486.85,1,buy,1
SQQQ,2013-04-22,submitted,0.0,0,sell,-1
SQQQ,2013-04-23,filled,51280.71,-1,sell,-1
SQQQ,2013-06-04,submitted,0.0,0,buy,1
SQQQ,2013-06-05,filled,43725.9,1,buy,1
SQQQ,2013-06-07,submitted,0.0,0,sell,-1
SQQQ,2013-06-10,filled,42249.85,-1,sell,-1
SQQQ,2013-06-12,submitted,0.0,0,buy,1
SQQQ,2013-06-13,filled,45455.88,1,buy,1
SQQQ,2013-06-18,submitted,0.0,0,sell,-1
SQQQ,2013-06-19,filled,42027.65,-1,sell,-1
SQQQ,2013-06-20,submitted,0.0,0,buy,1
SQQQ,2013-06-21,filled,46598.63,1,buy,1
SQQQ,2013-06-27,submitted,0.0,0,sell,-1
SQQQ,2013-06-28,filled,46249.45,-1,sell,-1
SQQQ,2013-08-16,submitted,0.0,0,buy,1
SQQQ,2013-08-19,filled,37964.55,1,buy,1
SQQQ,2013-08-22,submitted,0.0,0,sell,-1
SQQQ,2013-08-23,filled,36123.46,-1,sell,-1
SQQQ,2013-08-27,submitted,0.0,0,buy,1
SQQQ,2013-08-28,filled,38440.7,1,buy,1
SQQQ,2013-09-04,submitted,0.0,0,sell,-1
SQQQ,2013-09-05,filled,35885.39,-1,sell,-1
SQQQ,2013-10-08,submitted,0.0,0,buy,1
SQQQ,2013-10-09,filled,34425.22,1,buy,1
SQQQ,2013-10-11,submitted,0.0,0,sell,-1
SQQQ,2013-10-14,filled,32584.12,-1,sell,-1
SQQQ,2013-11-07,submitted,0.0,0,buy,1
SQQQ,2013-11-08,filled,28949.56,1,buy,1
SQQQ,2013-11-13,submitted,0.0,0,sell,-1
SQQQ,2013-11-14,filled,27251.31,-1,sell,-1
SQQQ,2013-12-11,submitted,0.0,0,buy,1
SQQQ,2013-12-12,filled,25378.48,1,buy,1
SQQQ,2013-12-18,submitted,0.0,0,sell,-1
SQQQ,2013-12-19,filled,24664.27,-1,sell,-1
SQQQ,2014-01-03,submitted,0.0,0,buy,1
SQQQ,2014-01-06,filled,23807.2,1,buy,1
SQQQ,2014-01-08,submitted,0.0,0,sell,-1
SQQQ,2014-01-09,filled,22981.88,-1,sell,-1
SQQQ,2014-01-13,submitted,0.0,0,buy,1
SQQQ,2014-01-14,filled,24029.4,1,buy,1
SQQQ,2014-01-14,submitted,0.0,0,sell,-1
SQQQ,2014-01-15,filled,22616.84,-1,sell,-1
SQQQ,2014-01-24,submitted,0.0,0,buy,1
SQQQ,2014-01-27,filled,23521.51,1,buy,1
SQQQ,2014-02-03,submitted,0.0,0,buy,1
SQQQ,2014-02-04,filled,25084.86,1,buy,1
SQQQ,2014-02-06,submitted,0.0,0,sell,-1
SQQQ,2014-02-07,filled,23735.78,-1,sell,-1
SQQQ,2014-02-07,submitted,0.0,0,sell,-1
SQQQ,2014-02-10,filled,22890.63,-1,sell,-1
SQQQ,2014-03-13,submitted,0.0,0,buy,2
SQQQ,2014-03-14,filled,21176.51,2,buy,2
SQQQ,2014-03-18,submitted,0.0,0,sell,-2
SQQQ,2014-03-19,filled,20041.7,-2,sell,-2
SQQQ,2014-03-21,submitted,0.0,0,buy,1
SQQQ,2014-03-24,filled,20712.27,1,buy,1
SQQQ,2014-03-27,submitted,0.0,0,buy,1
SQQQ,2014-03-28,filled,22271.64,1,buy,1
SQQQ,2014-04-01,submitted,0.0,0,sell,-2
SQQQ,2014-04-02,filled,20458.32,-2,sell,-2
SQQQ,2014-04-04,submitted,0.0,0,buy,2
SQQQ,2014-04-07,filled,23136.63,2,buy,2
SQQQ,2014-04-16,submitted,0.0,0,sell,-1
SQQQ,2014-04-17,filled,22843.01,-1,sell,-1
SQQQ,2014-04-22,submitted,0.0,0,sell,-1
SQQQ,2014-04-23,filled,21561.39,-1,sell,-1
SQQQ,2014-04-25,submitted,0.0,0,buy,1
SQQQ,2014-04-28,filled,22231.96,1,buy,1
SQQQ,2014-05-01,submitted,0.0,0,sell,-1
SQQQ,2014-05-02,filled,21208.25,-1,sell,-1
SQQQ,2014-05-06,submitted,0.0,0,buy,1
SQQQ,2014-05-07,filled,21847.07,1,buy,1
SQQQ,2014-05-12,submitted,0.0,0,sell,-1
SQQQ,2014-05-13,filled,20863.05,-1,sell,-1
SQQQ,2014-07-17,submitted,0.0,0,buy,1
SQQQ,2014-07-18,filled,16359.52,1,buy,1
SQQQ,2014-07-18,submitted,0.0,0,sell,-1
