symbol,date,status,fill-price,fill-quantity,direction,quantity
SRTY,2011-01-03,filled,44498.37,1,buy,1
SRTY,2011-01-04,filled,43026.36,-1,sell,-1
SRTY,2011-01-20,filled,45492.96,1,buy,1
SRTY,2011-01-28,filled,43265.06,-1,sell,-1
SRTY,2011-01-31,filled,45572.53,1,buy,1
SRTY,2011-02-02,filled,42489.28,-1,sell,-1
SRTY,2011-02-23,filled,39465.7,1,buy,1
SRTY,2011-02-28,filled,37416.82,-1,sell,-1
SRTY,2011-03-11,filled,41991.97,1,buy,1
SRTY,2011-03-17,filled,41454.89,1,buy,1
SRTY,2011-03-22,filled,38232.39,-2,sell,-2
SRTY,2011-04-12,filled,36084.06,1,buy,1
SRTY,2011-04-18,filled,36581.35,-1,sell,-1
SRTY,2011-04-19,filled,36302.87,1,buy,1
SRTY,2011-04-21,filled,33816.37,-1,sell,-1
SRTY,2011-05-05,filled,35726.0,1,buy,1
SRTY,2011-05-11,filled,32404.04,-1,sell,-1
SRTY,2011-05-17,filled,36740.49,1,buy,1
SRTY,2011-05-25,filled,37695.31,1,buy,1
SRTY,2011-05-27,filled,34194.32,-2,sell,-2
SRTY,2011-06-03,filled,37277.57,1,buy,1
SRTY,2011-06-22,filled,37496.39,-1,sell,-1
SRTY,2011-07-15,filled,33498.1,1,buy,1
SRTY,2011-07-21,filled,32344.36,-1,sell,-1
SRTY,2011-07-28,filled,36561.46,1,buy,1
SRTY,2011-08-16,filled,45910.69,-1,sell,-1
SRTY,2011-08-19,filled,57388.37,1,buy,1
SRTY,2011-08-25,filled,45294.04,-1,sell,-1
SRTY,2011-09-12,filled,50127.8,1,buy,1
SRTY,2011-09-15,filled,40818.35,-1,sell,-1
SRTY,2011-09-22,filled,54006.73,1,buy,1
SRTY,2011-09-28,filled,45353.72,-1,sell,-1
SRTY,2011-11-22,filled,33776.59,1,buy,1
SRTY,2011-11-29,filled,33478.21,-1,sell,-1
SRTY,2012-02-16,filled,19215.65,1,buy,1
SRTY,2012-02-17,filled,17823.22,-1,sell,-1
SRTY,2012-03-01,filled,18976.95,1,buy,1
SRTY,2012-03-12,filled,18559.22,-1,sell,-1
SRTY,2012-04-05,filled,18260.84,1,buy,1
SRTY,2012-04-09,filled,19295.23,1,buy,1
SRTY,2012-04-13,filled,18957.06,-1,sell,-1
SRTY,2012-04-24,filled,19752.74,1,buy,1
SRTY,2012-04-26,filled,18400.08,-1,sell,-1
SRTY,2012-04-27,filled,17723.76,-1,sell,-1
SRTY,2012-05-07,filled,19852.2,2,buy,2
SRTY,2012-05-25,filled,21240.66,-1,sell,-1
SRTY,2012-06-04,filled,23309.42,1,buy,1
SRTY,2012-06-07,filled,20170.47,-1,sell,-1
SRTY,2012-06-11,filled,20003.38,-1,sell,-1
SRTY,2012-06-22,filled,20293.8,1,buy,1
SRTY,2012-06-28,filled,20146.6,-1,sell,-1
SRTY,2012-07-13,filled,18256.86,1,buy,1
SRTY,2012-07-19,filled,17206.57,-1,sell,-1
SRTY,2012-07-23,filled,19259.42,1,buy,1
SRTY,2012-07-30,filled,17747.63,-1,sell,-1
SRTY,2012-08-02,filled,20007.36,1,buy,1
SRTY,2012-08-07,filled,17405.48,-1,sell,-1
SRTY,2012-09-26,filled,14584.8,1,buy,1
SRTY,2012-10-04,filled,14501.26,1,buy,1
SRTY,2012-10-05,filled,14179.0,-1,sell,-1
SRTY,2012-10-18,filled,14445.56,-1,sell,-1
SRTY,2012-10-22,filled,15670.9,1,buy,1
SRTY,2012-11-02,filled,14950.81,-1,sell,-1
SRTY,2012-11-05,filled,15869.82,1,buy,1
SRTY,2012-11-08,filled,16390.99,1,buy,1
SRTY,2012-11-20,filled,16979.8,-1,sell,-1
SRTY,2012-11-26,filled,16100.57,-1,sell,-1
SRTY,2013-02-22,filled,10670.06,1,buy,1
SRTY,2013-02-26,filled,10980.38,1,buy,1
SRTY,2013-03-04,filled,10495.01,-2,sell,-2
SRTY,2013-04-02,filled,9361.17,2,buy,2
SRTY,2013-04-03,filled,9607.83,1,buy,1
SRTY,2013-04-11,filled,9289.56,-3,sell,-3
SRTY,2013-04-16,filled,10140.93,2,buy,2
SRTY,2013-04-19,filled,10387.59,1,buy,1
SRTY,2013-04-24,filled,9623.74,-3,sell,-3
SRTY,2013-05-23,filled,8235.28,1,buy,1
SRTY,2013-05-29,filled,7765.83,-1,sell,-1
SRTY,2013-06-06,filled,8271.09,3,buy,3
SRTY,2013-06-11,filled,7913.03,-3,sell,-3
SRTY,2013-06-13,filled,8143.78,3,buy,3
SRTY,2013-06-14,filled,7745.94,-1,sell,-1
SRTY,2013-06-19,filled,7439.6,-2,sell,-2
SRTY,2013-06-21,filled,8342.7,2,buy,2
SRTY,2013-06-28,filled,7869.27,-1,sell,-1
SRTY,2013-07-02,filled,7586.8,-1,sell,-1
SRTY,2013-07-25,filled,6437.05,1,buy,1
SRTY,2013-07-30,filled,6373.39,1,buy,1
SRTY,2013-08-02,filled,6186.41,-2,sell,-2
SRTY,2013-08-08,filled,6254.04,2,buy,2
SRTY,2013-08-16,filled,6699.62,1,buy,1
SRTY,2013-08-23,filled,6413.18,-1,sell,-1
SRTY,2013-08-26,filled,6377.37,-1,sell,-1
SRTY,2013-08-28,filled,6890.58,2,buy,2
SRTY,2013-09-09,filled,6445.0,-2,sell,-2
SRTY,2013-09-10,filled,6098.88,-1,sell,-1
SRTY,2013-10-08,filled,5800.5,2,buy,2
SRTY,2013-10-09,filled,6043.18,1,buy,1
SRTY,2013-10-11,filled,5756.74,-1,sell,-1
SRTY,2013-10-14,filled,5569.75,-2,sell,-2
SRTY,2013-10-31,filled,5128.15,2,buy,2
SRTY,2013-11-08,filled,5450.4,2,buy,2
SRTY,2013-11-14,filled,5004.82,-4,sell,-4
SRTY,2013-11-21,filled,5072.46,1,buy,1
SRTY,2013-11-22,filled,4869.560000000001,-1,sell,-1
SRTY,2013-12-04,filled,4853.64,1,buy,1
SRTY,2013-12-11,filled,4821.82,1,buy,1
SRTY,2013-12-12,filled,5060.520000000001,2,buy,2
SRTY,2013-12-17,filled,4817.84,-2,sell,-2
SRTY,2013-12-19,filled,4650.75,-2,sell,-2
SRTY,2014-01-03,filled,4356.34,1,buy,1
SRTY,2014-01-07,filled,4392.15,2,buy,2
SRTY,2014-01-13,filled,4272.8,-3,sell,-3
SRTY,2014-01-14,filled,4360.32,3,buy,3
SRTY,2014-01-15,filled,4217.1,-3,sell,-3
SRTY,2014-01-27,filled,4405.08,4,buy,4
SRTY,2014-02-04,filled,4920.28,1,buy,1
SRTY,2014-02-10,filled,4708.43,-1,sell,-1
SRTY,2014-02-12,filled,4531.39,-3,sell,-3
SRTY,2014-02-14,filled,4351.37,-1,sell,-1
SRTY,2014-03-12,filled,3911.76,1,buy,1
SRTY,2014-03-14,filled,3979.39,2,buy,2
SRTY,2014-03-19,filled,3677.03,-3,sell,-3
SRTY,2014-03-25,filled,3840.15,4,buy,4
SRTY,2014-04-02,filled,3749.64,-3,sell,-3
SRTY,2014-04-03,filled,3733.73,-1,sell,-1
SRTY,2014-04-07,filled,4177.32,4,buy,4
SRTY,2014-04-08,filled,4291.7,1,buy,1
SRTY,2014-04-10,filled,4037.08,-1,sell,-1
SRTY,2014-04-11,filled,4477.68,1,buy,1
SRTY,2014-04-21,filled,4226.05,-1,sell,-1
SRTY,2014-04-22,filled,4167.37,-2,sell,-2
SRTY,2014-04-23,filled,4075.87,-1,sell,-1
SRTY,2014-04-28,filled,4331.479999999999,3,buy,3
SRTY,2014-04-29,filled,4403.09,1,buy,1
SRTY,2014-05-13,filled,4265.84,-4,sell,-4
SRTY,2014-05-15,filled,4648.76,3,buy,3
SRTY,2014-05-16,filled,4663.68,1,buy,1
SRTY,2014-05-20,filled,4469.729999999999,-1,sell,-1
SRTY,2014-05-23,filled,4432.93,-2,sell,-2
SRTY,2014-05-27,filled,4187.26,-1,sell,-1
SRTY,2014-06-03,filled,4306.61,1,buy,1
SRTY,2014-06-06,filled,3896.84,-2,sell,-2
SRTY,2014-06-13,filled,3851.09,1,buy,1
SRTY,2014-06-18,filled,3725.77,-1,sell,-1
SRTY,2014-06-25,filled,3815.28,1,buy,1
SRTY,2014-06-30,filled,3593.49,-1,sell,-1
SRTY,2014-07-08,filled,3603.43,1,buy,1
SRTY,2014-07-09,filled,3673.05,1,buy,1
