symbol,date,status,fill-price,fill-quantity,direction,quantity
TECL,2008-12-31,submitted,0.0,0,buy,381740
TECL,2009-01-02,filled,0.26,381740,buy,381740
TECL,2009-01-09,submitted,0.0,0,sell,-95950
TECL,2009-01-12,filled,0.27,-95950,sell,-95950
TECL,2009-01-12,submitted,0.0,0,sell,-285790
TECL,2009-01-13,filled,0.25,-285790,sell,-285790
TECL,2009-01-26,submitted,0.0,0,buy,100724
TECL,2009-01-27,filled,0.24,100724,buy,100724
TECL,2009-01-27,submitted,0.0,0,buy,94434
TECL,2009-01-28,filled,0.26,94434,buy,94434
TECL,2009-01-28,submitted,0.0,0,buy,176287
TECL,2009-01-29,filled,0.26,176287,buy,176287
TECL,2009-01-29,submitted,0.0,0,sell,-182449
TECL,2009-01-30,filled,0.25,-182449,sell,-182449
TECL,2009-01-30,submitted,0.0,0,sell,-188996
TECL,2009-02-02,filled,0.21,-188996,sell,-188996
TECL,2009-02-05,submitted,0.0,0,buy,249084
TECL,2009-02-06,filled,0.27,249084,buy,249084
TECL,2009-02-06,submitted,0.0,0,buy,65394
TECL,2009-02-09,filled,0.29,65394,buy,65394
TECL,2009-02-17,submitted,0.0,0,sell,-314478
TECL,2009-02-18,filled,0.23,-314478,sell,-314478
TECL,2009-03-11,submitted,0.0,0,buy,179473
TECL,2009-03-12,filled,0.2,179473,buy,179473
TECL,2009-03-12,submitted,0.0,0,buy,82983
TECL,2009-03-13,filled,0.21,82983,buy,82983
TECL,2009-03-23,submitted,0.0,0,buy,67705
TECL,2009-03-24,filled,0.26,67705,buy,67705
TECL,2009-03-30,submitted,0.0,0,sell,-80715
TECL,2009-03-31,filled,0.25,-80715,sell,-80715
TECL,2009-04-02,submitted,0.0,0,buy,68850
TECL,2009-04-03,filled,0.30000000000000004,68850,buy,68850
TECL,2009-05-07,submitted,0.0,0,sell,-79880
TECL,2009-05-08,filled,0.34,-79880,sell,-79880
TECL,2009-05-08,submitted,0.0,0,sell,-78458
TECL,2009-05-11,filled,0.32,-78458,sell,-78458
TECL,2009-05-13,submitted,0.0,0,sell,-76733
TECL,2009-05-14,filled,0.30000000000000004,-76733,sell,-76733
TECL,2009-05-18,submitted,0.0,0,buy,68355
TECL,2009-05-19,filled,0.34,68355,buy,68355
TECL,2009-05-19,submitted,0.0,0,buy,72264
TECL,2009-05-20,filled,0.36,72264,buy,72264
TECL,2009-05-22,submitted,0.0,0,sell,-72421
TECL,2009-05-26,filled,0.31,-72421,sell,-72421
TECL,2009-05-26,submitted,0.0,0,buy,131884
TECL,2009-05-27,filled,0.35000000000000003,131884,buy,131884
TECL,2009-06-15,submitted,0.0,0,sell,-68658
TECL,2009-06-16,filled,0.42,-68658,sell,-68658
TECL,2009-06-16,submitted,0.0,0,sell,-69968
TECL,2009-06-17,filled,0.4,-69968,sell,-69968
TECL,2009-06-22,submitted,0.0,0,sell,-70527
TECL,2009-06-23,filled,0.39,-70527,sell,-70527
TECL,2009-06-25,submitted,0.0,0,buy,201941
TECL,2009-06-26,filled,0.42,201941,buy,201941
TECL,2009-07-02,submitted,0.0,0,sell,-207329
TECL,2009-07-06,filled,0.39,-207329,sell,-207329
TECL,2009-07-13,submitted,0.0,0,buy,66021
TECL,2009-07-14,filled,0.4,66021,buy,66021
TECL,2009-07-15,submitted,0.0,0,buy,119213
TECL,2009-07-16,filled,0.45,119213,buy,119213
TECL,2009-08-06,submitted,0.0,0,sell,-63755
TECL,2009-08-07,filled,0.55,-63755,sell,-63755
TECL,2009-08-11,submitted,0.0,0,sell,-61737
TECL,2009-08-12,filled,0.52,-61737,sell,-61737
TECL,2009-08-12,submitted,0.0,0,buy,58764
TECL,2009-08-13,filled,0.55,58764,buy,58764
TECL,2009-08-13,submitted,0.0,0,buy,60999
TECL,2009-08-14,filled,0.55,60999,buy,60999
TECL,2009-08-17,submitted,0.0,0,sell,-186128
TECL,2009-08-18,filled,0.51,-186128,sell,-186128
TECL,2009-08-20,submitted,0.0,0,buy,171970
TECL,2009-08-21,filled,0.56,171970,buy,171970
TECL,2009-09-01,submitted,0.0,0,sell,-118961
TECL,2009-09-02,filled,0.53,-118961,sell,-118961
TECL,2009-09-04,submitted,0.0,0,buy,51273
TECL,2009-09-08,filled,0.59,51273,buy,51273
TECL,2009-09-08,submitted,0.0,0,buy,51589
TECL,2009-09-09,filled,0.59,51589,buy,51589
TECL,2009-09-25,submitted,0.0,0,sell,-109282
TECL,2009-09-28,filled,0.64,-109282,sell,-109282
TECL,2009-09-28,submitted,0.0,0,buy,51688
TECL,2009-09-29,filled,0.66,51688,buy,51688
TECL,2009-10-01,submitted,0.0,0,sell,-105490
TECL,2009-10-02,filled,0.58,-105490,sell,-105490
TECL,2009-10-06,submitted,0.0,0,buy,47550
TECL,2009-10-07,filled,0.64,47550,buy,47550
TECL,2009-10-08,submitted,0.0,0,buy,100400
TECL,2009-10-09,filled,0.65,100400,buy,100400
TECL,2009-10-27,submitted,0.0,0,sell,-101701
TECL,2009-10-28,filled,0.67,-101701,sell,-101701
TECL,2009-10-28,submitted,0.0,0,sell,-49460
TECL,2009-10-29,filled,0.66,-49460,sell,-49460
TECL,2009-11-05,submitted,0.0,0,buy,95711
TECL,2009-11-06,filled,0.67,95711,buy,95711
TECL,2009-11-09,submitted,0.0,0,buy,48169
TECL,2009-11-10,filled,0.73,48169,buy,48169
TECL,2009-11-19,submitted,0.0,0,sell,-48593
TECL,2009-11-20,filled,0.74,-48593,sell,-48593
TECL,2009-11-20,submitted,0.0,0,sell,-48787
TECL,2009-11-23,filled,0.75,-48787,sell,-48787
TECL,2009-12-01,submitted,0.0,0,buy,47934
TECL,2009-12-02,filled,0.76,47934,buy,47934
TECL,2009-12-04,submitted,0.0,0,buy,46596
TECL,2009-12-07,filled,0.77,46596,buy,46596
TECL,2009-12-17,submitted,0.0,0,sell,-48366
TECL,2009-12-18,filled,0.78,-48366,sell,-48366
TECL,2009-12-18,submitted,0.0,0,buy,46684
TECL,2009-12-21,filled,0.8,46684,buy,46684
TECL,2010-01-07,submitted,0.0,0,sell,-95775
TECL,2010-01-08,filled,0.87,-95775,sell,-95775
TECL,2010-01-19,submitted,0.0,0,buy,45859
TECL,2010-01-20,filled,0.87,45859,buy,45859
TECL,2010-01-21,submitted,0.0,0,sell,-93088
TECL,2010-01-22,filled,0.8200000000000001,-93088,sell,-93088
TECL,2010-01-22,submitted,0.0,0,sell,-48063
TECL,2010-01-25,filled,0.75,-48063,sell,-48063
TECL,2010-02-11,submitted,0.0,0,buy,110195
TECL,2010-02-12,filled,0.68,110195,buy,110195
TECL,2010-02-17,submitted,0.0,0,buy,52666
TECL,2010-02-18,filled,0.74,52666,buy,52666
TECL,2010-02-23,submitted,0.0,0,sell,-53670
TECL,2010-02-24,filled,0.73,-53670,sell,-53670
TECL,2010-03-01,submitted,0.0,0,buy,49608
TECL,2010-03-02,filled,0.78,49608,buy,49608
TECL,2010-03-05,submitted,0.0,0,buy,49463
TECL,2010-03-08,filled,0.81,49463,buy,49463
TECL,2010-04-27,submitted,0.0,0,sell,-104392
TECL,2010-04-28,filled,0.98,-104392,sell,-104392
TECL,2010-04-30,submitted,0.0,0,sell,-50601
TECL,2010-05-03,filled,0.9500000000000001,-50601,sell,-50601
TECL,2010-05-06,submitted,0.0,0,sell,-53269
TECL,2010-05-07,filled,0.77,-53269,sell,-53269
TECL,2010-05-12,submitted,0.0,0,buy,106727
TECL,2010-05-13,filled,0.87,106727,buy,106727
TECL,2010-05-13,submitted,0.0,0,sell,-51538
TECL,2010-05-14,filled,0.8300000000000001,-51538,sell,-51538
TECL,2010-05-14,submitted,0.0,0,sell,-55189
TECL,2010-05-17,filled,0.81,-55189,sell,-55189
TECL,2010-05-27,submitted,0.0,0,buy,63001
TECL,2010-05-28,filled,0.73,63001,buy,63001
TECL,2010-06-02,submitted,0.0,0,buy,61572
TECL,2010-06-03,filled,0.75,61572,buy,61572
TECL,2010-06-04,submitted,0.0,0,sell,-60331
TECL,2010-06-07,filled,0.7000000000000001,-60331,sell,-60331
TECL,2010-06-07,submitted,0.0,0,sell,-64242
TECL,2010-06-08,filled,0.65,-64242,sell,-64242
TECL,2010-06-11,submitted,0.0,0,buy,62474
TECL,2010-06-14,filled,0.72,62474,buy,62474
TECL,2010-06-15,submitted,0.0,0,buy,112197
TECL,2010-06-16,filled,0.75,112197,buy,112197
TECL,2010-06-22,submitted,0.0,0,sell,-56403
TECL,2010-06-23,filled,0.74,-56403,sell,-56403
TECL,2010-06-24,submitted,0.0,0,sell,-118268
TECL,2010-06-25,filled,0.7000000000000001,-118268,sell,-118268
TECL,2010-07-07,submitted,0.0,0,buy,66044
TECL,2010-07-08,filled,0.66,66044,buy,66044
TECL,2010-07-08,submitted,0.0,0,buy,63343
TECL,2010-07-09,filled,0.65,63343,buy,63343
TECL,2010-07-13,submitted,0.0,0,buy,57543
TECL,2010-07-14,filled,0.72,57543,buy,57543
TECL,2010-07-16,submitted,0.0,0,sell,-61451
TECL,2010-07-19,filled,0.67,-61451,sell,-61451
TECL,2010-07-22,submitted,0.0,0,buy,55319
TECL,2010-07-23,filled,0.71,55319,buy,55319
TECL,2010-07-29,submitted,0.0,0,sell,-59604
TECL,2010-07-30,filled,0.6899999999999991,-59604,sell,-59604
TECL,2010-08-02,submitted,0.0,0,buy,55498
TECL,2010-08-03,filled,0.74,55498,buy,55498
TECL,2010-08-04,submitted,0.0,0,buy,57826
TECL,2010-08-05,filled,0.74,57826,buy,57826
TECL,2010-08-10,submitted,0.0,0,sell,-117142
TECL,2010-08-11,filled,0.68,-117142,sell,-117142
TECL,2010-08-11,submitted,0.0,0,sell,-117376
TECL,2010-08-12,filled,0.61,-117376,sell,-117376
TECL,2010-08-18,submitted,0.0,0,buy,58038
TECL,2010-08-19,filled,0.64,58038,buy,58038
TECL,2010-08-23,submitted,0.0,0,sell,-58038
TECL,2010-08-24,filled,0.58,-58038,sell,-58038
TECL,2010-09-01,submitted,0.0,0,buy,61281
TECL,2010-09-02,filled,0.6000000000000001,61281,buy,61281
TECL,2010-09-02,submitted,0.0,0,buy,59624
