symbol,date,status,fill-price,fill-quantity,direction,quantity
TMF,2009-04-21,filled,11.63,8792,buy,8792
TMF,2009-04-23,filled,10.64,-8792,sell,-8792
TMF,2009-05-14,filled,9.07,4952,buy,4952
TMF,2009-05-19,filled,8.69,-4952,sell,-4952
TMF,2009-06-01,filled,7.51,2781,buy,2781
TMF,2009-06-05,filled,6.9,-2781,sell,-2781
TMF,2009-06-16,filled,7.09,3099,buy,3099
TMF,2009-06-17,filled,7.44,2839,buy,2839
TMF,2009-06-23,filled,7.53,2926,buy,2926
TMF,2009-07-15,filled,7.48,-5946,sell,-5946
TMF,2009-07-16,filled,7.53,-2918,sell,-2918
TMF,2009-07-22,filled,7.71,2859,buy,2859
TMF,2009-07-24,filled,7.05,-2859,sell,-2859
TMF,2009-07-31,filled,7.75,5719,buy,5719
TMF,2009-08-03,filled,8.0,5260,buy,5260
TMF,2009-08-05,filled,7.18,-2730,sell,-2730
TMF,2009-08-06,filled,7.03,-8249,sell,-8249
TMF,2009-08-12,filled,7.49,5185,buy,5185
TMF,2009-08-14,filled,7.57,2560,buy,2560
TMF,2009-08-18,filled,7.94,2450,buy,2450
TMF,2009-08-24,filled,7.5600000000000005,-2552,sell,-2552
TMF,2009-08-26,filled,8.34,2313,buy,2313
TMF,2009-09-08,filled,7.96,-4983,sell,-4983
TMF,2009-09-11,filled,8.59,2295,buy,2295
TMF,2009-09-14,filled,8.37,2325,buy,2325
TMF,2009-09-16,filled,8.19,-2363,sell,-2363
TMF,2009-09-18,filled,8.42,2313,buy,2313
TMF,2009-10-07,filled,9.2,-2366,sell,-2366
TMF,2009-10-09,filled,8.88,-2365,sell,-2365
TMF,2009-10-12,filled,8.39,-2319,sell,-2319
TMF,2009-10-20,filled,8.56,2443,buy,2443
TMF,2009-10-26,filled,7.95,-4936,sell,-4936
TMF,2009-10-29,filled,8.02,2461,buy,2461
TMF,2009-11-04,filled,7.73,-2461,sell,-2461
TMF,2009-11-17,filled,8.08,7385,buy,7385
TMF,2009-12-01,filled,8.33,2383,buy,2383
TMF,2009-12-02,filled,8.18,-4860,sell,-4860
TMF,2009-12-04,filled,7.63,-2414,sell,-2414
TMF,2009-12-07,filled,7.64,-2494,sell,-2494
TMF,2009-12-18,filled,7.59,5110,buy,5110
TMF,2009-12-22,filled,7.1,-5110,sell,-5110
TMF,2009-12-31,filled,6.77,2710,buy,2710
TMF,2010-01-07,filled,6.65,-2710,sell,-2710
TMF,2010-01-13,filled,6.79,5426,buy,5426
TMF,2010-01-14,filled,6.73,-2642,sell,-2642
TMF,2010-01-15,filled,7.03,2641,buy,2641
TMF,2010-01-19,filled,6.95,2597,buy,2597
TMF,2010-01-29,filled,7.07,-2677,sell,-2677
TMF,2010-02-01,filled,7.21,2553,buy,2553
TMF,2010-02-04,filled,7.07,-7898,sell,-7898
TMF,2010-02-05,filled,7.13,7791,buy,7791
TMF,2010-02-11,filled,6.86,-7791,sell,-7791
TMF,2010-02-24,filled,6.91,5277,buy,5277
TMF,2010-02-26,filled,7.14,2565,buy,2565
TMF,2010-03-05,filled,7.02,2543,buy,2543
TMF,2010-03-08,filled,6.8,-7777,sell,-7777
TMF,2010-03-09,filled,6.8100000000000005,-2608,sell,-2608
TMF,2010-03-15,filled,6.93,2560,buy,2560
TMF,2010-03-17,filled,7.14,7512,buy,7512
TMF,2010-03-24,filled,6.78,-2568,sell,-2568
TMF,2010-03-25,filled,6.59,-7504,sell,-7504
TMF,2010-04-01,filled,6.59,2483,buy,2483
TMF,2010-04-06,filled,6.37,-2483,sell,-2483
TMF,2010-04-08,filled,6.61,2499,buy,2499
TMF,2010-04-12,filled,6.67,2475,buy,2475
TMF,2010-04-14,filled,6.79,2361,buy,2361
TMF,2010-04-22,filled,7.07,2376,buy,2376
TMF,2010-05-14,filled,7.86,-2440,sell,-2440
TMF,2010-05-17,filled,8.03,2356,buy,2356
TMF,2010-05-28,filled,8.46,-4808,sell,-4808
TMF,2010-06-07,filled,8.8,2230,buy,2230
TMF,2010-06-08,filled,8.92,2324,buy,2324
TMF,2010-06-11,filled,8.69,-7019,sell,-7019
TMF,2010-06-18,filled,8.87,2288,buy,2288
TMF,2010-06-23,filled,9.07,4533,buy,4533
TMF,2010-07-08,filled,9.48,-2302,sell,-2302
TMF,2010-07-09,filled,9.34,-2292,sell,-2292
TMF,2010-07-14,filled,9.17,-2244,sell,-2244
TMF,2010-07-16,filled,9.62,4369,buy,4369
TMF,2010-07-19,filled,9.71,2213,buy,2213
TMF,2010-07-26,filled,9.39,-4454,sell,-4454
TMF,2010-07-27,filled,9.14,-2233,sell,-2233
TMF,2010-08-02,filled,9.33,2126,buy,2126
TMF,2010-08-05,filled,9.33,-2103,sell,-2103
TMF,2010-08-09,filled,9.43,6499,buy,6499
TMF,2010-08-30,filled,11.33,-4343,sell,-4343
TMF,2010-08-31,filled,12.03,2096,buy,2096
TMF,2010-09-02,filled,11.0,-2158,sell,-2158
TMF,2010-09-07,filled,10.94,-2105,sell,-2105
TMF,2010-09-15,filled,10.17,2284,buy,2284
TMF,2010-09-17,filled,9.9,-4528,sell,-4528
TMF,2010-09-22,filled,10.74,6682,buy,6682
TMF,2010-09-28,filled,10.96,1945,buy,1945
TMF,2010-10-11,filled,10.66,-4318,sell,-4318
TMF,2010-10-13,filled,10.13,-2128,sell,-2128
TMF,2010-10-15,filled,9.61,-2181,sell,-2181
TMF,2010-11-03,filled,10.0,4524,buy,4524
TMF,2010-11-04,filled,9.25,-4524,sell,-4524
TMF,2010-11-22,filled,8.7,2508,buy,2508
TMF,2010-11-23,filled,8.77,2430,buy,2430
TMF,2010-11-26,filled,8.51,-2437,sell,-2437
TMF,2010-11-30,filled,9.15,2303,buy,2303
TMF,2010-12-01,filled,8.55,2277,buy,2277
TMF,2010-12-02,filled,8.38,-7081,sell,-7081
TMF,2010-12-20,filled,7.75,2666,buy,2666
TMF,2010-12-22,filled,7.68,2572,buy,2572
TMF,2010-12-29,filled,7.33,-5238,sell,-5238
TMF,2010-12-30,filled,7.59,2585,buy,2585
TMF,2011-01-03,filled,7.65,5016,buy,5016
TMF,2011-01-06,filled,7.25,-7601,sell,-7601
TMF,2011-01-26,filled,7.39,5123,buy,5123
TMF,2011-01-27,filled,7.12,-2493,sell,-2493
TMF,2011-02-04,filled,6.82,-2630,sell,-2630
TMF,2011-02-16,filled,6.89,5363,buy,5363
TMF,2011-02-23,filled,7.16,2573,buy,2573
TMF,2011-03-02,filled,7.41,2466,buy,2466
TMF,2011-03-03,filled,7.09,-2566,sell,-2566
TMF,2011-03-04,filled,6.99,-5215,sell,-5215
TMF,2011-03-09,filled,6.98,-2621,sell,-2621
TMF,2011-03-11,filled,7.43,9836,buy,9836
TMF,2011-03-25,filled,7.62,-4913,sell,-4913
TMF,2011-03-30,filled,7.35,-2410,sell,-2410
TMF,2011-04-04,filled,7.55,2399,buy,2399
TMF,2011-04-07,filled,7.14,-2388,sell,-2388
TMF,2011-04-08,filled,6.99,-2524,sell,-2524
TMF,2011-04-13,filled,7.13,2481,buy,2481
TMF,2011-04-14,filled,7.36,2436,buy,2436
TMF,2011-04-18,filled,7.48,4737,buy,4737
TMF,2011-05-11,filled,8.14,-2354,sell,-2354
TMF,2011-05-17,filled,8.59,2335,buy,2335
TMF,2011-06-03,filled,8.79,-2433,sell,-2433
TMF,2011-06-07,filled,8.44,-2364,sell,-2364
TMF,2011-06-09,filled,8.93,4641,buy,4641
TMF,2011-06-15,filled,8.45,-7123,sell,-7123
TMF,2011-06-16,filled,8.92,4466,buy,4466
TMF,2011-06-17,filled,8.85,2213,buy,2213
TMF,2011-06-28,filled,8.47,-6769,sell,-6769
TMF,2011-07-01,filled,8.19,-2266,sell,-2266
TMF,2011-07-11,filled,8.69,6707,buy,6707
TMF,2011-07-12,filled,9.03,2010,buy,2010
TMF,2011-07-19,filled,8.47,-2211,sell,-2211
TMF,2011-07-20,filled,8.84,2042,buy,2042
TMF,2011-07-22,filled,8.55,-2111,sell,-2111
TMF,2011-07-26,filled,8.44,-4281,sell,-4281
TMF,2011-08-01,filled,9.09,5935,buy,5935
TMF,2011-08-12,filled,10.93,-1990,sell,-1990
TMF,2011-08-18,filled,12.74,1840,buy,1840
TMF,2011-08-25,filled,11.55,-4026,sell,-4026
TMF,2011-08-31,filled,12.24,1804,buy,1804
TMF,2011-09-06,filled,14.27,1708,buy,1708
TMF,2011-09-16,filled,13.09,-3761,sell,-3761
TMF,2011-09-20,filled,14.19,3385,buy,3385
TMF,2011-09-28,filled,15.0,-1766,sell,-1766
TMF,2011-10-03,filled,17.1,1601,buy,1601
TMF,2011-10-07,filled,15.36,-1768,sell,-1768
TMF,2011-10-10,filled,15.02,-1718,sell,-1718
TMF,2011-10-11,filled,15.16,-1677,sell,-1677
TMF,2011-10-26,filled,14.34,3530,buy,3530
TMF,2011-10-28,filled,12.6,-5253,sell,-5253
TMF,2011-11-01,filled,15.56,4845,buy,4845
TMF,2011-11-02,filled,14.71,1108,buy,1108
TMF,2011-11-09,filled,15.33,-1426,sell,-1426
TMF,2011-11-10,filled,14.73,1508,buy,1508
TMF,2011-11-14,filled,14.58,-2989,sell,-2989
TMF,2011-11-17,filled,15.23,2893,buy,2893
TMF,2011-11-30,filled,15.28,-1470,sell,-1470
TMF,2011-12-01,filled,14.6,-1480,sell,-1480
TMF,2011-12-02,filled,14.72,-1496,sell,-1496
TMF,2011-12-09,filled,15.65,1370,buy,1370
TMF,2011-12-12,filled,15.17,-1384,sell,-1384
TMF,2011-12-14,filled,15.89,2797,buy,2797
TMF,2011-12-15,filled,16.23,1299,buy,1299
TMF,2011-12-21,filled,16.16,-1377,sell,-1377
TMF,2011-12-22,filled,15.9,-1373,sell,-1373
TMF,2011-12-27,filled,15.24,-1388,sell,-1388
TMF,2011-12-29,filled,16.2,2668,buy,2668
TMF,2012-01-03,filled,15.8,1354,buy,1354
TMF,2012-01-04,filled,15.73,-1319,sell,-1319
TMF,2012-01-05,filled,15.28,-2750,sell,-2750
TMF,2012-01-12,filled,15.97,1307,buy,1307
TMF,2012-01-17,filled,16.37,2622,buy,2622
TMF,2012-01-19,filled,15.72,-1335,sell,-1335
TMF,2012-01-20,filled,15.07,-2648,sell,-2648
TMF,2012-01-23,filled,14.46,-1336,sell,-1336
TMF,2012-01-27,filled,15.08,1329,buy,1329
TMF,2012-01-31,filled,15.64,1242,buy,1242
TMF,2012-02-01,filled,15.94,2496,buy,2496
TMF,2012-02-06,filled,14.72,-5067,sell,-5067
TMF,2012-02-14,filled,14.98,1267,buy,1267
TMF,2012-02-15,filled,15.05,1232,buy,1232
TMF,2012-02-17,filled,14.38,-1230,sell,-1230
TMF,2012-02-22,filled,14.38,-1269,sell,-1269
TMF,2012-02-27,filled,15.36,2463,buy,2463
TMF,2012-02-28,filled,15.5,1134,buy,1134
TMF,2012-03-02,filled,14.73,-3597,sell,-3597
TMF,2012-03-07,filled,15.05,1181,buy,1181
TMF,2012-03-09,filled,14.29,-1181,sell,-1181
TMF,2012-03-22,filled,13.07,1365,buy,1365
TMF,2012-03-26,filled,13.26,1280,buy,1280
TMF,2012-04-02,filled,13.4,-1302,sell,-1302
TMF,2012-04-04,filled,12.95,-1343,sell,-1343
TMF,2012-04-10,filled,14.43,3695,buy,3695
TMF,2012-04-11,filled,14.32,1155,buy,1155
TMF,2012-04-12,filled,14.31,-1187,sell,-1187
TMF,2012-04-16,filled,14.68,1188,buy,1188
TMF,2012-04-26,filled,14.94,-1211,sell,-1211
TMF,2012-05-02,filled,14.97,-1203,sell,-1203
TMF,2012-05-07,filled,15.4,2359,buy,2359
