symbol,date,status,fill-price,fill-quantity,direction,quantity
TMV,2009-04-17,submitted,0.0,0,buy,35
TMV,2009-04-20,filled,2703.61,35,buy,35
TMV,2009-04-20,submitted,0.0,0,sell,-35
TMV,2009-04-21,filled,2592.62,-35,sell,-35
TMV,2009-04-22,submitted,0.0,0,buy,34
TMV,2009-04-23,filled,2820.23,34,buy,34
TMV,2009-05-13,submitted,0.0,0,sell,-18
TMV,2009-05-14,filled,3188.31,-18,sell,-18
TMV,2009-05-18,submitted,0.0,0,buy,8
TMV,2009-05-19,filled,3346.56,8,buy,8
TMV,2009-05-21,submitted,0.0,0,buy,8
TMV,2009-05-22,filled,3621.43,8,buy,8
TMV,2009-05-29,submitted,0.0,0,sell,-8
TMV,2009-06-01,filled,3721.58,-8,sell,-8
TMV,2009-06-04,submitted,0.0,0,buy,8
TMV,2009-06-05,filled,4025.93,8,buy,8
TMV,2009-06-15,submitted,0.0,0,sell,-9
TMV,2009-06-16,filled,3850.77,-9,sell,-9
TMV,2009-06-16,submitted,0.0,0,sell,-15
TMV,2009-06-17,filled,3634.43,-15,sell,-15
TMV,2009-06-25,submitted,0.0,0,sell,-8
TMV,2009-06-26,filled,3350.89,-8,sell,-8
TMV,2009-07-14,submitted,0.0,0,buy,17
TMV,2009-07-15,filled,3515.64,17,buy,17
TMV,2009-07-15,submitted,0.0,0,buy,15
TMV,2009-07-16,filled,3466.22,15,buy,15
TMV,2009-07-21,submitted,0.0,0,sell,-16
TMV,2009-07-22,filled,3366.93,-16,sell,-16
TMV,2009-07-23,submitted,0.0,0,buy,15
TMV,2009-07-24,filled,3658.71,15,buy,15
TMV,2009-07-29,submitted,0.0,0,sell,-8
TMV,2009-07-30,filled,3568.97,-8,sell,-8
TMV,2009-07-30,submitted,0.0,0,sell,-15
TMV,2009-07-31,filled,3300.17,-15,sell,-15
TMV,2009-07-31,submitted,0.0,0,sell,-8
TMV,2009-08-03,filled,3242.51,-8,sell,-8
TMV,2009-08-05,submitted,0.0,0,buy,14
TMV,2009-08-06,filled,3586.74,14,buy,14
TMV,2009-08-07,submitted,0.0,0,buy,15
TMV,2009-08-10,filled,3643.54,15,buy,15
TMV,2009-08-11,submitted,0.0,0,sell,-29
TMV,2009-08-12,filled,3349.16,-29,sell,-29
TMV,2009-08-21,submitted,0.0,0,buy,7
TMV,2009-08-24,filled,3265.92,7,buy,7
TMV,2009-08-24,submitted,0.0,0,sell,-7
TMV,2009-08-25,filled,3034.84,-7,sell,-7
TMV,2009-09-04,submitted,0.0,0,buy,8
TMV,2009-09-08,filled,3064.75,8,buy,8
TMV,2009-09-08,submitted,0.0,0,buy,7
TMV,2009-09-09,filled,3121.55,7,buy,7
TMV,2009-09-10,submitted,0.0,0,sell,-7
TMV,2009-09-11,filled,2833.67,-7,sell,-7
TMV,2009-09-11,submitted,0.0,0,sell,-8
TMV,2009-09-14,filled,2893.5,-8,sell,-8
TMV,2009-10-06,submitted,0.0,0,buy,8
TMV,2009-10-07,filled,2604.76,8,buy,8
TMV,2009-10-09,submitted,0.0,0,buy,17
TMV,2009-10-12,filled,2863.58,17,buy,17
TMV,2009-10-19,submitted,0.0,0,sell,-9
TMV,2009-10-20,filled,2712.28,-9,sell,-9
TMV,2009-10-23,submitted,0.0,0,buy,8
TMV,2009-10-26,filled,2951.6,8,buy,8
TMV,2009-10-28,submitted,0.0,0,sell,-8
TMV,2009-10-29,filled,2911.71,-8,sell,-8
TMV,2009-10-30,submitted,0.0,0,sell,-8
TMV,2009-11-02,filled,2818.06,-8,sell,-8
TMV,2009-11-03,submitted,0.0,0,buy,15
TMV,2009-11-04,filled,2996.68,15,buy,15
TMV,2009-11-04,submitted,0.0,0,buy,8
TMV,2009-11-05,filled,3079.93,8,buy,8
TMV,2009-11-11,submitted,0.0,0,sell,-8
TMV,2009-11-12,filled,3028.33,-8,sell,-8
TMV,2009-11-16,submitted,0.0,0,sell,-16
TMV,2009-11-17,filled,2867.92,-16,sell,-16
TMV,2009-11-17,submitted,0.0,0,sell,-7
TMV,2009-11-18,filled,2819.8,-7,sell,-7
TMV,2009-12-03,submitted,0.0,0,buy,23
TMV,2009-12-04,filled,3007.41,23,buy,23
TMV,2009-12-04,submitted,0.0,0,buy,7
TMV,2009-12-07,filled,2997.65,7,buy,7
TMV,2009-12-17,submitted,0.0,0,sell,-15
TMV,2009-12-18,filled,3008.88,-15,sell,-15
TMV,2009-12-21,submitted,0.0,0,buy,14
TMV,2009-12-22,filled,3258.85,14,buy,14
TMV,2009-12-30,submitted,0.0,0,sell,-8
TMV,2009-12-31,filled,3332.57,-8,sell,-8
TMV,2010-01-05,submitted,0.0,0,sell,-7
TMV,2010-01-06,filled,3285.7,-7,sell,-7
TMV,2010-01-06,submitted,0.0,0,buy,14
TMV,2010-01-07,filled,3391.15,14,buy,14
TMV,2010-01-12,submitted,0.0,0,sell,-14
TMV,2010-01-13,filled,3301.32,-14,sell,-14
TMV,2010-01-14,submitted,0.0,0,sell,-7
TMV,2010-01-15,filled,3171.94,-7,sell,-7
TMV,2010-02-03,submitted,0.0,0,buy,14
TMV,2010-02-04,filled,3138.75,14,buy,14
TMV,2010-02-04,submitted,0.0,0,sell,-21
TMV,2010-02-05,filled,3094.81,-21,sell,-21
TMV,2010-02-10,submitted,0.0,0,buy,28
TMV,2010-02-11,filled,3214.42,28,buy,28
TMV,2010-02-23,submitted,0.0,0,sell,-14
TMV,2010-02-24,filled,3157.3,-14,sell,-14
TMV,2010-02-25,submitted,0.0,0,sell,-14
TMV,2010-02-26,filled,3061.61,-14,sell,-14
TMV,2010-03-05,submitted,0.0,0,buy,14
TMV,2010-03-08,filled,3198.31,14,buy,14
TMV,2010-03-08,submitted,0.0,0,buy,6
TMV,2010-03-09,filled,3190.98,6,buy,6
TMV,2010-03-12,submitted,0.0,0,sell,-13
TMV,2010-03-15,filled,3139.72,-13,sell,-13
TMV,2010-03-16,submitted,0.0,0,sell,-7
TMV,2010-03-17,filled,3037.2,-7,sell,-7
TMV,2010-03-23,submitted,0.0,0,buy,7
TMV,2010-03-24,filled,3189.03,7,buy,7
TMV,2010-03-24,submitted,0.0,0,buy,19
TMV,2010-03-25,filled,3272.52,19,buy,19
TMV,2010-03-31,submitted,0.0,0,sell,-6
TMV,2010-04-01,filled,3270.08,-6,sell,-6
TMV,2010-04-05,submitted,0.0,0,buy,6
TMV,2010-04-06,filled,3372.6,6,buy,6
TMV,2010-04-07,submitted,0.0,0,sell,-13
TMV,2010-04-08,filled,3243.22,-13,sell,-13
TMV,2010-04-12,submitted,0.0,0,sell,-7
TMV,2010-04-13,filled,3129.47,-7,sell,-7
TMV,2010-04-16,submitted,0.0,0,sell,-6
TMV,2010-04-19,filled,3124.59,-6,sell,-6
TMV,2010-05-11,submitted,0.0,0,buy,7
TMV,2010-05-12,filled,2722.3,7,buy,7
TMV,2010-05-14,submitted,0.0,0,sell,-7
TMV,2010-05-17,filled,2569.48,-7,sell,-7
TMV,2010-05-27,submitted,0.0,0,buy,17
TMV,2010-05-28,filled,2406.91,17,buy,17
TMV,2010-06-04,submitted,0.0,0,sell,-17
TMV,2010-06-07,filled,2295.11,-17,sell,-17
TMV,2010-06-10,submitted,0.0,0,buy,17
TMV,2010-06-11,filled,2316.59,17,buy,17
TMV,2010-06-11,submitted,0.0,0,sell,-9
TMV,2010-06-14,filled,2377.13,-9,sell,-9
TMV,2010-06-17,submitted,0.0,0,sell,-8
TMV,2010-06-18,filled,2251.66,-8,sell,-8
TMV,2010-07-07,submitted,0.0,0,buy,10
TMV,2010-07-08,filled,2084.2,10,buy,10
TMV,2010-07-09,submitted,0.0,0,buy,9
TMV,2010-07-12,filled,2113.49,9,buy,9
TMV,2010-07-13,submitted,0.0,0,buy,9
TMV,2010-07-14,filled,2153.04,9,buy,9
TMV,2010-07-15,submitted,0.0,0,sell,-19
TMV,2010-07-16,filled,2047.09,-19,sell,-19
TMV,2010-07-16,submitted,0.0,0,sell,-9
TMV,2010-07-19,filled,2026.1,-9,sell,-9
TMV,2010-07-23,submitted,0.0,0,buy,9
TMV,2010-07-26,filled,2078.83,9,buy,9
TMV,2010-07-27,submitted,0.0,0,buy,19
TMV,2010-07-28,filled,2154.01,19,buy,19
TMV,2010-07-30,submitted,0.0,0,sell,-28
TMV,2010-08-02,filled,2086.64,-28,sell,-28
TMV,2010-08-02,submitted,0.0,0,buy,18
TMV,2010-08-03,filled,2089.08,18,buy,18
TMV,2010-08-04,submitted,0.0,0,buy,9
TMV,2010-08-05,filled,2075.41,9,buy,9
TMV,2010-08-06,submitted,0.0,0,sell,-27
TMV,2010-08-09,filled,2052.46,-27,sell,-27
TMV,2010-08-27,submitted,0.0,0,buy,11
TMV,2010-08-30,filled,1666.77,11,buy,11
TMV,2010-08-31,submitted,0.0,0,sell,-11
TMV,2010-09-01,filled,1610.14,-11,sell,-11
TMV,2010-09-02,submitted,0.0,0,buy,22
TMV,2010-09-03,filled,1823.49,22,buy,22
TMV,2010-09-09,submitted,0.0,0,buy,9
TMV,2010-09-10,filled,1843.99,9,buy,9
TMV,2010-09-14,submitted,0.0,0,sell,-10
TMV,2010-09-15,filled,1809.82,-10,sell,-10
TMV,2010-09-16,submitted,0.0,0,buy,10
TMV,2010-09-17,filled,1845.46,10,buy,10
TMV,2010-09-21,submitted,0.0,0,sell,-21
TMV,2010-09-22,filled,1701.92,-21,sell,-21
TMV,2010-09-23,submitted,0.0,0,sell,-10
TMV,2010-09-24,filled,1731.7,-10,sell,-10
TMV,2010-10-08,submitted,0.0,0,buy,21
TMV,2010-10-11,filled,1688.74,21,buy,21
TMV,2010-10-13,submitted,0.0,0,buy,10
TMV,2010-10-14,filled,1734.15,10,buy,10
TMV,2010-10-15,submitted,0.0,0,buy,10
TMV,2010-10-18,filled,1838.14,10,buy,10
TMV,2010-11-02,submitted,0.0,0,sell,-20
TMV,2010-11-03,filled,1781.5,-20,sell,-20
TMV,2010-11-03,submitted,0.0,0,buy,19
TMV,2010-11-04,filled,1917.23,19,buy,19
TMV,2010-11-19,submitted,0.0,0,sell,-10
TMV,2010-11-22,filled,1997.78,-10,sell,-10
TMV,2010-11-22,submitted,0.0,0,sell,-10
TMV,2010-11-23,filled,1979.23,-10,sell,-10
TMV,2010-11-24,submitted,0.0,0,buy,9
TMV,2010-11-26,filled,2032.45,9,buy,9
TMV,2010-11-29,submitted,0.0,0,sell,-19
TMV,2010-11-30,filled,1882.08,-19,sell,-19
TMV,2010-12-01,submitted,0.0,0,buy,9
TMV,2010-12-02,filled,2051.0,9,buy,9
TMV,2010-12-02,submitted,0.0,0,buy,9
TMV,2010-12-03,filled,2028.05,9,buy,9
TMV,2010-12-03,submitted,0.0,0,buy,10
TMV,2010-12-06,filled,2076.39,10,buy,10
TMV,2010-12-17,submitted,0.0,0,sell,-10
TMV,2010-12-20,filled,2174.52,-10,sell,-10
TMV,2010-12-21,submitted,0.0,0,sell,-9
TMV,2010-12-22,filled,2192.58,-9,sell,-9
TMV,2010-12-28,submitted,0.0,0,buy,9
TMV,2010-12-29,filled,2285.34,9,buy,9
TMV,2010-12-29,submitted,0.0,0,sell,-10
TMV,2010-12-30,filled,2199.42,-10,sell,-10
TMV,2010-12-31,submitted,0.0,0,sell,-9
TMV,2011-01-03,filled,2169.64,-9,sell,-9
TMV,2011-01-05,submitted,0.0,0,buy,27
TMV,2011-01-06,filled,2282.9,27,buy,27
TMV,2011-01-10,submitted,0.0,0,sell,-18
TMV,2011-01-11,filled,2210.65,-18,sell,-18
TMV,2011-01-18,submitted,0.0,0,buy,9
TMV,2011-01-19,filled,2286.81,9,buy,9
TMV,2011-01-20,submitted,0.0,0,buy,8
TMV,2011-01-21,filled,2336.61,8,buy,8
TMV,2011-01-25,submitted,0.0,0,sell,-18
TMV,2011-01-26,filled,2220.41,-18,sell,-18
TMV,2011-01-26,submitted,0.0,0,buy,9
TMV,2011-01-27,filled,2300.97,9,buy,9
TMV,2011-02-03,submitted,0.0,0,buy,9
TMV,2011-02-04,filled,2396.66,9,buy,9
TMV,2011-02-11,submitted,0.0,0,sell,-9
TMV,2011-02-14,filled,2400.07,-9,sell,-9
TMV,2011-02-15,submitted,0.0,0,sell,-9
TMV,2011-02-16,filled,2355.16,-9,sell,-9
TMV,2011-02-22,submitted,0.0,0,sell,-9
TMV,2011-02-23,filled,2256.05,-9,sell,-9
TMV,2011-02-24,submitted,0.0,0,sell,-8
TMV,2011-02-25,filled,2206.25,-8,sell,-8
TMV,2011-03-02,submitted,0.0,0,buy,9
TMV,2011-03-03,filled,2271.18,9,buy,9
TMV,2011-03-03,submitted,0.0,0,buy,8
TMV,2011-03-04,filled,2301.94,8,buy,8
TMV,2011-03-08,submitted,0.0,0,buy,9
TMV,2011-03-09,filled,2299.99,9,buy,9
TMV,2011-03-10,submitted,0.0,0,sell,-26
TMV,2011-03-11,filled,2151.57,-26,sell,-26
TMV,2011-03-24,submitted,0.0,0,buy,9
TMV,2011-03-25,filled,2084.69,9,buy,9
TMV,2011-03-25,submitted,0.0,0,buy,9
TMV,2011-03-28,filled,2136.92,9,buy,9
TMV,2011-04-04,submitted,0.0,0,sell,-9
TMV,2011-04-05,filled,2104.7,-9,sell,-9
TMV,2011-04-06,submitted,0.0,0,buy,17
TMV,2011-04-07,filled,2215.04,17,buy,17
TMV,2011-04-12,submitted,0.0,0,sell,-9
TMV,2011-04-13,filled,2212.11,-9,sell,-9
TMV,2011-04-13,submitted,0.0,0,sell,-9
TMV,2011-04-14,filled,2140.83,-9,sell,-9
TMV,2011-04-15,submitted,0.0,0,sell,-8
TMV,2011-04-18,filled,2102.26,-8,sell,-8
TMV,2011-05-10,submitted,0.0,0,buy,9
TMV,2011-05-11,filled,1919.18,9,buy,9
TMV,2011-05-16,submitted,0.0,0,sell,-9
TMV,2011-05-17,filled,1815.19,-9,sell,-9
TMV,2011-06-06,submitted,0.0,0,buy,10
TMV,2011-06-07,filled,1825.93,10,buy,10
TMV,2011-06-08,submitted,0.0,0,sell,-10
TMV,2011-06-09,filled,1722.92,-10,sell,-10
TMV,2011-06-14,submitted,0.0,0,buy,30
TMV,2011-06-15,filled,1812.26,30,buy,30
TMV,2011-06-15,submitted,0.0,0,sell,-30
TMV,2011-06-16,filled,1715.11,-30,sell,-30
TMV,2011-06-27,submitted,0.0,0,buy,29
TMV,2011-06-28,filled,1796.64,29,buy,29
TMV,2011-07-08,submitted,0.0,0,sell,-20
TMV,2011-07-11,filled,1741.47,-20,sell,-20
TMV,2011-07-11,submitted,0.0,0,sell,-9
TMV,2011-07-12,filled,1673.61,-9,sell,-9
TMV,2011-07-18,submitted,0.0,0,buy,9
TMV,2011-07-19,filled,1774.67,9,buy,9
TMV,2011-07-19,submitted,0.0,0,sell,-9
TMV,2011-07-20,filled,1695.09,-9,sell,-9
TMV,2011-07-21,submitted,0.0,0,buy,9
