symbol,date,status,fill-price,fill-quantity,direction,quantity
TNA,2008-11-25,submitted,0.0,0,buy,16778
TNA,2008-11-26,filled,5.57,16778,buy,16778
TNA,2008-12-01,submitted,0.0,0,sell,-16778
TNA,2008-12-02,filled,5.059999999999999,-16778,sell,-16778
TNA,2008-12-08,submitted,0.0,0,buy,13163
TNA,2008-12-09,filled,6.72,13163,buy,13163
TNA,2008-12-11,submitted,0.0,0,sell,-2966
TNA,2008-12-12,filled,5.269999999999999,-2966,sell,-2966
TNA,2008-12-16,submitted,0.0,0,buy,2682
TNA,2008-12-17,filled,6.66,2682,buy,2682
TNA,2008-12-23,submitted,0.0,0,sell,-3193
TNA,2008-12-24,filled,6.269999999999999,-3193,sell,-3193
TNA,2008-12-30,submitted,0.0,0,buy,3006
TNA,2008-12-31,filled,6.8,3006,buy,3006
TNA,2009-01-09,submitted,0.0,0,sell,-6364
TNA,2009-01-12,filled,6.59,-6364,sell,-6364
TNA,2009-01-12,submitted,0.0,0,sell,-3032
TNA,2009-01-13,filled,6.04,-3032,sell,-3032
TNA,2009-01-14,submitted,0.0,0,sell,-3296
TNA,2009-01-15,filled,5.53,-3296,sell,-3296
TNA,2009-01-28,submitted,0.0,0,buy,6503
TNA,2009-01-29,filled,5.79,6503,buy,6503
TNA,2009-01-30,submitted,0.0,0,sell,-2860
TNA,2009-02-02,filled,4.76,-2860,sell,-2860
TNA,2009-02-06,submitted,0.0,0,buy,5988
TNA,2009-02-09,filled,5.83,5988,buy,5988
TNA,2009-02-10,submitted,0.0,0,sell,-9631
TNA,2009-02-11,filled,5.12,-9631,sell,-9631
TNA,2009-03-12,submitted,0.0,0,buy,11102
TNA,2009-03-13,filled,3.17,11102,buy,11102
TNA,2009-03-17,submitted,0.0,0,buy,4520
TNA,2009-03-18,filled,3.36,4520,buy,4520
TNA,2009-03-30,submitted,0.0,0,sell,-5324
TNA,2009-03-31,filled,3.75,-5324,sell,-5324
TNA,2009-04-02,submitted,0.0,0,buy,3785
TNA,2009-04-03,filled,4.440000000000001,3785,buy,3785
TNA,2009-04-07,submitted,0.0,0,sell,-4394
TNA,2009-04-08,filled,4.059999999999999,-4394,sell,-4394
TNA,2009-04-09,submitted,0.0,0,buy,7902
TNA,2009-04-13,filled,4.78,7902,buy,7902
TNA,2009-04-20,submitted,0.0,0,sell,-4215
TNA,2009-04-21,filled,4.36,-4215,sell,-4215
TNA,2009-04-29,submitted,0.0,0,buy,3516
TNA,2009-04-30,filled,5.79,3516,buy,3516
TNA,2009-05-13,submitted,0.0,0,sell,-12719
TNA,2009-05-14,filled,4.93,-12719,sell,-12719
TNA,2009-05-19,submitted,0.0,0,buy,3483
TNA,2009-05-20,filled,5.68,3483,buy,3483
TNA,2009-05-22,submitted,0.0,0,sell,-3659
TNA,2009-05-26,filled,4.88,-3659,sell,-3659
TNA,2009-05-26,submitted,0.0,0,buy,6874
TNA,2009-05-27,filled,5.62,6874,buy,6874
TNA,2009-06-01,submitted,0.0,0,buy,3294
TNA,2009-06-02,filled,6.34,3294,buy,3294
TNA,2009-06-15,submitted,0.0,0,sell,-7070
TNA,2009-06-16,filled,6.25,-7070,sell,-7070
TNA,2009-06-16,submitted,0.0,0,sell,-3407
TNA,2009-06-17,filled,5.8,-3407,sell,-3407
TNA,2009-06-25,submitted,0.0,0,buy,3540
TNA,2009-06-26,filled,5.87,3540,buy,3540
TNA,2009-07-01,submitted,0.0,0,buy,3420
TNA,2009-07-02,filled,5.93,3420,buy,3420
TNA,2009-07-02,submitted,0.0,0,sell,-6963
TNA,2009-07-06,filled,5.45,-6963,sell,-6963
TNA,2009-07-07,submitted,0.0,0,sell,-3685
TNA,2009-07-08,filled,5.14,-3685,sell,-3685
TNA,2009-07-13,submitted,0.0,0,buy,3736
TNA,2009-07-14,filled,5.34,3736,buy,3736
TNA,2009-07-15,submitted,0.0,0,buy,9887
