symbol,date,status,fill-price,fill-quantity,direction,quantity
TPOR,2017-05-10,filled,21.85,4482,buy,4482
TPOR,2017-05-11,filled,21.85,-4482,sell,-4482
TPOR,2017-05-17,filled,21.84,1141,buy,1141
TPOR,2017-05-24,filled,21.48,-1141,sell,-1141
TPOR,2017-05-30,filled,22.55,4401,buy,4401
TPOR,2017-06-12,filled,23.26,-1100,sell,-1100
TPOR,2017-06-15,filled,24.05,1068,buy,1068
TPOR,2017-06-21,filled,23.48,-2187,sell,-2187
TPOR,2017-06-26,filled,24.28,2110,buy,2110
TPOR,2017-07-18,filled,25.96,-1073,sell,-1073
TPOR,2017-07-19,filled,25.32,-1074,sell,-1074
TPOR,2017-07-21,filled,24.55,-1052,sell,-1052
TPOR,2017-07-26,filled,24.19,1083,buy,1083
TPOR,2017-07-28,filled,22.5,-2176,sell,-2176
TPOR,2017-08-07,filled,22.98,1127,buy,1127
TPOR,2017-08-08,filled,22.66,1115,buy,1115
TPOR,2017-08-10,filled,22.38,-1100,sell,-1100
TPOR,2017-08-11,filled,21.92,-1142,sell,-1142
TPOR,2017-08-15,filled,23.53,2181,buy,2181
TPOR,2017-08-16,filled,24.01,1059,buy,1059
TPOR,2017-08-18,filled,21.54,-3240,sell,-3240
TPOR,2017-08-28,filled,21.86,1081,buy,1081
TPOR,2017-08-30,filled,23.15,2103,buy,2103
TPOR,2017-09-06,filled,23.09,-1095,sell,-1095
TPOR,2017-09-11,filled,24.6,997,buy,997
TPOR,2017-09-12,filled,24.73,962,buy,962
TPOR,2017-09-19,filled,24.83,-1021,sell,-1021
TPOR,2017-09-22,filled,25.82,960,buy,960
TPOR,2017-10-09,filled,27.49,-990,sell,-990
TPOR,2017-10-10,filled,27.29,-996,sell,-996
TPOR,2017-10-12,filled,28.81,1929,buy,1929
TPOR,2017-10-17,filled,27.36,-1983,sell,-1983
TPOR,2017-10-23,filled,27.98,1894,buy,1894
TPOR,2017-10-27,filled,27.57,-2879,sell,-2879
TPOR,2017-11-09,filled,25.1,-962,sell,-962
TPOR,2017-11-17,filled,24.55,1035,buy,1035
TPOR,2017-11-22,filled,25.36,1032,buy,1032
TPOR,2017-11-29,filled,26.77,1985,buy,1985
TPOR,2017-12-15,filled,31.59,-1036,sell,-1036
TPOR,2017-12-19,filled,33.39,964,buy,964
TPOR,2018-01-02,filled,33.7,-1005,sell,-1005
TPOR,2018-01-03,filled,35.89,953,buy,953
TPOR,2018-01-25,filled,39.35,-1974,sell,-1974
TPOR,2018-01-31,filled,37.7,-945,sell,-945
TPOR,2018-02-06,filled,29.77,-1009,sell,-1009
TPOR,2018-02-15,filled,31.2,1124,buy,1124
TPOR,2018-02-26,filled,32.77,1091,buy,1091
TPOR,2018-02-27,filled,34.65,1016,buy,1016
TPOR,2018-03-01,filled,30.41,-3231,sell,-3231
TPOR,2018-03-09,filled,31.82,1071,buy,1071
TPOR,2018-03-12,filled,34.03,1950,buy,1950
TPOR,2018-03-16,filled,32.99,-983,sell,-983
TPOR,2018-03-23,filled,30.4,-2038,sell,-2038
TPOR,2018-04-02,filled,30.53,1055,buy,1055
TPOR,2018-04-03,filled,29.32,-1055,sell,-1055
TPOR,2018-04-13,filled,30.4,1066,buy,1066
TPOR,2018-04-16,filled,31.45,1046,buy,1046
TPOR,2018-04-17,filled,32.86,919,buy,919
TPOR,2018-04-19,filled,32.84,951,buy,951
TPOR,2018-04-23,filled,31.97,-981,sell,-981
TPOR,2018-04-25,filled,30.0,-1985,sell,-1985
TPOR,2018-05-02,filled,29.62,-1016,sell,-1016
TPOR,2018-05-09,filled,30.85,1002,buy,1002
TPOR,2018-05-10,filled,31.11,962,buy,962
TPOR,2018-05-11,filled,32.02,1917,buy,1917
TPOR,2018-05-24,filled,33.31,-985,sell,-985
TPOR,2018-05-25,filled,34.18,947,buy,947
TPOR,2018-05-30,filled,33.16,-965,sell,-965
TPOR,2018-05-31,filled,34.15,917,buy,917
TPOR,2018-06-01,filled,34.0,-938,sell,-938
TPOR,2018-06-11,filled,34.98,933,buy,933
TPOR,2018-06-20,filled,33.86,-1899,sell,-1899
TPOR,2018-06-22,filled,34.51,-940,sell,-940
TPOR,2018-06-26,filled,30.9,-951,sell,-951
TPOR,2018-07-09,filled,30.79,1035,buy,1035
TPOR,2018-07-10,filled,32.19,949,buy,949
TPOR,2018-07-12,filled,30.34,-960,sell,-960
TPOR,2018-07-17,filled,29.8,-1024,sell,-1024
TPOR,2018-07-19,filled,31.45,2876,buy,2876
TPOR,2018-07-24,filled,33.59,985,buy,985
TPOR,2018-07-25,filled,32.09,-978,sell,-978
TPOR,2018-07-26,filled,33.59,915,buy,915
TPOR,2018-08-13,filled,35.49,-947,sell,-947
TPOR,2018-08-14,filled,35.55,-944,sell,-944
TPOR,2018-08-17,filled,36.65,1840,buy,1840
TPOR,2018-08-24,filled,37.15,-940,sell,-940
TPOR,2018-08-28,filled,39.07,902,buy,902
TPOR,2018-08-31,filled,36.54,-1861,sell,-1861
TPOR,2018-09-06,filled,38.86,1760,buy,1760
TPOR,2018-09-14,filled,39.62,-920,sell,-920
TPOR,2018-09-25,filled,38.01,-1783,sell,-1783
TPOR,2018-10-10,filled,33.19,-905,sell,-905
TPOR,2018-10-17,filled,32.25,1048,buy,1048
TPOR,2018-10-19,filled,29.5,-1048,sell,-1048
TPOR,2018-10-31,filled,27.43,1223,buy,1223
TPOR,2018-11-02,filled,28.51,1104,buy,1104
TPOR,2018-11-08,filled,30.59,1006,buy,1006
TPOR,2018-11-13,filled,28.52,-1048,sell,-1048
TPOR,2018-11-16,filled,29.94,1042,buy,1042
TPOR,2018-11-21,filled,27.42,-3327,sell,-3327
TPOR,2018-11-27,filled,28.56,1085,buy,1085
TPOR,2018-11-29,filled,31.25,1983,buy,1983
TPOR,2018-12-06,filled,26.44,-3068,sell,-3068
TPOR,2018-12-28,filled,18.85,1536,buy,1536
TPOR,2019-01-04,filled,18.04,-1536,sell,-1536
TPOR,2019-01-07,filled,19.16,2964,buy,2964
TPOR,2019-01-10,filled,20.44,1204,buy,1204
TPOR,2019-02-05,filled,25.38,1191,buy,1191
TPOR,2019-02-27,filled,27.68,-1347,sell,-1347
TPOR,2019-02-28,filled,27.01,-1329,sell,-1329
TPOR,2019-03-06,filled,26.0,-1315,sell,-1315
TPOR,2019-03-12,filled,25.75,1378,buy,1378
TPOR,2019-03-19,filled,27.4,1327,buy,1327
TPOR,2019-03-20,filled,24.46,-1347,sell,-1347
TPOR,2019-03-21,filled,24.13,-1353,sell,-1353
TPOR,2019-03-28,filled,25.54,1335,buy,1335
TPOR,2019-03-29,filled,26.29,1258,buy,1258
TPOR,2019-04-01,filled,26.92,1269,buy,1269
TPOR,2019-04-10,filled,28.12,-1323,sell,-1323
TPOR,2019-04-12,filled,29.49,1251,buy,1251
TPOR,2019-04-26,filled,29.11,-2586,sell,-2586
TPOR,2019-05-02,filled,28.26,-1265,sell,-1265
TPOR,2019-05-06,filled,28.62,3622,buy,3622
TPOR,2019-05-08,filled,27.88,-3638,sell,-3638
TPOR,2019-05-14,filled,25.71,-1296,sell,-1296
TPOR,2019-05-17,filled,26.71,1289,buy,1289
TPOR,2019-05-23,filled,24.6,-1289,sell,-1289
TPOR,2019-06-05,filled,23.64,1479,buy,1479
TPOR,2019-06-06,filled,23.99,1420,buy,1420
TPOR,2019-06-14,filled,25.02,1352,buy,1352
TPOR,2019-06-18,filled,24.53,-1379,sell,-1379
TPOR,2019-06-19,filled,25.32,1369,buy,1369
TPOR,2019-06-25,filled,24.0,-2816,sell,-2816
TPOR,2019-06-26,filled,23.59,-1425,sell,-1425
TPOR,2019-06-28,filled,25.73,2726,buy,2726
TPOR,2019-07-01,filled,27.13,1235,buy,1235
TPOR,2019-07-09,filled,25.3,-1340,sell,-1340
TPOR,2019-07-11,filled,24.81,-2621,sell,-2621
TPOR,2019-07-15,filled,27.72,4839,buy,4839
TPOR,2019-07-18,filled,25.59,-3653,sell,-3653
TPOR,2019-07-22,filled,27.46,1103,buy,1103
TPOR,2019-07-23,filled,27.46,1115,buy,1115
TPOR,2019-07-24,filled,27.48,1092,buy,1092
TPOR,2019-08-02,filled,25.04,-3371,sell,-3371
TPOR,2019-08-05,filled,24.56,-1125,sell,-1125
TPOR,2019-08-09,filled,24.47,1146,buy,1146
TPOR,2019-08-13,filled,22.82,-1146,sell,-1146
TPOR,2019-08-20,filled,22.57,1210,buy,1210
TPOR,2019-08-26,filled,21.04,-1210,sell,-1210
TPOR,2019-08-30,filled,23.28,2383,buy,2383
TPOR,2019-09-03,filled,22.33,1130,buy,1130
TPOR,2019-09-10,filled,25.53,1084,buy,1084
TPOR,2019-09-19,filled,26.25,-1150,sell,-1150
TPOR,2019-09-20,filled,25.34,-1131,sell,-1131
TPOR,2019-09-25,filled,24.18,-2316,sell,-2316
TPOR,2019-10-11,filled,22.69,1301,buy,1301
TPOR,2019-10-14,filled,23.63,1160,buy,1160
TPOR,2019-10-16,filled,24.23,1185,buy,1185
TPOR,2019-10-18,filled,24.94,1170,buy,1170
TPOR,2019-10-31,filled,25.94,-1205,sell,-1205
TPOR,2019-11-01,filled,25.41,-1177,sell,-1177
TPOR,2019-11-05,filled,28.37,2155,buy,2155
TPOR,2019-11-13,filled,27.74,-1148,sell,-1148
TPOR,2019-11-14,filled,27.0,-1138,sell,-1138
TPOR,2019-11-21,filled,26.75,-1131,sell,-1131
TPOR,2019-11-26,filled,28.58,3306,buy,3306
TPOR,2019-12-03,filled,25.63,-3375,sell,-3375
TPOR,2019-12-04,filled,25.32,-1103,sell,-1103
TPOR,2019-12-09,filled,25.87,2145,buy,2145
TPOR,2019-12-13,filled,27.08,1062,buy,1062
TPOR,2019-12-17,filled,27.88,1033,buy,1033
TPOR,2019-12-31,filled,27.07,-1071,sell,-1071
TPOR,2020-01-03,filled,26.81,1014,buy,1014
TPOR,2020-01-07,filled,26.92,-1007,sell,-1007
TPOR,2020-01-09,filled,28.55,1011,buy,1011
TPOR,2020-01-22,filled,28.96,-1056,sell,-1056
TPOR,2020-01-23,filled,27.62,-1029,sell,-1029
TPOR,2020-01-28,filled,27.29,-2102,sell,-2102
TPOR,2020-02-06,filled,27.14,2124,buy,2124
TPOR,2020-02-13,filled,27.51,2084,buy,2084
TPOR,2020-02-18,filled,26.91,-3147,sell,-3147
TPOR,2020-02-20,filled,27.42,2068,buy,2068
TPOR,2020-02-21,filled,27.98,1026,buy,1026
TPOR,2020-02-25,filled,24.1,-4155,sell,-4155
TPOR,2020-03-25,filled,7.62,3620,buy,3620
TPOR,2020-03-27,filled,7.6,2588,buy,2588
TPOR,2020-04-02,filled,6.01,-6208,sell,-6208
TPOR,2020-04-07,filled,8.31,3064,buy,3064
TPOR,2020-04-09,filled,8.79,5081,buy,5081
TPOR,2020-04-16,filled,7.82,-2772,sell,-2772
TPOR,2020-04-20,filled,8.18,2371,buy,2371
TPOR,2020-04-22,filled,7.73,-5039,sell,-5039
TPOR,2020-04-27,filled,8.33,2502,buy,2502
TPOR,2020-04-28,filled,9.08,2207,buy,2207
TPOR,2020-05-04,filled,7.55,-2430,sell,-2430
TPOR,2020-05-05,filled,8.04,-4984,sell,-4984
TPOR,2020-05-11,filled,8.38,4605,buy,4605
TPOR,2020-05-13,filled,7.51,-4605,sell,-4605
TPOR,2020-05-19,filled,8.52,6660,buy,6660
TPOR,2020-05-27,filled,11.07,1786,buy,1786
TPOR,2020-06-11,filled,10.64,-2217,sell,-2217
TPOR,2020-06-12,filled,10.87,-4107,sell,-4107
TPOR,2020-07-01,filled,11.26,2073,buy,2073
TPOR,2020-07-06,filled,11.38,1927,buy,1927
TPOR,2020-07-09,filled,11.28,1895,buy,1895
TPOR,2020-07-10,filled,10.47,-2021,sell,-2021
TPOR,2020-07-15,filled,12.57,1804,buy,1804
TPOR,2020-07-27,filled,12.55,-2056,sell,-2056
TPOR,2020-07-29,filled,12.65,-1908,sell,-1908
TPOR,2020-07-30,filled,13.24,3633,buy,3633
TPOR,2020-09-04,filled,19.18,-1866,sell,-1866
TPOR,2020-09-09,filled,18.79,-1827,sell,-1827
TPOR,2020-09-15,filled,20.14,3523,buy,3523
TPOR,2020-09-22,filled,18.71,-5486,sell,-5486
TPOR,2020-09-29,filled,20.46,3332,buy,3332
TPOR,2020-10-02,filled,18.15,-1685,sell,-1685
TPOR,2020-10-06,filled,20.6,3152,buy,3152
TPOR,2020-10-20,filled,21.97,-3325,sell,-3325
TPOR,2020-10-28,filled,18.4,-1555,sell,-1555
TPOR,2020-10-29,filled,17.29,-1732,sell,-1732
TPOR,2020-11-04,filled,20.39,3208,buy,3208
TPOR,2020-11-06,filled,20.96,1540,buy,1540
TPOR,2020-11-10,filled,22.37,1496,buy,1496
TPOR,2020-12-01,filled,26.24,-1573,sell,-1573
TPOR,2020-12-07,filled,26.8,1511,buy,1511
TPOR,2020-12-15,filled,25.49,-4633,sell,-4633
TPOR,2021-01-07,filled,27.0,4448,buy,4448
TPOR,2021-01-20,filled,27.88,-1545,sell,-1545
TPOR,2021-01-21,filled,28.71,1422,buy,1422
TPOR,2021-01-22,filled,27.5,-1454,sell,-1454
TPOR,2021-01-25,filled,26.92,-1471,sell,-1471
TPOR,2021-01-27,filled,25.07,-1444,sell,-1444
TPOR,2021-01-28,filled,24.66,-1505,sell,-1505
TPOR,2021-02-03,filled,25.32,1522,buy,1522
TPOR,2021-02-05,filled,26.67,2904,buy,2904
TPOR,2021-02-09,filled,26.97,1370,buy,1370
TPOR,2021-03-05,filled,30.35,-2891,sell,-2891
TPOR,2021-03-08,filled,32.98,1322,buy,1322
TPOR,2021-03-09,filled,33.71,1352,buy,1352
TPOR,2021-03-24,filled,34.53,-2805,sell,-2805
TPOR,2021-03-29,filled,39.19,2431,buy,2431
TPOR,2021-04-20,filled,41.98,-1291,sell,-1291
TPOR,2021-04-22,filled,42.88,1280,buy,1280
TPOR,2021-05-13,filled,45.8,-2599,sell,-2599
TPOR,2021-05-17,filled,50.31,2354,buy,2354
TPOR,2021-05-20,filled,47.92,-2470,sell,-2470
TPOR,2021-05-24,filled,47.73,-1220,sell,-1220
TPOR,2021-05-28,filled,49.62,1191,buy,1191
TPOR,2021-06-01,filled,50.0,1193,buy,1193
TPOR,2021-06-04,filled,47.66,-1205,sell,-1205
TPOR,2021-06-07,filled,46.57,-1206,sell,-1206
TPOR,2021-06-18,filled,39.62,-1232,sell,-1232
TPOR,2021-06-25,filled,41.91,1313,buy,1313
TPOR,2021-06-29,filled,41.0,-1313,sell,-1313
TPOR,2021-07-02,filled,43.0,2565,buy,2565
TPOR,2021-07-09,filled,39.24,-2565,sell,-2565
TPOR,2021-07-22,filled,39.39,1339,buy,1339
TPOR,2021-07-26,filled,39.05,1313,buy,1313
TPOR,2021-07-28,filled,37.45,-2652,sell,-2652
TPOR,2021-08-04,filled,37.48,1346,buy,1346
TPOR,2021-08-05,filled,36.03,-1346,sell,-1346
TPOR,2021-08-11,filled,38.4,2657,buy,2657
TPOR,2021-08-12,filled,40.06,1220,buy,1220
