symbol,date,status,fill-price,fill-quantity,direction,quantity
TQQQ,2010-02-16,submitted,0.0,0,buy,220561
TQQQ,2010-02-17,filled,0.45,220561,buy,220561
TQQQ,2010-02-23,submitted,0.0,0,sell,-55364
TQQQ,2010-02-24,filled,0.45,-55364,sell,-55364
TQQQ,2010-03-01,submitted,0.0,0,buy,51360
TQQQ,2010-03-02,filled,0.49,51360,buy,51360
TQQQ,2010-04-27,submitted,0.0,0,sell,-108967
TQQQ,2010-04-28,filled,0.63,-108967,sell,-108967
TQQQ,2010-05-04,submitted,0.0,0,sell,-51535
TQQQ,2010-05-05,filled,0.56,-51535,sell,-51535
TQQQ,2010-05-06,submitted,0.0,0,sell,-56055
TQQQ,2010-05-07,filled,0.5,-56055,sell,-56055
TQQQ,2010-05-12,submitted,0.0,0,buy,106975
TQQQ,2010-05-13,filled,0.5699999999999991,106975,buy,106975
TQQQ,2010-05-14,submitted,0.0,0,sell,-106975
TQQQ,2010-05-17,filled,0.52,-106975,sell,-106975
TQQQ,2010-05-27,submitted,0.0,0,buy,61631
TQQQ,2010-05-28,filled,0.48,61631,buy,61631
TQQQ,2010-06-02,submitted,0.0,0,buy,59599
TQQQ,2010-06-03,filled,0.49,59599,buy,59599
TQQQ,2010-06-04,submitted,0.0,0,sell,-57995
TQQQ,2010-06-07,filled,0.46,-57995,sell,-57995
TQQQ,2010-06-07,submitted,0.0,0,sell,-63235
TQQQ,2010-06-08,filled,0.43,-63235,sell,-63235
TQQQ,2010-06-11,submitted,0.0,0,buy,61341
TQQQ,2010-06-14,filled,0.48,61341,buy,61341
TQQQ,2010-06-15,submitted,0.0,0,buy,109389
TQQQ,2010-06-16,filled,0.5,109389,buy,109389
TQQQ,2010-06-22,submitted,0.0,0,sell,-56476
TQQQ,2010-06-23,filled,0.49,-56476,sell,-56476
TQQQ,2010-06-24,submitted,0.0,0,sell,-114254
TQQQ,2010-06-25,filled,0.46,-114254,sell,-114254
TQQQ,2010-07-07,submitted,0.0,0,buy,65943
TQQQ,2010-07-08,filled,0.42,65943,buy,65943
TQQQ,2010-07-09,submitted,0.0,0,buy,60420
TQQQ,2010-07-12,filled,0.43,60420,buy,60420
TQQQ,2010-07-14,submitted,0.0,0,buy,56783
TQQQ,2010-07-15,filled,0.46,56783,buy,56783
TQQQ,2010-07-16,submitted,0.0,0,sell,-59066
TQQQ,2010-07-19,filled,0.43,-59066,sell,-59066
TQQQ,2010-07-22,submitted,0.0,0,buy,55761
TQQQ,2010-07-23,filled,0.46,55761,buy,55761
TQQQ,2010-07-29,submitted,0.0,0,sell,-60100
TQQQ,2010-07-30,filled,0.45,-60100,sell,-60100
TQQQ,2010-08-02,submitted,0.0,0,buy,110623
TQQQ,2010-08-03,filled,0.49,110623,buy,110623
TQQQ,2010-08-11,submitted,0.0,0,sell,-172989
TQQQ,2010-08-12,filled,0.43,-172989,sell,-172989
TQQQ,2010-08-12,submitted,0.0,0,sell,-57375
TQQQ,2010-08-13,filled,0.44,-57375,sell,-57375
TQQQ,2010-09-01,submitted,0.0,0,buy,114976
TQQQ,2010-09-02,filled,0.43,114976,buy,114976
TQQQ,2010-09-03,submitted,0.0,0,buy,104655
