symbol,date,status,fill-price,fill-quantity,direction,quantity
TTT,2012-03-30,submitted,0.0,0,buy,250
TTT,2012-04-02,filled,391.61,250,buy,250
TTT,2012-04-09,submitted,0.0,0,sell,-250
TTT,2012-04-10,filled,359.29,-250,sell,-250
TTT,2012-04-25,submitted,0.0,0,buy,64
TTT,2012-04-26,filled,344.61,64,buy,64
TTT,2012-05-01,submitted,0.0,0,buy,67
TTT,2012-05-02,filled,343.52,67,buy,67
TTT,2012-05-02,submitted,0.0,0,sell,-65
TTT,2012-05-03,filled,348.83,-65,sell,-65
TTT,2012-05-04,submitted,0.0,0,sell,-66
TTT,2012-05-07,filled,333.84,-66,sell,-66
TTT,2012-06-06,submitted,0.0,0,buy,83
TTT,2012-06-07,filled,277.94,83,buy,83
TTT,2012-06-08,submitted,0.0,0,buy,82
TTT,2012-06-11,filled,277.47,82,buy,82
TTT,2012-06-15,submitted,0.0,0,sell,-81
TTT,2012-06-18,filled,261.54,-81,sell,-81
TTT,2012-06-18,submitted,0.0,0,sell,-84
TTT,2012-06-19,filled,266.69,-84,sell,-84
TTT,2012-06-19,submitted,0.0,0,buy,81
TTT,2012-06-20,filled,277.78,81,buy,81
TTT,2012-06-22,submitted,0.0,0,buy,161
TTT,2012-06-25,filled,265.91,161,buy,161
TTT,2012-06-25,submitted,0.0,0,sell,-242
TTT,2012-06-26,filled,267.16,-242,sell,-242
TTT,2012-06-29,submitted,0.0,0,buy,243
TTT,2012-07-02,filled,269.66,243,buy,243
TTT,2012-07-02,submitted,0.0,0,sell,-161
TTT,2012-07-03,filled,265.29,-161,sell,-161
TTT,2012-07-06,submitted,0.0,0,sell,-82
TTT,2012-07-09,filled,256.86,-82,sell,-82
TTT,2012-07-17,submitted,0.0,0,buy,87
TTT,2012-07-18,filled,244.52,87,buy,87
TTT,2012-07-20,submitted,0.0,0,sell,-87
TTT,2012-07-23,filled,233.12,-87,sell,-87
TTT,2012-07-27,submitted,0.0,0,buy,173
TTT,2012-07-30,filled,248.74,173,buy,173
TTT,2012-08-03,submitted,0.0,0,buy,84
TTT,2012-08-06,filled,249.67,84,buy,84
TTT,2012-08-14,submitted,0.0,0,buy,79
TTT,2012-08-15,filled,277.78,79,buy,79
TTT,2012-08-22,submitted,0.0,0,sell,-169
TTT,2012-08-23,filled,265.44,-169,sell,-169
TTT,2012-08-27,submitted,0.0,0,sell,-83
TTT,2012-08-28,filled,258.89,-83,sell,-83
TTT,2012-08-31,submitted,0.0,0,sell,-84
TTT,2012-09-04,filled,250.14,-84,sell,-84
TTT,2012-09-06,submitted,0.0,0,buy,247
TTT,2012-09-07,filled,254.36,247,buy,247
TTT,2012-09-11,submitted,0.0,0,buy,89
TTT,2012-09-12,filled,279.65,89,buy,89
TTT,2012-09-19,submitted,0.0,0,sell,-86
TTT,2012-09-20,filled,278.56,-86,sell,-86
TTT,2012-09-24,submitted,0.0,0,sell,-83
TTT,2012-09-25,filled,274.19,-83,sell,-83
TTT,2012-09-25,submitted,0.0,0,sell,-83
TTT,2012-09-26,filled,262.32,-83,sell,-83
TTT,2012-10-04,submitted,0.0,0,buy,165
TTT,2012-10-05,filled,279.97,165,buy,165
TTT,2012-10-05,submitted,0.0,0,buy,76
TTT,2012-10-08,filled,277.16,76,buy,76
TTT,2012-10-10,submitted,0.0,0,sell,-162
TTT,2012-10-11,filled,276.22,-162,sell,-162
TTT,2012-10-11,submitted,0.0,0,sell,-80
TTT,2012-10-12,filled,262.63,-80,sell,-80
TTT,2012-10-16,submitted,0.0,0,buy,240
TTT,2012-10-17,filled,281.37,240,buy,240
TTT,2012-10-23,submitted,0.0,0,sell,-164
TTT,2012-10-24,filled,276.06,-164,sell,-164
TTT,2012-10-24,submitted,0.0,0,buy,78
TTT,2012-10-25,filled,284.81,78,buy,78
TTT,2012-10-25,submitted,0.0,0,buy,77
TTT,2012-10-26,filled,278.56,77,buy,77
TTT,2012-10-26,submitted,0.0,0,sell,-236
TTT,2012-10-31,filled,269.97,-236,sell,-236
TTT,2012-10-31,submitted,0.0,0,sell,-78
TTT,2012-11-01,filled,266.69,-78,sell,-78
TTT,2012-11-06,submitted,0.0,0,buy,77
TTT,2012-11-07,filled,258.89,77,buy,77
TTT,2012-11-07,submitted,0.0,0,sell,-77
TTT,2012-11-08,filled,260.14,-77,sell,-77
TTT,2012-11-19,submitted,0.0,0,buy,85
TTT,2012-11-20,filled,248.42,85,buy,85
TTT,2012-11-20,submitted,0.0,0,buy,82
TTT,2012-11-21,filled,256.86,82,buy,82
TTT,2012-11-27,submitted,0.0,0,sell,-83
TTT,2012-11-28,filled,245.77,-83,sell,-83
TTT,2012-11-30,submitted,0.0,0,buy,83
TTT,2012-12-03,filled,258.11,83,buy,83
TTT,2012-12-04,submitted,0.0,0,sell,-167
TTT,2012-12-05,filled,247.8,-167,sell,-167
TTT,2012-12-07,submitted,0.0,0,buy,246
TTT,2012-12-10,filled,249.67,246,buy,246
TTT,2012-12-17,submitted,0.0,0,buy,80
TTT,2012-12-18,filled,271.38,80,buy,80
TTT,2012-12-21,submitted,0.0,0,sell,-82
TTT,2012-12-24,filled,267.32,-82,sell,-82
TTT,2012-12-27,submitted,0.0,0,sell,-81
TTT,2012-12-28,filled,258.11,-81,sell,-81
TTT,2012-12-28,submitted,0.0,0,sell,-163
TTT,2012-12-31,filled,260.6,-163,sell,-163
TTT,2012-12-31,submitted,0.0,0,buy,315
TTT,2013-01-02,filled,279.97,315,buy,315
TTT,2013-01-08,submitted,0.0,0,sell,-87
TTT,2013-01-09,filled,282.78,-87,sell,-87
TTT,2013-01-15,submitted,0.0,0,sell,-75
