symbol,date,status,fill-price,fill-quantity,direction,quantity
TYD,2009-05-12,filled,19.77,1261,buy,1261
TYD,2009-05-14,filled,19.92,1229,buy,1229
TYD,2009-05-19,filled,19.36,-2490,sell,-2490
TYD,2009-05-22,filled,18.53,1250,buy,1250
TYD,2009-05-26,filled,18.57,-1250,sell,-1250
TYD,2009-06-01,filled,17.65,1345,buy,1345
TYD,2009-06-02,filled,17.54,-1345,sell,-1345
TYD,2009-06-04,filled,17.39,1375,buy,1375
TYD,2009-06-05,filled,16.72,-1375,sell,-1375
TYD,2009-06-15,filled,17.06,1451,buy,1451
TYD,2009-06-16,filled,17.04,1401,buy,1401
TYD,2009-06-19,filled,16.51,-1403,sell,-1403
TYD,2009-06-24,filled,17.48,2730,buy,2730
TYD,2009-07-09,filled,18.7,1273,buy,1273
TYD,2009-07-15,filled,17.93,-2715,sell,-2715
TYD,2009-07-16,filled,17.93,-2737,sell,-2737
TYD,2009-07-22,filled,18.21,2683,buy,2683
TYD,2009-07-23,filled,17.88,-1326,sell,-1326
TYD,2009-07-24,filled,17.3,-1357,sell,-1357
TYD,2009-07-31,filled,17.85,1366,buy,1366
TYD,2009-08-03,filled,17.92,3947,buy,3947
TYD,2009-08-04,filled,17.73,-2620,sell,-2620
TYD,2009-08-05,filled,17.12,-1333,sell,-1333
TYD,2009-08-06,filled,17.0,-1360,sell,-1360
TYD,2009-08-12,filled,17.5,1345,buy,1345
TYD,2009-08-14,filled,17.91,2635,buy,2635
TYD,2009-08-17,filled,18.19,1281,buy,1281
TYD,2009-08-24,filled,17.68,-1332,sell,-1332
TYD,2009-08-26,filled,18.39,1260,buy,1260
TYD,2009-09-08,filled,18.32,-1298,sell,-1298
TYD,2009-09-09,filled,18.14,-1297,sell,-1297
TYD,2009-09-11,filled,18.96,2513,buy,2513
TYD,2009-09-16,filled,18.52,-2564,sell,-2564
TYD,2009-09-21,filled,18.46,-1265,sell,-1265
TYD,2009-09-24,filled,18.67,1253,buy,1253
TYD,2009-09-25,filled,18.88,2504,buy,2504
TYD,2009-10-07,filled,19.58,-1269,sell,-1269
TYD,2009-10-08,filled,19.79,1245,buy,1245
TYD,2009-10-09,filled,19.28,-1255,sell,-1255
TYD,2009-10-12,filled,18.95,-2497,sell,-2497
TYD,2009-10-21,filled,18.79,1245,buy,1245
TYD,2009-10-23,filled,18.38,-1235,sell,-1235
TYD,2009-10-27,filled,18.23,-1269,sell,-1269
TYD,2009-10-29,filled,18.5,3764,buy,3764
TYD,2009-10-30,filled,18.59,-1224,sell,-1224
TYD,2009-11-02,filled,18.84,1241,buy,1241
TYD,2009-11-04,filled,18.29,-1252,sell,-1252
TYD,2009-11-05,filled,18.13,-2529,sell,-2529
TYD,2009-11-10,filled,18.54,1253,buy,1253
TYD,2009-11-12,filled,18.51,1231,buy,1231
TYD,2009-11-16,filled,18.84,1243,buy,1243
TYD,2009-11-17,filled,18.95,1200,buy,1200
TYD,2009-12-03,filled,18.83,-1228,sell,-1228
TYD,2009-12-04,filled,18.43,-1238,sell,-1238
TYD,2009-12-07,filled,18.58,-2461,sell,-2461
TYD,2009-12-18,filled,18.35,1242,buy,1242
TYD,2009-12-22,filled,17.32,-1242,sell,-1242
TYD,2010-01-06,filled,17.19,1311,buy,1311
TYD,2010-01-13,filled,17.36,2584,buy,2584
TYD,2010-01-14,filled,17.29,-1279,sell,-1279
TYD,2010-01-19,filled,17.57,1262,buy,1262
TYD,2010-01-29,filled,17.76,-1293,sell,-1293
TYD,2010-02-04,filled,17.85,-1288,sell,-1288
TYD,2010-02-05,filled,18.03,2529,buy,2529
TYD,2010-02-08,filled,18.18,1276,buy,1276
TYD,2010-02-10,filled,17.94,-1272,sell,-1272
TYD,2010-02-11,filled,17.66,-3830,sell,-3830
TYD,2010-02-24,filled,17.86,2549,buy,2549
TYD,2010-02-26,filled,18.05,1242,buy,1242
TYD,2010-03-01,filled,18.07,1248,buy,1248
TYD,2010-03-08,filled,17.64,-2520,sell,-2520
TYD,2010-03-09,filled,17.81,-1261,sell,-1261
TYD,2010-03-17,filled,18.02,3722,buy,3722
TYD,2010-03-22,filled,17.98,-1254,sell,-1254
