symbol,date,status,fill-price,fill-quantity,direction,quantity
TYO,2009-04-20,filled,55.5,1781,buy,1781
TYO,2009-04-21,filled,54.0,-1781,sell,-1781
TYO,2009-04-22,filled,55.3,1743,buy,1743
TYO,2009-05-12,filled,59.18,-428,sell,-428
TYO,2009-05-13,filled,57.82,-437,sell,-437
TYO,2009-05-19,filled,59.92,860,buy,860
TYO,2009-06-01,filled,65.69,-438,sell,-438
TYO,2009-06-02,filled,65.95,428,buy,428
TYO,2009-06-04,filled,65.61,-429,sell,-429
TYO,2009-06-05,filled,67.61,425,buy,425
TYO,2009-06-15,filled,66.99,-435,sell,-435
TYO,2009-06-16,filled,66.98,-428,sell,-428
TYO,2009-06-19,filled,68.86,414,buy,414
TYO,2009-06-23,filled,65.93,-418,sell,-418
TYO,2009-06-24,filled,65.47,-425,sell,-425
TYO,2009-07-09,filled,60.17,-432,sell,-432
TYO,2009-07-15,filled,62.44,450,buy,450
TYO,2009-07-16,filled,62.77,1287,buy,1287
TYO,2009-07-22,filled,61.38,-1297,sell,-1297
TYO,2009-07-24,filled,64.45,1257,buy,1257
TYO,2009-07-31,filled,62.32,-424,sell,-424
TYO,2009-08-03,filled,62.22,-1273,sell,-1273
TYO,2009-08-04,filled,62.58,418,buy,418
TYO,2009-08-06,filled,65.19,1221,buy,1221
TYO,2009-08-12,filled,63.25,-412,sell,-412
TYO,2009-08-14,filled,61.96,-1227,sell,-1227
TYO,2009-08-24,filled,62.39,412,buy,412
TYO,2009-08-26,filled,59.62,-412,sell,-412
TYO,2009-09-08,filled,59.95,422,buy,422
TYO,2009-09-09,filled,60.45,419,buy,419
TYO,2009-09-11,filled,57.61,-841,sell,-841
TYO,2009-09-16,filled,59.19,829,buy,829
TYO,2009-09-18,filled,59.07,-410,sell,-410
TYO,2009-09-25,filled,57.96,-419,sell,-419
TYO,2009-10-09,filled,56.68,437,buy,437
TYO,2009-10-12,filled,58.23,415,buy,415
TYO,2009-10-15,filled,58.85,419,buy,419
TYO,2009-10-21,filled,57.54,-421,sell,-421
TYO,2009-10-23,filled,58.79,415,buy,415
TYO,2009-10-27,filled,59.51,404,buy,404
TYO,2009-10-28,filled,58.28,-415,sell,-415
TYO,2009-10-29,filled,58.4,-835,sell,-835
TYO,2009-11-04,filled,58.65,416,buy,416
TYO,2009-11-05,filled,59.42,409,buy,409
TYO,2009-11-10,filled,57.99,-413,sell,-413
TYO,2009-11-12,filled,57.98,-831,sell,-831
TYO,2009-12-03,filled,56.9,433,buy,433
TYO,2009-12-04,filled,57.45,420,buy,420
TYO,2009-12-07,filled,57.95,405,buy,405
TYO,2009-12-11,filled,58.75,420,buy,420
TYO,2009-12-18,filled,58.11,-842,sell,-842
TYO,2009-12-21,filled,59.6,413,buy,413
TYO,2009-12-22,filled,61.34,395,buy,395
TYO,2010-01-06,filled,61.47,-825,sell,-825
TYO,2010-01-13,filled,60.95,-406,sell,-406
TYO,2010-01-22,filled,58.92,-413,sell,-413
TYO,2010-01-29,filled,59.32,839,buy,839
TYO,2010-02-01,filled,58.84,-839,sell,-839
TYO,2010-02-04,filled,58.86,1244,buy,1244
TYO,2010-02-05,filled,58.1,-1244,sell,-1244
TYO,2010-02-11,filled,59.44,1240,buy,1240
TYO,2010-02-12,filled,58.99,409,buy,409
TYO,2010-02-24,filled,58.85,-1236,sell,-1236
TYO,2010-02-26,filled,57.89,-413,sell,-413
TYO,2010-03-08,filled,59.04,413,buy,413
TYO,2010-03-09,filled,58.6,409,buy,409
TYO,2010-03-15,filled,58.7,-410,sell,-410
TYO,2010-03-17,filled,57.75,-412,sell,-412
TYO,2010-03-24,filled,59.33,414,buy,414
TYO,2010-03-25,filled,60.61,1192,buy,1192
TYO,2010-04-01,filled,60.54,-406,sell,-406
TYO,2010-04-06,filled,61.59,388,buy,388
TYO,2010-04-08,filled,60.23,-792,sell,-792
TYO,2010-04-19,filled,58.82,-796,sell,-796
TYO,2010-04-26,filled,58.89,400,buy,400
TYO,2010-04-28,filled,57.96,-400,sell,-400
TYO,2010-05-13,filled,54.79,426,buy,426
TYO,2010-05-17,filled,53.79,-426,sell,-426
TYO,2010-05-28,filled,51.67,451,buy,451
TYO,2010-06-03,filled,52.62,456,buy,456
TYO,2010-06-07,filled,50.22,-907,sell,-907
TYO,2010-06-11,filled,50.54,897,buy,897
TYO,2010-06-14,filled,50.96,-440,sell,-440
TYO,2010-06-18,filled,49.8,-457,sell,-457
TYO,2010-07-08,filled,47.41,491,buy,491
