symbol,date,status,fill-price,fill-quantity,direction,quantity
UDOW,2010-02-17,filled,3.4,29820,buy,29820
UDOW,2010-02-24,filled,3.44,-7857,sell,-7857
UDOW,2010-03-02,filled,3.55,7169,buy,7169
UDOW,2010-04-28,filled,4.21,-14609,sell,-14609
UDOW,2010-05-03,filled,4.230000000000001,-7229,sell,-7229
UDOW,2010-05-04,filled,4.21,6936,buy,6936
UDOW,2010-05-05,filled,3.98,-6848,sell,-6848
UDOW,2010-05-07,filled,3.6,-7382,sell,-7382
UDOW,2010-05-13,filled,4.0,14409,buy,14409
UDOW,2010-05-17,filled,3.74,-14409,sell,-14409
UDOW,2010-05-28,filled,3.34,8379,buy,8379
UDOW,2010-06-03,filled,3.37,8461,buy,8461
UDOW,2010-06-07,filled,3.05,-16840,sell,-16840
UDOW,2010-06-11,filled,3.16,8279,buy,8279
UDOW,2010-06-14,filled,3.35,8211,buy,8211
UDOW,2010-06-16,filled,3.41,7448,buy,7448
UDOW,2010-06-23,filled,3.36,-7821,sell,-7821
UDOW,2010-06-25,filled,3.23,-7880,sell,-7880
UDOW,2010-06-30,filled,2.93,-8237,sell,-8237
UDOW,2010-07-08,filled,3.14,8431,buy,8431
UDOW,2010-07-09,filled,3.18,7856,buy,7856
UDOW,2010-07-14,filled,3.38,7399,buy,7399
UDOW,2010-07-19,filled,3.18,-7551,sell,-7551
UDOW,2010-07-22,filled,3.259999999999999,-8073,sell,-8073
UDOW,2010-07-23,filled,3.34,15261,buy,15261
UDOW,2010-07-27,filled,3.6,7369,buy,7369
UDOW,2010-08-12,filled,3.29,-15411,sell,-15411
UDOW,2010-08-13,filled,3.34,-7714,sell,-7714
UDOW,2010-08-18,filled,3.43,7255,buy,7255
UDOW,2010-08-20,filled,3.2800000000000002,-7263,sell,-7263
UDOW,2010-08-24,filled,3.13,-7559,sell,-7559
UDOW,2010-08-30,filled,3.16,7690,buy,7690
UDOW,2010-09-02,filled,3.32,7347,buy,7347
UDOW,2010-09-07,filled,3.44,14262,buy,14262
UDOW,2010-10-05,filled,3.91,-7219,sell,-7219
UDOW,2010-10-06,filled,4.0,7199,buy,7199
UDOW,2010-10-20,filled,4.07,-7340,sell,-7340
UDOW,2010-10-26,filled,4.190000000000001,6995,buy,6995
UDOW,2010-11-12,filled,4.32,-7168,sell,-7168
UDOW,2010-11-15,filled,4.28,-7234,sell,-7234
UDOW,2010-11-17,filled,4.12,-7104,sell,-7104
UDOW,2010-11-22,filled,4.25,6922,buy,6922
UDOW,2010-11-24,filled,4.190000000000001,-6999,sell,-6999
UDOW,2010-12-02,filled,4.38,20879,buy,20879
UDOW,2011-01-31,filled,5.11,-14143,sell,-14143
UDOW,2011-02-02,filled,5.35,13444,buy,13444
UDOW,2011-02-23,filled,5.6,-6888,sell,-6888
UDOW,2011-02-24,filled,5.46,-6809,sell,-6809
UDOW,2011-02-25,filled,5.49,-6887,sell,-6887
UDOW,2011-03-01,filled,5.72,13288,buy,13288
UDOW,2011-03-02,filled,5.4,-13452,sell,-13452
UDOW,2011-03-04,filled,5.690000000000001,19341,buy,19341
UDOW,2011-03-08,filled,5.480000000000001,-6562,sell,-6562
UDOW,2011-03-11,filled,5.24,-12992,sell,-12992
UDOW,2011-03-16,filled,5.08,-6570,sell,-6570
UDOW,2011-03-22,filled,5.39,12782,buy,12782
UDOW,2011-03-23,filled,5.309999999999999,6351,buy,6351
UDOW,2011-03-25,filled,5.59,6188,buy,6188
UDOW,2011-04-13,filled,5.78,-12688,sell,-12688
UDOW,2011-04-19,filled,5.62,-6211,sell,-6211
UDOW,2011-04-21,filled,5.99,18150,buy,18150
UDOW,2011-05-05,filled,6.26,-6254,sell,-6254
UDOW,2011-05-06,filled,6.29,-6045,sell,-6045
UDOW,2011-05-11,filled,6.36,5872,buy,5872
UDOW,2011-05-17,filled,6.019999999999999,-5892,sell,-5892
UDOW,2011-05-18,filled,6.019999999999999,-6102,sell,-6102
UDOW,2011-05-31,filled,6.13,6216,buy,6216
UDOW,2011-06-01,filled,6.1,5787,buy,5787
UDOW,2011-06-02,filled,5.75,-18154,sell,-18154
UDOW,2011-06-21,filled,5.51,12979,buy,12979
UDOW,2011-06-27,filled,5.29,-12979,sell,-12979
UDOW,2011-06-29,filled,5.65,18612,buy,18612
UDOW,2011-07-05,filled,6.15,5445,buy,5445
UDOW,2011-07-12,filled,6.04,-6011,sell,-6011
UDOW,2011-07-15,filled,6.04,-5968,sell,-5968
UDOW,2011-07-20,filled,6.18,5800,buy,5800
UDOW,2011-07-22,filled,6.34,5721,buy,5721
UDOW,2011-07-27,filled,5.97,-5882,sell,-5882
UDOW,2011-07-28,filled,5.74,-17717,sell,-17717
UDOW,2011-08-16,filled,4.42,7551,buy,7551
UDOW,2011-08-19,filled,3.8200000000000003,-7551,sell,-7551
UDOW,2011-08-25,filled,4.38,15299,buy,15299
UDOW,2011-08-30,filled,4.519999999999999,6889,buy,6889
UDOW,2011-09-06,filled,3.91,-7070,sell,-7070
UDOW,2011-09-07,filled,4.28,-7584,sell,-7584
UDOW,2011-09-12,filled,3.77,-7534,sell,-7534
UDOW,2011-09-16,filled,4.480000000000001,20751,buy,20751
UDOW,2011-09-22,filled,3.7199999999999998,-20751,sell,-20751
UDOW,2011-09-28,filled,4.16,6471,buy,6471
UDOW,2011-10-03,filled,3.73,-6471,sell,-6471
UDOW,2011-10-07,filled,4.1,12874,buy,12874
UDOW,2011-10-11,filled,4.28,5502,buy,5502
UDOW,2011-10-17,filled,4.55,5896,buy,5896
UDOW,2011-10-18,filled,4.26,-6022,sell,-6022
UDOW,2011-10-24,filled,4.82,5416,buy,5416
UDOW,2011-11-02,filled,4.74,-11863,sell,-11863
UDOW,2011-11-04,filled,4.940000000000001,11135,buy,11135
UDOW,2011-11-10,filled,4.85,-11380,sell,-11380
UDOW,2011-11-14,filled,5.14,10848,buy,10848
UDOW,2011-11-17,filled,4.85,-11187,sell,-11187
UDOW,2011-11-18,filled,4.75,-5522,sell,-5522
UDOW,2011-11-25,filled,4.09,-5697,sell,-5697
UDOW,2011-11-29,filled,4.42,5914,buy,5914
UDOW,2011-12-01,filled,4.95,15591,buy,15591
UDOW,2011-12-09,filled,5.0,-5309,sell,-5309
UDOW,2011-12-14,filled,4.82,-5336,sell,-5336
UDOW,2011-12-20,filled,4.87,-5321,sell,-5321
UDOW,2011-12-21,filled,5.059999999999999,15542,buy,15542
UDOW,2012-03-07,filled,6.0,-15821,sell,-15821
UDOW,2012-03-12,filled,6.21,4980,buy,4980
UDOW,2012-03-13,filled,6.35,5074,buy,5074
UDOW,2012-03-14,filled,6.6,4776,buy,4776
UDOW,2012-03-21,filled,6.6,-5031,sell,-5031
UDOW,2012-03-23,filled,6.39,-4939,sell,-4939
UDOW,2012-03-27,filled,6.69,9673,buy,9673
UDOW,2012-03-29,filled,6.4,-4962,sell,-4962
UDOW,2012-04-02,filled,6.6,4768,buy,4768
UDOW,2012-04-05,filled,6.37,-14697,sell,-14697
UDOW,2012-04-11,filled,6.08,-4902,sell,-4902
UDOW,2012-04-13,filled,6.24,9795,buy,9795
UDOW,2012-04-16,filled,6.22,-4798,sell,-4798
UDOW,2012-04-18,filled,6.37,9424,buy,9424
UDOW,2012-04-24,filled,6.24,-4629,sell,-4629
UDOW,2012-04-26,filled,6.43,9435,buy,9435
UDOW,2012-05-07,filled,6.269999999999999,-9603,sell,-9603
UDOW,2012-05-09,filled,6.05,-9624,sell,-9624
UDOW,2012-05-25,filled,5.67,5197,buy,5197
UDOW,2012-06-01,filled,5.3,-5197,sell,-5197
UDOW,2012-06-07,filled,5.68,5277,buy,5277
UDOW,2012-06-08,filled,5.54,5101,buy,5101
UDOW,2012-06-11,filled,5.84,5056,buy,5056
UDOW,2012-06-22,filled,5.82,-10323,sell,-10323
UDOW,2012-07-02,filled,6.15,14418,buy,14418
UDOW,2012-07-09,filled,5.97,-4885,sell,-4885
UDOW,2012-07-11,filled,5.84,-9736,sell,-9736
UDOW,2012-07-12,filled,5.67,-4908,sell,-4908
UDOW,2012-07-16,filled,5.940000000000001,9475,buy,9475
UDOW,2012-07-18,filled,5.980000000000001,9500,buy,9500
UDOW,2012-07-24,filled,5.93,-4675,sell,-4675
UDOW,2012-07-25,filled,5.88,-14300,sell,-14300
UDOW,2012-07-27,filled,6.22,18242,buy,18242
UDOW,2012-08-03,filled,6.38,-4720,sell,-4720
UDOW,2012-08-06,filled,6.49,4464,buy,4464
UDOW,2012-08-23,filled,6.58,-4520,sell,-4520
UDOW,2012-08-24,filled,6.42,-8955,sell,-8955
UDOW,2012-09-07,filled,6.8,12783,buy,12783
UDOW,2012-09-26,filled,7.08,-8651,sell,-8651
UDOW,2012-10-05,filled,7.35,8436,buy,8436
UDOW,2012-10-10,filled,7.07,-4361,sell,-4361
UDOW,2012-10-11,filled,6.99,-8453,sell,-8453
UDOW,2012-10-17,filled,7.16,8201,buy,8201
UDOW,2012-10-18,filled,7.2,4187,buy,4187
UDOW,2012-10-22,filled,6.86,-12489,sell,-12489
UDOW,2012-10-24,filled,6.5600000000000005,-4164,sell,-4164
UDOW,2012-11-02,filled,6.8,4215,buy,4215
UDOW,2012-11-07,filled,6.54,4173,buy,4173
UDOW,2012-11-08,filled,6.269999999999999,-8388,sell,-8388
UDOW,2012-11-20,filled,6.03,4496,buy,4496
UDOW,2012-11-23,filled,6.22,4450,buy,4450
UDOW,2012-11-26,filled,6.29,4172,buy,4172
UDOW,2012-12-17,filled,6.65,-4409,sell,-4409
UDOW,2012-12-18,filled,6.8100000000000005,4218,buy,4218
UDOW,2012-12-19,filled,6.96,4176,buy,4176
UDOW,2012-12-26,filled,6.64,-8561,sell,-8561
UDOW,2012-12-28,filled,6.42,-4243,sell,-4243
UDOW,2012-12-31,filled,6.26,-4299,sell,-4299
UDOW,2013-01-03,filled,6.99,15821,buy,15821
UDOW,2013-01-09,filled,6.97,-3940,sell,-3940
UDOW,2013-01-11,filled,7.13,3868,buy,3868
UDOW,2013-02-05,filled,7.92,-3939,sell,-3939
UDOW,2013-02-07,filled,7.96,3910,buy,3910
UDOW,2013-02-21,filled,7.86,-3929,sell,-3929
UDOW,2013-02-22,filled,7.96,-3929,sell,-3929
UDOW,2013-02-26,filled,7.79,-3864,sell,-3864
UDOW,2013-02-28,filled,8.16,11269,buy,11269
UDOW,2013-03-22,filled,8.9,-3800,sell,-3800
UDOW,2013-03-27,filled,8.9,3753,buy,3753
UDOW,2013-04-16,filled,9.38,-7579,sell,-7579
UDOW,2013-04-17,filled,9.28,3781,buy,3781
UDOW,2013-04-18,filled,9.2,-3717,sell,-3717
UDOW,2013-04-19,filled,8.97,-3822,sell,-3822
UDOW,2013-04-24,filled,9.38,7466,buy,7466
UDOW,2013-04-29,filled,9.44,3729,buy,3729
UDOW,2013-05-02,filled,9.41,-3795,sell,-3795
UDOW,2013-05-03,filled,9.84,3700,buy,3700
UDOW,2013-06-03,filled,10.35,-11264,sell,-11264
UDOW,2013-06-10,filled,10.57,3660,buy,3660
UDOW,2013-06-13,filled,9.95,-3611,sell,-3611
UDOW,2013-06-19,filled,10.58,10617,buy,10617
UDOW,2013-06-20,filled,9.97,-3574,sell,-3574
UDOW,2013-06-21,filled,9.64,-10811,sell,-10811
UDOW,2013-06-27,filled,9.94,3584,buy,3584
UDOW,2013-07-05,filled,10.09,3477,buy,3477
UDOW,2013-07-08,filled,10.36,6796,buy,6796
UDOW,2013-08-07,filled,10.92,-3539,sell,-3539
UDOW,2013-08-08,filled,11.13,-3446,sell,-3446
UDOW,2013-08-12,filled,10.72,-3410,sell,-3410
UDOW,2013-08-16,filled,10.24,-3462,sell,-3462
UDOW,2013-09-05,filled,9.9,3737,buy,3737
UDOW,2013-09-10,filled,10.34,3585,buy,3585
UDOW,2013-09-11,filled,10.42,3476,buy,3476
UDOW,2013-09-12,filled,10.74,3504,buy,3504
UDOW,2013-09-23,filled,10.96,-3586,sell,-3586
UDOW,2013-09-25,filled,10.77,-3533,sell,-3533
UDOW,2013-10-01,filled,10.29,-7183,sell,-7183
UDOW,2013-10-11,filled,10.23,7367,buy,7367
UDOW,2013-10-17,filled,10.47,7021,buy,7021
UDOW,2013-12-03,filled,12.11,-3469,sell,-3469
UDOW,2013-12-04,filled,11.9,-3626,sell,-3626
UDOW,2013-12-06,filled,12.14,-3625,sell,-3625
UDOW,2013-12-09,filled,12.31,7108,buy,7108
UDOW,2013-12-12,filled,11.82,-7161,sell,-7161
UDOW,2013-12-19,filled,12.55,10219,buy,10219
UDOW,2014-01-03,filled,13.33,-3460,sell,-3460
UDOW,2014-01-14,filled,12.91,-6882,sell,-6882
UDOW,2014-01-16,filled,13.25,6710,buy,6710
UDOW,2014-01-23,filled,12.86,-3347,sell,-3347
UDOW,2014-01-24,filled,12.44,-3389,sell,-3389
UDOW,2014-01-27,filled,11.98,-3466,sell,-3466
UDOW,2014-02-07,filled,11.45,3802,buy,3802
UDOW,2014-02-10,filled,11.72,3610,buy,3610
UDOW,2014-02-14,filled,12.21,3441,buy,3441
UDOW,2014-02-18,filled,12.61,3557,buy,3557
UDOW,2014-03-12,filled,12.89,-3612,sell,-3612
UDOW,2014-03-14,filled,12.45,-7172,sell,-7172
UDOW,2014-03-17,filled,12.59,-3626,sell,-3626
UDOW,2014-03-18,filled,12.89,3537,buy,3537
UDOW,2014-03-19,filled,13.01,6929,buy,6929
UDOW,2014-03-26,filled,13.29,3467,buy,3467
UDOW,2014-04-07,filled,13.14,-3518,sell,-3518
UDOW,2014-04-08,filled,12.79,-6921,sell,-6921
UDOW,2014-04-10,filled,13.26,3305,buy,3305
UDOW,2014-04-11,filled,12.42,-3311,sell,-3311
UDOW,2014-04-14,filled,12.53,-3488,sell,-3488
UDOW,2014-04-16,filled,13.06,3413,buy,3413
UDOW,2014-04-17,filled,13.16,6552,buy,6552
UDOW,2014-04-22,filled,13.32,3332,buy,3332
UDOW,2014-04-28,filled,13.27,-3336,sell,-3336
UDOW,2014-04-30,filled,13.47,3270,buy,3270
UDOW,2014-05-07,filled,13.34,-6617,sell,-6617
UDOW,2014-05-09,filled,13.55,3229,buy,3229
UDOW,2014-05-12,filled,13.78,3259,buy,3259
UDOW,2014-05-16,filled,13.35,-6570,sell,-6570
UDOW,2014-05-21,filled,13.28,-3242,sell,-3242
UDOW,2014-05-23,filled,13.62,3150,buy,3150
UDOW,2014-05-27,filled,13.91,6354,buy,6354
UDOW,2014-06-13,filled,14.17,-6437,sell,-6437
UDOW,2014-06-19,filled,14.55,6203,buy,6203
UDOW,2014-06-25,filled,14.22,-3151,sell,-3151
UDOW,2014-07-02,filled,14.67,3041,buy,3041
UDOW,2014-07-09,filled,14.64,-3115,sell,-3115
UDOW,2014-07-15,filled,14.98,3053,buy,3053
UDOW,2014-07-18,filled,14.88,-3107,sell,-3107
UDOW,2014-07-28,filled,14.67,-3072,sell,-3072
UDOW,2014-07-30,filled,14.7,-3093,sell,-3093
UDOW,2014-08-01,filled,13.53,-3116,sell,-3116
UDOW,2014-08-11,filled,13.81,3277,buy,3277
UDOW,2014-08-14,filled,13.98,3153,buy,3153
UDOW,2014-08-19,filled,14.54,3043,buy,3043
UDOW,2014-08-20,filled,14.56,3083,buy,3083
UDOW,2014-09-10,filled,14.94,-6274,sell,-6274
UDOW,2014-09-17,filled,15.29,6160,buy,6160
UDOW,2014-09-24,filled,15.07,-3130,sell,-3130
UDOW,2014-09-26,filled,14.89,-6191,sell,-6191
UDOW,2014-10-02,filled,14.27,-3121,sell,-3121
UDOW,2014-10-06,filled,15.04,3088,buy,3088
UDOW,2014-10-08,filled,14.09,-3088,sell,-3088
UDOW,2014-10-21,filled,13.48,3397,buy,3397
UDOW,2014-10-22,filled,13.89,3181,buy,3181
UDOW,2014-10-27,filled,14.14,3117,buy,3117
UDOW,2014-10-29,filled,14.84,3142,buy,3142
UDOW,2014-12-11,filled,16.46,-9633,sell,-9633
UDOW,2014-12-17,filled,15.19,-3204,sell,-3204
UDOW,2014-12-18,filled,16.47,3271,buy,3271
UDOW,2014-12-19,filled,17.09,5944,buy,5944
UDOW,2014-12-22,filled,17.2,3015,buy,3015
UDOW,2014-12-31,filled,17.63,-3078,sell,-3078
UDOW,2015-01-05,filled,16.82,-3003,sell,-3003
UDOW,2015-01-06,filled,16.27,-3004,sell,-3004
UDOW,2015-01-09,filled,17.33,5859,buy,5859
UDOW,2015-01-13,filled,16.98,-2942,sell,-2942
UDOW,2015-01-15,filled,16.14,-6062,sell,-6062
UDOW,2015-01-22,filled,16.48,3053,buy,3053
UDOW,2015-01-23,filled,16.97,5805,buy,5805
UDOW,2015-01-28,filled,16.05,-8858,sell,-8858
UDOW,2015-02-04,filled,16.35,8752,buy,8752
