symbol,date,status,fill-price,fill-quantity,direction,quantity
UMDD,2010-02-17,filled,2.22,45238,buy,45238
UMDD,2010-02-24,filled,2.25,-11635,sell,-11635
UMDD,2010-03-02,filled,2.45,10441,buy,10441
UMDD,2010-03-22,filled,2.7,-11140,sell,-11140
UMDD,2010-03-24,filled,2.89,10121,buy,10121
UMDD,2010-03-29,filled,2.8200000000000003,-10689,sell,-10689
UMDD,2010-04-05,filled,2.93,10499,buy,10499
UMDD,2010-04-28,filled,3.25,-21500,sell,-21500
UMDD,2010-04-30,filled,3.37,10134,buy,10134
UMDD,2010-05-03,filled,3.21,-10182,sell,-10182
UMDD,2010-05-05,filled,2.95,-10378,sell,-10378
UMDD,2010-05-07,filled,2.59,-10909,sell,-10909
UMDD,2010-05-13,filled,3.02,20795,buy,20795
UMDD,2010-05-17,filled,2.779999999999999,-20795,sell,-20795
UMDD,2010-05-28,filled,2.509999999999999,12032,buy,12032
UMDD,2010-06-02,filled,2.3,-12032,sell,-12032
UMDD,2010-06-04,filled,2.32,11959,buy,11959
UMDD,2010-06-07,filled,2.2,-11959,sell,-11959
UMDD,2010-06-11,filled,2.25,12781,buy,12781
UMDD,2010-06-14,filled,2.45,12229,buy,12229
UMDD,2010-06-16,filled,2.52,10811,buy,10811
UMDD,2010-06-22,filled,2.49,-11622,sell,-11622
UMDD,2010-06-23,filled,2.29,-11647,sell,-11647
UMDD,2010-06-25,filled,2.14,-12552,sell,-12552
UMDD,2010-07-08,filled,2.1,13875,buy,13875
UMDD,2010-07-12,filled,2.14,12422,buy,12422
UMDD,2010-07-14,filled,2.27,12218,buy,12218
UMDD,2010-07-19,filled,2.09,-25287,sell,-25287
UMDD,2010-07-22,filled,2.18,-13228,sell,-13228
UMDD,2010-07-23,filled,2.23,36821,buy,36821
UMDD,2010-07-30,filled,2.21,-12181,sell,-12181
UMDD,2010-08-03,filled,2.44,22597,buy,22597
UMDD,2010-08-12,filled,2.04,-47237,sell,-47237
UMDD,2010-08-18,filled,2.18,10919,buy,10919
UMDD,2010-08-24,filled,1.97,-10919,sell,-10919
UMDD,2010-08-30,filled,2.08,11312,buy,11312
UMDD,2010-09-02,filled,2.18,10597,buy,10597
UMDD,2010-09-03,filled,2.36,10318,buy,10318
UMDD,2010-09-07,filled,2.32,9782,buy,9782
UMDD,2010-09-24,filled,2.55,-10429,sell,-10429
UMDD,2010-09-27,filled,2.63,10184,buy,10184
UMDD,2010-10-20,filled,2.79,-10455,sell,-10455
UMDD,2010-10-25,filled,2.97,9954,buy,9954
UMDD,2010-11-15,filled,3.19,-10448,sell,-10448
UMDD,2010-11-17,filled,2.99,-20370,sell,-20370
UMDD,2010-11-19,filled,3.13,9624,buy,9624
UMDD,2010-11-22,filled,3.15,9927,buy,9927
UMDD,2010-11-23,filled,3.14,9860,buy,9860
UMDD,2011-01-03,filled,3.9699999999999998,-9764,sell,-9764
UMDD,2011-01-04,filled,4.05,9888,buy,9888
UMDD,2011-01-05,filled,3.88,-10062,sell,-10062
UMDD,2011-01-12,filled,4.08,9637,buy,9637
UMDD,2011-01-20,filled,3.99,-10023,sell,-10023
UMDD,2011-01-21,filled,4.03,-9827,sell,-9827
UMDD,2011-01-27,filled,4.2,18924,buy,18924
UMDD,2011-01-31,filled,4.04,-19422,sell,-19422
UMDD,2011-02-02,filled,4.230000000000001,18198,buy,18198
UMDD,2011-02-23,filled,4.54,-18653,sell,-18653
UMDD,2011-02-24,filled,4.35,-9163,sell,-9163
UMDD,2011-02-28,filled,4.690000000000001,8782,buy,8782
UMDD,2011-03-01,filled,4.68,8932,buy,8932
UMDD,2011-03-02,filled,4.4,-8899,sell,-8899
UMDD,2011-03-04,filled,4.78,16995,buy,16995
UMDD,2011-03-08,filled,4.46,-8914,sell,-8914
UMDD,2011-03-11,filled,4.21,-17596,sell,-17596
UMDD,2011-03-17,filled,4.269999999999999,-8889,sell,-8889
UMDD,2011-03-22,filled,4.54,24915,buy,24915
UMDD,2011-03-25,filled,4.6,8332,buy,8332
UMDD,2011-04-11,filled,4.95,-8369,sell,-8369
UMDD,2011-04-12,filled,4.74,-8176,sell,-8176
UMDD,2011-04-18,filled,4.64,8178,buy,8178
UMDD,2011-04-19,filled,4.68,-16394,sell,-16394
