symbol,date,status,fill-price,fill-quantity,direction,quantity
UPRO,2009-06-30,filled,1.17,84892,buy,84892
UPRO,2009-07-06,filled,1.03,-84892,sell,-84892
UPRO,2009-07-14,filled,1.08,20307,buy,20307
UPRO,2009-07-15,filled,1.129999999999999,19610,buy,19610
UPRO,2009-07-16,filled,1.17,36055,buy,36055
UPRO,2009-08-12,filled,1.42,-18853,sell,-18853
UPRO,2009-08-14,filled,1.51,17846,buy,17846
UPRO,2009-08-18,filled,1.379999999999999,-56275,sell,-56275
UPRO,2009-08-21,filled,1.52,34452,buy,34452
UPRO,2009-08-24,filled,1.5899999999999999,15771,buy,15771
UPRO,2009-09-02,filled,1.43,-51785,sell,-51785
UPRO,2009-09-08,filled,1.57,15581,buy,15581
UPRO,2009-09-09,filled,1.57,31270,buy,31270
UPRO,2009-09-25,filled,1.67,-32130,sell,-32130
UPRO,2009-10-02,filled,1.53,-15484,sell,-15484
UPRO,2009-10-07,filled,1.6800000000000002,14384,buy,14384
UPRO,2009-10-09,filled,1.75,29949,buy,29949
UPRO,2009-10-22,filled,1.82,-15206,sell,-15206
UPRO,2009-10-27,filled,1.76,-14882,sell,-14882
UPRO,2009-10-28,filled,1.72,-15206,sell,-15206
UPRO,2009-11-02,filled,1.61,-15404,sell,-15404
UPRO,2009-11-06,filled,1.71,29991,buy,29991
UPRO,2009-11-09,filled,1.8,15091,buy,15091
UPRO,2009-11-10,filled,1.8599999999999999,13711,buy,13711
UPRO,2009-11-23,filled,1.9300000000000002,-14618,sell,-14618
UPRO,2009-11-27,filled,1.8,14460,buy,14460
UPRO,2009-11-30,filled,1.8599999999999999,-28738,sell,-28738
UPRO,2009-12-02,filled,1.96,28451,buy,28451
UPRO,2009-12-09,filled,1.87,-43829,sell,-43829
UPRO,2009-12-14,filled,1.98,27646,buy,27646
UPRO,2009-12-15,filled,1.96,13390,buy,13390
UPRO,2009-12-18,filled,1.92,-41659,sell,-41659
UPRO,2009-12-22,filled,2.0,40325,buy,40325
UPRO,2010-01-04,filled,2.04,-13885,sell,-13885
UPRO,2010-01-05,filled,2.09,13102,buy,13102
UPRO,2010-01-22,filled,1.97,-40104,sell,-40104
UPRO,2010-01-25,filled,1.9100000000000001,-13334,sell,-13334
UPRO,2010-02-03,filled,1.8900000000000001,13559,buy,13559
