symbol,date,status,fill-price,fill-quantity,direction,quantity
URTY,2010-02-16,filled,11.04,9405,buy,9405
URTY,2010-03-22,filled,14.05,-2568,sell,-2568
URTY,2010-03-24,filled,15.26,2057,buy,2057
URTY,2010-04-28,filled,17.94,-2201,sell,-2201
URTY,2010-05-03,filled,17.48,-2179,sell,-2179
URTY,2010-05-05,filled,16.14,-2209,sell,-2209
URTY,2010-05-07,filled,13.71,-2305,sell,-2305
URTY,2010-05-12,filled,15.57,2369,buy,2369
URTY,2010-05-13,filled,16.62,2053,buy,2053
URTY,2010-05-19,filled,14.28,-4422,sell,-4422
URTY,2010-05-28,filled,13.39,2544,buy,2544
URTY,2010-06-02,filled,12.05,-2544,sell,-2544
URTY,2010-06-04,filled,12.2,5036,buy,5036
URTY,2010-06-07,filled,11.45,-5036,sell,-5036
URTY,2010-06-11,filled,11.08,2824,buy,2824
URTY,2010-06-16,filled,12.82,4947,buy,4947
URTY,2010-06-23,filled,11.7,-5081,sell,-5081
URTY,2010-06-25,filled,11.28,-2690,sell,-2690
URTY,2010-07-09,filled,10.34,3034,buy,3034
URTY,2010-07-12,filled,10.71,2827,buy,2827
URTY,2010-07-19,filled,9.89,-5861,sell,-5861
URTY,2010-07-23,filled,10.75,8336,buy,8336
URTY,2010-08-09,filled,12.01,-2817,sell,-2817
URTY,2010-08-11,filled,10.75,-2711,sell,-2711
URTY,2010-08-12,filled,9.49,-2808,sell,-2808
URTY,2010-08-18,filled,10.31,2939,buy,2939
URTY,2010-08-20,filled,9.47,-2939,sell,-2939
URTY,2010-08-30,filled,9.66,3025,buy,3025
URTY,2010-09-02,filled,10.16,2896,buy,2896
URTY,2010-09-03,filled,11.0,2821,buy,2821
URTY,2010-09-14,filled,11.47,2531,buy,2531
URTY,2010-09-24,filled,11.85,-2814,sell,-2814
URTY,2010-09-27,filled,12.46,2687,buy,2687
URTY,2010-10-20,filled,14.03,-2792,sell,-2792
URTY,2010-11-03,filled,14.93,2630,buy,2630
URTY,2010-11-15,filled,15.5,-2757,sell,-2757
URTY,2010-11-16,filled,14.94,-2724,sell,-2724
URTY,2010-11-17,filled,14.51,-2684,sell,-2684
URTY,2010-11-22,filled,15.37,5203,buy,5203
URTY,2010-11-26,filled,16.04,2579,buy,2579
URTY,2011-01-03,filled,20.26,-5282,sell,-5282
URTY,2011-01-04,filled,20.88,5196,buy,5196
URTY,2011-01-05,filled,19.76,-2659,sell,-2659
URTY,2011-01-13,filled,20.98,2468,buy,2468
URTY,2011-01-20,filled,19.5,-7744,sell,-7744
URTY,2011-01-27,filled,20.16,2442,buy,2442
