symbol,date,status,fill-price,fill-quantity,direction,quantity
UTSL,2017-05-08,filled,22.91,4366,buy,4366
UTSL,2017-05-10,filled,22.5,-4366,sell,-4366
UTSL,2017-05-15,filled,22.81,4282,buy,4282
UTSL,2017-05-19,filled,23.17,-1064,sell,-1064
UTSL,2017-05-22,filled,23.56,1073,buy,1073
UTSL,2017-06-09,filled,25.19,-2154,sell,-2154
UTSL,2017-06-15,filled,26.11,2061,buy,2061
UTSL,2017-06-22,filled,25.65,-1050,sell,-1050
UTSL,2017-06-23,filled,25.76,-2099,sell,-2099
UTSL,2017-06-27,filled,25.43,1040,buy,1040
UTSL,2017-06-28,filled,24.89,-1023,sell,-1023
UTSL,2017-06-29,filled,23.53,-1066,sell,-1066
UTSL,2017-07-17,filled,23.41,2244,buy,2244
UTSL,2017-07-21,filled,24.74,2123,buy,2123
UTSL,2017-07-26,filled,24.42,-1092,sell,-1092
UTSL,2017-07-28,filled,24.8,1076,buy,1076
UTSL,2017-08-14,filled,25.74,-2177,sell,-2177
UTSL,2017-08-16,filled,26.65,2102,buy,2102
UTSL,2017-08-22,filled,27.07,-1070,sell,-1070
UTSL,2017-08-23,filled,27.29,1070,buy,1070
UTSL,2017-08-31,filled,27.46,-1077,sell,-1077
UTSL,2017-09-06,filled,27.32,-1064,sell,-1064
UTSL,2017-09-12,filled,27.99,-1064,sell,-1064
UTSL,2017-09-13,filled,26.89,3158,buy,3158
UTSL,2017-09-14,filled,27.42,-3143,sell,-3143
UTSL,2017-09-15,filled,27.36,3266,buy,3266
UTSL,2017-09-19,filled,26.66,-3265,sell,-3265
UTSL,2017-10-03,filled,25.5,-1087,sell,-1087
UTSL,2017-10-09,filled,25.8,1118,buy,1118
UTSL,2017-10-10,filled,25.84,1102,buy,1102
UTSL,2017-10-11,filled,27.15,2175,buy,2175
UTSL,2017-10-17,filled,26.15,-3313,sell,-3313
UTSL,2017-10-18,filled,26.83,1083,buy,1083
UTSL,2017-10-19,filled,27.37,1035,buy,1035
UTSL,2017-10-20,filled,27.41,1006,buy,1006
UTSL,2017-10-26,filled,27.97,-1053,sell,-1053
UTSL,2017-10-27,filled,27.79,1058,buy,1058
UTSL,2017-11-02,filled,27.56,-1053,sell,-1053
UTSL,2017-11-06,filled,28.05,1022,buy,1022
UTSL,2017-11-20,filled,27.88,-1036,sell,-1036
UTSL,2017-11-21,filled,28.82,-1061,sell,-1061
UTSL,2017-11-28,filled,29.77,2012,buy,2012
UTSL,2017-12-04,filled,30.04,-1027,sell,-1027
UTSL,2017-12-06,filled,28.51,-2030,sell,-2030
UTSL,2017-12-12,filled,29.22,1013,buy,1013
UTSL,2017-12-13,filled,28.4,-1013,sell,-1013
UTSL,2017-12-19,filled,27.2,-1038,sell,-1038
UTSL,2018-01-02,filled,24.89,1163,buy,1163
UTSL,2018-01-03,filled,23.98,-1163,sell,-1163
UTSL,2018-01-26,filled,22.64,2565,buy,2565
UTSL,2018-02-05,filled,20.66,-2565,sell,-2565
UTSL,2018-02-13,filled,19.43,1391,buy,1391
UTSL,2018-02-16,filled,20.72,1332,buy,1332
UTSL,2018-02-20,filled,20.55,1284,buy,1284
UTSL,2018-02-22,filled,19.75,-2636,sell,-2636
UTSL,2018-02-26,filled,21.67,2518,buy,2518
UTSL,2018-03-01,filled,19.7,-3889,sell,-3889
UTSL,2018-03-06,filled,20.59,2504,buy,2504
UTSL,2018-03-08,filled,19.49,-1214,sell,-1214
UTSL,2018-03-14,filled,20.54,1203,buy,1203
UTSL,2018-03-15,filled,20.9,1187,buy,1187
UTSL,2018-03-22,filled,20.43,-1219,sell,-1219
UTSL,2018-03-26,filled,20.4,-2461,sell,-2461
UTSL,2018-03-28,filled,21.65,3515,buy,3515
UTSL,2018-04-02,filled,21.72,1122,buy,1122
UTSL,2018-04-12,filled,20.68,-1159,sell,-1159
UTSL,2018-04-13,filled,20.4,-3478,sell,-3478
UTSL,2018-04-17,filled,21.75,2228,buy,2228
UTSL,2018-04-18,filled,22.48,2100,buy,2100
UTSL,2018-04-23,filled,21.26,-1110,sell,-1110
UTSL,2018-04-27,filled,22.52,1022,buy,1022
UTSL,2018-05-09,filled,20.58,-3183,sell,-3183
UTSL,2018-05-10,filled,20.78,-1057,sell,-1057
UTSL,2018-05-24,filled,20.47,1067,buy,1067
UTSL,2018-05-25,filled,20.97,1029,buy,1029
UTSL,2018-05-31,filled,21.63,2018,buy,2018
UTSL,2018-06-04,filled,20.67,-1024,sell,-1024
UTSL,2018-06-05,filled,20.35,-3090,sell,-3090
UTSL,2018-06-13,filled,19.43,1076,buy,1076
UTSL,2018-06-18,filled,20.46,1011,buy,1011
UTSL,2018-06-19,filled,20.41,1027,buy,1027
UTSL,2018-06-22,filled,21.94,1006,buy,1006
UTSL,2018-07-10,filled,22.47,-2071,sell,-2071
UTSL,2018-07-20,filled,23.61,1872,buy,1872
UTSL,2018-07-24,filled,22.64,-2922,sell,-2922
UTSL,2018-07-27,filled,24.34,2804,buy,2804
UTSL,2018-08-23,filled,25.31,-1907,sell,-1907
UTSL,2018-08-29,filled,25.04,-940,sell,-940
UTSL,2018-09-06,filled,26.53,2697,buy,2697
UTSL,2018-09-13,filled,26.21,-915,sell,-915
UTSL,2018-09-14,filled,25.76,898,buy,898
UTSL,2018-09-20,filled,24.68,-2720,sell,-2720
UTSL,2018-09-25,filled,23.76,-916,sell,-916
UTSL,2018-10-01,filled,24.34,917,buy,917
UTSL,2018-10-03,filled,24.87,1774,buy,1774
UTSL,2018-10-04,filled,23.93,-866,sell,-866
UTSL,2018-10-08,filled,26.3,1704,buy,1704
UTSL,2018-10-12,filled,24.67,-910,sell,-910
UTSL,2018-10-15,filled,24.71,-874,sell,-874
UTSL,2018-10-17,filled,25.88,808,buy,808
UTSL,2018-10-19,filled,26.55,860,buy,860
UTSL,2018-10-29,filled,25.38,-1719,sell,-1719
UTSL,2018-11-02,filled,24.69,-1694,sell,-1694
UTSL,2018-11-07,filled,27.08,2406,buy,2406
UTSL,2018-11-08,filled,27.59,722,buy,722
UTSL,2018-11-16,filled,27.34,-790,sell,-790
UTSL,2018-11-20,filled,28.07,775,buy,775
UTSL,2018-11-23,filled,25.68,-2339,sell,-2339
UTSL,2018-11-28,filled,26.96,2205,buy,2205
UTSL,2018-12-18,filled,27.75,-2233,sell,-2233
UTSL,2018-12-26,filled,22.76,-746,sell,-746
UTSL,2019-01-09,filled,24.63,1606,buy,1606
UTSL,2019-01-15,filled,22.85,-1606,sell,-1606
UTSL,2019-01-18,filled,24.65,1558,buy,1558
UTSL,2019-01-24,filled,24.88,727,buy,727
UTSL,2019-01-29,filled,24.85,-738,sell,-738
UTSL,2019-02-01,filled,26.48,1414,buy,1414
UTSL,2019-03-20,filled,31.12,-1471,sell,-1471
UTSL,2019-03-22,filled,32.77,706,buy,706
UTSL,2019-03-25,filled,32.88,706,buy,706
UTSL,2019-03-29,filled,31.43,-1451,sell,-1451
UTSL,2019-04-05,filled,31.36,-724,sell,-724
UTSL,2019-04-08,filled,31.97,699,buy,699
UTSL,2019-04-15,filled,32.08,712,buy,712
UTSL,2019-04-17,filled,30.96,-1417,sell,-1417
UTSL,2019-04-25,filled,31.1,703,buy,703
UTSL,2019-04-26,filled,32.59,703,buy,703
UTSL,2019-04-29,filled,31.8,695,buy,695
UTSL,2019-05-08,filled,31.0,-1410,sell,-1410
UTSL,2019-05-09,filled,30.27,-1412,sell,-1412
UTSL,2019-05-13,filled,31.25,688,buy,688
UTSL,2019-05-14,filled,32.63,1994,buy,1994
UTSL,2019-05-29,filled,32.78,-672,sell,-672
UTSL,2019-05-30,filled,31.48,-1334,sell,-1334
UTSL,2019-06-04,filled,33.07,635,buy,635
UTSL,2019-06-05,filled,33.19,651,buy,651
UTSL,2019-06-06,filled,35.11,610,buy,610
UTSL,2019-06-12,filled,34.26,-645,sell,-645
UTSL,2019-06-17,filled,36.06,612,buy,612
UTSL,2019-06-27,filled,34.32,-1270,sell,-1270
UTSL,2019-06-28,filled,34.37,-635,sell,-635
UTSL,2019-07-03,filled,36.04,598,buy,598
UTSL,2019-07-05,filled,35.87,1197,buy,1197
UTSL,2019-07-17,filled,36.62,-590,sell,-590
UTSL,2019-07-19,filled,37.34,601,buy,601
UTSL,2019-07-22,filled,36.31,-1220,sell,-1220
UTSL,2019-07-23,filled,35.47,-603,sell,-603
UTSL,2019-07-30,filled,35.55,615,buy,615
UTSL,2019-08-06,filled,34.0,-1232,sell,-1232
UTSL,2019-08-08,filled,34.93,606,buy,606
UTSL,2019-08-09,filled,36.01,1780,buy,1780
UTSL,2019-08-15,filled,35.33,-587,sell,-587
UTSL,2019-08-16,filled,36.94,575,buy,575
UTSL,2019-08-26,filled,37.87,-595,sell,-595
UTSL,2019-08-27,filled,39.34,582,buy,582
UTSL,2019-09-09,filled,39.26,-599,sell,-599
UTSL,2019-09-12,filled,40.67,573,buy,573
UTSL,2019-10-03,filled,42.39,-1171,sell,-1171
UTSL,2019-10-07,filled,44.11,1111,buy,1111
UTSL,2019-10-09,filled,42.69,-562,sell,-562
UTSL,2019-10-14,filled,42.67,-570,sell,-570
UTSL,2019-10-15,filled,41.67,-565,sell,-565
UTSL,2019-10-21,filled,42.44,566,buy,566
UTSL,2019-10-22,filled,42.96,561,buy,561
UTSL,2019-10-24,filled,43.82,552,buy,552
UTSL,2019-10-29,filled,40.98,-1694,sell,-1694
UTSL,2019-11-01,filled,43.24,528,buy,528
UTSL,2019-11-05,filled,40.97,-535,sell,-535
UTSL,2019-11-06,filled,40.07,-556,sell,-556
UTSL,2019-11-14,filled,39.66,578,buy,578
UTSL,2019-11-18,filled,40.1,559,buy,559
UTSL,2019-12-03,filled,39.75,-1137,sell,-1137
UTSL,2019-12-05,filled,40.5,1667,buy,1667
UTSL,2019-12-11,filled,40.17,-546,sell,-546
UTSL,2019-12-13,filled,39.76,-1121,sell,-1121
UTSL,2019-12-16,filled,41.14,1644,buy,1644
UTSL,2019-12-17,filled,42.23,516,buy,516
UTSL,2020-01-03,filled,42.24,-1080,sell,-1080
UTSL,2020-01-10,filled,43.34,524,buy,524
UTSL,2020-01-13,filled,43.5,528,buy,528
UTSL,2020-02-05,filled,51.99,-533,sell,-533
UTSL,2020-02-12,filled,53.66,518,buy,518
UTSL,2020-02-25,filled,54.05,-1060,sell,-1060
UTSL,2020-02-26,filled,50.52,-511,sell,-511
UTSL,2020-02-28,filled,39.41,-546,sell,-546
UTSL,2020-03-05,filled,47.85,1026,buy,1026
UTSL,2020-03-10,filled,42.34,-1026,sell,-1026
UTSL,2020-03-27,filled,18.93,1181,buy,1181
UTSL,2020-03-30,filled,21.41,1215,buy,1215
UTSL,2020-04-02,filled,16.28,-1057,sell,-1057
UTSL,2020-04-07,filled,22.56,994,buy,994
UTSL,2020-04-09,filled,24.39,912,buy,912
UTSL,2020-04-17,filled,24.83,-1123,sell,-1123
UTSL,2020-04-20,filled,24.09,977,buy,977
UTSL,2020-04-21,filled,21.38,-940,sell,-940
UTSL,2020-04-22,filled,22.28,-1061,sell,-1061
UTSL,2020-04-28,filled,24.04,988,buy,988
UTSL,2020-05-01,filled,20.3,-2086,sell,-2086
UTSL,2020-05-19,filled,19.92,2182,buy,2182
UTSL,2020-05-28,filled,21.63,1103,buy,1103
UTSL,2020-06-03,filled,24.91,904,buy,904
UTSL,2020-06-12,filled,23.11,-2100,sell,-2100
UTSL,2020-06-22,filled,20.67,-2089,sell,-2089
UTSL,2020-07-01,filled,19.86,1145,buy,1145
UTSL,2020-07-02,filled,21.83,1048,buy,1048
UTSL,2020-07-15,filled,22.42,1022,buy,1022
UTSL,2020-07-17,filled,22.68,1020,buy,1020
UTSL,2020-07-28,filled,23.08,-1066,sell,-1066
UTSL,2020-08-03,filled,24.64,990,buy,990
UTSL,2020-08-12,filled,23.84,-2080,sell,-2080
UTSL,2020-08-19,filled,23.68,-1033,sell,-1033
UTSL,2020-08-27,filled,21.98,-1046,sell,-1046
UTSL,2020-09-03,filled,23.73,3051,buy,3051
UTSL,2020-09-11,filled,21.94,-3051,sell,-3051
UTSL,2020-09-16,filled,23.29,3899,buy,3899
UTSL,2020-09-21,filled,21.02,-3899,sell,-3899
UTSL,2020-09-28,filled,22.72,926,buy,926
UTSL,2020-09-30,filled,23.0,908,buy,908
UTSL,2020-10-01,filled,23.31,862,buy,862
UTSL,2020-10-02,filled,22.95,868,buy,868
UTSL,2020-10-29,filled,27.11,-2667,sell,-2667
UTSL,2020-11-04,filled,29.51,2472,buy,2472
UTSL,2020-11-18,filled,30.6,-842,sell,-842
UTSL,2020-11-19,filled,28.5,-1671,sell,-1671
UTSL,2020-11-27,filled,28.81,845,buy,845
UTSL,2020-12-01,filled,27.31,-817,sell,-817
UTSL,2020-12-10,filled,26.22,-884,sell,-884
UTSL,2020-12-16,filled,27.1,1749,buy,1749
UTSL,2020-12-22,filled,25.15,-1749,sell,-1749
UTSL,2020-12-29,filled,25.84,892,buy,892
