symbol,date,status,fill-price,fill-quantity,direction,quantity
YANG,2009-12-07,submitted,0.0,0,buy,19
YANG,2009-12-08,filled,5201.64,19,buy,19
YANG,2009-12-11,submitted,0.0,0,sell,-5
YANG,2009-12-14,filled,5031.520000000001,-5,sell,-5
YANG,2009-12-14,submitted,0.0,0,sell,-14
YANG,2009-12-15,filled,5000.92,-14,sell,-14
YANG,2009-12-17,submitted,0.0,0,buy,18
YANG,2009-12-18,filled,5275.07,18,buy,18
YANG,2009-12-24,submitted,0.0,0,sell,-5
YANG,2009-12-28,filled,5065.78,-5,sell,-5
YANG,2009-12-28,submitted,0.0,0,sell,-4
YANG,2009-12-29,filled,5018.05,-4,sell,-4
YANG,2010-01-04,submitted,0.0,0,sell,-9
YANG,2010-01-05,filled,4634.97,-9,sell,-9
YANG,2010-01-12,submitted,0.0,0,buy,5
YANG,2010-01-13,filled,4589.68,5,buy,5
YANG,2010-01-15,submitted,0.0,0,buy,4
YANG,2010-01-19,filled,4687.6,4,buy,4
YANG,2010-01-20,submitted,0.0,0,buy,4
YANG,2010-01-21,filled,4983.78,4,buy,4
YANG,2010-01-21,submitted,0.0,0,buy,4
YANG,2010-01-22,filled,5404.810000000001,4,buy,4
YANG,2010-02-02,submitted,0.0,0,sell,-9
YANG,2010-02-03,filled,5393.79,-9,sell,-9
YANG,2010-02-04,submitted,0.0,0,buy,8
YANG,2010-02-05,filled,6189.34,8,buy,8
YANG,2010-02-10,submitted,0.0,0,sell,-4
YANG,2010-02-11,filled,5973.93,-4,sell,-4
YANG,2010-02-11,submitted,0.0,0,sell,-8
YANG,2010-02-12,filled,5752.4,-8,sell,-8
YANG,2010-02-23,submitted,0.0,0,buy,4
YANG,2010-02-24,filled,5344.84,4,buy,4
YANG,2010-02-26,submitted,0.0,0,sell,-8
YANG,2010-03-01,filled,5011.93,-8,sell,-8
YANG,2010-03-25,submitted,0.0,0,buy,9
YANG,2010-03-26,filled,4623.95,9,buy,9
YANG,2010-03-29,submitted,0.0,0,sell,-9
YANG,2010-03-30,filled,4201.7,-9,sell,-9
YANG,2010-04-16,submitted,0.0,0,buy,11
YANG,2010-04-19,filled,4184.57,11,buy,11
YANG,2010-04-23,submitted,0.0,0,sell,-6
YANG,2010-04-26,filled,3794.14,-6,sell,-6
YANG,2010-04-27,submitted,0.0,0,buy,10
YANG,2010-04-28,filled,4089.1,10,buy,10
YANG,2010-05-06,submitted,0.0,0,buy,4
YANG,2010-05-07,filled,4907.9,4,buy,4
YANG,2010-05-10,submitted,0.0,0,sell,-9
YANG,2010-05-11,filled,4480.75,-9,sell,-9
YANG,2010-05-12,submitted,0.0,0,sell,-5
YANG,2010-05-13,filled,4045.04,-5,sell,-5
YANG,2010-05-14,submitted,0.0,0,buy,4
YANG,2010-05-17,filled,4694.939999999999,4,buy,4
YANG,2010-05-17,submitted,0.0,0,buy,10
YANG,2010-05-18,filled,4466.07,10,buy,10
YANG,2010-05-27,submitted,0.0,0,sell,-15
YANG,2010-05-28,filled,4303.29,-15,sell,-15
YANG,2010-06-04,submitted,0.0,0,buy,4
YANG,2010-06-07,filled,4822.229999999999,4,buy,4
YANG,2010-06-07,submitted,0.0,0,buy,9
YANG,2010-06-08,filled,4987.45,9,buy,9
YANG,2010-06-10,submitted,0.0,0,sell,-13
YANG,2010-06-11,filled,4468.51,-13,sell,-13
YANG,2010-06-11,submitted,0.0,0,sell,-4
YANG,2010-06-14,filled,3981.4,-4,sell,-4
YANG,2010-06-24,submitted,0.0,0,buy,4
YANG,2010-06-25,filled,3825.96,4,buy,4
YANG,2010-06-29,submitted,0.0,0,buy,5
YANG,2010-06-30,filled,4216.39,5,buy,5
YANG,2010-07-07,submitted,0.0,0,sell,-5
YANG,2010-07-08,filled,3824.73,-5,sell,-5
YANG,2010-07-08,submitted,0.0,0,sell,-4
YANG,2010-07-09,filled,3855.33,-4,sell,-4
YANG,2010-07-15,submitted,0.0,0,buy,4
YANG,2010-07-16,filled,4065.85,4,buy,4
YANG,2010-07-16,submitted,0.0,0,buy,9
YANG,2010-07-19,filled,4100.12,9,buy,9
YANG,2010-07-20,submitted,0.0,0,sell,-13
YANG,2010-07-21,filled,3677.87,-13,sell,-13
YANG,2010-08-10,submitted,0.0,0,buy,5
YANG,2010-08-11,filled,3493.05,5,buy,5
YANG,2010-08-11,submitted,0.0,0,buy,4
YANG,2010-08-12,filled,3721.93,4,buy,4
YANG,2010-08-17,submitted,0.0,0,sell,-4
YANG,2010-08-18,filled,3366.99,-4,sell,-4
YANG,2010-08-20,submitted,0.0,0,sell,-5
YANG,2010-08-23,filled,3349.86,-5,sell,-5
YANG,2010-08-23,submitted,0.0,0,buy,9
YANG,2010-08-24,filled,3579.95,9,buy,9
YANG,2010-08-24,submitted,0.0,0,buy,5
YANG,2010-08-25,filled,3642.37,5,buy,5
YANG,2010-08-27,submitted,0.0,0,sell,-5
YANG,2010-08-30,filled,3423.29,-5,sell,-5
YANG,2010-09-01,submitted,0.0,0,sell,-9
YANG,2010-09-02,filled,3270.3,-9,sell,-9
YANG,2010-10-19,submitted,0.0,0,buy,7
YANG,2010-10-20,filled,2150.42,7,buy,7
YANG,2010-10-25,submitted,0.0,0,sell,-7
