symbol,date,status,fill-price,fill-quantity,direction,quantity
YINN,2009-12-15,filled,36.93,684,buy,684
YINN,2009-12-18,filled,33.6,-684,sell,-684
YINN,2010-01-05,filled,39.37,2599,buy,2599
YINN,2010-01-13,filled,37.47,-743,sell,-743
YINN,2010-01-19,filled,37.31,-618,sell,-618
YINN,2010-01-21,filled,34.24,-1238,sell,-1238
YINN,2010-02-03,filled,30.07,745,buy,745
YINN,2010-02-04,filled,28.79,720,buy,720
YINN,2010-02-05,filled,25.92,-1465,sell,-1465
YINN,2010-02-11,filled,27.61,758,buy,758
YINN,2010-02-12,filled,28.53,670,buy,670
YINN,2010-02-17,filled,31.29,701,buy,701
YINN,2010-02-24,filled,29.45,-699,sell,-699
YINN,2010-03-01,filled,33.06,630,buy,630
YINN,2010-03-05,filled,31.76,-694,sell,-694
YINN,2010-03-09,filled,33.4,617,buy,617
YINN,2010-03-10,filled,33.51,660,buy,660
YINN,2010-03-26,filled,33.33,-1981,sell,-1981
YINN,2010-03-30,filled,36.36,1857,buy,1857
YINN,2010-04-19,filled,35.82,-1276,sell,-1276
YINN,2010-04-26,filled,39.58,542,buy,542
YINN,2010-04-28,filled,36.83,-1180,sell,-1180
YINN,2010-05-06,filled,31.94,-605,sell,-605
YINN,2010-05-11,filled,30.67,636,buy,636
YINN,2010-05-17,filled,29.92,-636,sell,-636
YINN,2010-05-28,filled,29.67,1468,buy,1468
YINN,2010-06-07,filled,26.05,-701,sell,-701
YINN,2010-06-08,filled,24.93,-767,sell,-767
YINN,2010-06-11,filled,27.42,2057,buy,2057
YINN,2010-06-25,filled,30.87,-664,sell,-664
YINN,2010-06-30,filled,28.6,-1393,sell,-1393
YINN,2010-07-08,filled,29.9,688,buy,688
YINN,2010-07-12,filled,31.25,650,buy,650
YINN,2010-07-16,filled,28.64,-647,sell,-647
YINN,2010-07-19,filled,29.05,-691,sell,-691
YINN,2010-07-21,filled,31.1,665,buy,665
YINN,2010-07-23,filled,32.42,1844,buy,1844
YINN,2010-07-30,filled,31.13,-621,sell,-621
YINN,2010-08-03,filled,34.72,556,buy,556
YINN,2010-08-11,filled,32.27,-605,sell,-605
YINN,2010-08-12,filled,29.52,-1218,sell,-1218
YINN,2010-08-18,filled,33.07,536,buy,536
YINN,2010-08-24,filled,31.19,-569,sell,-569
YINN,2010-08-27,filled,30.34,-588,sell,-588
YINN,2010-08-30,filled,31.78,1156,buy,1156
YINN,2010-09-02,filled,33.12,1116,buy,1116
YINN,2010-10-20,filled,48.05,-1137,sell,-1137
YINN,2010-10-26,filled,51.13,1069,buy,1069
YINN,2010-11-15,filled,49.66,-1104,sell,-1104
YINN,2010-11-16,filled,46.66,-542,sell,-542
YINN,2010-11-24,filled,44.25,-558,sell,-558
YINN,2010-12-03,filled,42.11,590,buy,590
YINN,2010-12-06,filled,43.68,599,buy,599
YINN,2010-12-09,filled,42.56,-1189,sell,-1189
YINN,2010-12-22,filled,41.57,626,buy,626
YINN,2010-12-23,filled,41.35,615,buy,615
YINN,2010-12-29,filled,40.64,-602,sell,-602
YINN,2011-01-03,filled,42.91,612,buy,612
YINN,2011-01-04,filled,45.8,563,buy,563
YINN,2011-01-12,filled,48.75,534,buy,534
YINN,2011-01-21,filled,47.04,-601,sell,-601
YINN,2011-01-26,filled,46.64,-574,sell,-574
YINN,2011-01-31,filled,44.1,-1173,sell,-1173
YINN,2011-02-02,filled,48.55,2185,buy,2185
YINN,2011-02-10,filled,44.27,-1640,sell,-1640
YINN,2011-02-15,filled,46.84,488,buy,488
YINN,2011-02-17,filled,48.57,1020,buy,1020
YINN,2011-02-23,filled,43.85,-2053,sell,-2053
YINN,2011-03-01,filled,46.3,495,buy,495
YINN,2011-03-04,filled,46.48,962,buy,962
YINN,2011-03-11,filled,43.34,-1457,sell,-1457
YINN,2011-03-23,filled,42.45,500,buy,500
YINN,2011-03-24,filled,44.76,478,buy,478
YINN,2011-03-25,filled,45.63,467,buy,467
YINN,2011-03-30,filled,47.48,466,buy,466
YINN,2011-04-13,filled,51.95,-961,sell,-961
YINN,2011-04-14,filled,52.18,455,buy,455
YINN,2011-04-18,filled,52.06,474,buy,474
YINN,2011-04-28,filled,53.33,-457,sell,-457
YINN,2011-05-04,filled,49.64,-942,sell,-942
YINN,2011-05-11,filled,50.9,468,buy,468
YINN,2011-05-16,filled,46.85,-948,sell,-948
YINN,2011-05-31,filled,48.31,1015,buy,1015
YINN,2011-06-01,filled,48.99,420,buy,420
YINN,2011-06-02,filled,45.85,-466,sell,-466
YINN,2011-06-06,filled,44.01,-969,sell,-969
