Date,Open,High,Low,Close,Adj Close,Volume
2009-07-16,1.769063,1.945938,1.759688,1.920313,1.424548,0
2009-07-17,1.848750,1.848750,1.735938,1.774688,1.316519,0
2009-07-20,1.828438,1.925313,1.828438,1.911563,1.418057,0
2009-07-21,1.953125,1.953125,1.806875,1.925625,1.428489,0
2009-07-22,1.869688,2.005313,1.861250,1.941563,1.440312,0
2009-07-23,1.941563,2.230313,1.941563,2.167813,1.608152,0
2009-07-24,2.126563,2.232500,2.048750,2.211875,1.640838,0
2009-07-27,2.216875,2.323438,2.160313,2.313750,1.716412,2451200
2009-07-28,2.265625,2.329063,2.203438,2.296875,1.703894,2006400
2009-07-29,2.243125,2.300938,2.163438,2.224688,1.650343,1676800
2009-07-30,2.341563,2.558438,2.320000,2.460938,1.825600,1504000
2009-07-31,2.453750,2.518438,2.375625,2.459375,1.824442,1475200
2009-08-03,2.610938,2.610938,2.465938,2.579375,1.913461,2582400
2009-08-04,2.535313,3.054688,2.483438,2.994375,2.221321,4688000
2009-08-05,3.010313,3.394375,2.935938,3.351563,2.486294,10307200
2009-08-06,3.503438,3.737500,3.270625,3.270625,2.426252,11744000
2009-08-07,3.512500,4.015625,3.359375,3.832188,2.842837,8956800
2009-08-10,3.781250,3.795625,3.439063,3.546875,2.631183,9113600
2009-08-11,3.468438,3.509063,3.125000,3.250938,2.411647,11334400
2009-08-12,3.239688,3.520313,3.223438,3.325625,2.467053,11526400
2009-08-13,3.423438,3.465313,3.240313,3.367500,2.498117,6809600
2009-08-14,3.250000,3.320625,3.035625,3.276250,2.430424,5980800
2009-08-17,2.897813,2.921563,2.698750,2.753750,2.042818,5449600
2009-08-18,2.798125,2.930000,2.729063,2.840000,2.106801,4428800
2009-08-19,2.687813,2.808750,2.641563,2.757500,2.045599,4214400
2009-08-20,2.771250,3.111250,2.757500,3.108438,2.305936,4816000
2009-08-21,3.238438,3.538125,3.185000,3.339688,2.477485,8064000
2009-08-24,3.463750,3.487813,3.263750,3.285313,2.437148,9430400
2009-08-25,3.383125,3.493125,3.298438,3.406563,2.527095,6240000
2009-08-26,3.398438,3.460938,3.305625,3.459375,2.566273,3792000
2009-08-27,3.448750,3.578125,3.233438,3.569688,2.648106,17388800
2009-08-28,3.656250,3.684063,3.460938,3.627500,2.690993,8233600
2009-08-31,3.449063,3.549063,3.365000,3.468750,2.573227,4780800
2009-09-01,3.396875,3.477813,2.907813,2.913750,2.161511,10268800
2009-09-02,2.829063,2.910938,2.742188,2.743750,2.035399,6118400
2009-09-03,2.843125,2.911250,2.688438,2.911250,2.159657,3427200
