Date,Open,High,Low,Close,Adj Close,Volume
2008-12-30,3505500.000000,3533000.000000,3327000.000000,3331000.000000,3250220.250000,0
2008-12-31,3332000.000000,3332000.000000,3140000.000000,3230000.000000,3151669.500000,0
2009-01-02,3169000.000000,3169000.000000,2800500.000000,2834500.000000,2765760.750000,0
2009-01-05,2891500.000000,2916000.000000,2723000.000000,2803000.000000,2735024.500000,0
2009-01-06,2719000.000000,2720000.000000,2488000.000000,2566000.000000,2503771.750000,0
2009-01-07,2718000.000000,2885000.000000,2697000.000000,2850500.000000,2781372.750000,1
2009-01-08,2873000.000000,2943000.000000,2759000.000000,2783000.000000,2715509.750000,1
2009-01-09,2788000.000000,2979500.000000,2788000.000000,2953500.000000,2881874.500000,1
2009-01-12,2915000.000000,3178000.000000,2915000.000000,3155000.000000,3078487.750000,0
2009-01-13,3139500.000000,3240500.000000,3011000.000000,3116000.000000,3040434.000000,0
2009-01-14,3258000.000000,3504000.000000,3250000.000000,3449000.000000,3365358.500000,0
2009-01-15,3479500.000000,3698000.000000,3328000.000000,3372000.000000,3290226.000000,1
2009-01-16,3177000.000000,3503000.000000,3139000.000000,3252500.000000,3173623.750000,0
2009-01-20,3310500.000000,3773500.000000,3310000.000000,3773500.000000,3681989.000000,0
2009-01-21,3535000.000000,3628500.000000,3155000.000000,3155000.000000,3078487.750000,1
2009-01-22,3425000.000000,3524500.000000,3212500.000000,3348000.000000,3266807.500000,1
2009-01-23,3499500.000000,3525000.000000,3030000.000000,3179000.000000,3101906.250000,1
2009-01-26,3161000.000000,3175000.000000,2964500.000000,3087500.000000,3012625.000000,1
2009-01-27,3001500.000000,3070000.000000,2905000.000000,2958000.000000,2886265.250000,0
2009-01-28,2805500.000000,2823000.000000,2605000.000000,2665500.000000,2600858.500000,1
2009-01-29,2781500.000000,2924500.000000,2781500.000000,2910500.000000,2839917.500000,1
2009-01-30,2893000.000000,3180500.000000,2868500.000000,3159000.000000,3082391.000000,1
2009-02-02,3309000.000000,3309000.000000,3000500.000000,3048000.000000,2974082.750000,1
2009-02-03,3050000.000000,3188000.000000,2860500.000000,2894000.000000,2823817.500000,1
2009-02-04,2890000.000000,2890000.000000,2630500.000000,2831500.000000,2762833.000000,1
2009-02-05,3170000.000000,3170000.000000,2592000.000000,2667000.000000,2602322.750000,1
2009-02-06,2627000.000000,2649000.000000,2340000.000000,2386000.000000,2328137.000000,1
2009-02-09,2392500.000000,2437000.000000,2326000.000000,2358500.000000,2301304.000000,0
2009-02-10,2413500.000000,2689500.000000,2334000.000000,2649000.000000,2584759.000000,1
2009-02-11,2638500.000000,2736500.000000,2562500.000000,2639000.000000,2575001.750000,1
2009-02-12,2728000.000000,2809500.000000,2584500.000000,2584500.000000,2521823.500000,1
2009-02-13,2546000.000000,2599500.000000,2483500.000000,2570000.000000,2507674.750000,0
2009-02-17,2800000.000000,2935000.000000,2788000.000000,2915000.000000,2844308.500000,1
2009-02-18,2871500.000000,2997000.000000,2780000.000000,2903000.000000,2832599.250000,0
2009-02-19,2900500.000000,3195000.000000,2881500.000000,3171500.000000,3094588.500000,1
2009-02-20,3350500.000000,3350500.000000,3077500.000000,3174000.000000,3097027.250000,1
2009-02-23,3102500.000000,3612500.000000,3102500.000000,3574000.000000,3487326.750000,1
2009-02-24,3521000.000000,3553000.000000,3160500.000000,3244500.000000,3165817.250000,2
2009-02-25,3276500.000000,3473500.000000,3048000.000000,3225500.000000,3147278.500000,1
2009-02-26,3130000.000000,3332500.000000,2989500.000000,3320500.000000,3239974.500000,2
2009-02-27,3350000.000000,3442000.000000,3178000.000000,3336000.000000,3255098.750000,2
2009-03-02,3470000.000000,3695000.000000,3313500.000000,3651000.000000,3562460.000000,1
2009-03-03,3536500.000000,3749500.000000,3437500.000000,3642500.000000,3554165.750000,2
2009-03-04,3511500.000000,3511500.000000,3202000.000000,3367500.000000,3285835.000000,2
2009-03-05,3491500.000000,3712500.000000,3378000.000000,3675500.000000,3586365.750000,2
2009-03-06,3635500.000000,4032000.000000,3537500.000000,3788000.000000,3696137.250000,1
2009-03-09,3891000.000000,4110000.000000,3606500.000000,4071500.000000,3972762.750000,1
2009-03-10,3820000.000000,3903500.000000,3206000.000000,3240500.000000,3161915.000000,1
2009-03-11,3105000.000000,3194000.000000,2882000.000000,2965000.000000,2893095.500000,1
2009-03-12,2949000.000000,3050000.000000,2711500.000000,2729000.000000,2662819.500000,0
2009-03-13,2724000.000000,2851000.000000,2697000.000000,2751000.000000,2684285.750000,1
2009-03-16,2694500.000000,2885000.000000,2661000.000000,2876000.000000,2806254.500000,2
2009-03-17,2811000.000000,2859000.000000,2556500.000000,2557000.000000,2494990.250000,2
2009-03-18,2598500.000000,2615500.000000,2325000.000000,2429500.000000,2370582.000000,2
2009-03-19,2320000.000000,2437000.000000,2320000.000000,2392500.000000,2334479.750000,1
2009-03-20,2374500.000000,2554000.000000,2286500.000000,2510500.000000,2449618.250000,1
2009-03-23,2325000.000000,2390000.000000,2045000.000000,2046500.000000,1996870.375000,1
2009-03-24,2102500.000000,2143000.000000,2039500.000000,2124000.000000,2072490.875000,1
2009-03-25,2084500.000000,2260000.000000,1983000.000000,2115000.000000,2063709.125000,1
2009-03-26,2038500.000000,2038500.000000,1875000.000000,1875000.000000,1829529.500000,2
2009-03-27,1952500.000000,2027000.000000,1952500.000000,2006500.000000,1957840.375000,2
2009-03-30,2145000.000000,2272000.000000,2134500.000000,2186000.000000,2132987.250000,3
2009-03-31,2104000.000000,2123000.000000,1937500.000000,2073500.000000,2023215.750000,2
2009-04-01,2166000.000000,2169000.000000,1895500.000000,1920500.000000,1873926.125000,1
2009-04-02,1806000.000000,1817000.000000,1622000.000000,1737500.000000,1695363.750000,3
2009-04-03,1655500.000000,1755000.000000,1650500.000000,1664000.000000,1623646.500000,2
2009-04-06,1743000.000000,1807500.000000,1705500.000000,1718000.000000,1676336.875000,2
2009-04-07,1795000.000000,1875000.000000,1772000.000000,1844000.000000,1799281.125000,3
2009-04-08,1794500.000000,1824000.000000,1707500.000000,1750000.000000,1707560.625000,2
2009-04-09,1644000.000000,1674500.000000,1572000.000000,1593000.000000,1554368.125000,3
