Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-07-16,302950.8965002972,305585.67640221637,281433.5273012908,287288.59375,0,0.0,0.0
2009-07-17,304707.4436357313,312416.61514805246,303341.2613424086,306903.09375,0,0.0,0.0
2009-07-20,288752.3382333333,294021.89763333334,272504.5300833333,274456.21875,0,0.0,0.0
2009-07-21,269967.31446785654,294314.6287493422,269723.3534029118,278164.40625,0,0.0,0.0
2009-07-22,289386.6151222537,289386.6151222537,265917.5606839121,275383.25,0,0.0,0.0
2009-07-23,274456.248046875,278310.833575,234397.8338875,243961.109375,0,0.0,0.0
2009-07-24,248889.10830050142,256647.07109598853,236495.88471525785,238398.78125,0,0.0,0.0
2009-07-27,238057.2477936844,243863.5221301157,226737.45244870905,227713.296875,11,0.0,0.0
2009-07-28,232836.4551254785,237715.67673330498,226444.67481922585,229421.0,9,0.0,0.0
2009-07-29,234202.66220391353,242155.7942745881,229811.36228759013,236886.234375,7,0.0,0.0
2009-07-30,224249.00637107933,226054.31821523292,200340.82248904518,211563.03125,13,0.0,0.0
2009-07-31,212538.9169175544,217808.47684113015,206488.68144974523,210684.8125,7,0.0,0.0
2009-08-03,198145.1988879058,210294.46126739078,197559.69226720772,199901.71875,7,0.0,0.0
2009-08-04,204244.23724804234,207318.1471731801,163356.35602160674,168235.578125,36,0.0,0.0
2009-08-05,167991.62584570958,170431.23702557757,146035.12522689768,147840.4375,34,0.0,0.0
2009-08-06,142082.93240620958,150963.11568159767,130958.30720407503,150865.53125,64,0.0,0.0
2009-08-07,140131.25613408038,147450.08914943974,117247.70490605681,126274.265625,164,0.0,0.0
2009-08-10,127689.23886105091,138618.69606581796,127298.9011037378,135105.65625,52,0.0,0.0
2009-08-11,139057.8247110908,151011.91841432493,137642.85035438146,146718.203125,73,0.0,0.0
2009-08-12,145888.73354981138,145888.73354981138,134081.01665380658,142278.109375,89,0.0,0.0
2009-08-13,138423.50966411122,146083.8871816528,136618.19776507275,140814.328125,73,0.0,0.0
2009-08-14,142522.08268251093,154427.38503599697,142522.08268251093,144864.109375,38,0.0,0.0
2009-08-17,161502.22295586107,170333.61339544138,160233.6254341534,168577.09375,61,0.0,0.0
2009-08-18,164332.19341393813,168869.86977602134,156476.64616345,162429.296875,45,0.0,0.0
2009-08-19,170577.5979343686,173553.92329878407,163600.31060467332,166527.84375,50,0.0,0.0
2009-08-20,165600.80174798792,166283.89285714284,145400.821805835,145498.40625,56,0.0,0.0
2009-08-21,140033.67561141303,141790.19558423912,125249.63250679347,134666.53125,109,0.0,0.0
2009-08-24,129250.560940853,137594.02863465666,128665.05443602467,136423.015625,47,0.0,0.0
2009-08-25,132519.6631635115,135886.32618202484,128030.77913882701,131446.234375,52,0.0,0.0
2009-08-26,131836.57639672686,135544.78505925508,129543.34209226862,129689.71875,43,0.0,0.0
2009-08-27,130128.84466573983,137838.0150658849,125298.41511121855,126127.8828125,65,0.0,0.0
2009-08-28,123053.97506200397,129299.37903025794,121443.83185143849,122956.390625,54,0.0,0.0
2009-08-31,129348.1880601527,132226.92932591995,125883.94009626328,128616.3046875,52,0.0,0.0
2009-09-01,131397.42847199476,149499.3393383557,128225.93465443826,148962.625,86,0.0,0.0
2009-09-02,153402.7452502317,157989.2140967717,149499.36750849552,157940.421875,95,0.0,0.0
2009-09-03,152085.34933512827,161111.91001109834,148279.55618525977,148377.140625,77,0.0,0.0
2009-09-04,148621.08067082486,156623.00359597759,143741.859375,143741.859375,53,0.0,0.0
2009-09-08,136618.2045153351,139936.0751964218,128274.73559671998,128860.2421875,95,0.0,0.0
2009-09-09,128469.90800298704,131592.60990659174,119589.72446461118,120467.984375,116,0.0,0.0
2009-09-10,121199.87282470288,126323.05585473259,114905.67653066637,114954.46875,88,0.0,0.0
2009-09-11,113197.93566945606,120419.18328974895,111734.16925993723,116613.390625,72,0.0,0.0
2009-09-14,120028.85755713296,121297.45523863111,105439.98421990419,105683.9453125,98,0.0,0.0
2009-09-15,103537.0895079529,109782.49358760321,96023.08772462362,100463.1796875,184,0.0,0.0
2009-09-16,97877.19039735099,98999.41142384105,87874.78559602649,88411.5,155,0.0,0.0
2009-09-17,88655.45898650956,93437.09629012978,79189.76881403688,89289.7578125,292,0.0,0.0
2009-09-18,88021.15896589658,93925.01718921892,85532.7559130913,88704.25,151,0.0,0.0
2009-09-21,92802.7998753935,94998.44971471668,90070.43563090242,92997.96875,184,0.0,0.0
2009-09-22,90070.44500905796,91046.28948369565,83922.62481884057,84166.5859375,179,0.0,0.0
2009-09-23,83288.31281005223,93729.84704634466,83141.9361618799,93437.09375,259,0.0,0.0
2009-09-24,91387.82107604461,105049.64163199363,90265.60010180595,103341.9140625,442,0.0,0.0
2009-09-25,105635.14867154066,108318.72057774609,98804.23836483595,102610.03125,383,0.0,0.0
2009-09-28,100219.21787247818,101243.85447195337,89240.96859238685,89484.9296875,304,0.0,0.0
2009-09-29,89192.15893694633,94656.88639916624,86703.75625325691,93632.25,234,0.0,0.0
2009-09-30,92022.1238754435,100463.17765617081,91095.07172611506,96267.046875,406,0.0,0.0
2009-10-01,97340.4797905451,109245.7815794639,96852.55758608121,108757.859375,349,0.0,0.0
2009-10-02,117345.28635607548,117394.07857493455,102268.49072862128,111831.765625,396,0.0,0.0
2009-10-05,108025.96886134204,110855.9174584323,101487.81175771971,102707.6171875,261,0.0,0.0
2009-10-06,99438.53571959781,107342.87467277487,95632.74289029033,102512.4453125,392,0.0,0.0
2009-10-07,104268.96451040193,107782.00402596063,100853.50942583098,103488.2890625,225,0.0,0.0
2009-10-08,99584.92474179355,101195.06806196955,95047.2481122067,97730.8203125,339,0.0,0.0
2009-10-09,99048.19912269467,101487.80993852459,94852.06851946721,95242.40625,239,0.0,0.0
2009-10-12,93193.14227226203,96852.55885363357,91973.33674513818,95340.0,183,0.0,0.0
2009-10-13,97291.6828163203,101780.56687805624,96023.08514669928,99780.0859375,223,0.0,0.0
2009-10-14,93681.06648199446,95681.54758916206,87338.07760560942,88069.9609375,365,0.0,0.0
2009-10-15,91046.27371531518,92217.28688207165,89680.09168743265,90558.3515625,249,0.0,0.0
2009-10-16,94461.73259018037,98413.90218718688,93485.8882452405,97389.265625,274,0.0,0.0
2009-10-19,96023.08397709111,97486.85050113214,90851.1089254795,91582.9921875,382,0.0,0.0
2009-10-20,91778.15936085972,97925.97864819004,91729.36714429362,97047.71875,306,0.0,0.0
2009-10-21,98511.47868075801,100902.29713313896,92022.11431000971,100414.375,410,0.0,0.0
2009-10-22,100170.41691730566,104805.67732020095,92070.90926593072,92266.078125,569,0.0,0.0
2009-10-23,91582.97792050103,96950.12100587935,91046.2636119632,95437.5625,432,0.0,0.0
2009-10-26,95681.54025437153,96852.5534956285,88557.8763700583,96267.046875,635,0.0,0.0
2009-10-27,96120.67804316198,101682.99139185259,94705.70359481087,100609.5625,452,0.0,0.0
2009-10-28,102902.7859887295,113637.07376375108,97877.18762133304,113100.359375,463,0.0,0.0
2009-10-29,107342.88125,109001.8166875,96267.04759375,97584.4375,538,0.0,0.0
2009-10-30,99584.91368818191,109831.27913380573,97682.01724828036,102853.9921875,737,0.0,0.0
2009-11-02,101097.4713354854,111441.42110533237,95486.36650750239,102024.5234375,701,0.0,0.0
2009-11-03,106952.53839419711,107147.70725987994,97389.26397573788,97535.640625,479,0.0,0.0
2009-11-04,94071.39394028102,104220.175029274,93193.13403834894,104171.3828125,479,0.0,0.0
2009-11-05,101292.64456644144,103439.5021584084,96559.79942051426,97486.8515625,462,0.0,0.0
2009-11-06,102170.91141075721,104317.76914813701,97340.48150165264,101487.8203125,468,0.0,0.0
2009-11-09,97486.85369318181,98804.24360795454,86801.35771780302,86947.734375,749,0.0,0.0
2009-11-10,88509.08577858713,92705.2166368884,86996.52698082737,88753.046875,655,0.0,0.0
2009-11-11,86215.84685859102,87338.06784203618,81970.92400816803,83629.859375,519,0.0,0.0
2009-11-12,83971.40640024039,86752.56280048078,81824.548828125,86264.640625,585,0.0,0.0
2009-11-13,86215.85075956144,86362.22741619906,82117.30437370793,82605.2265625,569,0.0,0.0
2009-11-16,80897.50269328263,80995.0871356147,74408.13727820024,76994.125,790,0.0,0.0
2009-11-17,78213.92662590854,81141.45974977287,75530.35459569958,80555.953125,512,0.0,0.0
2009-11-18,80848.70272512797,81239.04045705375,75676.72777711133,76262.234375,498,0.0,0.0
2009-11-19,78604.26232493258,82458.84750411923,78457.8856725584,81434.2109375,611,0.0,0.0
2009-11-20,82849.18434557092,83971.40533493967,81873.3400069894,82897.9765625,370,0.0,0.0
2009-11-23,78945.80562118902,82019.715234375,76311.0259527439,80019.234375,386,0.0,0.0
2009-11-24,80360.79283436589,84508.13186953352,80360.79283436589,83678.6640625,394,0.0,0.0
2009-11-25,82702.81565912781,83434.69898354488,80848.71123727126,82654.0234375,303,0.0,0.0
2009-11-27,90021.6392648259,91095.0680257073,85435.17092287814,89680.09375,355,0.0,0.0
2009-11-30,88704.2493173077,90997.48348557691,78555.46831730769,79287.3515625,836,0.0,0.0
2009-12-01,77091.71012516046,79628.905648267,74896.06015324133,76018.28125,619,0.0,0.0
2009-12-02,76994.11324454698,76994.11324454698,71236.63202600672,72700.3984375,567,0.0,0.0
2009-12-03,71285.4292631299,75432.76772128599,68601.85731961713,74554.5078125,840,0.0,0.0
2009-12-04,68943.38950732387,72456.42846311108,66552.5713290798,67869.9609375,900,0.0,0.0
2009-12-07,68504.2742938092,73871.41829118741,68113.93654854533,72114.8984375,843,0.0,0.0
2009-12-08,74164.16930379746,74603.29925362258,70016.83088878247,73237.1171875,536,0.0,0.0
2009-12-09,72944.36048073744,74359.33469742064,71822.13955026455,73773.828125,399,0.0,0.0
2009-12-10,73090.74716186523,76115.86486816406,72017.31829833984,74944.8515625,342,0.0,0.0
2009-12-11,74456.92382144078,74700.88490866701,71187.8452526095,71285.4296875,484,0.0,0.0
2009-12-14,70553.55224184782,72895.5788722826,67089.30451766304,67333.265625,484,0.0,0.0
2009-12-15,68797.02003430683,70016.82535406404,67869.96799129134,69333.734375,614,0.0,0.0
2009-12-16,68211.51892510775,69089.77882543103,66991.7135079921,67918.765625,418,0.0,0.0
2009-12-17,69528.90500597135,70846.29478503186,68016.34637075372,68943.3984375,415,0.0,0.0
2009-12-18,68553.0598676497,71236.63160624098,67479.6311722132,67626.0078125,393,0.0,0.0
2009-12-21,67235.67236181494,67235.67236181494,64796.061608483484,64991.23046875,387,0.0,0.0
2009-12-22,64844.85743095931,64893.64964874031,62893.168719719,62941.9609375,356,0.0,0.0
2009-12-23,62454.03706688154,62746.79036563255,58697.03639957695,60551.140625,478,0.0,0.0
2009-12-24,59624.09782608695,59916.85117056856,58062.74665551839,58355.5,304,0.0,0.0
2009-12-28,57672.40023424191,58062.73796848382,55476.75047913118,57282.0625,612,0.0,0.0
2009-12-29,56696.55307641163,59868.04700925737,56208.63093289689,59624.0859375,430,0.0,0.0
