Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-30,18066.47327690293,18066.47327690293,17181.365234375,17181.365234375,43,0.0,0.0
2008-12-31,17276.722971654275,17325.623970724908,16205.791092007436,16442.9609375,29,0.0,0.0
2009-01-02,15697.221202472116,15887.935104932056,13587.143025255069,13809.642578125,134,0.0,0.0
2009-01-05,14051.702483903324,14171.50993504501,13171.484475515435,13445.330078125,266,0.0,0.0
2009-01-06,12824.28674989235,12997.885293122541,12176.348525159941,12420.853515625,182,0.0,0.0
2009-01-07,13496.67465652394,14687.41388799625,13496.67465652394,14504.03515625,216,0.0,0.0
2009-01-08,15892.82315724083,15892.82315724083,14728.9794921875,14728.9794921875,172,0.0,0.0
2009-01-09,15093.292535517456,16076.202562939781,14953.92469580832,15680.1044921875,84,0.0,0.0
2009-01-12,16381.834145642202,18017.57251033394,16254.691552273038,17856.19921875,174,0.0,0.0
2009-01-13,17848.86631763222,18125.156988028444,16775.48928839379,17567.685546875,113,0.0,0.0
2009-01-14,18572.60037910396,20511.525089560706,18526.144427655436,20144.767578125,140,0.0,0.0
2009-01-15,20056.744086439325,22171.712224287676,18721.746857231003,19565.2890625,289,0.0,0.0
2009-01-16,17653.25991574735,20482.18259199661,17626.364367399256,18672.845703125,252,0.0,0.0
2009-01-20,20545.752896711034,22880.775390625,20347.70386843142,22880.775390625,178,0.0,0.0
2009-01-21,21132.564500346125,22751.18739739913,19315.892578125,19315.892578125,324,0.0,0.0
2009-01-22,19315.893137010782,22032.343425013183,19315.893137010782,20866.0546875,232,0.0,0.0
2009-01-23,23325.77816599356,23325.77816599356,19587.296529116815,20130.09765625,100,0.0,0.0
2009-01-26,19301.226296030934,20044.521557494503,18076.25614473736,19462.599609375,241,0.0,0.0
2009-01-27,18746.198178498642,19171.636874606476,17939.331685880337,18445.45703125,79,0.0,0.0
2009-01-28,16606.77926227661,16865.954557005898,15205.765640768292,15596.9736328125,155,0.0,0.0
2009-01-29,17022.43790265084,17821.969243381493,16873.289854379982,17790.18359375,209,0.0,0.0
2009-01-30,17296.28458001182,18670.402749925113,16792.604254385238,18364.771484375,132,0.0,0.0
2009-02-02,19553.064639450342,19658.201788318212,18460.127301219218,18863.560546875,153,0.0,0.0
2009-02-03,18308.534151943466,18770.64859568242,17088.45421847394,17298.728515625,272,0.0,0.0
2009-02-04,16685.022125678253,17203.372754436135,15633.650567348586,16672.796875,253,0.0,0.0
2009-02-05,17174.03261474609,17555.46044616699,15205.7672026062,15648.3212890625,302,0.0,0.0
2009-02-06,15027.277572776311,15132.414724684768,13193.490039489256,13428.21484375,317,0.0,0.0
2009-02-09,13462.443732257172,13909.887830150936,13071.235777814538,13511.3447265625,231,0.0,0.0
2009-02-10,13897.663956696913,15922.165321254452,13579.807462261551,15797.4677734375,314,0.0,0.0
2009-02-11,14885.4645309132,15748.567188503928,14352.44362622544,14746.0966796875,194,0.0,0.0
2009-02-12,15919.720226741285,16345.158918102517,14851.2333984375,14851.2333984375,292,0.0,0.0
2009-02-13,14809.66727169315,15264.446553934346,14533.3766324821,14684.9697265625,271,0.0,0.0
2009-02-17,17291.391271639164,18083.587364966526,17010.210559501367,18078.697265625,360,0.0,0.0
2009-02-18,17237.601439281265,18641.0600529192,17188.700442290396,17672.8203125,524,0.0,0.0
2009-02-19,16506.53111970339,18169.164975635595,16504.086069915254,18032.2421875,327,0.0,0.0
